time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: A. Davis vs. D. Howard (D. Motiejunas gains possession)
11:36.0,,,0-0,,P. Beverley misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by D. Cunningham,,0-0,,
11:19.0,E. Gordon misses 3-pt shot from 25 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by T. Ariza
11:09.0,,,0-2,2,J. Harden makes 2-pt shot from 15 ft
10:46.0,D. Cunningham makes 3-pt shot from 24 ft (assist by E. Gordon),3,3-2,,
10:35.0,,,3-2,,J. Harden misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by K. Perkins,,3-2,,
10:24.0,,,3-2,,Personal foul by D. Howard (drawn by E. Gordon)
10:10.0,N. Cole misses 2-pt shot from 22 ft,,3-2,,
10:09.0,,,3-2,,Defensive rebound by D. Howard
9:59.0,,,3-4,2,P. Beverley makes 2-pt shot from 9 ft
9:47.0,K. Perkins misses 2-pt shot from 12 ft,,3-4,,
9:46.0,,,3-4,,Defensive rebound by D. Howard
9:39.0,,,3-4,,P. Beverley misses 2-pt shot from 3 ft (block by N. Cole)
9:38.0,Defensive rebound by K. Perkins,,3-4,,
9:32.0,N. Cole makes 2-pt shot from 2 ft (assist by A. Davis),2,5-4,,
9:20.0,,,5-4,,Turnover by D. Howard (bad pass)
9:04.0,N. Cole misses 3-pt shot from 25 ft,,5-4,,
9:03.0,,,5-4,,Defensive rebound by J. Harden
8:53.0,,,5-4,,J. Harden misses 2-pt shot from 6 ft
8:52.0,Defensive rebound by E. Gordon,,5-4,,
8:43.0,Turnover by E. Gordon (lost ball; steal by D. Howard),,5-4,,
8:41.0,,,5-4,,Shooting foul by K. Perkins (drawn by J. Harden)
8:41.0,,,5-5,1,J. Harden makes free throw 1 of 2
8:41.0,,,5-6,1,J. Harden makes free throw 2 of 2
8:28.0,A. Davis misses 2-pt shot from 13 ft (block by T. Ariza),,5-6,,
8:26.0,Offensive rebound by A. Davis,,5-6,,
