time,Charlotte,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. C. Zeller (T. Evans gains possession),,,,Jump ball: A. Davis vs. C. Zeller (T. Evans gains possession)
11:34.0,,,0-0,,T. Evans misses 2-pt shot from 1 ft
11:33.0,,,0-0,,Offensive rebound by Team
11:29.0,,,0-2,2,A. Davis makes 2-pt shot from 16 ft (assist by D. Cunningham)
11:16.0,Turnover by C. Zeller (lost ball; steal by E. Gordon),,0-2,,
11:10.0,,,0-2,,E. Gordon misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by Team,,0-2,,
10:47.0,K. Walker makes 2-pt shot from 10 ft,2,2-2,,
10:28.0,,,2-2,,E. Gordon misses 2-pt shot from 19 ft
10:28.0,Defensive rebound by N. Batum,,2-2,,
10:13.0,C. Zeller misses 2-pt shot from 2 ft (block by O. Asik),,2-2,,
10:11.0,,,2-2,,Defensive rebound by O. Asik
10:00.0,,,2-2,,A. Davis misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by C. Zeller,,2-2,,
9:50.0,C. Zeller misses 2-pt shot from 19 ft,,2-2,,
9:49.0,,,2-2,,Defensive rebound by O. Asik
9:35.0,,,2-5,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
9:19.0,N. Batum makes 2-pt shot from 19 ft (assist by C. Zeller),2,4-5,,
9:00.0,,,4-8,3,D. Cunningham makes 3-pt shot from 24 ft (assist by E. Gordon)
8:41.0,N. Batum makes 2-pt shot from 18 ft,2,6-8,,
8:23.0,,,6-8,,Shooting foul by C. Zeller (drawn by O. Asik)
8:23.0,,,6-8,,O. Asik misses free throw 1 of 2
8:23.0,,,6-8,,Offensive rebound by Team
8:23.0,,,6-9,1,O. Asik makes free throw 2 of 2
8:09.0,N. Batum misses 3-pt shot from 24 ft,,6-9,,
8:08.0,,,6-9,,Defensive rebound by D. Cunningham
8:05.0,Personal foul by C. Zeller (drawn by A. Davis),,6-9,,
7:51.0,,,6-12,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
7:31.0,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker),2,8-12,,
7:24.0,,,8-12,,Shooting foul by M. Williams (drawn by A. Davis)
7:24.0,,,8-13,1,A. Davis makes free throw 1 of 2
7:24.0,,,8-14,1,A. Davis makes free throw 2 of 2
7:12.0,M. Williams misses 3-pt shot from 24 ft,,8-14,,
7:11.0,,,8-14,,Defensive rebound by T. Evans
7:08.0,,,8-14,,A. Davis misses 2-pt shot from 2 ft
7:07.0,Defensive rebound by M. Williams,,8-14,,
7:00.0,P. Hairston makes 3-pt shot from 25 ft (assist by M. Williams),3,11-14,,
6:40.0,,,11-14,,T. Evans misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by C. Zeller,,11-14,,
6:35.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,13-14,,
6:35.0,Shooting foul by D. Cunningham (drawn by C. Zeller),,13-14,,
6:35.0,C. Zeller makes free throw 1 of 1,1,14-14,,
6:12.0,,,14-17,3,T. Evans makes 3-pt shot from 24 ft (assist by D. Cunningham)
5:59.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,17-17,,
5:41.0,,,17-17,,D. Cunningham misses 2-pt shot from 20 ft
5:40.0,Defensive rebound by K. Walker,,17-17,,
5:36.0,N. Batum misses 2-pt shot from 1 ft (block by D. Cunningham),,17-17,,
5:35.0,,,17-17,,Defensive rebound by A. Davis
5:23.0,,,17-17,,A. Davis misses 2-pt shot from 10 ft
5:22.0,Defensive rebound by N. Batum,,17-17,,
5:13.0,C. Zeller misses 2-pt shot from 18 ft,,17-17,,
5:12.0,,,17-17,,Defensive rebound by A. Davis
5:00.0,,,17-17,,E. Gordon misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by M. Williams,,17-17,,
4:49.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,20-17,,
4:40.0,,,20-17,,New Orleans full timeout
4:40.0,F. Kaminsky enters the game for P. Hairston,,20-17,,
4:40.0,J. Lin enters the game for C. Zeller,,20-17,,
4:40.0,,,20-17,,J. Holiday enters the game for O. Asik
4:40.0,,,20-17,,R. Anderson enters the game for T. Evans
4:33.0,,,20-19,2,J. Holiday makes 2-pt shot from 1 ft
4:18.0,Turnover by N. Batum (bad pass),,20-19,,
4:03.0,,,20-19,,D. Cunningham misses 2-pt shot from 7 ft
4:02.0,Defensive rebound by K. Walker,,20-19,,
3:54.0,K. Walker makes 3-pt shot from 23 ft,3,23-19,,
3:36.0,,,23-19,,E. Gordon misses 2-pt shot from 2 ft (block by M. Williams)
3:35.0,,,23-19,,Offensive rebound by R. Anderson
3:28.0,,,23-21,2,R. Anderson makes 2-pt shot from 19 ft (assist by J. Holiday)
3:14.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams),3,26-21,,
2:58.0,,,26-23,2,R. Anderson makes 2-pt shot from 18 ft (assist by J. Holiday)
2:42.0,M. Williams makes 2-pt shot from 11 ft,2,28-23,,
2:25.0,,,28-23,,D. Cunningham misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by J. Lin,,28-23,,
2:13.0,K. Walker misses 3-pt shot from 25 ft,,28-23,,
2:13.0,,,28-23,,Defensive rebound by R. Anderson
2:01.0,,,28-25,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis)
1:54.0,Charlotte full timeout,,28-25,,
1:54.0,S. Hawes enters the game for M. Williams,,28-25,,
1:54.0,T. Daniels enters the game for N. Batum,,28-25,,
1:50.0,J. Lin makes 3-pt shot from 25 ft (assist by S. Hawes),3,31-25,,
1:38.0,,,31-27,2,J. Holiday makes 2-pt shot from 15 ft
1:15.0,T. Daniels makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,34-27,,
1:03.0,,,34-27,,R. Anderson misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by J. Lin,,34-27,,
0:53.0,J. Lin misses 2-pt shot from 1 ft,,34-27,,
0:52.0,,,34-27,,Defensive rebound by J. Holiday
0:46.0,,,34-29,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
0:32.0,T. Daniels misses 3-pt shot from 22 ft,,34-29,,
0:32.0,,,34-29,,Defensive rebound by D. Cunningham
0:12.0,,,34-32,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
0:00.0,F. Kaminsky misses 2-pt shot from 18 ft,,34-32,,
0:00.0,Offensive rebound by Team,,34-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by J. Lin (bad pass; steal by A. Gee),,34-32,,
11:40.0,,,34-32,,J. Holiday misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by F. Kaminsky,,34-32,,
11:16.0,F. Kaminsky misses 2-pt shot from 10 ft,,34-32,,
11:16.0,,,34-32,,Defensive rebound by Team
10:55.0,,,34-32,,J. Holiday misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by S. Hawes,,34-32,,
10:45.0,F. Kaminsky makes 2-pt shot from 1 ft,2,36-32,,
10:30.0,,,36-34,2,R. Anderson makes 2-pt shot from 19 ft
10:12.0,,,36-34,,Personal foul by A. Ajinca (drawn by N. Batum)
10:06.0,Turnover by T. Daniels (lost ball),,36-34,,
9:52.0,,,36-37,3,R. Anderson makes 3-pt shot from 24 ft (assist by N. Cole)
9:38.0,N. Batum misses 3-pt shot from 24 ft,,36-37,,
9:38.0,Offensive rebound by Team,,36-37,,
9:38.0,,,36-37,,Loose ball foul by A. Ajinca (drawn by S. Hawes)
9:28.0,S. Hawes makes 2-pt shot from 15 ft (assist by N. Batum),2,38-37,,
9:16.0,,,38-37,,R. Anderson misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by T. Daniels,,38-37,,
9:03.0,Turnover by N. Batum (bad pass; steal by A. Gee),,38-37,,
8:47.0,,,38-39,2,A. Ajinca makes 2-pt shot from 2 ft (assist by J. Holiday)
8:23.0,S. Hawes misses 3-pt shot from 25 ft,,38-39,,
8:22.0,,,38-39,,Defensive rebound by A. Gee
8:04.0,,,38-39,,R. Anderson misses 2-pt shot from 14 ft
8:04.0,Defensive rebound by N. Batum,,38-39,,
7:59.0,Turnover by S. Hawes (offensive foul),,38-39,,
7:59.0,Offensive foul by S. Hawes,,38-39,,
7:59.0,Official timeout,,38-39,,
7:49.0,,,38-39,,Turnover by J. Holiday (bad pass)
7:38.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum),3,41-39,,
7:25.0,,,41-39,,N. Cole misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by F. Kaminsky,,41-39,,
7:15.0,Turnover by F. Kaminsky (lost ball; steal by N. Cole),,41-39,,
7:12.0,,,41-41,2,N. Cole makes 2-pt shot at rim
6:55.0,J. Lin makes 2-pt shot from 2 ft,2,43-41,,
6:47.0,,,43-41,,J. Holiday misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by F. Kaminsky,,43-41,,
6:29.0,J. Lin misses 2-pt shot from 2 ft,,43-41,,
6:28.0,,,43-41,,Defensive rebound by A. Ajinca
6:19.0,,,43-43,2,A. Ajinca makes 2-pt shot from 17 ft (assist by N. Cole)
6:00.0,T. Daniels misses 3-pt shot from 24 ft,,43-43,,
6:00.0,,,43-43,,Defensive rebound by J. Holiday
5:54.0,,,43-46,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
5:43.0,Charlotte full timeout,,43-46,,
5:43.0,,,43-46,,Technical foul by A. Ajinca
5:43.0,Technical foul by S. Hawes,,43-46,,
5:43.0,M. Williams enters the game for N. Batum,,43-46,,
5:43.0,K. Walker enters the game for F. Kaminsky,,43-46,,
5:43.0,P. Hairston enters the game for T. Daniels,,43-46,,
5:43.0,,,43-46,,T. Evans enters the game for J. Holiday
5:43.0,,,43-46,,A. Davis enters the game for A. Ajinca
5:30.0,J. Lin misses 3-pt shot from 24 ft,,43-46,,
5:29.0,,,43-46,,Defensive rebound by N. Cole
5:13.0,,,43-46,,Turnover by A. Davis (offensive foul)
5:13.0,,,43-46,,Offensive foul by A. Davis
4:53.0,M. Williams misses 2-pt shot from 22 ft,,43-46,,
4:52.0,,,43-46,,Defensive rebound by Team
4:38.0,,,43-46,,N. Cole misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by S. Hawes,,43-46,,
4:26.0,J. Lin misses 2-pt shot from 11 ft,,43-46,,
4:26.0,,,43-46,,Defensive rebound by R. Anderson
4:14.0,,,43-46,,A. Davis misses 2-pt shot from 4 ft
4:13.0,Defensive rebound by J. Lin,,43-46,,
4:00.0,S. Hawes misses 2-pt shot from 1 ft,,43-46,,
3:59.0,Offensive rebound by S. Hawes,,43-46,,
3:59.0,S. Hawes makes 2-pt shot from 1 ft,2,45-46,,
3:47.0,Personal foul by S. Hawes (drawn by T. Evans),,45-46,,
3:47.0,,,45-46,,E. Gordon enters the game for N. Cole
3:47.0,N. Batum enters the game for J. Lin,,45-46,,
3:47.0,C. Zeller enters the game for S. Hawes,,45-46,,
3:42.0,Personal foul by M. Williams (drawn by R. Anderson),,45-46,,
3:28.0,,,45-49,3,R. Anderson makes 3-pt shot from 24 ft (assist by A. Davis)
3:11.0,M. Williams misses 3-pt shot from 25 ft,,45-49,,
3:10.0,,,45-49,,Defensive rebound by R. Anderson
2:59.0,,,45-51,2,T. Evans makes 2-pt shot from 2 ft
2:53.0,Charlotte full timeout,,45-51,,
2:53.0,,,45-51,,New Orleans full timeout
2:32.0,N. Batum misses 2-pt shot from 17 ft,,45-51,,
2:32.0,,,45-51,,Defensive rebound by R. Anderson
2:18.0,,,45-51,,E. Gordon misses 3-pt shot from 24 ft
