time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Stoudemire (P. Patterson gains possession),,,,Jump ball: B. Biyombo vs. A. Stoudemire (P. Patterson gains possession)
11:47.0,D. DeRozan misses 2-pt shot from 18 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by L. Deng
11:39.0,,,0-0,,Shooting foul by P. Patterson (drawn by D. Wade)
11:39.0,,,0-1,1,D. Wade makes free throw 1 of 2
11:39.0,,,0-1,,D. Wade misses free throw 2 of 2
11:38.0,Defensive rebound by D. DeRozan,,0-1,,
11:22.0,D. Carroll misses 3-pt shot from 26 ft,,0-1,,
11:21.0,,,0-1,,Defensive rebound by L. Deng
11:12.0,,,0-3,2,A. Stoudemire makes 2-pt shot from 17 ft (assist by G. Dragic)
11:03.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,2-3,,
10:41.0,,,2-3,,L. Deng misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by D. DeRozan,,2-3,,
10:19.0,Turnover by K. Lowry (lost ball; steal by A. Stoudemire),,2-3,,
10:15.0,,,2-5,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Johnson)
9:58.0,K. Lowry misses 3-pt shot from 25 ft,,2-5,,
9:57.0,,,2-5,,Defensive rebound by A. Stoudemire
9:42.0,,,2-5,,G. Dragic misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by B. Biyombo,,2-5,,
9:35.0,D. Carroll misses 2-pt shot from 1 ft,,2-5,,
9:35.0,Offensive rebound by B. Biyombo,,2-5,,
9:29.0,,,2-5,,Personal foul by J. Johnson
9:19.0,D. DeRozan makes 2-pt shot from 17 ft,2,4-5,,
9:19.0,Shooting foul by A. Stoudemire (drawn by D. DeRozan),,4-5,,
9:19.0,D. DeRozan misses free throw 1 of 1,,4-5,,
9:18.0,,,4-5,,Defensive rebound by J. Johnson
9:05.0,,,4-7,2,L. Deng makes 2-pt shot from 2 ft
8:55.0,B. Biyombo makes 2-pt shot at rim,2,6-7,,
8:55.0,Shooting foul by A. Stoudemire (drawn by B. Biyombo),,6-7,,
8:55.0,B. Biyombo makes free throw 1 of 1,1,7-7,,
8:41.0,,,7-7,,Turnover by A. Stoudemire (traveling)
8:23.0,D. DeRozan makes 2-pt shot from 15 ft,2,9-7,,
8:08.0,,,9-7,,J. Johnson misses 2-pt shot from 16 ft
8:07.0,Defensive rebound by Team,,9-7,,
7:57.0,D. DeRozan misses 2-pt shot from 14 ft,,9-7,,
7:56.0,,,9-7,,Defensive rebound by A. Stoudemire
7:44.0,,,9-9,2,D. Wade makes 2-pt shot from 9 ft (assist by G. Dragic)
7:32.0,Turnover by P. Patterson (lost ball; steal by J. Johnson),,9-9,,
7:31.0,Personal foul by D. DeRozan,,9-9,,
7:22.0,,,9-9,,G. Dragic misses 2-pt shot from 19 ft
7:21.0,Defensive rebound by B. Biyombo,,9-9,,
7:00.0,K. Lowry misses 2-pt shot from 9 ft,,9-9,,
6:59.0,,,9-9,,Defensive rebound by L. Deng
6:56.0,,,9-9,,Shooting foul by K. Lowry (drawn by G. Dragic)
