time,Portland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: I. Mahinmi vs. M. Plumlee (N. Vonleh gains possession)
11:42.0,N. Vonleh makes 2-pt shot from 4 ft,2,2-0,,
11:18.0,,,2-0,,M. Turner misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by A. Aminu,,2-0,,
11:01.0,D. Lillard makes 2-pt shot from 12 ft,2,4-0,,
10:51.0,Personal foul by A. Aminu (drawn by M. Turner),,4-0,,
10:42.0,,,4-2,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
10:15.0,Turnover by N. Vonleh (lost ball; steal by P. George),,4-2,,
10:09.0,,,4-2,,M. Turner misses 2-pt shot at rim
10:09.0,Defensive rebound by A. Aminu,,4-2,,
10:03.0,C. McCollum misses 2-pt shot from 16 ft (block by M. Ellis),,4-2,,
10:02.0,Offensive rebound by C. McCollum,,4-2,,
9:53.0,Shooting foul by I. Mahinmi (drawn by M. Plumlee),,4-2,,
9:53.0,M. Plumlee misses free throw 1 of 2,,4-2,,
9:53.0,Offensive rebound by Team,,4-2,,
9:53.0,M. Plumlee makes free throw 2 of 2,1,5-2,,
9:30.0,,,5-2,,P. George misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by N. Vonleh,,5-2,,
9:19.0,Turnover by N. Vonleh (lost ball),,5-2,,
9:07.0,,,5-4,2,M. Ellis makes 2-pt shot from 20 ft
8:50.0,D. Lillard makes 2-pt shot from 16 ft,2,7-4,,
8:38.0,,,7-4,,I. Mahinmi misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by M. Plumlee,,7-4,,
8:29.0,C. McCollum misses 3-pt shot from 24 ft,,7-4,,
8:27.0,Offensive rebound by M. Plumlee,,7-4,,
8:23.0,Turnover by D. Lillard (traveling),,7-4,,
8:10.0,,,7-6,2,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill)
7:57.0,C. McCollum makes 2-pt shot from 8 ft,2,9-6,,
7:38.0,,,9-8,2,I. Mahinmi makes 2-pt shot from 6 ft
7:24.0,D. Lillard misses 2-pt shot from 6 ft,,9-8,,
7:23.0,Offensive rebound by A. Aminu,,9-8,,
7:19.0,N. Vonleh misses 2-pt shot from 18 ft,,9-8,,
7:18.0,,,9-8,,Defensive rebound by P. George
7:04.0,,,9-8,,P. George misses 3-pt shot from 23 ft
7:03.0,,,9-8,,Offensive rebound by P. George
6:52.0,,,9-10,2,P. George makes 2-pt shot from 17 ft (assist by G. Hill)
6:39.0,Shooting foul by G. Hill (drawn by D. Lillard),,9-10,,
6:39.0,D. Lillard makes free throw 1 of 2,1,10-10,,
6:39.0,D. Lillard makes free throw 2 of 2,1,11-10,,
6:20.0,,,11-12,2,M. Ellis makes 2-pt shot from 19 ft
6:04.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,14-12,,
6:02.0,,,14-12,,Indiana full timeout
5:48.0,,,14-14,2,M. Ellis makes 2-pt shot from 2 ft (assist by I. Mahinmi)
5:31.0,Shooting foul by M. Ellis (drawn by C. McCollum),,14-14,,
5:31.0,C. McCollum makes free throw 1 of 2,1,15-14,,
5:31.0,C. McCollum makes free throw 2 of 2,1,16-14,,
5:11.0,,,16-14,,P. George misses 2-pt shot from 8 ft (block by M. Plumlee)
5:10.0,Defensive rebound by D. Lillard,,16-14,,
5:00.0,M. Plumlee misses 2-pt shot at rim,,16-14,,
4:59.0,Offensive rebound by M. Plumlee,,16-14,,
4:59.0,M. Plumlee misses 2-pt shot at rim,,16-14,,
4:57.0,,,16-14,,Defensive rebound by G. Hill
