time,Sacramento,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Johnson (M. Belinelli gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Johnson (M. Belinelli gains possession)
11:43.0,M. Belinelli makes 2-pt shot from 17 ft (assist by D. Cousins),2,2-0,,
11:28.0,,,2-0,,J. Crowder misses 2-pt shot from 7 ft
11:27.0,Defensive rebound by D. Cousins,,2-0,,
11:23.0,,,2-0,,Personal foul by I. Thomas (drawn by R. Rondo)
11:18.0,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo),2,4-0,,
11:05.0,,,4-2,2,I. Thomas makes 2-pt shot from 10 ft
11:05.0,Shooting block foul by W. Cauley-Stein (drawn by I. Thomas),,4-2,,
11:05.0,,,4-3,1,I. Thomas makes free throw 1 of 1
10:46.0,Turnover by D. Cousins (bad pass; steal by A. Johnson),,4-3,,
10:40.0,,,4-6,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas)
10:34.0,Turnover by D. Cousins (bad pass; steal by J. Sullinger),,4-6,,
10:28.0,,,4-6,,I. Thomas misses 3-pt shot from 25 ft
10:27.0,,,4-6,,Offensive rebound by A. Johnson
10:23.0,,,4-9,3,A. Bradley makes 3-pt shot from 23 ft (assist by A. Johnson)
10:08.0,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo),2,6-9,,
9:59.0,,,6-11,2,J. Sullinger makes 2-pt shot from 18 ft (assist by I. Thomas)
9:49.0,D. Cousins misses 2-pt shot from 16 ft,,6-11,,
9:49.0,,,6-11,,Defensive rebound by I. Thomas
9:40.0,,,6-13,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
9:23.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,6-13,,
9:22.0,,,6-13,,Defensive rebound by J. Sullinger
9:14.0,,,6-13,,I. Thomas misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by D. Cousins,,6-13,,
9:01.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Cousins),2,8-13,,
8:49.0,Personal foul by M. Belinelli (drawn by J. Crowder),,8-13,,
8:39.0,,,8-15,2,J. Crowder makes 2-pt shot from 6 ft (assist by A. Johnson)
8:29.0,R. Rondo makes 2-pt shot from 2 ft,2,10-15,,
8:21.0,,,10-15,,A. Bradley misses 3-pt shot from 23 ft
8:20.0,,,10-15,,Offensive rebound by A. Johnson
8:18.0,,,10-15,,Shooting foul by W. Cauley-Stein (drawn by A. Bradley)
8:18.0,,,10-16,1,A. Bradley makes free throw 1 of 2
8:18.0,K. Koufos enters the game for W. Cauley-Stein,,10-16,,
8:18.0,,,10-16,,A. Bradley misses free throw 2 of 2
8:18.0,Defensive rebound by J. Anderson,,10-16,,
8:05.0,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo),3,13-16,,
7:51.0,,,13-16,,J. Crowder misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by K. Koufos,,13-16,,
7:39.0,Turnover by J. Anderson (traveling),,13-16,,
7:30.0,,,13-18,2,J. Sullinger makes 2-pt shot from 21 ft (assist by A. Johnson)
7:20.0,D. Cousins misses 2-pt shot from 2 ft,,13-18,,
7:19.0,,,13-18,,Defensive rebound by A. Johnson
7:13.0,,,13-18,,I. Thomas misses 2-pt shot from 1 ft (block by J. Anderson)
7:12.0,,,13-18,,Offensive rebound by A. Johnson
7:10.0,,,13-21,3,J. Sullinger makes 3-pt shot from 24 ft (assist by A. Johnson)
7:01.0,D. Cousins misses 2-pt shot from 1 ft,,13-21,,
7:01.0,,,13-21,,Defensive rebound by A. Johnson
6:53.0,,,13-24,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas)
6:52.0,Sacramento full timeout,,13-24,,
6:38.0,D. Cousins misses 2-pt shot from 1 ft,,13-24,,
6:38.0,,,13-24,,Defensive rebound by J. Sullinger
6:31.0,Technical foul by D. Cousins,,13-24,,
6:31.0,,,13-24,,I. Thomas misses technical free throw
6:31.0,,,13-24,,Offensive rebound by Team
6:22.0,,,13-24,,Turnover by A. Johnson (bad pass; steal by R. Rondo)
6:15.0,M. Belinelli misses 3-pt shot from 24 ft,,13-24,,
6:14.0,,,13-24,,Defensive rebound by A. Johnson
6:04.0,,,13-26,2,J. Sullinger makes 2-pt shot from 2 ft (assist by I. Thomas)
5:58.0,Shooting foul by J. Sullinger (drawn by D. Cousins),,13-26,,
5:58.0,D. Cousins makes free throw 1 of 2,1,14-26,,
5:58.0,O. Casspi enters the game for J. Anderson,,14-26,,
5:58.0,D. Cousins makes free throw 2 of 2,1,15-26,,
5:47.0,,,15-26,,J. Sullinger misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by M. Belinelli,,15-26,,
5:40.0,,,15-26,,M. Smart enters the game for A. Bradley
5:40.0,,,15-26,,E. Turner enters the game for J. Sullinger
5:27.0,R. Rondo makes 3-pt shot from 24 ft (assist by O. Casspi),3,18-26,,
5:15.0,,,18-28,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
5:04.0,D. Cousins misses 2-pt shot from 1 ft,,18-28,,
5:03.0,,,18-28,,Defensive rebound by I. Thomas
5:00.0,,,18-30,2,I. Thomas makes 2-pt shot from 1 ft
5:00.0,,,18-30,,Shooting foul by R. Rondo (drawn by I. Thomas)
5:00.0,,,18-31,1,I. Thomas makes free throw 1 of 1
4:46.0,Turnover by D. Cousins (lost ball; steal by J. Crowder),,18-31,,
4:44.0,,,18-31,,Turnover by J. Crowder (bad pass; steal by R. Rondo)
4:36.0,Turnover by M. Belinelli (bad pass; steal by A. Johnson),,18-31,,
4:31.0,,,18-31,,I. Thomas misses 2-pt shot from 16 ft
4:30.0,,,18-31,,Offensive rebound by I. Thomas
4:26.0,,,18-34,3,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas)
4:07.0,,,18-34,,Shooting block foul by J. Crowder (drawn by K. Koufos)
4:07.0,K. Koufos misses free throw 1 of 2,,18-34,,
4:07.0,Offensive rebound by Team,,18-34,,
4:07.0,D. Collison enters the game for D. Cousins,,18-34,,
4:07.0,K. Koufos makes free throw 2 of 2,1,19-34,,
3:53.0,,,19-34,,I. Thomas misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by M. Belinelli,,19-34,,
3:43.0,R. Rondo makes 2-pt shot from 1 ft,2,21-34,,
3:30.0,,,21-34,,J. Crowder misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by R. Rondo,,21-34,,
3:18.0,Turnover by D. Collison (bad pass; steal by J. Crowder),,21-34,,
3:15.0,,,21-36,2,J. Crowder makes 2-pt shot at rim
2:59.0,Shooting foul by I. Thomas (drawn by R. Rondo),,21-36,,
2:59.0,,,21-36,,Boston full timeout
2:59.0,,,21-36,,K. Olynyk enters the game for I. Thomas
2:59.0,R. Rondo misses free throw 1 of 2,,21-36,,
2:59.0,Offensive rebound by Team,,21-36,,
2:59.0,R. Rondo makes free throw 2 of 2,1,22-36,,
2:39.0,,,22-36,,A. Johnson misses 2-pt shot at rim
2:38.0,,,22-36,,Offensive rebound by A. Johnson
2:37.0,,,22-38,2,A. Johnson makes 2-pt shot at rim
2:24.0,O. Casspi makes 2-pt shot from 2 ft (assist by K. Koufos),2,24-38,,
2:16.0,,,24-38,,M. Smart misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by R. Rondo,,24-38,,
2:10.0,R. Rondo misses 2-pt shot from 2 ft,,24-38,,
2:09.0,Offensive rebound by Team,,24-38,,
2:09.0,,,24-38,,Loose ball foul by A. Johnson (drawn by K. Koufos)
2:09.0,K. Koufos makes free throw 1 of 2,1,25-38,,
2:09.0,,,25-38,,J. Jerebko enters the game for A. Johnson
2:09.0,K. Koufos makes free throw 2 of 2,1,26-38,,
1:59.0,,,26-38,,Turnover by M. Smart (bad pass; steal by R. Rondo)
1:45.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Rondo),2,28-38,,
1:33.0,,,28-40,2,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner)
1:20.0,K. Koufos makes 2-pt shot at rim (assist by R. Rondo),2,30-40,,
1:05.0,,,30-40,,Turnover by K. Olynyk (lost ball; steal by K. Koufos)
1:01.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,32-40,,
0:45.0,,,32-43,3,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart)
0:31.0,O. Casspi makes 2-pt shot from 3 ft,2,34-43,,
0:23.0,,,34-46,3,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner)
0:01.0,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Koufos),3,37-46,,
0:00.0,,,37-46,,M. Smart misses 3-pt shot from 63 ft
0:00.0,,,37-46,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,37-46,,Turnover by K. Olynyk (bad pass; steal by O. Casspi)
11:39.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison),2,39-46,,
11:15.0,,,39-49,3,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner)
10:58.0,O. Casspi misses 3-pt shot from 25 ft,,39-49,,
10:57.0,,,39-49,,Defensive rebound by M. Smart
10:51.0,,,39-49,,T. Zeller misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
10:50.0,,,39-49,,Offensive rebound by J. Jerebko
10:41.0,,,39-49,,M. Smart misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by K. Koufos,,39-49,,
10:34.0,D. Collison misses 2-pt shot from 16 ft,,39-49,,
10:33.0,,,39-49,,Defensive rebound by E. Turner
10:22.0,,,39-49,,E. Turner misses 2-pt shot from 12 ft
10:21.0,,,39-49,,Offensive rebound by Team
10:21.0,,,39-49,,A. Bradley enters the game for J. Jerebko
10:15.0,,,39-51,2,A. Bradley makes 2-pt shot from 15 ft (assist by E. Turner)
10:11.0,,,39-51,,Shooting block foul by M. Smart (drawn by D. Collison)
10:11.0,D. Collison makes free throw 1 of 2,1,40-51,,
10:11.0,D. Collison makes free throw 2 of 2,1,41-51,,
9:59.0,,,41-53,2,E. Turner makes 2-pt shot from 2 ft
9:34.0,O. Casspi misses 2-pt shot from 10 ft,,41-53,,
9:33.0,,,41-53,,Defensive rebound by K. Olynyk
9:26.0,,,41-55,2,E. Turner makes 2-pt shot from 1 ft
9:08.0,D. Collison makes 2-pt shot from 1 ft,2,43-55,,
8:44.0,,,43-55,,Turnover by A. Bradley (traveling)
8:44.0,Official timeout,,43-55,,
8:44.0,D. Cousins enters the game for K. Koufos,,43-55,,
8:27.0,J. Anderson misses 2-pt shot from 11 ft,,43-55,,
8:26.0,Offensive rebound by W. Cauley-Stein,,43-55,,
8:25.0,W. Cauley-Stein makes 2-pt shot at rim,2,45-55,,
8:08.0,,,45-55,,A. Bradley misses 2-pt shot from 21 ft
8:07.0,,,45-55,,Offensive rebound by K. Olynyk
8:00.0,,,45-55,,K. Olynyk misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by D. Cousins,,45-55,,
7:47.0,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by D. Cousins),2,47-55,,
7:33.0,,,47-57,2,E. Turner makes 2-pt shot from 15 ft (assist by T. Zeller)
7:15.0,D. Collison misses 2-pt shot from 2 ft,,47-57,,
7:14.0,,,47-57,,Defensive rebound by E. Turner
7:11.0,Personal foul by W. Cauley-Stein (drawn by E. Turner),,47-57,,
7:11.0,R. Rondo enters the game for O. Casspi,,47-57,,
7:11.0,Q. Acy enters the game for W. Cauley-Stein,,47-57,,
7:02.0,,,47-59,2,T. Zeller makes 2-pt shot from 2 ft
6:48.0,,,47-59,,Personal foul by T. Zeller (drawn by Q. Acy)
6:35.0,D. Cousins misses 2-pt shot from 18 ft,,47-59,,
6:34.0,,,47-59,,Defensive rebound by T. Zeller
6:26.0,,,47-59,,Turnover by E. Turner (bad pass; steal by R. Rondo)
6:13.0,D. Cousins makes 2-pt shot from 7 ft,2,49-59,,
5:54.0,,,49-59,,Offensive foul by E. Turner
5:54.0,,,49-59,,Turnover by E. Turner (offensive foul)
5:54.0,,,49-59,,Boston full timeout
5:54.0,M. Belinelli enters the game for J. Anderson,,49-59,,
5:54.0,,,49-59,,J. Sullinger enters the game for K. Olynyk
5:36.0,M. Belinelli misses 3-pt shot from 24 ft,,49-59,,
5:34.0,Offensive rebound by Q. Acy,,49-59,,
5:24.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison),2,51-59,,
5:11.0,,,51-61,2,T. Zeller makes 2-pt shot from 18 ft (assist by M. Smart)
4:57.0,D. Cousins misses 3-pt shot from 24 ft,,51-61,,
4:56.0,,,51-61,,Defensive rebound by T. Zeller
4:42.0,,,51-61,,Turnover by T. Zeller (lost ball)
4:42.0,,,51-61,,I. Thomas enters the game for E. Turner
4:29.0,R. Rondo misses 2-pt shot from 2 ft,,51-61,,
4:29.0,,,51-61,,Defensive rebound by T. Zeller
4:17.0,,,51-63,2,T. Zeller makes 2-pt shot from 1 ft (assist by A. Bradley)
3:58.0,D. Collison misses 3-pt shot from 22 ft,,51-63,,
3:57.0,,,51-63,,Defensive rebound by Team
3:57.0,Loose ball foul by D. Cousins (drawn by J. Sullinger),,51-63,,
3:57.0,S. Curry enters the game for D. Collison,,51-63,,
3:57.0,O. Casspi enters the game for Q. Acy,,51-63,,
3:38.0,,,51-66,3,A. Bradley makes 3-pt shot from 24 ft
3:24.0,M. Belinelli misses 2-pt shot from 16 ft,,51-66,,
3:23.0,,,51-66,,Defensive rebound by T. Zeller
3:16.0,,,51-68,2,J. Sullinger makes 2-pt shot from 1 ft (assist by M. Smart)
2:58.0,Shooting foul by T. Zeller (drawn by D. Cousins),,51-68,,
2:58.0,Sacramento full timeout,,51-68,,
2:58.0,,,51-68,,A. Johnson enters the game for M. Smart
2:58.0,,,51-68,,J. Crowder enters the game for T. Zeller
2:58.0,D. Cousins makes free throw 1 of 2,1,52-68,,
2:58.0,D. Cousins makes free throw 2 of 2,1,53-68,,
2:41.0,,,53-68,,A. Bradley misses 2-pt shot from 18 ft (block by S. Curry)
2:40.0,Defensive rebound by D. Cousins,,53-68,,
2:32.0,M. Belinelli misses 3-pt shot from 24 ft,,53-68,,
2:31.0,,,53-68,,Defensive rebound by A. Bradley
2:21.0,,,53-68,,A. Bradley misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by D. Cousins,,53-68,,
2:17.0,Turnover by D. Cousins (lost ball; steal by J. Sullinger),,53-68,,
2:15.0,,,53-68,,Turnover by A. Johnson (bad pass; steal by R. Rondo)
2:10.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo),2,55-68,,
1:56.0,,,55-68,,I. Thomas misses 2-pt shot from 17 ft
1:55.0,Defensive rebound by Team,,55-68,,
1:55.0,,,55-68,,Loose ball foul by J. Sullinger (drawn by D. Cousins)
1:31.0,O. Casspi misses 3-pt shot from 26 ft,,55-68,,
1:30.0,,,55-68,,Defensive rebound by A. Bradley
1:19.0,,,55-70,2,J. Sullinger makes 2-pt shot from 6 ft
1:00.0,O. Casspi misses 2-pt shot from 1 ft,,55-70,,
0:59.0,,,55-70,,Defensive rebound by J. Sullinger
0:50.0,,,55-70,,I. Thomas misses 2-pt shot from 7 ft
0:49.0,,,55-70,,Offensive rebound by A. Johnson
0:49.0,,,55-70,,A. Johnson misses 2-pt shot from 1 ft
0:48.0,,,55-70,,Offensive rebound by J. Sullinger
0:47.0,,,55-72,2,J. Sullinger makes 2-pt shot from 2 ft
0:41.0,S. Curry makes 3-pt shot from 23 ft,3,58-72,,
0:30.0,,,58-74,2,J. Sullinger makes 2-pt shot from 12 ft (assist by I. Thomas)
0:23.0,Turnover by D. Cousins (lost ball; steal by J. Sullinger),,58-74,,
0:02.0,Personal foul by S. Curry (drawn by J. Sullinger),,58-74,,
0:02.0,,,58-74,,Boston full timeout
0:02.0,J. Anderson enters the game for D. Cousins,,58-74,,
0:02.0,W. Cauley-Stein enters the game for O. Casspi,,58-74,,
0:02.0,,,58-74,,Turnover by J. Sullinger (bad pass; steal by S. Curry)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,58-74,,Turnover by I. Thomas (bad pass)
11:36.0,D. Cousins misses 2-pt shot from 18 ft,,58-74,,
11:36.0,,,58-74,,Defensive rebound by J. Crowder
11:24.0,,,58-74,,J. Sullinger misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by D. Cousins,,58-74,,
11:05.0,M. Belinelli misses 2-pt shot from 6 ft,,58-74,,
11:04.0,,,58-74,,Defensive rebound by A. Johnson
10:54.0,,,58-76,2,I. Thomas makes 2-pt shot from 2 ft
10:43.0,R. Rondo misses 2-pt shot from 2 ft,,58-76,,
10:42.0,Offensive rebound by Team,,58-76,,
10:41.0,Shooting foul by J. Sullinger (drawn by D. Cousins),,58-76,,
10:41.0,D. Cousins makes free throw 1 of 2,1,59-76,,
10:41.0,D. Cousins makes free throw 2 of 2,1,60-76,,
10:31.0,Personal foul by D. Cousins (drawn by J. Sullinger),,60-76,,
10:25.0,,,60-76,,J. Sullinger misses 2-pt shot from 18 ft
10:24.0,,,60-76,,Offensive rebound by A. Bradley
10:17.0,,,60-78,2,A. Johnson makes 2-pt shot from 6 ft (assist by A. Bradley)
10:07.0,Turnover by R. Rondo (bad pass),,60-78,,
