time,Toronto,pts.away,score,pts.home,Atlanta
5:46.0,,,13-17,,T. Hardaway enters the game for K. Korver
5:46.0,B. Biyombo enters the game for J. Valanciunas,,13-17,,
5:46.0,P. Patterson enters the game for L. Scola,,13-17,,
5:40.0,K. Lowry misses 3-pt shot from 25 ft (block by J. Teague),,13-17,,
5:40.0,,,13-17,,Defensive rebound by Team
5:28.0,,,13-17,,P. Millsap misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by B. Biyombo,,13-17,,
5:17.0,B. Biyombo misses 2-pt shot at rim (block by P. Millsap),,13-17,,
5:15.0,,,13-17,,Defensive rebound by P. Millsap
5:11.0,,,13-19,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague)
4:56.0,Turnover by B. Biyombo (lost ball; steal by P. Millsap),,13-19,,
4:54.0,,,13-21,2,P. Millsap makes 2-pt shot at rim
4:54.0,Toronto full timeout,,13-21,,
4:54.0,,,13-21,,D. Schroder enters the game for A. Horford
4:54.0,,,13-21,,K. Humphries enters the game for J. Teague
4:35.0,P. Patterson misses 2-pt shot from 10 ft,,13-21,,
4:34.0,,,13-21,,Defensive rebound by P. Millsap
4:17.0,,,13-21,,Turnover by D. Schroder (lost ball; steal by P. Patterson)
4:10.0,K. Lowry misses 3-pt shot from 23 ft,,13-21,,
4:07.0,,,13-21,,Defensive rebound by P. Millsap
3:53.0,,,13-21,,D. Schroder misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by P. Patterson,,13-21,,
3:43.0,Turnover by K. Lowry (bad pass),,13-21,,
3:31.0,,,13-21,,T. Hardaway misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by P. Patterson,,13-21,,
3:18.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,15-21,,
3:12.0,,,15-21,,Atlanta full timeout
3:12.0,T. Ross enters the game for N. Powell,,15-21,,
3:12.0,C. Joseph enters the game for K. Lowry,,15-21,,
3:12.0,,,15-21,,K. Korver enters the game for T. Sefolosha
2:55.0,,,15-21,,K. Humphries misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by T. Ross,,15-21,,
2:37.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,18-21,,
2:25.0,,,18-23,2,P. Millsap makes 2-pt shot from 6 ft
2:08.0,D. DeRozan misses 2-pt shot from 18 ft,,18-23,,
2:05.0,,,18-23,,Defensive rebound by P. Millsap
2:00.0,,,18-26,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
1:40.0,D. DeRozan misses 2-pt shot from 1 ft (block by K. Korver),,18-26,,
1:40.0,Offensive rebound by Team,,18-26,,
1:40.0,,,18-26,,M. Scott enters the game for K. Humphries
1:40.0,,,18-26,,A. Horford enters the game for P. Millsap
1:30.0,C. Joseph makes 2-pt shot from 19 ft (assist by P. Patterson),2,20-26,,
1:17.0,,,20-28,2,M. Scott makes 2-pt shot from 11 ft (assist by D. Schroder)
1:00.0,D. DeRozan misses 2-pt shot from 10 ft (block by K. Korver),,20-28,,
0:59.0,,,20-28,,Defensive rebound by D. Schroder
0:55.0,,,20-28,,D. Schroder misses 3-pt shot from 22 ft
0:52.0,,,20-28,,Offensive rebound by M. Scott
0:34.0,,,20-28,,M. Scott misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by T. Ross,,20-28,,
0:09.0,Turnover by Team (shot clock),,20-28,,
0:06.0,Personal take foul by D. DeRozan,,20-28,,
0:01.0,,,20-28,,D. Schroder misses 2-pt shot from 3 ft (block by C. Joseph)
0:00.0,Defensive rebound by B. Biyombo,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,T. Ross misses 3-pt shot from 24 ft,,20-28,,
11:40.0,,,20-28,,Defensive rebound by M. Scott
11:20.0,,,20-31,3,M. Scott makes 3-pt shot from 24 ft (assist by A. Horford)
11:02.0,C. Joseph makes 2-pt shot from 17 ft,2,22-31,,
10:42.0,,,22-31,,Turnover by D. Schroder (lost ball; steal by D. Carroll)
10:40.0,,,22-31,,Personal foul by D. Schroder
10:40.0,,,22-31,,J. Teague enters the game for D. Schroder
10:24.0,B. Biyombo makes 2-pt shot at rim (assist by T. Ross),2,24-31,,
10:13.0,,,24-31,,J. Teague misses 2-pt shot from 1 ft (block by P. Patterson)
10:13.0,,,24-31,,Offensive rebound by Team
10:13.0,,,24-31,,K. Hinrich enters the game for T. Hardaway
10:00.0,Violation by B. Biyombo (def goaltending),,24-31,,
10:00.0,,,24-33,2,M. Scott makes 2-pt shot from 4 ft
9:41.0,T. Ross misses 2-pt shot from 17 ft,,24-33,,
9:39.0,Offensive rebound by Team,,24-33,,
9:39.0,,,24-33,,Loose ball foul by A. Horford
9:39.0,J. Valanciunas enters the game for B. Biyombo,,24-33,,
9:31.0,C. Joseph misses 2-pt shot from 18 ft,,24-33,,
9:29.0,,,24-33,,Defensive rebound by M. Scott
9:29.0,,,24-33,,Offensive foul by A. Horford
9:29.0,,,24-33,,Turnover by A. Horford (offensive foul)
9:08.0,D. Carroll misses 2-pt shot from 2 ft,,24-33,,
9:06.0,,,24-33,,Defensive rebound by A. Horford
9:00.0,,,24-33,,J. Teague misses 2-pt shot from 1 ft
8:58.0,,,24-33,,Offensive rebound by M. Scott
8:55.0,,,24-33,,K. Korver misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by T. Ross,,24-33,,
8:47.0,Turnover by T. Ross (lost ball; steal by A. Horford),,24-33,,
8:40.0,,,24-35,2,M. Scott makes 2-pt shot from 1 ft (assist by A. Horford)
8:37.0,,,24-35,,Personal foul by J. Teague
8:37.0,Official timeout,,24-35,,
8:37.0,,,24-35,,P. Millsap enters the game for A. Horford
8:37.0,,,24-35,,T. Sefolosha enters the game for J. Teague
8:37.0,N. Powell enters the game for T. Ross,,24-35,,
8:26.0,N. Powell misses 3-pt shot from 25 ft,,24-35,,
8:21.0,,,24-35,,Defensive rebound by K. Korver
8:07.0,,,24-35,,K. Hinrich misses 2-pt shot from 11 ft
8:05.0,Defensive rebound by J. Valanciunas,,24-35,,
7:51.0,N. Powell misses 2-pt shot from 1 ft (block by P. Millsap),,24-35,,
7:48.0,,,24-35,,Defensive rebound by M. Scott
7:44.0,,,24-37,2,T. Sefolosha makes 2-pt shot at rim (assist by M. Scott)
7:40.0,K. Lowry enters the game for C. Joseph,,24-37,,
7:21.0,J. Valanciunas misses 2-pt shot from 1 ft,,24-37,,
7:20.0,Offensive rebound by J. Valanciunas,,24-37,,
7:20.0,Shooting foul by K. Korver (drawn by J. Valanciunas),,24-37,,
7:20.0,J. Valanciunas makes free throw 1 of 2,1,25-37,,
7:20.0,,,25-37,,J. Teague enters the game for T. Sefolosha
7:20.0,J. Valanciunas makes free throw 2 of 2,1,26-37,,
7:00.0,,,26-37,,M. Scott misses 2-pt shot from 17 ft
6:58.0,Defensive rebound by D. Carroll,,26-37,,
6:44.0,Turnover by K. Lowry (step out of bounds),,26-37,,
6:32.0,,,26-37,,P. Millsap misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by P. Patterson,,26-37,,
6:20.0,K. Lowry makes 2-pt shot from 10 ft,2,28-37,,
6:04.0,,,28-37,,Turnover by P. Millsap (lost ball; steal by D. Carroll)
5:56.0,D. Carroll misses 2-pt shot from 1 ft,,28-37,,
5:54.0,,,28-37,,Defensive rebound by P. Millsap
5:35.0,,,28-37,,P. Millsap misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by N. Powell,,28-37,,
5:28.0,Toronto full timeout,,28-37,,
5:28.0,,,28-37,,T. Hardaway enters the game for K. Korver
5:28.0,,,28-37,,T. Sefolosha enters the game for M. Scott
5:28.0,,,28-37,,A. Horford enters the game for K. Hinrich
5:28.0,D. DeRozan enters the game for D. Carroll,,28-37,,
5:16.0,Turnover by P. Patterson (bad pass),,28-37,,
5:02.0,,,28-40,3,T. Hardaway makes 3-pt shot from 25 ft (assist by A. Horford)
4:49.0,K. Lowry makes 2-pt shot at rim,2,30-40,,
4:33.0,,,30-40,,Turnover by J. Teague (lost ball; steal by K. Lowry)
4:24.0,K. Lowry makes 3-pt shot from 23 ft (assist by N. Powell),3,33-40,,
4:16.0,,,33-40,,Shooting foul by K. Lowry (drawn by J. Teague)
4:16.0,,,33-41,1,J. Teague makes free throw 1 of 2
4:16.0,,,33-42,1,J. Teague makes free throw 2 of 2
3:55.0,,,33-42,,Personal foul by P. Millsap
3:55.0,K. Lowry misses free throw 1 of 2,,33-42,,
3:55.0,Offensive rebound by Team,,33-42,,
3:55.0,K. Lowry makes free throw 2 of 2,1,34-42,,
3:42.0,,,34-42,,A. Horford misses 2-pt shot from 19 ft
3:41.0,Defensive rebound by J. Valanciunas,,34-42,,
3:25.0,D. DeRozan misses 2-pt shot from 8 ft,,34-42,,
3:24.0,,,34-42,,Defensive rebound by T. Sefolosha
3:19.0,,,34-44,2,J. Teague makes 2-pt shot at rim
3:01.0,Shooting foul by T. Hardaway (drawn by K. Lowry),,34-44,,
3:01.0,K. Lowry misses free throw 1 of 3,,34-44,,
3:01.0,Offensive rebound by Team,,34-44,,
3:01.0,K. Lowry misses free throw 2 of 3,,34-44,,
3:01.0,Offensive rebound by Team,,34-44,,
3:01.0,J. Thompson enters the game for P. Patterson,,34-44,,
3:01.0,B. Biyombo enters the game for J. Valanciunas,,34-44,,
3:01.0,,,34-44,,D. Schroder enters the game for J. Teague
3:01.0,K. Lowry makes free throw 3 of 3,1,35-44,,
2:53.0,,,35-44,,Turnover by P. Millsap (bad pass)
2:53.0,,,35-44,,Atlanta full timeout
2:53.0,T. Ross enters the game for N. Powell,,35-44,,
2:39.0,D. DeRozan makes 2-pt shot from 15 ft,2,37-44,,
2:19.0,,,37-46,2,T. Hardaway makes 2-pt shot at rim (assist by A. Horford)
1:52.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,40-46,,
1:39.0,,,40-46,,T. Sefolosha misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by B. Biyombo,,40-46,,
1:25.0,B. Biyombo misses 2-pt shot at rim,,40-46,,
1:24.0,,,40-46,,Defensive rebound by P. Millsap
1:20.0,,,40-46,,Shooting foul by K. Lowry (drawn by T. Sefolosha)
1:20.0,,,40-46,,T. Sefolosha misses free throw 1 of 2
1:20.0,,,40-46,,Offensive rebound by Team
1:20.0,,,40-46,,K. Korver enters the game for D. Schroder
1:20.0,C. Joseph enters the game for K. Lowry,,40-46,,
1:20.0,,,40-47,1,T. Sefolosha makes free throw 2 of 2
1:03.0,T. Ross makes 3-pt shot from 24 ft (assist by B. Biyombo),3,43-47,,
0:43.0,,,43-47,,K. Korver misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by C. Joseph,,43-47,,
0:34.0,D. DeRozan misses 2-pt shot from 19 ft,,43-47,,
0:31.0,,,43-47,,Defensive rebound by A. Horford
0:27.0,,,43-47,,Atlanta full timeout
0:27.0,,,43-47,,J. Teague enters the game for T. Hardaway
0:18.0,,,43-47,,K. Korver misses 2-pt shot from 19 ft
0:15.0,Defensive rebound by D. DeRozan,,43-47,,
0:01.0,D. DeRozan misses 2-pt shot from 18 ft,,43-47,,
0:00.0,Offensive rebound by Team,,43-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,Turnover by D. DeRozan (lost ball),,43-47,,
11:33.0,,,43-49,2,J. Teague makes 2-pt shot from 1 ft
11:12.0,J. Valanciunas misses 2-pt shot from 3 ft,,43-49,,
11:11.0,,,43-49,,Defensive rebound by K. Korver
10:56.0,,,43-49,,A. Horford misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by D. DeRozan,,43-49,,
10:42.0,D. DeRozan misses 2-pt shot from 16 ft,,43-49,,
10:40.0,,,43-49,,Defensive rebound by K. Korver
10:23.0,,,43-52,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague)
9:57.0,L. Scola misses 3-pt shot from 24 ft,,43-52,,
9:55.0,,,43-52,,Defensive rebound by A. Horford
9:42.0,,,43-55,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Korver)
9:40.0,Toronto full timeout,,43-55,,
9:22.0,Shooting foul by A. Horford (drawn by J. Valanciunas),,43-55,,
9:22.0,J. Valanciunas makes free throw 1 of 2,1,44-55,,
9:22.0,J. Valanciunas makes free throw 2 of 2,1,45-55,,
9:15.0,,,45-55,,Turnover by K. Korver (bad pass)
8:56.0,D. DeRozan misses 3-pt shot from 23 ft,,45-55,,
8:55.0,Offensive rebound by J. Valanciunas,,45-55,,
8:52.0,J. Valanciunas makes 2-pt shot from 1 ft,2,47-55,,
8:44.0,,,47-55,,Shooting foul by J. Valanciunas (drawn by A. Horford)
8:44.0,,,47-56,1,A. Horford makes free throw 1 of 2
8:44.0,,,47-57,1,A. Horford makes free throw 2 of 2
8:30.0,D. DeRozan makes 2-pt shot from 18 ft,2,49-57,,
8:12.0,,,49-57,,A. Horford misses 2-pt shot from 4 ft (block by J. Valanciunas)
8:10.0,Defensive rebound by N. Powell,,49-57,,
8:06.0,K. Lowry misses 2-pt shot at rim (block by P. Millsap),,49-57,,
8:04.0,,,49-57,,Defensive rebound by K. Korver
7:59.0,,,49-59,2,J. Teague makes 2-pt shot from 10 ft
7:40.0,K. Lowry makes 2-pt shot from 2 ft,2,51-59,,
7:35.0,,,51-62,3,J. Teague makes 3-pt shot from 24 ft
7:07.0,D. DeRozan makes 2-pt shot from 7 ft,2,53-62,,
6:57.0,,,53-62,,Shooting foul by D. DeRozan (drawn by J. Teague)
6:57.0,,,53-62,,J. Teague misses free throw 1 of 2
6:57.0,,,53-62,,Offensive rebound by Team
6:57.0,,,53-62,,M. Muscala enters the game for A. Horford
6:57.0,,,53-62,,T. Hardaway enters the game for K. Korver
6:57.0,T. Ross enters the game for N. Powell,,53-62,,
6:57.0,P. Patterson enters the game for L. Scola,,53-62,,
6:57.0,,,53-63,1,J. Teague makes free throw 2 of 2
6:40.0,D. DeRozan makes 2-pt shot at rim,2,55-63,,
6:26.0,Personal foul by K. Lowry,,55-63,,
6:23.0,,,55-65,2,P. Millsap makes 2-pt shot at rim (assist by T. Sefolosha)
6:04.0,Shooting foul by T. Sefolosha (drawn by D. DeRozan),,55-65,,
6:04.0,D. DeRozan makes free throw 1 of 2,1,56-65,,
6:04.0,B. Biyombo enters the game for J. Valanciunas,,56-65,,
6:04.0,D. DeRozan makes free throw 2 of 2,1,57-65,,
5:53.0,,,57-65,,J. Teague misses 2-pt shot from 16 ft
5:51.0,Defensive rebound by P. Patterson,,57-65,,
5:44.0,K. Lowry misses 2-pt shot from 4 ft,,57-65,,
5:43.0,Offensive rebound by B. Biyombo,,57-65,,
5:42.0,B. Biyombo misses 2-pt shot from 1 ft (block by P. Millsap),,57-65,,
5:42.0,,,57-65,,Defensive rebound by Team
5:18.0,,,57-68,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Teague)
4:56.0,B. Biyombo misses 2-pt shot from 10 ft,,57-68,,
4:55.0,,,57-68,,Defensive rebound by P. Millsap
4:45.0,,,57-70,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap)
4:25.0,Shooting foul by M. Muscala (drawn by B. Biyombo),,57-70,,
4:25.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,59-70,,
4:25.0,,,59-70,,D. Schroder enters the game for J. Teague
4:25.0,,,59-70,,Atlanta full timeout
4:25.0,B. Biyombo misses free throw 1 of 1,,59-70,,
4:24.0,,,59-70,,Defensive rebound by M. Muscala
4:09.0,,,59-70,,Turnover by D. Schroder (lost ball; steal by P. Patterson)
3:58.0,D. DeRozan misses 2-pt shot from 1 ft (block by P. Millsap),,59-70,,
3:58.0,Offensive rebound by D. DeRozan,,59-70,,
3:58.0,Toronto full timeout,,59-70,,
3:47.0,D. DeRozan misses 3-pt shot from 22 ft,,59-70,,
3:45.0,,,59-70,,Defensive rebound by T. Hardaway
3:27.0,,,59-70,,D. Schroder misses 3-pt shot from 23 ft
3:24.0,,,59-70,,Offensive rebound by P. Millsap
3:17.0,,,59-70,,M. Muscala misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by T. Ross,,59-70,,
3:06.0,Turnover by T. Ross (lost ball; steal by T. Hardaway),,59-70,,
2:59.0,,,59-70,,P. Millsap misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by K. Lowry,,59-70,,
2:46.0,,,59-70,,Personal foul by P. Millsap
2:46.0,,,59-70,,M. Scott enters the game for M. Muscala
2:46.0,,,59-70,,A. Horford enters the game for P. Millsap
2:46.0,C. Joseph enters the game for K. Lowry,,59-70,,
2:34.0,P. Patterson misses 3-pt shot from 23 ft,,59-70,,
2:32.0,,,59-70,,Defensive rebound by D. Schroder
2:20.0,,,59-70,,T. Sefolosha misses 2-pt shot from 1 ft (block by B. Biyombo)
2:18.0,Defensive rebound by D. DeRozan,,59-70,,
2:13.0,D. DeRozan misses 2-pt shot at rim (block by T. Hardaway),,59-70,,
2:12.0,,,59-70,,Defensive rebound by M. Scott
2:01.0,,,59-70,,K. Korver enters the game for T. Sefolosha
1:58.0,,,59-70,,D. Schroder misses 2-pt shot from 21 ft
1:56.0,Defensive rebound by T. Ross,,59-70,,
1:36.0,D. DeRozan misses 2-pt shot from 13 ft,,59-70,,
1:35.0,Offensive rebound by B. Biyombo,,59-70,,
1:35.0,Shooting foul by K. Korver (drawn by B. Biyombo),,59-70,,
1:35.0,B. Biyombo makes free throw 1 of 2,1,60-70,,
1:35.0,D. Carroll enters the game for D. DeRozan,,60-70,,
1:35.0,B. Biyombo makes free throw 2 of 2,1,61-70,,
1:22.0,,,61-70,,T. Hardaway misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by B. Biyombo,,61-70,,
0:59.0,C. Joseph makes 2-pt shot from 4 ft,2,63-70,,
0:51.0,,,63-70,,M. Scott misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by B. Biyombo,,63-70,,
0:34.0,T. Ross misses 2-pt shot from 16 ft,,63-70,,
0:30.0,,,63-70,,Defensive rebound by M. Scott
0:10.0,,,63-70,,T. Hardaway misses 2-pt shot from 18 ft
0:05.0,,,63-70,,Offensive rebound by A. Horford
0:00.0,,,63-70,,D. Schroder misses 2-pt shot from 11 ft
0:00.0,,,63-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,63-72,2,K. Korver makes 2-pt shot at rim (assist by A. Horford)
11:31.0,N. Powell misses 2-pt shot from 18 ft (block by T. Hardaway),,63-72,,
11:31.0,,,63-72,,Defensive rebound by Team
11:22.0,,,63-72,,Shooting foul by D. Carroll (drawn by M. Scott)
11:22.0,,,63-73,1,M. Scott makes free throw 1 of 2
11:22.0,,,63-74,1,M. Scott makes free throw 2 of 2
11:08.0,C. Joseph misses 2-pt shot from 9 ft (block by D. Schroder),,63-74,,
11:05.0,,,63-74,,Defensive rebound by A. Horford
10:51.0,,,63-77,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
10:23.0,N. Powell makes 3-pt shot from 22 ft (assist by C. Joseph),3,66-77,,
10:11.0,,,66-77,,D. Schroder misses 2-pt shot from 3 ft
10:07.0,Defensive rebound by C. Joseph,,66-77,,
9:57.0,Shooting foul by K. Korver (drawn by B. Biyombo),,66-77,,
9:57.0,B. Biyombo makes free throw 1 of 2,1,67-77,,
9:57.0,K. Lowry enters the game for T. Ross,,67-77,,
9:57.0,B. Biyombo makes free throw 2 of 2,1,68-77,,
9:42.0,,,68-77,,K. Korver misses 3-pt shot from 26 ft
9:40.0,Defensive rebound by B. Biyombo,,68-77,,
9:26.0,C. Joseph misses 2-pt shot from 1 ft,,68-77,,
9:25.0,Offensive rebound by B. Biyombo,,68-77,,
9:24.0,B. Biyombo misses 2-pt shot at rim,,68-77,,
9:22.0,,,68-77,,Defensive rebound by A. Horford
9:21.0,,,68-77,,Turnover by A. Horford (lost ball; steal by C. Joseph)
9:21.0,,,68-77,,Personal foul by D. Schroder
9:05.0,K. Lowry misses 2-pt shot from 17 ft,,68-77,,
9:04.0,Offensive rebound by Team,,68-77,,
8:53.0,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry),3,71-77,,
8:53.0,,,71-77,,Atlanta full timeout
8:53.0,,,71-77,,P. Millsap enters the game for D. Schroder
8:53.0,,,71-77,,J. Teague enters the game for M. Scott
8:32.0,,,71-77,,Turnover by P. Millsap (lost ball; steal by D. Carroll)
8:32.0,,,71-77,,Personal foul by P. Millsap
8:32.0,,,71-77,,M. Muscala enters the game for A. Horford
8:13.0,K. Lowry misses 2-pt shot from 5 ft,,71-77,,
8:12.0,,,71-77,,Defensive rebound by M. Muscala
8:10.0,,,71-77,,Turnover by J. Teague (lost ball; steal by D. Carroll)
8:05.0,D. Carroll makes 2-pt shot at rim (assist by K. Lowry),2,73-77,,
7:49.0,,,73-80,3,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap)
7:28.0,Turnover by C. Joseph (traveling),,73-80,,
7:28.0,L. Nogueira enters the game for B. Biyombo,,73-80,,
7:14.0,,,73-80,,P. Millsap misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by N. Powell,,73-80,,
7:07.0,,,73-80,,Violation by P. Millsap (def goaltending)
7:07.0,N. Powell makes 2-pt shot from 1 ft,2,75-80,,
6:54.0,Personal foul by D. Carroll,,75-80,,
6:46.0,,,75-83,3,T. Hardaway makes 3-pt shot from 23 ft (assist by M. Muscala)
6:20.0,K. Lowry makes 2-pt shot from 2 ft,2,77-83,,
6:17.0,,,77-83,,Atlanta full timeout
6:17.0,D. DeRozan enters the game for C. Joseph,,77-83,,
6:17.0,P. Patterson enters the game for D. Carroll,,77-83,,
6:01.0,,,77-85,2,M. Muscala makes 2-pt shot at rim (assist by K. Korver)
5:38.0,L. Nogueira misses 2-pt shot at rim (block by K. Korver),,77-85,,
5:36.0,,,77-85,,Defensive rebound by P. Millsap
5:34.0,,,77-85,,Turnover by P. Millsap (lost ball; steal by L. Nogueira)
5:34.0,,,77-85,,Personal foul by P. Millsap
5:27.0,Offensive foul by P. Patterson,,77-85,,
5:27.0,Turnover by P. Patterson (offensive foul),,77-85,,
5:07.0,,,77-85,,M. Muscala misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by K. Lowry,,77-85,,
4:58.0,N. Powell makes 3-pt shot from 22 ft (assist by K. Lowry),3,80-85,,
4:30.0,,,80-85,,P. Millsap misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by L. Nogueira,,80-85,,
4:10.0,D. DeRozan makes 2-pt shot from 10 ft (assist by P. Patterson),2,82-85,,
3:57.0,Personal foul by N. Powell,,82-85,,
3:57.0,,,82-85,,A. Horford enters the game for M. Muscala
3:57.0,,,82-85,,T. Sefolosha enters the game for T. Hardaway
3:41.0,,,82-85,,J. Teague misses 2-pt shot at rim
3:40.0,Defensive rebound by K. Lowry,,82-85,,
3:31.0,K. Lowry misses 2-pt shot from 2 ft,,82-85,,
3:29.0,,,82-85,,Defensive rebound by K. Korver
3:11.0,,,82-85,,Turnover by J. Teague (lost ball; steal by D. DeRozan)
3:03.0,K. Lowry misses 3-pt shot from 26 ft,,82-85,,
3:02.0,,,82-85,,Defensive rebound by P. Millsap
2:44.0,,,82-85,,J. Teague misses 2-pt shot from 16 ft
2:42.0,,,82-85,,Offensive rebound by P. Millsap
2:38.0,,,82-85,,Shooting foul by L. Nogueira (drawn by P. Millsap)
2:38.0,Official timeout,,82-85,,
2:38.0,J. Valanciunas enters the game for L. Nogueira,,82-85,,
2:38.0,,,82-86,1,P. Millsap makes free throw 1 of 2
2:38.0,,,82-87,1,P. Millsap makes free throw 2 of 2
2:25.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,84-87,,
2:06.0,,,84-87,,K. Korver misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by J. Valanciunas,,84-87,,
1:48.0,D. DeRozan misses 2-pt shot from 15 ft,,84-87,,
1:46.0,,,84-87,,Defensive rebound by P. Millsap
1:35.0,,,84-87,,Shooting foul by K. Lowry (drawn by J. Teague)
1:35.0,,,84-88,1,J. Teague makes free throw 1 of 2
1:35.0,,,84-88,,J. Teague misses free throw 2 of 2
1:34.0,Defensive rebound by J. Valanciunas,,84-88,,
1:14.0,D. DeRozan misses 2-pt shot from 1 ft,,84-88,,
1:12.0,Offensive rebound by J. Valanciunas,,84-88,,
1:00.0,N. Powell misses 3-pt shot from 24 ft,,84-88,,
1:00.0,Offensive rebound by Team,,84-88,,
