time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession),,,,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession)
11:43.0,Turnover by S. Mack (lost ball; steal by G. Dieng),,0-0,,
11:23.0,,,0-0,,R. Rubio misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by R. Hood,,0-0,,
11:08.0,R. Hood misses 3-pt shot from 23 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by K. Towns
10:42.0,,,0-0,,K. Towns misses 2-pt shot from 6 ft
10:40.0,Defensive rebound by R. Gobert,,0-0,,
10:31.0,Turnover by G. Hayward (lost ball; steal by K. Towns),,0-0,,
10:23.0,,,0-0,,A. Wiggins misses 2-pt shot from 20 ft
10:22.0,Defensive rebound by D. Favors,,0-0,,
10:01.0,D. Favors misses 2-pt shot from 15 ft,,0-0,,
10:00.0,Offensive rebound by R. Gobert,,0-0,,
10:00.0,R. Gobert misses 2-pt shot from 1 ft,,0-0,,
9:56.0,,,0-0,,Defensive rebound by R. Rubio
9:48.0,,,0-0,,G. Dieng misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by R. Gobert,,0-0,,
9:30.0,S. Mack misses 2-pt shot from 16 ft,,0-0,,
9:28.0,,,0-0,,Defensive rebound by G. Dieng
9:14.0,,,0-0,,K. Towns misses 2-pt shot from 18 ft
9:13.0,Defensive rebound by Team,,0-0,,
9:13.0,,,0-0,,Loose ball foul by G. Dieng
8:49.0,S. Mack misses 3-pt shot from 25 ft,,0-0,,
8:48.0,,,0-0,,Defensive rebound by G. Dieng
8:34.0,Personal foul by R. Hood,,0-0,,
8:18.0,,,0-0,,A. Wiggins misses 2-pt shot from 11 ft
8:17.0,,,0-0,,Offensive rebound by K. Towns
8:16.0,,,0-2,2,K. Towns makes 2-pt shot from 1 ft
7:49.0,Turnover by Team (shot clock),,0-2,,
7:34.0,,,0-2,,Z. LaVine misses 2-pt shot from 20 ft
7:33.0,,,0-2,,Offensive rebound by R. Rubio
7:25.0,,,0-4,2,R. Rubio makes 2-pt shot from 13 ft
7:25.0,Utah full timeout,,0-4,,
7:04.0,S. Mack misses 2-pt shot from 4 ft (block by G. Dieng),,0-4,,
7:03.0,Offensive rebound by Team,,0-4,,
7:00.0,D. Favors makes 2-pt shot from 14 ft (assist by S. Mack),2,2-4,,
6:32.0,,,2-4,,G. Dieng misses 2-pt shot from 8 ft
6:31.0,Defensive rebound by S. Mack,,2-4,,
6:24.0,R. Hood misses 2-pt shot from 1 ft,,2-4,,
6:23.0,Offensive rebound by R. Hood,,2-4,,
6:23.0,R. Hood makes 2-pt shot from 1 ft,2,4-4,,
6:13.0,,,4-4,,K. Towns misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by R. Gobert,,4-4,,
6:02.0,,,4-4,,Personal foul by R. Rubio
6:02.0,T. Booker enters the game for R. Gobert,,4-4,,
5:54.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward),3,7-4,,
5:31.0,,,7-4,,G. Dieng misses 2-pt shot from 9 ft
5:30.0,Defensive rebound by T. Booker,,7-4,,
5:17.0,S. Mack misses 2-pt shot from 8 ft,,7-4,,
5:16.0,,,7-4,,Defensive rebound by K. Towns
5:10.0,,,7-6,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
5:06.0,,,7-6,,G. Smith enters the game for G. Dieng
4:42.0,D. Favors makes 2-pt shot from 20 ft (assist by S. Mack),2,9-6,,
4:29.0,,,9-8,2,R. Rubio makes 2-pt shot from 1 ft
4:19.0,D. Favors makes 2-pt shot from 14 ft (assist by T. Booker),2,11-8,,
4:18.0,,,11-8,,Minnesota full timeout
4:18.0,,,11-8,,T. Jones enters the game for R. Rubio
4:18.0,,,11-8,,S. Muhammad enters the game for A. Wiggins
