time,Detroit,pts.away,score,pts.home,Oklahoma City
5:21.0,Offensive rebound by K. Caldwell-Pope,,85-99,,
5:08.0,E. Ilyasova misses 3-pt shot from 24 ft,,85-99,,
5:06.0,,,85-99,,Defensive rebound by E. Kanter
5:03.0,,,85-99,,Turnover by R. Westbrook (lost ball; steal by R. Jackson)
4:57.0,R. Jackson makes 2-pt shot from 1 ft,2,87-99,,
4:57.0,Shooting foul by R. Westbrook (drawn by R. Jackson),,87-99,,
4:57.0,R. Jackson misses free throw 1 of 1,,87-99,,
4:56.0,,,87-99,,Defensive rebound by K. Durant
4:43.0,,,87-99,,Turnover by R. Westbrook (lost ball)
4:35.0,R. Jackson misses 2-pt shot from 1 ft (block by S. Ibaka),,87-99,,
4:34.0,,,87-99,,Defensive rebound by D. Waiters
4:25.0,,,87-99,,Turnover by R. Westbrook (offensive foul)
4:25.0,,,87-99,,Offensive foul by R. Westbrook
4:25.0,,,87-99,,S. Adams enters the game for E. Kanter
4:25.0,,,87-99,,D. Augustin enters the game for R. Westbrook
4:12.0,R. Jackson misses 2-pt shot from 5 ft,,87-99,,
4:11.0,Offensive rebound by A. Drummond,,87-99,,
4:11.0,A. Drummond misses 2-pt shot from 1 ft,,87-99,,
4:11.0,,,87-99,,Defensive rebound by Team
4:11.0,Loose ball foul by R. Jackson (drawn by S. Ibaka),,87-99,,
3:49.0,,,87-99,,D. Waiters misses 2-pt shot from 16 ft
3:49.0,Defensive rebound by M. Morris,,87-99,,
3:31.0,M. Morris misses 2-pt shot from 15 ft,,87-99,,
3:30.0,,,87-99,,Defensive rebound by S. Adams
3:14.0,,,87-99,,Oklahoma City full timeout
3:08.0,,,87-99,,K. Durant misses 3-pt shot from 24 ft
3:06.0,,,87-99,,Offensive rebound by Team
2:51.0,,,87-101,2,D. Waiters makes 2-pt shot from 16 ft (assist by D. Augustin)
2:33.0,A. Drummond misses 2-pt shot at rim,,87-101,,
2:33.0,,,87-101,,Defensive rebound by S. Adams
2:13.0,,,87-103,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
2:00.0,K. Caldwell-Pope misses 2-pt shot at rim (block by S. Ibaka),,87-103,,
1:59.0,Offensive rebound by K. Caldwell-Pope,,87-103,,
1:56.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,87-103,,
1:56.0,,,87-103,,Defensive rebound by D. Augustin
1:35.0,,,87-103,,D. Waiters misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by E. Ilyasova,,87-103,,
1:29.0,Offensive charge foul by E. Ilyasova,,87-103,,
1:29.0,Turnover by E. Ilyasova (offensive foul),,87-103,,
1:08.0,,,87-103,,K. Durant misses 2-pt shot from 3 ft
1:07.0,,,87-103,,Offensive rebound by D. Augustin
0:47.0,,,87-103,,Turnover by S. Ibaka (step out of bounds)
0:36.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,87-103,,
0:35.0,,,87-103,,Defensive rebound by S. Ibaka
0:12.0,,,87-103,,Turnover by Team (shot clock)
0:00.0,R. Jackson misses 3-pt shot from 31 ft,,87-103,,
0:00.0,Offensive rebound by Team,,87-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
