time,Detroit,pts.away,score,pts.home,Oklahoma City
6:39.0,,,12-15,,Shooting foul by R. Jackson (drawn by K. Durant)
6:39.0,S. Blake enters the game for R. Jackson,,12-15,,
6:39.0,,,12-16,1,K. Durant makes free throw 1 of 2
6:39.0,,,12-17,1,K. Durant makes free throw 2 of 2
6:27.0,M. Morris misses 3-pt shot from 24 ft,,12-17,,
6:26.0,,,12-17,,Defensive rebound by A. Roberson
6:20.0,,,12-17,,Turnover by R. Westbrook (bad pass; steal by A. Drummond)
6:15.0,Shooting foul by A. Roberson (drawn by K. Caldwell-Pope),,12-17,,
6:15.0,K. Caldwell-Pope makes free throw 1 of 2,1,13-17,,
6:15.0,K. Caldwell-Pope makes free throw 2 of 2,1,14-17,,
5:55.0,,,14-19,2,S. Ibaka makes 2-pt shot from 18 ft
5:32.0,Shooting foul by S. Ibaka (drawn by K. Caldwell-Pope),,14-19,,
5:32.0,K. Caldwell-Pope makes free throw 1 of 2,1,15-19,,
5:32.0,K. Caldwell-Pope misses free throw 2 of 2,,15-19,,
5:31.0,,,15-19,,Defensive rebound by S. Adams
5:26.0,,,15-19,,Offensive foul by R. Westbrook
5:26.0,,,15-19,,Turnover by R. Westbrook (offensive foul)
5:09.0,A. Drummond makes 2-pt shot from 8 ft,2,17-19,,
4:47.0,,,17-19,,R. Westbrook misses 2-pt shot from 16 ft
4:46.0,,,17-19,,Offensive rebound by S. Adams
4:40.0,,,17-19,,Turnover by K. Durant (bad pass; steal by M. Morris)
4:30.0,M. Morris misses 2-pt shot from 16 ft,,17-19,,
4:29.0,,,17-19,,Defensive rebound by A. Roberson
4:16.0,,,17-19,,R. Westbrook misses 2-pt shot from 1 ft
4:14.0,,,17-19,,Offensive rebound by S. Adams
4:14.0,,,17-21,2,S. Adams makes 2-pt shot at rim
4:06.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,17-21,,
4:06.0,,,17-21,,Defensive rebound by K. Durant
3:58.0,,,17-21,,K. Durant misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by K. Caldwell-Pope,,17-21,,
3:52.0,S. Blake misses 3-pt shot from 25 ft,,17-21,,
3:50.0,Offensive rebound by E. Ilyasova,,17-21,,
3:48.0,E. Ilyasova makes 2-pt shot from 4 ft,2,19-21,,
3:34.0,,,19-21,,Turnover by K. Durant (bad pass; steal by S. Blake)
3:25.0,M. Morris makes 2-pt shot from 2 ft (assist by S. Blake),2,21-21,,
3:18.0,,,21-21,,Oklahoma City full timeout
3:17.0,,,21-21,,D. Waiters enters the game for S. Ibaka
3:17.0,,,21-21,,D. Augustin enters the game for A. Roberson
3:17.0,,,21-21,,N. Collison enters the game for R. Westbrook
3:17.0,S. Johnson enters the game for M. Morris,,21-21,,
3:17.0,A. Tolliver enters the game for E. Ilyasova,,21-21,,
3:06.0,,,21-21,,K. Durant misses 2-pt shot from 8 ft
3:06.0,Defensive rebound by A. Drummond,,21-21,,
2:54.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Blake),2,23-21,,
2:40.0,,,23-21,,Turnover by D. Waiters (bad pass; steal by K. Caldwell-Pope)
2:34.0,S. Blake makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,26-21,,
2:18.0,,,26-21,,D. Waiters misses 3-pt shot from 24 ft
2:17.0,,,26-21,,Offensive rebound by S. Adams
2:13.0,,,26-24,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Adams)
1:48.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Blake),3,29-24,,
1:30.0,,,29-24,,S. Adams misses 2-pt shot from 3 ft
1:29.0,Defensive rebound by S. Blake,,29-24,,
1:20.0,A. Drummond misses 2-pt shot from 2 ft,,29-24,,
1:19.0,,,29-24,,Defensive rebound by S. Adams
1:14.0,,,29-24,,Shooting foul by S. Johnson (drawn by K. Durant)
1:14.0,Violation by Team (delay of game),,29-24,,
1:14.0,,,29-25,1,K. Durant makes free throw 1 of 2
1:14.0,,,29-25,,E. Kanter enters the game for S. Adams
1:14.0,,,29-26,1,K. Durant makes free throw 2 of 2
1:03.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,29-26,,
1:03.0,,,29-26,,Defensive rebound by K. Durant
0:55.0,,,29-26,,Shooting foul by A. Drummond (drawn by E. Kanter)
0:55.0,,,29-27,1,E. Kanter makes free throw 1 of 2
0:55.0,A. Baynes enters the game for A. Drummond,,29-27,,
0:55.0,,,29-27,,E. Kanter misses free throw 2 of 2
0:54.0,Defensive rebound by Team,,29-27,,
0:45.0,S. Blake makes 2-pt shot from 1 ft,2,31-27,,
0:33.0,,,31-29,2,D. Waiters makes 2-pt shot from 5 ft (assist by K. Durant)
0:27.0,,,31-29,,Personal foul by D. Waiters (drawn by K. Caldwell-Pope)
0:16.0,Turnover by S. Johnson (step out of bounds),,31-29,,
0:00.0,,,31-29,,D. Augustin misses 2-pt shot from 19 ft
0:00.0,,,31-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Blake misses 2-pt shot from 20 ft,,31-29,,
11:40.0,Offensive rebound by A. Baynes,,31-29,,
11:39.0,A. Baynes misses 2-pt shot from 3 ft,,31-29,,
11:35.0,Offensive rebound by A. Baynes,,31-29,,
11:35.0,A. Baynes misses 2-pt shot at rim,,31-29,,
11:34.0,,,31-29,,Defensive rebound by E. Kanter
11:26.0,,,31-29,,D. Waiters misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by A. Baynes,,31-29,,
11:20.0,S. Johnson makes 3-pt shot from 23 ft (assist by S. Blake),3,34-29,,
11:01.0,,,34-29,,E. Kanter misses 2-pt shot from 11 ft
11:01.0,Defensive rebound by A. Tolliver,,34-29,,
10:53.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake),2,36-29,,
10:35.0,,,36-29,,A. Morrow misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by Team,,36-29,,
10:35.0,M. Morris enters the game for K. Caldwell-Pope,,36-29,,
10:23.0,S. Johnson makes 2-pt shot from 13 ft,2,38-29,,
10:04.0,,,38-31,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters)
9:47.0,M. Morris makes 2-pt shot at rim,2,40-31,,
9:30.0,,,40-34,3,A. Morrow makes 3-pt shot from 24 ft (assist by N. Collison)
9:14.0,Shooting foul by A. Morrow (drawn by M. Morris),,40-34,,
9:14.0,,,40-34,,Technical foul by A. Morrow (drawn by M. Morris)
9:14.0,Technical foul by M. Morris,,40-34,,
9:14.0,M. Morris makes free throw 1 of 2,1,41-34,,
9:14.0,,,41-34,,R. Westbrook enters the game for D. Waiters
9:14.0,M. Morris misses free throw 2 of 2,,41-34,,
9:13.0,,,41-34,,Defensive rebound by N. Collison
8:58.0,,,41-34,,Shooting foul by A. Baynes (drawn by E. Kanter)
8:58.0,Official timeout,,41-34,,
8:58.0,R. Jackson enters the game for S. Blake,,41-34,,
8:58.0,,,41-35,1,E. Kanter makes free throw 1 of 2
8:58.0,,,41-36,1,E. Kanter makes free throw 2 of 2
8:38.0,Turnover by S. Johnson (traveling),,41-36,,
8:31.0,Personal foul by A. Baynes (drawn by R. Westbrook),,41-36,,
8:25.0,,,41-36,,R. Westbrook misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by R. Jackson,,41-36,,
8:17.0,R. Jackson misses 2-pt shot from 3 ft,,41-36,,
8:16.0,,,41-36,,Defensive rebound by N. Collison
8:04.0,Personal foul by R. Jackson (drawn by R. Westbrook),,41-36,,
8:04.0,S. Blake enters the game for R. Jackson,,41-36,,
7:55.0,,,41-36,,R. Westbrook misses 3-pt shot from 24 ft
7:52.0,,,41-36,,Offensive rebound by R. Westbrook
7:52.0,,,41-36,,R. Westbrook misses 2-pt shot from 1 ft
7:51.0,Defensive rebound by A. Baynes,,41-36,,
7:42.0,S. Johnson misses 2-pt shot from 12 ft,,41-36,,
7:40.0,,,41-36,,Defensive rebound by N. Collison
7:36.0,,,41-36,,A. Morrow misses 3-pt shot from 24 ft
7:35.0,,,41-36,,Offensive rebound by R. Westbrook
7:24.0,,,41-36,,E. Kanter misses 2-pt shot from 3 ft
7:23.0,Defensive rebound by A. Baynes,,41-36,,
7:06.0,Offensive foul by S. Johnson,,41-36,,
7:06.0,Turnover by S. Johnson (offensive foul),,41-36,,
7:06.0,,,41-36,,K. Durant enters the game for D. Augustin
7:06.0,,,41-36,,S. Ibaka enters the game for N. Collison
6:50.0,,,41-36,,Turnover by K. Durant (lost ball; steal by S. Blake)
6:44.0,M. Morris makes 2-pt shot at rim,2,43-36,,
6:29.0,,,43-36,,E. Kanter misses 2-pt shot from 12 ft
6:29.0,Defensive rebound by S. Blake,,43-36,,
6:13.0,M. Morris misses 2-pt shot from 18 ft,,43-36,,
6:12.0,,,43-36,,Defensive rebound by K. Durant
5:57.0,,,43-36,,Turnover by R. Westbrook (bad pass)
5:57.0,,,43-36,,Oklahoma City full timeout
5:57.0,A. Drummond enters the game for S. Johnson,,43-36,,
5:57.0,K. Caldwell-Pope enters the game for A. Baynes,,43-36,,
5:57.0,,,43-36,,A. Roberson enters the game for E. Kanter
5:42.0,Turnover by S. Blake (bad pass; steal by R. Westbrook),,43-36,,
5:38.0,,,43-38,2,R. Westbrook makes 2-pt shot at rim (assist by A. Morrow)
5:21.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Drummond),2,45-38,,
5:08.0,,,45-38,,Turnover by R. Westbrook (bad pass; steal by S. Blake)
4:48.0,A. Drummond makes 2-pt shot from 3 ft (assist by S. Blake),2,47-38,,
4:34.0,,,47-38,,K. Durant misses 2-pt shot from 9 ft
4:33.0,Defensive rebound by M. Morris,,47-38,,
4:24.0,A. Tolliver makes 3-pt shot from 22 ft (assist by S. Blake),3,50-38,,
4:16.0,,,50-38,,Oklahoma City full timeout
4:16.0,,,50-38,,S. Adams enters the game for A. Morrow
4:01.0,,,50-40,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
3:43.0,S. Blake misses 3-pt shot from 22 ft,,50-40,,
3:41.0,Offensive rebound by A. Tolliver,,50-40,,
3:31.0,Shooting foul by S. Ibaka (drawn by A. Drummond),,50-40,,
3:31.0,A. Drummond misses free throw 1 of 2,,50-40,,
3:31.0,Offensive rebound by Team,,50-40,,
3:31.0,E. Ilyasova enters the game for A. Tolliver,,50-40,,
3:31.0,,,50-40,,D. Waiters enters the game for A. Roberson
3:31.0,A. Drummond makes free throw 2 of 2,1,51-40,,
3:21.0,,,51-40,,K. Durant misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by S. Blake,,51-40,,
3:06.0,Shooting foul by S. Adams (drawn by M. Morris),,51-40,,
3:06.0,M. Morris makes free throw 1 of 2,1,52-40,,
3:06.0,M. Morris makes free throw 2 of 2,1,53-40,,
2:55.0,,,53-42,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
2:37.0,Detroit full timeout,,53-42,,
2:32.0,Shooting foul by D. Waiters (drawn by M. Morris),,53-42,,
2:32.0,E. Ilyasova makes free throw 1 of 2,1,54-42,,
2:32.0,A. Baynes enters the game for A. Drummond,,54-42,,
2:32.0,,,54-42,,A. Roberson enters the game for S. Ibaka
2:32.0,E. Ilyasova makes free throw 2 of 2,1,55-42,,
2:22.0,,,55-44,2,R. Westbrook makes 2-pt shot from 1 ft
1:57.0,M. Morris misses 2-pt shot from 16 ft,,55-44,,
1:57.0,,,55-44,,Defensive rebound by A. Roberson
1:48.0,,,55-46,2,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters)
1:29.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,55-46,,
1:29.0,,,55-46,,Defensive rebound by K. Durant
1:21.0,,,55-48,2,K. Durant makes 2-pt shot from 2 ft
1:00.0,S. Blake misses 3-pt shot from 25 ft,,55-48,,
0:59.0,,,55-48,,Defensive rebound by D. Waiters
0:56.0,Personal foul by K. Caldwell-Pope (drawn by D. Waiters),,55-48,,
0:42.0,,,55-48,,K. Durant misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by M. Morris,,55-48,,
0:19.0,S. Blake misses 3-pt shot from 25 ft (block by K. Durant),,55-48,,
0:18.0,,,55-48,,Defensive rebound by R. Westbrook
0:00.0,,,55-48,,D. Waiters misses 3-pt shot from 22 ft
0:00.0,,,55-48,,Offensive rebound by Team
