time,San Antonio,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Horford (P. Millsap gains possession),,,,Jump ball: T. Duncan vs. A. Horford (P. Millsap gains possession)
11:44.0,,,0-0,,K. Korver misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Leonard,,0-0,,
11:19.0,T. Duncan misses 2-pt shot from 16 ft,,0-0,,
11:17.0,Offensive rebound by T. Parker,,0-0,,
11:02.0,D. Green misses 2-pt shot from 21 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by P. Millsap
10:50.0,,,0-0,,Shooting foul by K. Leonard (drawn by P. Millsap)
10:50.0,,,0-1,1,P. Millsap makes free throw 1 of 2
10:50.0,,,0-1,,P. Millsap misses free throw 2 of 2
10:49.0,Defensive rebound by K. Leonard,,0-1,,
10:27.0,T. Parker makes 2-pt shot from 20 ft (assist by T. Duncan),2,2-1,,
10:07.0,,,2-1,,Shooting foul by T. Parker (drawn by J. Teague)
10:07.0,,,2-2,1,J. Teague makes free throw 1 of 2
10:07.0,,,2-3,1,J. Teague makes free throw 2 of 2
10:07.0,T. Parker makes 2-pt shot from 19 ft (assist by T. Duncan),2,4-3,,
10:07.0,,,4-3,,Turnover by J. Teague (bad pass; steal by T. Parker)
10:07.0,K. Leonard misses 2-pt shot from 15 ft,,4-3,,
10:07.0,,,4-3,,Defensive rebound by J. Teague
10:07.0,,,4-3,,Turnover by J. Teague (bad pass)
9:56.0,Turnover by T. Parker (bad pass; steal by K. Korver),,4-3,,
9:43.0,,,4-3,,K. Korver misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by K. Leonard,,4-3,,
9:30.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green),2,6-3,,
9:07.0,,,6-3,,A. Horford misses 2-pt shot from 1 ft (block by T. Parker)
9:07.0,Defensive rebound by Team,,6-3,,
8:48.0,T. Duncan misses 2-pt shot from 7 ft,,6-3,,
8:46.0,,,6-3,,Defensive rebound by A. Horford
8:36.0,,,6-3,,K. Korver misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by T. Duncan,,6-3,,
8:21.0,T. Parker misses 2-pt shot from 20 ft,,6-3,,
8:08.0,,,6-3,,Defensive rebound by A. Horford
8:08.0,,,6-5,2,A. Horford makes 2-pt shot from 18 ft (assist by P. Millsap)
7:40.0,Turnover by L. Aldridge (lost ball; steal by P. Millsap),,6-5,,
7:25.0,,,6-5,,Turnover by A. Horford (3 sec)
7:08.0,L. Aldridge misses 2-pt shot from 19 ft,,6-5,,
7:06.0,,,6-5,,Defensive rebound by K. Korver
6:55.0,,,6-5,,P. Millsap misses 2-pt shot from 3 ft
6:52.0,Defensive rebound by T. Duncan,,6-5,,
6:39.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,9-5,,
6:25.0,,,9-5,,A. Horford misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by T. Duncan,,9-5,,
6:11.0,L. Aldridge makes 2-pt shot from 12 ft,2,11-5,,
5:52.0,,,11-7,2,P. Millsap makes 2-pt shot from 9 ft (assist by T. Sefolosha)
5:52.0,San Antonio full timeout,,11-7,,
5:52.0,,,11-7,,K. Bazemore enters the game for K. Korver
5:52.0,,,11-7,,M. Muscala enters the game for A. Horford
5:37.0,K. Leonard misses 2-pt shot from 19 ft,,11-7,,
5:35.0,Offensive rebound by K. Leonard,,11-7,,
5:33.0,K. Leonard makes 2-pt shot at rim,2,13-7,,
5:17.0,B. Diaw enters the game for T. Duncan,,13-7,,
5:17.0,M. Ginobili enters the game for D. Green,,13-7,,
5:12.0,,,13-7,,J. Teague misses 2-pt shot from 17 ft
5:09.0,Defensive rebound by K. Leonard,,13-7,,
4:56.0,M. Ginobili makes 2-pt shot from 1 ft (assist by B. Diaw),2,15-7,,
4:41.0,,,15-7,,Turnover by M. Muscala (bad pass; steal by K. Leonard)
4:39.0,Turnover by K. Leonard (traveling),,15-7,,
4:39.0,P. Mills enters the game for T. Parker,,15-7,,
4:39.0,,,15-7,,D. Schroder enters the game for J. Teague
4:28.0,,,15-9,2,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder)
4:11.0,L. Aldridge misses 2-pt shot from 18 ft,,15-9,,
4:10.0,,,15-9,,Defensive rebound by P. Millsap
3:56.0,,,15-9,,D. Schroder misses 2-pt shot at rim
3:53.0,Defensive rebound by K. Leonard,,15-9,,
3:38.0,P. Mills misses 3-pt shot from 24 ft,,15-9,,
3:37.0,Offensive rebound by B. Diaw,,15-9,,
3:25.0,K. Leonard makes 2-pt shot from 15 ft (assist by B. Diaw),2,17-9,,
3:19.0,,,17-9,,Atlanta full timeout
3:19.0,D. West enters the game for L. Aldridge,,17-9,,
3:09.0,,,17-9,,D. Schroder misses 3-pt shot from 23 ft
3:08.0,Defensive rebound by M. Ginobili,,17-9,,
2:54.0,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills),3,20-9,,
2:41.0,,,20-9,,T. Sefolosha misses 2-pt shot from 15 ft
2:39.0,Defensive rebound by M. Ginobili,,20-9,,
2:32.0,Shooting foul by M. Muscala (drawn by M. Ginobili),,20-9,,
2:32.0,M. Ginobili misses free throw 1 of 3,,20-9,,
2:32.0,Offensive rebound by Team,,20-9,,
2:32.0,M. Ginobili makes free throw 2 of 3,1,21-9,,
2:32.0,,,21-9,,A. Horford enters the game for P. Millsap
2:32.0,,,21-9,,K. Korver enters the game for T. Sefolosha
2:32.0,M. Ginobili makes free throw 3 of 3,1,22-9,,
2:19.0,,,22-9,,K. Bazemore misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by D. West,,22-9,,
2:14.0,,,22-9,,Personal block foul by M. Muscala (drawn by M. Ginobili)
2:04.0,Turnover by M. Ginobili (bad pass; steal by M. Muscala),,22-9,,
1:58.0,,,22-9,,D. Schroder misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by Team,,22-9,,
1:43.0,B. Diaw misses 2-pt shot from 15 ft,,22-9,,
1:41.0,Offensive rebound by Team,,22-9,,
1:31.0,P. Mills misses 2-pt shot from 1 ft,,22-9,,
1:30.0,,,22-9,,Defensive rebound by K. Bazemore
1:19.0,,,22-9,,A. Horford misses 2-pt shot from 19 ft
1:17.0,Defensive rebound by K. Leonard,,22-9,,
1:02.0,K. Leonard misses 2-pt shot from 17 ft,,22-9,,
1:01.0,,,22-9,,Defensive rebound by K. Bazemore
0:57.0,,,22-9,,K. Bazemore misses 2-pt shot from 1 ft
0:57.0,,,22-9,,Offensive rebound by A. Horford
0:57.0,,,22-11,2,A. Horford makes 2-pt shot at rim
0:44.0,M. Ginobili misses 2-pt shot from 2 ft,,22-11,,
0:44.0,Offensive rebound by Team,,22-11,,
0:44.0,Turnover by M. Ginobili (traveling),,22-11,,
0:44.0,D. Green enters the game for K. Leonard,,22-11,,
0:32.0,,,22-13,2,A. Horford makes 2-pt shot from 17 ft (assist by D. Schroder)
0:11.0,Turnover by M. Ginobili (bad pass; steal by K. Korver),,22-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Ginobili misses 2-pt shot from 2 ft,,22-13,,
11:42.0,,,22-13,,Defensive rebound by T. Splitter
11:20.0,,,22-13,,Turnover by T. Splitter (lost ball; steal by D. West)
11:03.0,B. Diaw misses 2-pt shot from 12 ft,,22-13,,
11:01.0,,,22-13,,Defensive rebound by D. Schroder
10:58.0,Personal foul by M. Ginobili (drawn by D. Schroder),,22-13,,
10:58.0,,,22-13,,L. Patterson enters the game for K. Bazemore
10:58.0,J. Simmons enters the game for B. Diaw,,22-13,,
10:58.0,T. Duncan enters the game for M. Ginobili,,22-13,,
10:49.0,,,22-15,2,D. Schroder makes 2-pt shot from 20 ft (assist by A. Horford)
10:30.0,Turnover by D. Green (bad pass; steal by K. Korver),,22-15,,
10:24.0,,,22-15,,K. Korver misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by J. Simmons,,22-15,,
10:13.0,Turnover by D. Green (bad pass),,22-15,,
10:02.0,,,22-15,,D. Schroder misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by D. Green,,22-15,,
9:56.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Green),2,24-15,,
9:39.0,,,24-15,,Turnover by T. Splitter (kicked ball)
9:39.0,L. Aldridge enters the game for D. West,,24-15,,
9:27.0,Turnover by T. Duncan (lost ball; steal by T. Splitter),,24-15,,
9:20.0,,,24-18,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Schroder)
9:03.0,,,24-18,,Personal foul by D. Schroder (drawn by P. Mills)
9:03.0,T. Parker enters the game for P. Mills,,24-18,,
9:03.0,K. Leonard enters the game for D. Green,,24-18,,
8:54.0,Turnover by T. Duncan (bad pass; steal by T. Splitter),,24-18,,
8:35.0,,,24-18,,L. Patterson misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by K. Leonard,,24-18,,
8:29.0,T. Parker misses 2-pt shot from 1 ft,,24-18,,
8:29.0,,,24-18,,Defensive rebound by Team
8:29.0,Official timeout,,24-18,,
8:08.0,,,24-18,,L. Patterson misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by T. Duncan,,24-18,,
7:47.0,K. Leonard makes 2-pt shot from 15 ft,2,26-18,,
7:47.0,Shooting foul by K. Korver (drawn by K. Leonard),,26-18,,
7:47.0,,,26-18,,J. Teague enters the game for K. Korver
7:47.0,,,26-18,,T. Sefolosha enters the game for D. Schroder
7:47.0,,,26-18,,K. Bazemore enters the game for L. Patterson
7:47.0,,,26-18,,P. Millsap enters the game for A. Horford
7:47.0,K. Leonard makes free throw 1 of 1,1,27-18,,
7:36.0,,,27-18,,T. Splitter misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by T. Duncan,,27-18,,
7:23.0,K. Leonard makes 2-pt shot from 9 ft (assist by J. Simmons),2,29-18,,
7:11.0,,,29-18,,J. Teague misses 2-pt shot from 14 ft (block by L. Aldridge)
7:08.0,Defensive rebound by T. Parker,,29-18,,
7:01.0,Shooting foul by P. Millsap (drawn by J. Simmons),,29-18,,
7:01.0,J. Simmons makes free throw 1 of 2,1,30-18,,
7:01.0,J. Simmons makes free throw 2 of 2,1,31-18,,
6:36.0,,,31-18,,T. Sefolosha misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by J. Simmons,,31-18,,
6:19.0,J. Simmons misses 2-pt shot from 1 ft,,31-18,,
6:17.0,,,31-18,,Defensive rebound by P. Millsap
6:00.0,,,31-18,,Atlanta full timeout
5:55.0,,,31-20,2,T. Splitter makes 2-pt shot at rim (assist by J. Teague)
5:29.0,J. Simmons makes 3-pt shot from 22 ft (assist by T. Parker),3,34-20,,
5:18.0,,,34-20,,Offensive foul by J. Teague
5:18.0,,,34-20,,Turnover by J. Teague (offensive foul)
4:59.0,T. Duncan misses 2-pt shot at rim (block by P. Millsap),,34-20,,
4:57.0,,,34-20,,Defensive rebound by T. Splitter
4:53.0,,,34-20,,Shooting foul by T. Parker (drawn by J. Teague)
4:53.0,,,34-21,1,J. Teague makes free throw 1 of 2
4:53.0,,,34-21,,A. Horford enters the game for T. Splitter
4:53.0,,,34-22,1,J. Teague makes free throw 2 of 2
4:31.0,T. Parker makes 2-pt shot from 18 ft,2,36-22,,
4:18.0,,,36-22,,Turnover by J. Teague (bad pass; steal by K. Leonard)
4:12.0,Shooting foul by P. Millsap (drawn by K. Leonard),,36-22,,
4:12.0,K. Leonard makes free throw 1 of 2,1,37-22,,
4:12.0,,,37-22,,K. Korver enters the game for K. Bazemore
4:12.0,K. Leonard makes free throw 2 of 2,1,38-22,,
3:58.0,,,38-22,,A. Horford misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by T. Parker,,38-22,,
3:50.0,Turnover by K. Leonard (bad pass; steal by A. Horford),,38-22,,
3:42.0,,,38-22,,T. Sefolosha misses 2-pt shot from 12 ft
3:37.0,,,38-22,,Offensive rebound by P. Millsap
3:37.0,,,38-22,,Turnover by P. Millsap (bad pass)
3:37.0,San Antonio full timeout,,38-22,,
3:37.0,,,38-22,,K. Bazemore enters the game for T. Sefolosha
3:37.0,M. Ginobili enters the game for J. Simmons,,38-22,,
3:12.0,L. Aldridge misses 2-pt shot from 15 ft,,38-22,,
3:11.0,,,38-22,,Defensive rebound by K. Korver
3:05.0,,,38-24,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague)
2:44.0,T. Parker makes 2-pt shot from 16 ft,2,40-24,,
2:39.0,,,40-24,,Shooting foul by T. Duncan (drawn by A. Horford)
2:39.0,,,40-25,1,A. Horford makes free throw 1 of 2
2:39.0,P. Mills enters the game for T. Parker,,40-25,,
2:39.0,,,40-25,,A. Horford misses free throw 2 of 2
2:38.0,Defensive rebound by T. Duncan,,40-25,,
2:25.0,Turnover by L. Aldridge (3 sec),,40-25,,
2:08.0,,,40-25,,P. Millsap misses 2-pt shot from 9 ft
2:04.0,Defensive rebound by L. Aldridge,,40-25,,
1:54.0,P. Mills makes 2-pt shot from 17 ft,2,42-25,,
1:39.0,,,42-25,,J. Teague misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by L. Aldridge,,42-25,,
1:20.0,L. Aldridge misses 2-pt shot from 4 ft,,42-25,,
1:18.0,,,42-25,,Defensive rebound by P. Millsap
1:13.0,,,42-25,,K. Bazemore misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by L. Aldridge,,42-25,,
0:48.0,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills),3,45-25,,
0:33.0,,,45-25,,J. Teague misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by T. Duncan,,45-25,,
0:14.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard),2,47-25,,
0:06.0,Personal take foul by K. Leonard (drawn by K. Bazemore),,47-25,,
0:06.0,,,47-25,,Atlanta full timeout
0:06.0,J. Simmons enters the game for L. Aldridge,,47-25,,
0:01.0,,,47-25,,P. Millsap misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by P. Mills,,47-25,,
0:00.0,P. Mills misses 3-pt shot from 57 ft,,47-25,,
0:00.0,Offensive rebound by Team,,47-25,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Shooting foul by T. Sefolosha (drawn by K. Leonard),,47-25,,
11:43.0,K. Leonard makes free throw 1 of 2,1,48-25,,
11:43.0,K. Leonard makes free throw 2 of 2,1,49-25,,
11:26.0,,,49-25,,Shooting foul by L. Aldridge (drawn by A. Horford)
11:26.0,,,49-26,1,A. Horford makes free throw 1 of 2
11:26.0,,,49-27,1,A. Horford makes free throw 2 of 2
11:07.0,Shooting foul by J. Teague (drawn by L. Aldridge),,49-27,,
11:07.0,L. Aldridge makes free throw 1 of 2,1,50-27,,
11:07.0,L. Aldridge makes free throw 2 of 2,1,51-27,,
10:50.0,,,51-27,,K. Korver misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by L. Aldridge,,51-27,,
10:37.0,T. Duncan misses 2-pt shot from 4 ft (block by P. Millsap),,51-27,,
10:36.0,,,51-27,,Defensive rebound by A. Horford
10:30.0,,,51-27,,T. Sefolosha misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by T. Duncan,,51-27,,
10:20.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Duncan),2,53-27,,
10:08.0,,,53-29,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
9:57.0,Turnover by T. Duncan (bad pass; steal by P. Millsap),,53-29,,
9:57.0,Personal foul by D. Green (drawn by P. Millsap),,53-29,,
