time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (P. Beverley gains possession),,,,Jump ball: S. Adams vs. D. Howard (P. Beverley gains possession)
11:45.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,3-0,,
11:41.0,Personal foul by P. Beverley (drawn by R. Westbrook),,3-0,,
11:31.0,,,3-2,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
11:16.0,Turnover by J. Harden (bad pass; steal by D. Waiters),,3-2,,
11:03.0,,,3-2,,S. Ibaka misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by J. Harden,,3-2,,
10:48.0,Turnover by D. Howard (bad pass),,3-2,,
10:33.0,,,3-2,,R. Westbrook misses 2-pt shot from 12 ft
10:33.0,Defensive rebound by J. Harden,,3-2,,
10:26.0,Shooting foul by R. Westbrook (drawn by D. Howard),,3-2,,
10:26.0,D. Howard misses free throw 1 of 2,,3-2,,
10:26.0,Offensive rebound by Team,,3-2,,
10:26.0,D. Howard misses free throw 2 of 2,,3-2,,
10:26.0,,,3-2,,Defensive rebound by S. Adams
10:15.0,,,3-4,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
9:59.0,C. Brewer misses 2-pt shot from 2 ft (block by K. Durant),,3-4,,
9:59.0,Offensive rebound by Team,,3-4,,
9:47.0,P. Beverley misses 2-pt shot from 3 ft (block by S. Adams),,3-4,,
9:46.0,,,3-4,,Defensive rebound by R. Westbrook
9:40.0,,,3-4,,D. Waiters misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by T. Ariza,,3-4,,
9:32.0,T. Ariza misses 3-pt shot from 24 ft,,3-4,,
9:31.0,,,3-4,,Defensive rebound by R. Westbrook
9:26.0,,,3-4,,Turnover by R. Westbrook (bad pass; steal by J. Harden)
9:20.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,5-4,,
8:57.0,,,5-4,,S. Ibaka misses 2-pt shot at rim (block by D. Howard)
8:56.0,Defensive rebound by D. Howard,,5-4,,
8:47.0,J. Harden makes 2-pt shot at rim,2,7-4,,
8:27.0,Def 3 sec tech foul by D. Howard,,7-4,,
8:27.0,,,7-5,1,K. Durant makes technical free throw
8:22.0,,,7-7,2,R. Westbrook makes 2-pt shot at rim
8:01.0,C. Brewer misses 2-pt shot from 1 ft,,7-7,,
8:01.0,Offensive rebound by D. Howard,,7-7,,
8:01.0,D. Howard makes 2-pt shot at rim,2,9-7,,
7:49.0,,,9-9,2,K. Durant makes 2-pt shot from 12 ft (assist by R. Westbrook)
7:33.0,J. Harden misses 2-pt shot from 1 ft,,9-9,,
7:32.0,,,9-9,,Defensive rebound by R. Westbrook
7:27.0,,,9-11,2,R. Westbrook makes 2-pt shot at rim
7:25.0,Houston full timeout,,9-11,,
7:25.0,Violation by Team (jump ball),,9-11,,
7:11.0,P. Beverley misses 3-pt shot from 23 ft,,9-11,,
7:10.0,,,9-11,,Defensive rebound by K. Durant
7:00.0,,,9-11,,S. Ibaka misses 2-pt shot from 14 ft
6:59.0,Defensive rebound by C. Brewer,,9-11,,
6:54.0,J. Harden misses 2-pt shot at rim (block by S. Ibaka),,9-11,,
6:53.0,,,9-11,,Defensive rebound by K. Durant
6:48.0,,,9-11,,R. Westbrook misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by T. Ariza,,9-11,,
6:31.0,,,9-11,,Violation by S. Adams (kicked ball)
6:31.0,J. Smith enters the game for C. Brewer,,9-11,,
6:25.0,T. Ariza misses 3-pt shot from 23 ft,,9-11,,
6:24.0,,,9-11,,Defensive rebound by S. Ibaka
6:18.0,,,9-11,,S. Adams misses 2-pt shot at rim
6:18.0,Defensive rebound by P. Beverley,,9-11,,
6:02.0,D. Howard misses 2-pt shot from 7 ft,,9-11,,
6:02.0,Offensive rebound by Team,,9-11,,
6:02.0,,,9-11,,Personal foul by S. Ibaka (drawn by J. Smith)
5:54.0,J. Harden misses 2-pt shot from 3 ft,,9-11,,
5:53.0,,,9-11,,Defensive rebound by S. Ibaka
5:47.0,,,9-11,,S. Adams misses 2-pt shot from 6 ft
5:46.0,Defensive rebound by D. Howard,,9-11,,
5:43.0,Shooting foul by D. Waiters (drawn by J. Harden),,9-11,,
5:43.0,J. Harden makes free throw 1 of 2,1,10-11,,
5:43.0,C. Capela enters the game for D. Howard,,10-11,,
5:43.0,,,10-11,,K. Singler enters the game for S. Ibaka
5:43.0,J. Harden makes free throw 2 of 2,1,11-11,,
5:26.0,,,11-13,2,R. Westbrook makes 2-pt shot at rim
5:17.0,Shooting foul by K. Singler (drawn by P. Beverley),,11-13,,
5:17.0,P. Beverley misses free throw 1 of 2,,11-13,,
5:17.0,Offensive rebound by Team,,11-13,,
5:17.0,P. Beverley makes free throw 2 of 2,1,12-13,,
5:05.0,,,12-13,,D. Waiters misses 3-pt shot from 23 ft
5:04.0,Defensive rebound by P. Beverley,,12-13,,
4:53.0,J. Smith makes 2-pt shot from 2 ft,2,14-13,,
4:41.0,,,14-13,,Turnover by R. Westbrook (bad pass; steal by J. Harden)
4:36.0,J. Harden misses 2-pt shot from 1 ft (block by R. Westbrook),,14-13,,
4:36.0,Offensive rebound by Team,,14-13,,
4:21.0,P. Beverley misses 3-pt shot from 24 ft,,14-13,,
4:21.0,,,14-13,,Defensive rebound by K. Durant
4:02.0,,,14-13,,R. Westbrook misses 3-pt shot from 22 ft
4:02.0,Defensive rebound by C. Capela,,14-13,,
3:53.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden),3,17-13,,
3:46.0,,,17-13,,Oklahoma City full timeout
3:46.0,,,17-13,,E. Kanter enters the game for D. Waiters
3:46.0,T. Lawson enters the game for P. Beverley,,17-13,,
3:38.0,,,17-13,,Turnover by K. Durant (bad pass; steal by T. Ariza)
3:29.0,T. Ariza makes 3-pt shot from 22 ft (assist by T. Lawson),3,20-13,,
3:16.0,,,20-15,2,R. Westbrook makes 2-pt shot from 1 ft
2:57.0,T. Ariza misses 2-pt shot at rim,,20-15,,
2:56.0,,,20-15,,Defensive rebound by E. Kanter
2:49.0,,,20-15,,K. Singler misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by J. Smith,,20-15,,
2:40.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,22-15,,
2:25.0,,,22-15,,K. Durant misses 2-pt shot from 15 ft (block by T. Ariza)
2:24.0,Defensive rebound by T. Lawson,,22-15,,
2:15.0,J. Harden makes 3-pt shot from 22 ft,3,25-15,,
2:02.0,,,25-18,3,R. Westbrook makes 3-pt shot from 24 ft
1:47.0,J. Harden misses 2-pt shot from 1 ft,,25-18,,
1:46.0,,,25-18,,Defensive rebound by S. Adams
1:41.0,,,25-18,,D. Augustin enters the game for R. Westbrook
1:41.0,D. Howard enters the game for C. Capela,,25-18,,
1:41.0,M. Thornton enters the game for J. Harden,,25-18,,
1:31.0,,,25-18,,K. Durant misses 2-pt shot from 6 ft
1:31.0,Defensive rebound by Team,,25-18,,
1:15.0,J. Smith misses 2-pt shot from 8 ft,,25-18,,
1:14.0,Offensive rebound by M. Thornton,,25-18,,
1:12.0,M. Thornton misses 2-pt shot from 2 ft,,25-18,,
1:11.0,Offensive rebound by M. Thornton,,25-18,,
1:10.0,M. Thornton makes 2-pt shot from 1 ft,2,27-18,,
0:59.0,,,27-20,2,K. Durant makes 2-pt shot from 13 ft (assist by D. Augustin)
0:38.0,J. Smith misses 2-pt shot from 7 ft,,27-20,,
0:37.0,,,27-20,,Defensive rebound by E. Kanter
0:35.0,,,27-20,,Turnover by E. Kanter (lost ball; steal by M. Thornton)
0:30.0,M. Thornton misses 3-pt shot from 22 ft,,27-20,,
0:30.0,,,27-20,,Defensive rebound by S. Adams
0:11.0,,,27-22,2,K. Durant makes 2-pt shot from 6 ft
0:03.0,J. Harden enters the game for J. Smith,,27-22,,
0:00.0,J. Harden makes 2-pt shot at rim (assist by D. Howard),2,29-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-22,,E. Kanter misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by M. Thornton,,29-22,,
11:27.0,Turnover by J. Smith (bad pass),,29-22,,
11:15.0,,,29-22,,E. Kanter misses 2-pt shot from 2 ft
11:13.0,,,29-22,,Offensive rebound by K. Singler
11:13.0,,,29-22,,K. Singler misses 2-pt shot at rim
11:13.0,Defensive rebound by D. Howard,,29-22,,
10:56.0,C. Brewer misses 3-pt shot from 22 ft,,29-22,,
10:56.0,,,29-22,,Defensive rebound by Team
10:44.0,,,29-22,,S. Ibaka misses 3-pt shot from 22 ft
10:44.0,Defensive rebound by D. Howard,,29-22,,
10:38.0,C. Brewer makes 2-pt shot at rim,2,31-22,,
10:26.0,Personal foul by T. Lawson (drawn by D. Augustin),,31-22,,
10:26.0,,,31-22,,D. Waiters enters the game for K. Singler
10:11.0,,,31-22,,Turnover by Team (shot clock)
10:01.0,Turnover by D. Howard (traveling),,31-22,,
9:46.0,,,31-25,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Augustin)
9:32.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Lawson),3,34-25,,
9:14.0,,,34-27,2,E. Kanter makes 2-pt shot at rim (assist by D. Augustin)
9:03.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,36-27,,
8:51.0,Personal block foul by J. Smith (drawn by D. Augustin),,36-27,,
8:51.0,Official timeout,,36-27,,
8:51.0,,,36-27,,R. Westbrook enters the game for D. Augustin
8:51.0,T. Jones enters the game for J. Smith,,36-27,,
8:43.0,,,36-27,,R. Westbrook misses 2-pt shot from 12 ft
8:43.0,Jump ball: D. Howard vs. S. Ibaka (T. Lawson gains possession),,,,Jump ball: D. Howard vs. S. Ibaka (T. Lawson gains possession)
8:43.0,Offensive rebound by Team,,36-27,,
8:37.0,,,36-27,,Violation by S. Ibaka (def goaltending)
8:37.0,T. Lawson makes 2-pt shot from 1 ft,2,38-27,,
8:17.0,,,38-27,,A. Morrow misses 2-pt shot from 10 ft
8:17.0,Defensive rebound by D. Howard,,38-27,,
8:13.0,Turnover by C. Brewer (lost ball),,38-27,,
8:13.0,,,38-27,,K. Durant enters the game for A. Morrow
8:03.0,,,38-29,2,R. Westbrook makes 2-pt shot from 18 ft
7:40.0,D. Howard misses 2-pt shot from 5 ft,,38-29,,
7:39.0,,,38-29,,Defensive rebound by E. Kanter
7:34.0,,,38-29,,Shooting foul by T. Lawson (drawn by D. Waiters)
7:34.0,,,38-30,1,D. Waiters makes free throw 1 of 2
7:34.0,C. Capela enters the game for C. Brewer,,38-30,,
7:34.0,P. Beverley enters the game for D. Howard,,38-30,,
7:34.0,J. Harden enters the game for T. Lawson,,38-30,,
7:34.0,T. Ariza enters the game for M. Thornton,,38-30,,
7:34.0,,,38-30,,D. Augustin enters the game for E. Kanter
7:34.0,,,38-31,1,D. Waiters makes free throw 2 of 2
7:18.0,C. Capela misses 2-pt shot at rim,,38-31,,
7:18.0,,,38-31,,Defensive rebound by D. Augustin
7:13.0,,,38-33,2,R. Westbrook makes 2-pt shot at rim (assist by D. Augustin)
6:52.0,Shooting foul by K. Durant (drawn by T. Jones),,38-33,,
6:52.0,T. Jones makes free throw 1 of 2,1,39-33,,
6:52.0,T. Jones makes free throw 2 of 2,1,40-33,,
6:40.0,,,40-33,,K. Durant misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by T. Jones,,40-33,,
6:26.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,43-33,,
6:06.0,,,43-33,,S. Ibaka misses 2-pt shot from 2 ft (block by C. Capela)
6:05.0,Defensive rebound by C. Capela,,43-33,,
5:52.0,Shooting foul by D. Waiters (drawn by J. Harden),,43-33,,
5:52.0,,,43-33,,Oklahoma City full timeout
5:52.0,J. Harden makes free throw 1 of 2,1,44-33,,
5:52.0,J. Harden makes free throw 2 of 2,1,45-33,,
5:42.0,Shooting block foul by C. Capela (drawn by K. Durant),,45-33,,
5:42.0,,,45-34,1,K. Durant makes free throw 1 of 2
5:42.0,,,45-34,,S. Adams enters the game for S. Ibaka
5:42.0,,,45-35,1,K. Durant makes free throw 2 of 2
5:31.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,47-35,,
5:16.0,,,47-38,3,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:53.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,50-38,,
4:40.0,,,50-40,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
4:25.0,,,50-40,,Personal foul by D. Waiters (drawn by J. Harden)
4:25.0,,,50-40,,K. Singler enters the game for D. Waiters
4:22.0,J. Harden misses 3-pt shot from 24 ft,,50-40,,
4:22.0,,,50-40,,Defensive rebound by R. Westbrook
4:14.0,,,50-40,,Shooting foul by P. Beverley (drawn by R. Westbrook)
4:14.0,,,50-41,1,R. Westbrook makes free throw 1 of 2
4:14.0,,,50-42,1,R. Westbrook makes free throw 2 of 2
4:04.0,Turnover by T. Jones (bad pass; steal by S. Adams),,50-42,,
3:57.0,,,50-42,,Turnover by K. Singler (bad pass; steal by P. Beverley)
3:42.0,Shooting foul by S. Adams (drawn by J. Harden),,50-42,,
3:42.0,J. Harden makes free throw 1 of 2,1,51-42,,
3:42.0,D. Howard enters the game for C. Capela,,51-42,,
3:42.0,J. Harden misses free throw 2 of 2,,51-42,,
3:41.0,,,51-42,,Defensive rebound by K. Durant
3:27.0,,,51-45,3,D. Augustin makes 3-pt shot from 22 ft (assist by K. Durant)
3:01.0,J. Harden makes 2-pt shot from 15 ft,2,53-45,,
3:01.0,,,53-45,,Loose ball foul by K. Singler (drawn by D. Howard)
3:01.0,Technical foul by D. Howard,,53-45,,
3:01.0,,,53-46,1,K. Durant makes technical free throw
3:01.0,D. Howard misses free throw 1 of 1,,53-46,,
3:00.0,,,53-46,,Offensive rebound by S. Adams
2:55.0,,,53-48,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
2:31.0,P. Beverley misses 3-pt shot from 25 ft,,53-48,,
2:30.0,,,53-48,,Defensive rebound by D. Augustin
2:25.0,,,53-48,,D. Augustin misses 2-pt shot from 1 ft
2:25.0,Defensive rebound by J. Harden,,53-48,,
2:17.0,Turnover by P. Beverley (bad pass; steal by R. Westbrook),,53-48,,
2:14.0,,,53-48,,Shooting foul by J. Harden (drawn by R. Westbrook)
2:14.0,Houston full timeout,,53-48,,
2:14.0,T. Lawson enters the game for P. Beverley,,53-48,,
2:14.0,C. Brewer enters the game for T. Jones,,53-48,,
2:14.0,,,53-48,,R. Westbrook misses free throw 1 of 2
2:14.0,,,53-48,,Offensive rebound by Team
2:14.0,,,53-49,1,R. Westbrook makes free throw 2 of 2
2:14.0,,,53-49,,Personal take foul by K. Singler (drawn by D. Howard)
2:14.0,D. Howard misses free throw 1 of 2,,53-49,,
2:14.0,Offensive rebound by Team,,53-49,,
2:14.0,D. Howard misses free throw 2 of 2,,53-49,,
2:14.0,,,53-49,,Defensive rebound by K. Durant
2:03.0,,,53-49,,Turnover by R. Westbrook (bad pass; steal by D. Howard)
1:57.0,C. Brewer makes 2-pt shot from 1 ft,2,55-49,,
1:42.0,,,55-49,,Shooting foul by T. Lawson (drawn by S. Adams)
1:42.0,,,55-50,1,S. Adams makes free throw 1 of 2
1:42.0,,,55-51,1,S. Adams makes free throw 2 of 2
1:41.0,,,55-51,,Personal take foul by D. Augustin (drawn by D. Howard)
1:41.0,D. Howard misses free throw 1 of 2,,55-51,,
1:41.0,Offensive rebound by Team,,55-51,,
1:41.0,D. Howard misses free throw 2 of 2,,55-51,,
1:40.0,,,55-51,,Defensive rebound by S. Adams
1:31.0,,,55-53,2,R. Westbrook makes 2-pt shot from 12 ft
1:24.0,,,55-53,,Personal take foul by D. Augustin (drawn by D. Howard)
1:24.0,D. Howard makes free throw 1 of 2,1,56-53,,
1:24.0,D. Howard misses free throw 2 of 2,,56-53,,
1:24.0,,,56-53,,Defensive rebound by R. Westbrook
1:17.0,,,56-53,,Turnover by R. Westbrook (bad pass; steal by D. Howard)
1:01.0,T. Lawson misses 3-pt shot from 24 ft,,56-53,,
1:00.0,,,56-53,,Defensive rebound by S. Adams
0:51.0,,,56-53,,K. Durant misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by J. Harden,,56-53,,
0:46.0,Shooting foul by D. Augustin (drawn by C. Brewer),,56-53,,
0:46.0,C. Brewer makes free throw 1 of 2,1,57-53,,
0:46.0,,,57-53,,A. Morrow enters the game for D. Augustin
0:46.0,C. Brewer misses free throw 2 of 2,,57-53,,
0:46.0,,,57-53,,Defensive rebound by S. Adams
0:35.0,,,57-55,2,R. Westbrook makes 2-pt shot from 12 ft
0:20.0,,,57-55,,Personal take foul by A. Morrow (drawn by D. Howard)
0:20.0,D. Howard misses free throw 1 of 2,,57-55,,
0:20.0,Offensive rebound by Team,,57-55,,
0:20.0,T. Jones enters the game for T. Lawson,,57-55,,
0:20.0,D. Howard makes free throw 2 of 2,1,58-55,,
0:07.0,,,58-55,,Turnover by K. Durant (lost ball; steal by T. Ariza)
0:03.0,Turnover by T. Ariza (bad pass; steal by K. Durant),,58-55,,
0:00.0,,,58-55,,A. Morrow misses 3-pt shot from 29 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,58-55,,Turnover by K. Durant (bad pass)
11:12.0,C. Brewer misses 3-pt shot from 24 ft,,58-55,,
11:11.0,,,58-55,,Defensive rebound by D. Waiters
11:04.0,,,58-55,,D. Waiters misses 2-pt shot from 1 ft
11:04.0,,,58-55,,Offensive rebound by S. Adams
11:04.0,,,58-55,,Shooting foul by D. Howard (drawn by S. Adams)
11:04.0,,,58-55,,S. Adams misses free throw 1 of 2
