time,New Orleans,pts.away,score,pts.home,Toronto
5:25.0,,,12-12,,Turnover by J. Valanciunas (traveling)
5:11.0,A. Ajinca misses 2-pt shot from 3 ft,,12-12,,
5:10.0,,,12-12,,Defensive rebound by L. Scola
5:02.0,,,12-12,,Turnover by K. Lowry (bad pass; steal by A. Gee)
5:02.0,,,12-12,,Personal foul by D. DeRozan (drawn by A. Gee)
4:48.0,,,12-12,,Personal foul by L. Scola (drawn by E. Gordon)
4:48.0,E. Gordon makes free throw 1 of 2,1,13-12,,
4:48.0,E. Gordon makes free throw 2 of 2,1,14-12,,
4:32.0,Personal block foul by A. Gee (drawn by D. DeRozan),,14-12,,
4:26.0,,,14-12,,D. DeRozan misses 2-pt shot from 20 ft
4:21.0,Defensive rebound by I. Smith,,14-12,,
4:17.0,E. Gordon misses 2-pt shot from 1 ft,,14-12,,
4:17.0,,,14-12,,Defensive rebound by K. Lowry
4:09.0,,,14-12,,D. Carroll misses 2-pt shot from 10 ft
4:08.0,,,14-12,,Offensive rebound by J. Valanciunas
4:07.0,,,14-12,,J. Valanciunas misses 2-pt shot from 1 ft
4:06.0,Defensive rebound by R. Anderson,,14-12,,
3:57.0,Offensive foul by E. Gordon,,14-12,,
3:57.0,Turnover by E. Gordon (offensive foul),,14-12,,
3:40.0,,,14-14,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by K. Lowry)
3:30.0,Turnover by I. Smith (bad pass; steal by K. Lowry),,14-14,,
3:25.0,,,14-14,,Shooting foul by I. Smith (drawn by D. DeRozan)
3:25.0,,,14-15,1,D. DeRozan makes free throw 1 of 2
3:25.0,,,14-15,,P. Patterson enters the game for L. Scola
3:25.0,,,14-15,,D. DeRozan misses free throw 2 of 2
3:24.0,Defensive rebound by A. Ajinca,,14-15,,
3:07.0,E. Gordon misses 3-pt shot from 24 ft,,14-15,,
3:06.0,,,14-15,,Defensive rebound by K. Lowry
2:56.0,,,14-15,,Turnover by D. Carroll (bad pass; steal by E. Gordon)
2:51.0,E. Gordon makes 2-pt shot from 2 ft,2,16-15,,
2:32.0,,,16-15,,K. Lowry misses 3-pt shot from 26 ft (block by I. Smith)
2:31.0,Defensive rebound by A. Ajinca,,16-15,,
2:22.0,A. Ajinca misses 2-pt shot from 6 ft,,16-15,,
2:22.0,,,16-15,,Defensive rebound by D. DeRozan
2:12.0,Personal foul by A. Gee (drawn by D. DeRozan),,16-15,,
2:12.0,New Orleans full timeout,,16-15,,
2:12.0,,,16-15,,B. Biyombo enters the game for J. Valanciunas
2:12.0,,,16-15,,C. Joseph enters the game for K. Lowry
2:12.0,L. Babbitt enters the game for A. Gee,,16-15,,
2:12.0,D. Cunningham enters the game for R. Anderson,,16-15,,
2:06.0,,,16-15,,D. DeRozan misses 2-pt shot from 19 ft
2:05.0,Defensive rebound by D. Cunningham,,16-15,,
1:38.0,Turnover by Team (shot clock),,16-15,,
1:16.0,,,16-15,,C. Joseph misses 2-pt shot from 4 ft
1:16.0,Defensive rebound by Team,,16-15,,
0:59.0,E. Gordon makes 3-pt shot from 25 ft (assist by D. Cunningham),3,19-15,,
0:46.0,,,19-15,,D. Carroll misses 2-pt shot from 19 ft
0:45.0,,,19-15,,Offensive rebound by C. Joseph
0:28.0,,,19-15,,C. Joseph misses 2-pt shot from 9 ft
0:27.0,,,19-15,,Offensive rebound by Team
0:27.0,Loose ball foul by A. Ajinca (drawn by B. Biyombo),,19-15,,
0:27.0,,,19-16,1,B. Biyombo makes free throw 1 of 2
0:27.0,,,19-17,1,B. Biyombo makes free throw 2 of 2
0:08.0,E. Gordon makes 2-pt shot from 2 ft (assist by I. Smith),2,21-17,,
0:02.0,,,21-17,,D. DeRozan misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by E. Gordon,,21-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,A. Ajinca makes 2-pt shot at rim (assist by I. Smith),2,23-17,,
11:17.0,,,23-20,3,K. Lowry makes 3-pt shot from 26 ft
11:05.0,,,23-20,,Def 3 sec tech foul by B. Biyombo
11:05.0,L. Babbitt makes technical free throw,1,24-20,,
10:55.0,L. Babbitt misses 2-pt shot from 17 ft,,24-20,,
10:54.0,,,24-20,,Defensive rebound by K. Lowry
10:35.0,,,24-20,,K. Lowry misses 2-pt shot from 8 ft (block by I. Smith)
10:33.0,Defensive rebound by A. Ajinca,,24-20,,
10:27.0,A. Ajinca makes 2-pt shot from 18 ft (assist by T. Douglas),2,26-20,,
10:14.0,,,26-20,,Turnover by C. Joseph (lost ball; steal by T. Douglas)
9:52.0,A. Ajinca makes 2-pt shot from 17 ft (assist by D. Cunningham),2,28-20,,
9:43.0,Personal foul by T. Douglas (drawn by K. Lowry),,28-20,,
9:32.0,,,28-20,,K. Lowry misses 3-pt shot from 25 ft
9:31.0,,,28-20,,Offensive rebound by Team
9:26.0,,,28-20,,Turnover by P. Patterson (bad pass; steal by A. Ajinca)
9:17.0,A. Ajinca misses 2-pt shot from 19 ft,,28-20,,
9:16.0,,,28-20,,Defensive rebound by B. Biyombo
9:03.0,,,28-20,,P. Patterson misses 3-pt shot from 23 ft
9:03.0,,,28-20,,Offensive rebound by Team
9:03.0,Loose ball foul by L. Babbitt (drawn by B. Biyombo),,28-20,,
8:54.0,,,28-20,,K. Lowry misses 2-pt shot from 14 ft
8:53.0,,,28-20,,Offensive rebound by B. Biyombo
8:52.0,,,28-20,,Shooting foul by A. Ajinca (drawn by B. Biyombo)
8:52.0,Official timeout,,28-20,,
8:52.0,O. Asik enters the game for A. Ajinca,,28-20,,
8:52.0,,,28-21,1,B. Biyombo makes free throw 1 of 2
8:52.0,,,28-22,1,B. Biyombo makes free throw 2 of 2
8:31.0,I. Smith makes 2-pt shot from 4 ft,2,30-22,,
8:16.0,,,30-22,,K. Lowry misses 2-pt shot from 2 ft (block by O. Asik)
8:16.0,Defensive rebound by D. Cunningham,,30-22,,
7:56.0,Shooting foul by N. Powell (drawn by O. Asik),,30-22,,
7:56.0,O. Asik makes free throw 1 of 2,1,31-22,,
7:56.0,O. Asik misses free throw 2 of 2,,31-22,,
7:55.0,Offensive rebound by D. Cunningham,,31-22,,
7:44.0,I. Smith misses 2-pt shot from 8 ft,,31-22,,
7:43.0,Offensive rebound by I. Smith,,31-22,,
7:39.0,I. Smith misses 2-pt shot from 7 ft,,31-22,,
7:38.0,Offensive rebound by O. Asik,,31-22,,
7:35.0,O. Asik misses 2-pt shot at rim (block by K. Lowry),,31-22,,
7:35.0,Offensive rebound by I. Smith,,31-22,,
7:35.0,,,31-22,,J. Valanciunas enters the game for B. Biyombo
7:35.0,Jump ball: C. Joseph vs. I. Smith (N. Powell gains possession),,,,Jump ball: C. Joseph vs. I. Smith (N. Powell gains possession)
7:35.0,Turnover by I. Smith (lost ball; steal by C. Joseph),,31-22,,
7:09.0,,,31-24,2,C. Joseph makes 2-pt shot from 16 ft
6:51.0,T. Douglas misses 2-pt shot from 18 ft,,31-24,,
6:50.0,,,31-24,,Defensive rebound by N. Powell
6:46.0,Shooting block foul by L. Babbitt (drawn by K. Lowry),,31-24,,
6:46.0,,,31-25,1,K. Lowry makes free throw 1 of 2
6:46.0,R. Anderson enters the game for D. Cunningham,,31-25,,
6:46.0,E. Gordon enters the game for I. Smith,,31-25,,
6:46.0,,,31-25,,D. Carroll enters the game for N. Powell
6:46.0,,,31-26,1,K. Lowry makes free throw 2 of 2
6:36.0,Shooting foul by D. Carroll (drawn by L. Babbitt),,31-26,,
6:36.0,L. Babbitt makes free throw 1 of 2,1,32-26,,
6:36.0,L. Babbitt misses free throw 2 of 2,,32-26,,
6:35.0,,,32-26,,Defensive rebound by J. Valanciunas
6:28.0,Personal foul by T. Douglas (drawn by K. Lowry),,32-26,,
6:28.0,,,32-27,1,K. Lowry makes free throw 1 of 2
6:28.0,,,32-28,1,K. Lowry makes free throw 2 of 2
6:11.0,R. Anderson makes 2-pt shot from 16 ft,2,34-28,,
5:49.0,,,34-28,,P. Patterson misses 2-pt shot from 13 ft
5:49.0,Defensive rebound by O. Asik,,34-28,,
5:35.0,E. Gordon misses 2-pt shot from 21 ft,,34-28,,
5:35.0,,,34-28,,Defensive rebound by K. Lowry
5:23.0,,,34-30,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
5:12.0,T. Douglas misses 2-pt shot from 6 ft,,34-30,,
5:12.0,,,34-30,,Defensive rebound by J. Valanciunas
5:04.0,,,34-30,,D. Carroll misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by R. Anderson,,34-30,,
4:45.0,R. Anderson misses 3-pt shot from 24 ft,,34-30,,
4:45.0,Offensive rebound by L. Babbitt,,34-30,,
4:41.0,L. Babbitt makes 2-pt shot from 7 ft,2,36-30,,
4:33.0,,,36-30,,Toronto full timeout
4:33.0,,,36-30,,D. DeRozan enters the game for P. Patterson
4:24.0,,,36-30,,K. Lowry misses 2-pt shot from 3 ft
4:23.0,,,36-30,,Offensive rebound by J. Valanciunas
4:21.0,,,36-30,,J. Valanciunas misses 2-pt shot from 1 ft
4:20.0,Defensive rebound by R. Anderson,,36-30,,
4:07.0,E. Gordon makes 2-pt shot from 3 ft,2,38-30,,
3:50.0,,,38-32,2,D. DeRozan makes 2-pt shot from 8 ft
3:27.0,O. Asik misses 2-pt shot from 3 ft (block by D. Carroll),,38-32,,
3:26.0,,,38-32,,Defensive rebound by J. Valanciunas
3:18.0,,,38-32,,C. Joseph misses 3-pt shot from 24 ft
3:17.0,,,38-32,,Offensive rebound by D. Carroll
3:02.0,,,38-32,,D. Carroll misses 2-pt shot from 2 ft (block by O. Asik)
3:02.0,,,38-32,,Offensive rebound by J. Valanciunas
3:02.0,Personal foul by L. Babbitt (drawn by J. Valanciunas),,38-32,,
3:02.0,,,38-33,1,J. Valanciunas makes free throw 1 of 2
3:02.0,A. Gee enters the game for L. Babbitt,,38-33,,
3:02.0,,,38-33,,L. Scola enters the game for K. Lowry
3:02.0,I. Smith enters the game for T. Douglas,,38-33,,
3:02.0,,,38-33,,J. Valanciunas misses free throw 2 of 2
3:01.0,Defensive rebound by O. Asik,,38-33,,
2:49.0,E. Gordon makes 2-pt shot from 3 ft (assist by R. Anderson),2,40-33,,
2:30.0,,,40-33,,D. Carroll misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by O. Asik,,40-33,,
2:07.0,I. Smith misses 2-pt shot from 12 ft,,40-33,,
2:06.0,,,40-33,,Defensive rebound by D. DeRozan
2:00.0,Personal foul by I. Smith (drawn by J. Valanciunas),,40-33,,
2:00.0,New Orleans full timeout,,40-33,,
2:00.0,,,40-34,1,J. Valanciunas makes free throw 1 of 2
2:00.0,,,40-35,1,J. Valanciunas makes free throw 2 of 2
1:48.0,Offensive foul by O. Asik,,40-35,,
1:48.0,Turnover by O. Asik (offensive foul),,40-35,,
1:30.0,,,40-37,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
1:13.0,E. Gordon misses 2-pt shot from 18 ft,,40-37,,
1:12.0,,,40-37,,Defensive rebound by C. Joseph
0:53.0,,,40-40,3,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:34.0,R. Anderson misses 2-pt shot from 6 ft,,40-40,,
0:34.0,,,40-40,,Defensive rebound by D. Carroll
0:29.0,,,40-40,,Offensive charge foul by C. Joseph
0:29.0,,,40-40,,Turnover by C. Joseph (offensive foul)
0:08.0,E. Gordon misses 2-pt shot from 6 ft,,40-40,,
0:07.0,Offensive rebound by O. Asik,,40-40,,
0:06.0,O. Asik misses 2-pt shot from 2 ft (block by C. Joseph),,40-40,,
0:06.0,Offensive rebound by Team,,40-40,,
0:06.0,New Orleans full timeout,,40-40,,
0:06.0,,,40-40,,N. Powell enters the game for D. Carroll
0:06.0,L. Babbitt enters the game for A. Gee,,40-40,,
0:02.0,R. Anderson misses 2-pt shot from 18 ft,,40-40,,
0:02.0,,,40-40,,Defensive rebound by D. DeRozan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,A. Gee misses 3-pt shot from 24 ft,,40-40,,
11:48.0,,,40-40,,Defensive rebound by K. Lowry
11:32.0,,,40-42,2,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. Carroll)
11:22.0,J. Holiday makes 3-pt shot from 26 ft,3,43-42,,
10:59.0,,,43-42,,K. Lowry misses 2-pt shot from 14 ft
10:59.0,,,43-42,,Offensive rebound by J. Valanciunas
10:57.0,,,43-42,,J. Valanciunas misses 2-pt shot from 2 ft
10:56.0,,,43-42,,Offensive rebound by J. Valanciunas
10:52.0,,,43-44,2,L. Scola makes 2-pt shot from 19 ft
10:46.0,J. Holiday makes 3-pt shot from 26 ft (assist by E. Gordon),3,46-44,,
10:27.0,,,46-46,2,D. Carroll makes 2-pt shot from 6 ft
10:19.0,J. Holiday makes 2-pt shot from 15 ft,2,48-46,,
10:03.0,,,48-48,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
9:49.0,Turnover by O. Asik (lost ball; steal by K. Lowry),,48-48,,
9:36.0,,,48-48,,L. Scola misses 2-pt shot from 10 ft
9:35.0,,,48-48,,Offensive rebound by J. Valanciunas
9:27.0,,,48-50,2,J. Valanciunas makes 2-pt shot from 4 ft
9:07.0,Turnover by O. Asik (traveling),,48-50,,
8:53.0,,,48-50,,D. DeRozan misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by A. Gee,,48-50,,
8:43.0,R. Anderson makes 2-pt shot from 1 ft (assist by A. Gee),2,50-50,,
8:22.0,,,50-50,,D. Carroll misses 2-pt shot from 8 ft
8:21.0,Defensive rebound by R. Anderson,,50-50,,
8:09.0,,,50-50,,Personal foul by L. Scola (drawn by E. Gordon)
7:58.0,Turnover by E. Gordon (turnover),,50-50,,
7:39.0,,,50-53,3,K. Lowry makes 3-pt shot from 25 ft
7:25.0,R. Anderson misses 3-pt shot from 27 ft,,50-53,,
7:25.0,,,50-53,,Defensive rebound by Team
7:17.0,,,50-53,,Shooting foul by A. Gee (drawn by D. DeRozan)
7:17.0,,,50-54,1,D. DeRozan makes free throw 1 of 2
7:17.0,,,50-55,1,D. DeRozan makes free throw 2 of 2
7:05.0,J. Holiday makes 2-pt shot from 8 ft,2,52-55,,
6:43.0,,,52-57,2,D. Carroll makes 2-pt shot from 7 ft (assist by D. DeRozan)
6:31.0,E. Gordon misses 3-pt shot from 25 ft,,52-57,,
6:31.0,Offensive rebound by Team,,52-57,,
6:31.0,,,52-57,,Loose ball foul by J. Valanciunas (drawn by R. Anderson)
6:22.0,E. Gordon misses 3-pt shot from 25 ft,,52-57,,
6:21.0,,,52-57,,Defensive rebound by D. DeRozan
6:10.0,,,52-59,2,L. Scola makes 2-pt shot from 7 ft
6:10.0,New Orleans full timeout,,52-59,,
5:58.0,R. Anderson misses 2-pt shot from 19 ft,,52-59,,
5:57.0,,,52-59,,Defensive rebound by Team
5:40.0,,,52-59,,Turnover by K. Lowry (lost ball; steal by J. Holiday)
5:26.0,R. Anderson misses 2-pt shot from 3 ft (block by J. Valanciunas),,52-59,,
5:26.0,,,52-59,,Defensive rebound by Team
