time,New Orleans,pts.away,score,pts.home,Toronto
3:21.0,,,75-98,1,D. DeRozan makes free throw 1 of 2
3:21.0,L. Babbitt enters the game for R. Anderson,,75-98,,
3:21.0,T. Douglas enters the game for E. Gordon,,75-98,,
3:21.0,,,75-99,1,D. DeRozan makes free throw 2 of 2
3:04.0,,,75-99,,Personal foul by P. Patterson (drawn by I. Smith)
3:04.0,I. Smith makes free throw 1 of 2,1,76-99,,
3:04.0,I. Smith makes free throw 2 of 2,1,77-99,,
2:50.0,,,77-99,,Turnover by D. DeRozan (bad pass; steal by T. Douglas)
2:44.0,T. Douglas makes 2-pt shot from 2 ft,2,79-99,,
2:29.0,Personal foul by L. Babbitt (drawn by J. Valanciunas),,79-99,,
2:29.0,New Orleans full timeout,,79-99,,
2:29.0,,,79-99,,D. Wright enters the game for D. DeRozan
2:29.0,,,79-99,,A. Bennett enters the game for K. Lowry
2:29.0,,,79-99,,N. Powell enters the game for P. Patterson
2:29.0,,,79-99,,J. Valanciunas misses free throw 1 of 2
2:29.0,,,79-99,,Offensive rebound by Team
2:29.0,J. Fredette enters the game for D. Cunningham,,79-99,,
2:29.0,,,79-100,1,J. Valanciunas makes free throw 2 of 2
2:21.0,,,79-100,,Personal foul by D. Wright (drawn by I. Smith)
2:21.0,I. Smith makes free throw 1 of 2,1,80-100,,
2:21.0,,,80-100,,B. Biyombo enters the game for J. Valanciunas
2:21.0,I. Smith makes free throw 2 of 2,1,81-100,,
2:01.0,,,81-100,,A. Bennett misses 2-pt shot from 14 ft
2:01.0,Defensive rebound by Team,,81-100,,
1:37.0,A. Ajinca misses 2-pt shot from 13 ft,,81-100,,
1:37.0,,,81-100,,Defensive rebound by A. Bennett
1:20.0,,,81-100,,C. Joseph misses 2-pt shot from 10 ft
1:19.0,Defensive rebound by A. Ajinca,,81-100,,
1:05.0,I. Smith misses 3-pt shot from 27 ft,,81-100,,
1:05.0,,,81-100,,Defensive rebound by N. Powell
0:57.0,,,81-100,,N. Powell misses 2-pt shot from 14 ft
0:56.0,Defensive rebound by L. Babbitt,,81-100,,
0:44.0,T. Douglas misses 2-pt shot from 18 ft,,81-100,,
0:44.0,,,81-100,,Defensive rebound by D. Wright
0:25.0,,,81-100,,Turnover by A. Bennett (turnover)
0:11.0,J. Fredette misses 2-pt shot from 8 ft,,81-100,,
0:10.0,,,81-100,,Defensive rebound by B. Biyombo
0:00.0,End of 4th quarter,,,,End of 4th quarter
