time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (L. James gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (L. James gains possession)
11:43.0,,,0-0,,Turnover by K. Love (lost ball; steal by M. Williams)
11:34.0,C. Lee misses 3-pt shot from 23 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by L. James
11:26.0,,,0-2,2,L. James makes 2-pt shot at rim
11:07.0,C. Zeller misses 2-pt shot from 18 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by K. Love
10:59.0,,,0-2,,Turnover by T. Thompson (lost ball; steal by C. Lee)
10:55.0,M. Williams misses 2-pt shot from 8 ft (block by K. Irving),,0-2,,
10:55.0,Offensive rebound by Team,,0-2,,
10:43.0,N. Batum makes 2-pt shot at rim (assist by K. Walker),2,2-2,,
10:24.0,,,2-2,,K. Love misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by C. Zeller,,2-2,,
10:06.0,K. Walker misses 3-pt shot from 26 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by J. Smith
9:58.0,,,2-2,,L. James misses 2-pt shot from 1 ft
9:56.0,Defensive rebound by N. Batum,,2-2,,
9:50.0,Turnover by C. Zeller (lost ball; steal by J. Smith),,2-2,,
9:45.0,,,2-2,,Turnover by L. James (bad pass)
9:26.0,M. Williams makes 2-pt shot at rim (assist by N. Batum),2,4-2,,
9:06.0,,,4-5,3,L. James makes 3-pt shot from 22 ft (assist by K. Love)
8:41.0,M. Williams misses 3-pt shot from 24 ft,,4-5,,
8:41.0,,,4-5,,Defensive rebound by J. Smith
8:38.0,Personal foul by M. Williams (drawn by K. Love),,4-5,,
8:30.0,,,4-5,,K. Love misses 2-pt shot from 5 ft (block by N. Batum)
8:29.0,,,4-5,,Offensive rebound by L. James
8:24.0,,,4-7,2,K. Irving makes 2-pt shot from 15 ft (assist by L. James)
8:10.0,Turnover by M. Williams (lost ball),,4-7,,
7:59.0,,,4-9,2,K. Love makes 2-pt shot from 18 ft (assist by L. James)
7:43.0,M. Williams misses 3-pt shot from 24 ft,,4-9,,
7:43.0,Offensive rebound by C. Zeller,,4-9,,
7:40.0,C. Zeller misses 2-pt shot from 2 ft,,4-9,,
7:38.0,,,4-9,,Defensive rebound by T. Thompson
7:28.0,,,4-12,3,L. James makes 3-pt shot from 24 ft (assist by K. Love)
7:12.0,C. Lee makes 2-pt shot at rim (assist by N. Batum),2,6-12,,
6:56.0,,,6-12,,L. James misses 3-pt shot from 24 ft
