time,Atlanta,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,A. Horford misses 2-pt shot from 16 ft,,0-0,,
12:00.0,Jump ball: A. Davis vs. A. Horford (P. Millsap gains possession),,,,Jump ball: A. Davis vs. A. Horford (P. Millsap gains possession)
11:43.0,,,0-0,,Defensive rebound by A. Davis
11:22.0,,,0-0,,A. Davis misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by P. Millsap,,0-0,,
11:05.0,P. Millsap misses 3-pt shot from 25 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by A. Davis
10:53.0,,,0-0,,D. Cunningham misses 2-pt shot from 1 ft (block by J. Teague)
10:52.0,Defensive rebound by P. Millsap,,0-0,,
10:42.0,Turnover by P. Millsap (traveling),,0-0,,
10:22.0,,,0-0,,E. Gordon misses 2-pt shot from 9 ft (block by A. Horford)
10:19.0,Defensive rebound by K. Bazemore,,0-0,,
10:10.0,Turnover by A. Horford (lost ball; steal by A. Davis),,0-0,,
10:04.0,,,0-2,2,E. Gordon makes 2-pt shot at rim
9:47.0,A. Horford misses 2-pt shot from 2 ft,,0-2,,
9:47.0,,,0-2,,Defensive rebound by A. Davis
9:31.0,,,0-2,,L. Babbitt misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by K. Bazemore,,0-2,,
9:17.0,A. Horford makes 2-pt shot from 20 ft (assist by K. Bazemore),2,2-2,,
9:05.0,,,2-4,2,A. Davis makes 2-pt shot from 12 ft
8:48.0,P. Millsap makes 2-pt shot from 19 ft (assist by J. Teague),2,4-4,,
8:30.0,,,4-7,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
8:14.0,A. Horford misses 3-pt shot from 23 ft,,4-7,,
8:14.0,,,4-7,,Defensive rebound by Team
7:52.0,,,4-10,3,E. Gordon makes 3-pt shot from 23 ft (assist by J. Holiday)
7:37.0,Shooting foul by D. Cunningham (drawn by J. Teague),,4-10,,
7:37.0,J. Teague misses free throw 1 of 2,,4-10,,
7:37.0,Offensive rebound by Team,,4-10,,
7:37.0,J. Teague makes free throw 2 of 2,1,5-10,,
7:25.0,,,5-10,,A. Davis misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by P. Millsap,,5-10,,
7:14.0,Shooting foul by E. Gordon (drawn by K. Bazemore),,5-10,,
7:14.0,K. Bazemore makes free throw 1 of 2,1,6-10,,
7:14.0,T. Splitter enters the game for A. Horford,,6-10,,
7:14.0,,,6-10,,A. Ajinca enters the game for L. Babbitt
7:14.0,K. Bazemore makes free throw 2 of 2,1,7-10,,
7:04.0,,,7-10,,Turnover by J. Holiday (bad pass; steal by K. Bazemore)
6:57.0,J. Teague makes 2-pt shot from 1 ft (assist by K. Bazemore),2,9-10,,
6:44.0,,,9-10,,J. Holiday misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by T. Splitter,,9-10,,
6:33.0,,,9-10,,Personal foul by A. Davis (drawn by K. Bazemore)
6:33.0,Atlanta full timeout,,9-10,,
6:33.0,,,9-10,,I. Smith enters the game for J. Holiday
6:24.0,J. Teague misses 2-pt shot from 2 ft (block by A. Ajinca),,9-10,,
6:23.0,,,9-10,,Defensive rebound by D. Cunningham
6:00.0,,,9-10,,I. Smith misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by K. Korver,,9-10,,
5:47.0,J. Teague misses 2-pt shot from 1 ft,,9-10,,
5:46.0,,,9-10,,Defensive rebound by A. Davis
5:33.0,,,9-10,,D. Cunningham misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by T. Splitter,,9-10,,
5:22.0,Turnover by P. Millsap (bad pass; steal by A. Ajinca),,9-10,,
5:16.0,,,9-12,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
5:01.0,T. Splitter misses 2-pt shot from 1 ft,,9-12,,
5:00.0,,,9-12,,Defensive rebound by A. Ajinca
4:52.0,,,9-14,2,D. Cunningham makes 2-pt shot from 20 ft (assist by I. Smith)
4:37.0,T. Splitter makes 2-pt shot from 2 ft (assist by K. Korver),2,11-14,,
4:24.0,,,11-17,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis)
4:15.0,Shooting foul by D. Cunningham (drawn by P. Millsap),,11-17,,
4:15.0,P. Millsap makes free throw 1 of 2,1,12-17,,
4:15.0,,,12-17,,L. Babbitt enters the game for D. Cunningham
4:15.0,D. Schroder enters the game for K. Korver,,12-17,,
4:15.0,L. Patterson enters the game for J. Teague,,12-17,,
4:15.0,P. Millsap makes free throw 2 of 2,1,13-17,,
3:58.0,Personal foul by L. Patterson (drawn by I. Smith),,13-17,,
3:50.0,,,13-19,2,A. Davis makes 2-pt shot from 1 ft
3:33.0,Shooting foul by A. Davis (drawn by T. Splitter),,13-19,,
3:33.0,T. Splitter makes free throw 1 of 2,1,14-19,,
3:33.0,,,14-19,,R. Anderson enters the game for A. Davis
3:33.0,T. Splitter makes free throw 2 of 2,1,15-19,,
3:11.0,,,15-19,,I. Smith misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by K. Bazemore,,15-19,,
3:05.0,Shooting foul by A. Ajinca (drawn by K. Bazemore),,15-19,,
3:05.0,K. Bazemore makes free throw 1 of 2,1,16-19,,
3:05.0,K. Bazemore makes free throw 2 of 2,1,17-19,,
2:50.0,Personal block foul by P. Millsap (drawn by E. Gordon),,17-19,,
2:50.0,,,17-19,,New Orleans full timeout
2:37.0,,,17-19,,Shooting foul by T. Splitter (drawn by L. Babbitt)
2:37.0,,,17-20,1,L. Babbitt makes free throw 1 of 2
2:37.0,,,17-21,1,L. Babbitt makes free throw 2 of 2
2:18.0,P. Millsap makes 2-pt shot from 2 ft (assist by L. Patterson),2,19-21,,
2:07.0,,,19-23,2,A. Ajinca makes 2-pt shot from 16 ft (assist by I. Smith)
1:53.0,D. Schroder makes 2-pt shot from 15 ft,2,21-23,,
1:35.0,,,21-26,3,L. Babbitt makes 3-pt shot from 22 ft (assist by R. Anderson)
1:14.0,P. Millsap misses 3-pt shot from 24 ft,,21-26,,
1:14.0,,,21-26,,Defensive rebound by A. Ajinca
1:02.0,,,21-26,,R. Anderson misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by L. Patterson,,21-26,,
0:55.0,D. Schroder makes 3-pt shot from 23 ft (assist by L. Patterson),3,24-26,,
0:45.0,,,24-28,2,A. Ajinca makes 2-pt shot from 2 ft (assist by I. Smith)
0:19.0,P. Millsap misses 2-pt shot from 13 ft,,24-28,,
0:19.0,Offensive rebound by T. Splitter,,24-28,,
0:19.0,Shooting foul by I. Smith (drawn by T. Splitter),,24-28,,
0:19.0,T. Splitter makes free throw 1 of 2,1,25-28,,
0:19.0,M. Scott enters the game for P. Millsap,,25-28,,
0:19.0,T. Splitter makes free throw 2 of 2,1,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-30,2,I. Smith makes 2-pt shot from 2 ft
11:23.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,28-30,,
11:13.0,,,28-30,,I. Smith misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by M. Scott,,28-30,,
11:05.0,K. Korver enters the game for L. Patterson,,28-30,,
11:05.0,J. Teague enters the game for D. Schroder,,28-30,,
11:05.0,,,28-30,,A. Davis enters the game for A. Ajinca
11:02.0,M. Scott makes 2-pt shot from 2 ft (assist by K. Korver),2,30-30,,
10:47.0,,,30-30,,R. Anderson misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by K. Korver,,30-30,,
10:40.0,Turnover by J. Teague (lost ball; steal by I. Smith),,30-30,,
10:28.0,,,30-30,,Turnover by T. Douglas (bad pass; steal by A. Horford)
10:12.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Holiday),3,33-30,,
9:58.0,,,33-30,,I. Smith misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by A. Horford,,33-30,,
9:48.0,Turnover by J. Teague (bad pass; steal by A. Davis),,33-30,,
9:45.0,Violation by M. Scott (def goaltending),,33-30,,
9:45.0,,,33-32,2,I. Smith makes 2-pt shot from 2 ft (assist by A. Davis)
9:33.0,M. Scott misses 3-pt shot from 25 ft,,33-32,,
9:33.0,,,33-32,,Defensive rebound by Team
9:33.0,,,33-32,,A. Gee enters the game for I. Smith
9:09.0,,,33-32,,T. Douglas misses 2-pt shot from 10 ft
9:09.0,Defensive rebound by K. Korver,,33-32,,
8:52.0,M. Scott makes 2-pt shot from 5 ft (assist by K. Korver),2,35-32,,
8:48.0,,,35-32,,New Orleans full timeout
8:48.0,,,35-32,,E. Gordon enters the game for L. Babbitt
8:48.0,,,35-32,,Violation by Team (delay of game)
8:27.0,,,35-32,,R. Anderson misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by A. Horford,,35-32,,
8:16.0,K. Korver makes 2-pt shot from 6 ft (assist by A. Horford),2,37-32,,
8:03.0,,,37-32,,T. Douglas misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by A. Horford,,37-32,,
