time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (K. Bazemore gains possession),,,,Jump ball: P. Gasol vs. A. Horford (K. Bazemore gains possession)
11:42.0,,,0-2,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
11:14.0,Turnover by Team (shot clock),,0-2,,
10:54.0,Personal foul by N. Mirotic (drawn by P. Millsap),,0-2,,
10:42.0,,,0-4,2,A. Horford makes 2-pt shot from 2 ft (assist by P. Millsap)
10:23.0,N. Mirotic misses 3-pt shot from 24 ft,,0-4,,
10:21.0,,,0-4,,Defensive rebound by K. Bazemore
10:00.0,,,0-6,2,P. Millsap makes 2-pt shot from 16 ft
9:50.0,D. Rose misses 2-pt shot from 2 ft,,0-6,,
9:49.0,,,0-6,,Defensive rebound by P. Millsap
9:39.0,,,0-6,,A. Horford misses 2-pt shot from 17 ft
9:38.0,Defensive rebound by N. Mirotic,,0-6,,
9:22.0,T. Gibson makes 2-pt shot from 8 ft,2,2-6,,
9:11.0,,,2-9,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
9:00.0,N. Mirotic makes 3-pt shot from 23 ft (assist by P. Gasol),3,5-9,,
9:00.0,,,5-9,,Atlanta full timeout
9:00.0,,,5-9,,D. Schroder enters the game for J. Teague
8:38.0,,,5-12,3,K. Bazemore makes 3-pt shot from 25 ft
8:18.0,J. Butler misses 2-pt shot from 19 ft,,5-12,,
8:17.0,,,5-12,,Defensive rebound by P. Millsap
8:10.0,,,5-12,,A. Horford misses 2-pt shot from 14 ft
8:09.0,Defensive rebound by N. Mirotic,,5-12,,
7:58.0,,,5-12,,Personal foul by K. Bazemore (drawn by J. Butler)
7:47.0,Turnover by P. Gasol (bad pass; steal by P. Millsap),,5-12,,
7:38.0,,,5-12,,Turnover by P. Millsap (traveling)
7:38.0,,,5-12,,T. Splitter enters the game for K. Bazemore
7:29.0,D. Rose makes 2-pt shot from 2 ft,2,7-12,,
7:16.0,,,7-12,,P. Millsap misses 2-pt shot from 13 ft (block by J. Butler)
7:14.0,,,7-12,,Offensive rebound by P. Millsap
7:10.0,Personal foul by J. Butler (drawn by P. Millsap),,7-12,,
7:02.0,,,7-14,2,A. Horford makes 2-pt shot at rim (assist by T. Splitter)
6:50.0,Shooting foul by T. Splitter (drawn by T. Gibson),,7-14,,
6:50.0,T. Gibson makes 2-pt shot from 2 ft (assist by P. Gasol),2,9-14,,
6:50.0,T. Gibson makes free throw 1 of 1,1,10-14,,
6:38.0,,,10-16,2,K. Korver makes 2-pt shot from 1 ft (assist by T. Splitter)
6:27.0,J. Butler misses 2-pt shot from 2 ft (block by P. Millsap),,10-16,,
6:27.0,,,10-16,,Defensive rebound by Team
6:07.0,,,10-18,2,A. Horford makes 2-pt shot from 8 ft
5:58.0,Turnover by D. Rose (step out of bounds),,10-18,,
5:44.0,,,10-20,2,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder)
5:44.0,Chicago full timeout,,10-20,,
5:31.0,N. Mirotic misses 3-pt shot from 23 ft,,10-20,,
5:29.0,,,10-20,,Defensive rebound by T. Splitter
5:20.0,,,10-23,3,D. Schroder makes 3-pt shot from 23 ft
5:09.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,12-23,,
4:47.0,,,12-23,,P. Millsap misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by T. Gibson,,12-23,,
4:35.0,J. Butler misses 2-pt shot from 17 ft,,12-23,,
4:34.0,Offensive rebound by N. Mirotic,,12-23,,
4:33.0,Shooting foul by K. Korver (drawn by N. Mirotic),,12-23,,
4:33.0,N. Mirotic makes free throw 1 of 2,1,13-23,,
4:33.0,,,13-23,,K. Bazemore enters the game for K. Korver
4:33.0,,,13-23,,T. Hardaway enters the game for A. Horford
4:33.0,B. Portis enters the game for T. Gibson,,13-23,,
4:33.0,N. Mirotic misses free throw 2 of 2,,13-23,,
4:32.0,,,13-23,,Defensive rebound by K. Bazemore
4:10.0,,,13-23,,T. Splitter misses 2-pt shot from 7 ft
4:08.0,Defensive rebound by B. Portis,,13-23,,
3:59.0,N. Mirotic misses 2-pt shot from 18 ft,,13-23,,
3:58.0,,,13-23,,Defensive rebound by D. Schroder
3:50.0,,,13-25,2,P. Millsap makes 2-pt shot from 2 ft
3:47.0,D. Rose misses 2-pt shot from 2 ft (block by P. Millsap),,13-25,,
3:41.0,Offensive rebound by N. Mirotic,,13-25,,
3:40.0,N. Mirotic makes 2-pt shot from 1 ft,2,15-25,,
3:30.0,,,15-25,,Turnover by D. Schroder (bad pass; steal by B. Portis)
3:28.0,Shooting foul by T. Splitter (drawn by J. Butler),,15-25,,
3:28.0,J. Butler makes free throw 1 of 2,1,16-25,,
3:28.0,T. Snell enters the game for N. Mirotic,,16-25,,
3:28.0,A. Brooks enters the game for D. Rose,,16-25,,
3:28.0,J. Butler misses free throw 2 of 2,,16-25,,
3:27.0,Offensive rebound by B. Portis,,16-25,,
3:23.0,B. Portis misses 2-pt shot from 19 ft,,16-25,,
3:22.0,,,16-25,,Defensive rebound by D. Schroder
3:13.0,,,16-25,,K. Bazemore misses 2-pt shot from 16 ft
3:12.0,,,16-25,,Offensive rebound by T. Splitter
3:09.0,,,16-25,,T. Splitter misses 2-pt shot from 8 ft
3:07.0,Defensive rebound by P. Gasol,,16-25,,
2:54.0,Turnover by B. Portis (lost ball; steal by P. Millsap),,16-25,,
2:44.0,,,16-25,,D. Schroder misses 2-pt shot from 9 ft
2:42.0,Defensive rebound by B. Portis,,16-25,,
2:28.0,P. Gasol misses 2-pt shot from 11 ft (block by P. Millsap),,16-25,,
2:26.0,,,16-25,,Defensive rebound by D. Schroder
2:15.0,,,16-25,,P. Millsap misses 2-pt shot from 15 ft
2:11.0,Defensive rebound by J. Butler,,16-25,,
2:06.0,Turnover by P. Gasol (lost ball; steal by K. Bazemore),,16-25,,
2:00.0,,,16-27,2,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore)
1:45.0,B. Portis misses 3-pt shot from 24 ft,,16-27,,
1:45.0,,,16-27,,Defensive rebound by Team
1:45.0,,,16-27,,M. Scott enters the game for P. Millsap
1:45.0,,,16-27,,A. Horford enters the game for T. Splitter
1:45.0,T. Gibson enters the game for P. Gasol,,16-27,,
1:29.0,,,16-27,,D. Schroder misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by B. Portis,,16-27,,
1:20.0,Turnover by A. Brooks (lost ball; steal by D. Schroder),,16-27,,
1:16.0,,,16-27,,Offensive charge foul by M. Scott
1:16.0,,,16-27,,Turnover by M. Scott (offensive foul)
0:57.0,T. Snell makes 3-pt shot from 22 ft (assist by A. Brooks),3,19-27,,
0:48.0,,,19-27,,D. Schroder misses 2-pt shot from 18 ft
0:45.0,Defensive rebound by A. Brooks,,19-27,,
0:32.0,A. Brooks misses 3-pt shot from 24 ft,,19-27,,
0:31.0,,,19-27,,Defensive rebound by D. Schroder
0:23.0,,,19-29,2,A. Horford makes 2-pt shot at rim (assist by M. Scott)
0:23.0,,,19-29,,Shooting foul by J. Butler (drawn by A. Horford)
0:23.0,,,19-29,,J. Holiday enters the game for D. Schroder
0:23.0,D. McDermott enters the game for T. Gibson,,19-29,,
0:23.0,,,19-30,1,A. Horford makes free throw 1 of 1
0:02.0,J. Butler misses 3-pt shot from 24 ft,,19-30,,
0:00.0,Offensive rebound by Team,,19-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Brooks misses 2-pt shot from 2 ft (block by A. Horford),,19-30,,
11:43.0,,,19-30,,Defensive rebound by J. Teague
11:38.0,,,19-32,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott)
11:19.0,T. Gibson makes 2-pt shot from 16 ft (assist by T. Snell),2,21-32,,
11:08.0,,,21-35,3,M. Scott makes 3-pt shot from 24 ft (assist by J. Teague)
10:57.0,Turnover by T. Gibson (bad pass; steal by J. Holiday),,21-35,,
10:38.0,,,21-37,2,M. Scott makes 2-pt shot at rim (assist by T. Hardaway)
10:38.0,Chicago full timeout,,21-37,,
10:38.0,D. Rose enters the game for B. Portis,,21-37,,
10:38.0,N. Mirotic enters the game for A. Brooks,,21-37,,
10:25.0,D. Rose misses 2-pt shot from 19 ft,,21-37,,
10:25.0,Offensive rebound by T. Gibson,,21-37,,
10:25.0,T. Gibson makes 2-pt shot at rim,2,23-37,,
10:25.0,Shooting foul by J. Holiday (drawn by T. Gibson),,23-37,,
10:25.0,T. Gibson makes free throw 1 of 1,1,24-37,,
10:15.0,,,24-39,2,J. Teague makes 2-pt shot from 12 ft
10:09.0,Turnover by D. Rose (bad pass; steal by M. Scott),,24-39,,
10:05.0,,,24-41,2,M. Scott makes 2-pt shot at rim
9:50.0,T. Snell misses 3-pt shot from 25 ft,,24-41,,
9:48.0,,,24-41,,Defensive rebound by A. Horford
9:35.0,,,24-41,,Turnover by J. Holiday (bad pass)
9:22.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose),2,26-41,,
9:10.0,,,26-44,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford)
8:51.0,T. Snell misses 3-pt shot from 23 ft,,26-44,,
8:49.0,,,26-44,,Defensive rebound by J. Holiday
8:31.0,,,26-44,,M. Scott misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by N. Mirotic,,26-44,,
