time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. G. Monroe (T. Ennis gains possession),,,,Jump ball: A. Johnson vs. G. Monroe (T. Ennis gains possession)
11:41.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 13 ft
11:40.0,Defensive rebound by Team,,0-0,,
11:21.0,I. Thomas misses 3-pt shot from 25 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:03.0,,,0-2,2,J. Parker makes 2-pt shot from 19 ft (assist by G. Monroe)
10:36.0,I. Thomas misses 2-pt shot from 5 ft,,0-2,,
10:34.0,,,0-2,,Defensive rebound by G. Monroe
10:16.0,,,0-2,,J. Parker misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by A. Johnson,,0-2,,
10:07.0,Turnover by A. Johnson (lost ball),,0-2,,
9:52.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot from 6 ft
9:34.0,Turnover by J. Crowder (bad pass; steal by T. Ennis),,0-4,,
9:30.0,,,0-6,2,T. Ennis makes 2-pt shot from 1 ft
9:16.0,Turnover by I. Thomas (bad pass; steal by J. Parker),,0-6,,
9:07.0,,,0-8,2,G. Monroe makes 2-pt shot from 1 ft
9:07.0,Boston full timeout,,0-8,,
8:46.0,J. Sullinger makes 2-pt shot from 16 ft,2,2-8,,
8:35.0,,,2-8,,Offensive charge foul by G. Antetokounmpo
8:35.0,,,2-8,,Turnover by G. Antetokounmpo (offensive foul)
8:17.0,A. Bradley makes 2-pt shot from 18 ft,2,4-8,,
7:58.0,,,4-8,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:57.0,,,4-8,,Offensive rebound by G. Monroe
7:57.0,,,4-10,2,G. Monroe makes 2-pt shot from 1 ft
7:44.0,J. Crowder misses 2-pt shot from 13 ft,,4-10,,
7:42.0,,,4-10,,Defensive rebound by J. Parker
7:35.0,,,4-12,2,G. Monroe makes 2-pt shot at rim (assist by T. Ennis)
7:11.0,J. Sullinger misses 2-pt shot from 3 ft,,4-12,,
7:09.0,Offensive rebound by J. Sullinger,,4-12,,
7:08.0,J. Sullinger makes 2-pt shot from 1 ft,2,6-12,,
6:56.0,,,6-14,2,G. Monroe makes 2-pt shot from 19 ft
6:34.0,A. Bradley misses 2-pt shot from 11 ft,,6-14,,
6:32.0,,,6-14,,Defensive rebound by G. Monroe
6:18.0,,,6-14,,K. Middleton misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by A. Johnson,,6-14,,
6:05.0,Turnover by I. Thomas (lost ball; steal by G. Monroe),,6-14,,
6:00.0,,,6-16,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
5:40.0,A. Johnson misses 2-pt shot from 1 ft (block by G. Monroe),,6-16,,
5:38.0,,,6-16,,Defensive rebound by G. Monroe
5:37.0,,,6-16,,Shooting foul by J. Crowder (drawn by K. Middleton)
5:37.0,,,6-17,1,K. Middleton makes free throw 1 of 2
5:37.0,E. Turner enters the game for I. Thomas,,6-17,,
5:37.0,K. Olynyk enters the game for A. Johnson,,6-17,,
5:37.0,,,6-17,,J. O'Bryant enters the game for J. Parker
5:37.0,,,6-18,1,K. Middleton makes free throw 2 of 2
5:25.0,Shooting foul by G. Antetokounmpo (drawn by J. Crowder),,6-18,,
5:25.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger),2,8-18,,
5:25.0,,,8-18,,D. Inglis enters the game for G. Antetokounmpo
5:25.0,J. Crowder makes free throw 1 of 1,1,9-18,,
5:19.0,Personal foul by A. Bradley (drawn by T. Ennis),,9-18,,
5:06.0,,,9-18,,J. O'Bryant misses 2-pt shot from 1 ft
5:04.0,,,9-18,,Offensive rebound by G. Monroe
5:04.0,,,9-20,2,G. Monroe makes 2-pt shot from 1 ft
4:45.0,J. Sullinger makes 2-pt shot from 17 ft (assist by E. Turner),2,11-20,,
4:25.0,,,11-20,,K. Middleton misses 2-pt shot from 17 ft
4:24.0,Defensive rebound by A. Bradley,,11-20,,
4:21.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Bradley),2,13-20,,
4:21.0,Shooting foul by D. Inglis (drawn by K. Olynyk),,13-20,,
4:21.0,,,13-20,,J. Bayless enters the game for K. Middleton
4:21.0,K. Olynyk makes free throw 1 of 1,1,14-20,,
4:13.0,,,14-20,,Turnover by J. Bayless (lost ball)
3:59.0,J. Crowder misses 2-pt shot from 2 ft,,14-20,,
3:58.0,,,14-20,,Defensive rebound by D. Inglis
3:49.0,,,14-20,,Shooting foul by K. Olynyk (drawn by G. Monroe)
3:49.0,,,14-20,,G. Monroe misses free throw 1 of 2
3:49.0,,,14-20,,Offensive rebound by Team
3:49.0,,,14-20,,G. Monroe misses free throw 2 of 2
3:47.0,Defensive rebound by J. Sullinger,,14-20,,
3:38.0,A. Bradley misses 2-pt shot from 19 ft,,14-20,,
3:37.0,,,14-20,,Defensive rebound by G. Monroe
3:17.0,,,14-20,,T. Ennis misses 2-pt shot from 18 ft
3:16.0,Defensive rebound by J. Sullinger,,14-20,,
2:55.0,J. Crowder makes 3-pt shot from 27 ft (assist by J. Sullinger),3,17-20,,
2:41.0,,,17-20,,Milwaukee full timeout
