time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. M. Plumlee (R. Gay gains possession),,,,Jump ball: D. Cousins vs. M. Plumlee (R. Gay gains possession)
11:42.0,,,0-0,,D. Cousins misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by A. Aminu,,0-0,,
11:30.0,C. McCollum makes 2-pt shot from 4 ft,2,2-0,,
11:11.0,,,2-3,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins)
10:54.0,Turnover by A. Aminu (bad pass; steal by O. Casspi),,2-3,,
10:39.0,,,2-3,,Turnover by O. Casspi (lost ball; steal by M. Plumlee)
10:32.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee),3,5-3,,
10:24.0,,,5-3,,Turnover by B. McLemore (lost ball; steal by A. Aminu)
10:16.0,N. Vonleh misses 3-pt shot from 26 ft,,5-3,,
10:15.0,Offensive rebound by M. Plumlee,,5-3,,
10:06.0,C. McCollum makes 3-pt shot from 24 ft,3,8-3,,
10:03.0,,,8-3,,Turnover by D. Cousins (lost ball; steal by N. Vonleh)
9:53.0,C. McCollum makes 3-pt shot from 24 ft,3,11-3,,
9:36.0,,,11-5,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
9:18.0,A. Crabbe misses 2-pt shot from 20 ft,,11-5,,
9:17.0,,,11-5,,Defensive rebound by B. McLemore
9:12.0,,,11-5,,Turnover by R. Gay (bad pass)
8:54.0,N. Vonleh misses 2-pt shot from 5 ft (block by D. Cousins),,11-5,,
8:54.0,,,11-5,,Defensive rebound by R. Rondo
8:51.0,,,11-5,,Shooting foul by C. McCollum (drawn by R. Rondo)
8:51.0,,,11-6,1,R. Rondo makes free throw 1 of 2
8:51.0,,,11-6,,R. Rondo misses free throw 2 of 2
8:51.0,Defensive rebound by A. Crabbe,,11-6,,
8:35.0,M. Plumlee misses 2-pt shot from 17 ft,,11-6,,
8:35.0,,,11-6,,Defensive rebound by R. Rondo
8:27.0,,,11-6,,O. Casspi misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by M. Plumlee,,11-6,,
8:10.0,N. Vonleh misses 2-pt shot from 12 ft,,11-6,,
8:10.0,,,11-6,,Defensive rebound by R. Gay
8:00.0,,,11-8,2,O. Casspi makes 2-pt shot from 6 ft (assist by R. Rondo)
7:37.0,N. Vonleh misses 2-pt shot from 6 ft,,11-8,,
7:36.0,,,11-8,,Defensive rebound by D. Cousins
7:26.0,,,11-10,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
7:14.0,C. McCollum misses 2-pt shot from 17 ft,,11-10,,
7:13.0,,,11-10,,Defensive rebound by O. Casspi
7:04.0,,,11-13,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
6:48.0,A. Crabbe misses 3-pt shot from 24 ft,,11-13,,
6:47.0,,,11-13,,Defensive rebound by D. Cousins
6:44.0,,,11-15,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
6:44.0,Portland full timeout,,11-15,,
6:22.0,A. Aminu misses 2-pt shot from 21 ft,,11-15,,
6:21.0,,,11-15,,Defensive rebound by R. Gay
6:13.0,,,11-15,,Turnover by R. Rondo (lost ball; steal by N. Vonleh)
5:55.0,A. Crabbe makes 2-pt shot from 20 ft,2,13-15,,
5:47.0,,,13-17,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
5:35.0,,,13-17,,Violation by R. Rondo (kicked ball)
5:35.0,,,13-17,,M. Belinelli enters the game for B. McLemore
5:24.0,A. Aminu misses 2-pt shot from 7 ft (block by R. Gay),,13-17,,
5:22.0,,,13-17,,Defensive rebound by R. Gay
5:13.0,,,13-19,2,D. Cousins makes 2-pt shot from 19 ft
4:55.0,A. Aminu misses 2-pt shot from 3 ft,,13-19,,
4:54.0,,,13-19,,Defensive rebound by D. Cousins
4:51.0,,,13-21,2,O. Casspi makes 2-pt shot at rim (assist by R. Gay)
4:32.0,,,13-21,,Personal foul by R. Gay (drawn by M. Plumlee)
4:32.0,M. Leonard enters the game for N. Vonleh,,13-21,,
4:32.0,,,13-21,,K. Koufos enters the game for O. Casspi
4:28.0,C. McCollum misses 2-pt shot from 3 ft,,13-21,,
4:27.0,Offensive rebound by M. Leonard,,13-21,,
4:27.0,M. Leonard misses 2-pt shot from 3 ft,,13-21,,
4:26.0,,,13-21,,Defensive rebound by R. Rondo
4:21.0,,,13-23,2,R. Rondo makes 2-pt shot from 2 ft
4:03.0,C. McCollum makes 2-pt shot from 8 ft,2,15-23,,
3:41.0,,,15-23,,K. Koufos misses 2-pt shot from 5 ft
3:41.0,Defensive rebound by M. Plumlee,,15-23,,
3:29.0,M. Leonard makes 3-pt shot from 25 ft (assist by M. Plumlee),3,18-23,,
3:23.0,,,18-23,,Offensive charge foul by D. Cousins
3:23.0,,,18-23,,Turnover by D. Cousins (offensive foul)
3:23.0,M. Harkless enters the game for A. Aminu,,18-23,,
3:23.0,G. Henderson enters the game for A. Crabbe,,18-23,,
2:58.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Harkless),3,21-23,,
2:45.0,,,21-25,2,K. Koufos makes 2-pt shot from 4 ft (assist by R. Rondo)
2:31.0,G. Henderson misses 2-pt shot from 18 ft,,21-25,,
2:31.0,Offensive rebound by C. McCollum,,21-25,,
2:25.0,C. McCollum misses 3-pt shot from 23 ft,,21-25,,
2:24.0,,,21-25,,Defensive rebound by M. Belinelli
2:16.0,,,21-25,,M. Belinelli misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by M. Leonard,,21-25,,
2:05.0,M. Harkless makes 2-pt shot from 2 ft (assist by C. McCollum),2,23-25,,
1:57.0,,,23-25,,Sacramento full timeout
1:57.0,,,23-25,,D. Collison enters the game for R. Gay
1:48.0,,,23-25,,D. Cousins misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by G. Henderson,,23-25,,
1:40.0,M. Leonard makes 3-pt shot from 25 ft (assist by G. Henderson),3,26-25,,
1:25.0,,,26-25,,M. Belinelli misses 2-pt shot from 19 ft
1:25.0,Defensive rebound by M. Leonard,,26-25,,
1:11.0,Turnover by M. Leonard (lost ball; steal by R. Rondo),,26-25,,
1:05.0,,,26-27,2,D. Collison makes 2-pt shot from 3 ft (assist by R. Rondo)
0:53.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard),3,29-27,,
0:32.0,,,29-30,3,R. Rondo makes 3-pt shot from 25 ft (assist by D. Collison)
0:16.0,M. Leonard misses 2-pt shot from 14 ft,,29-30,,
0:15.0,Offensive rebound by Team,,29-30,,
0:15.0,,,29-30,,Loose ball foul by K. Koufos (drawn by M. Plumlee)
0:15.0,,,29-30,,O. Casspi enters the game for D. Cousins
0:15.0,A. Crabbe enters the game for M. Plumlee,,29-30,,
0:00.0,M. Leonard misses 3-pt shot from 24 ft,,29-30,,
0:00.0,,,29-30,,Defensive rebound by M. Belinelli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Leonard misses 2-pt shot from 18 ft,,29-30,,
11:40.0,,,29-30,,Defensive rebound by O. Casspi
11:27.0,,,29-30,,M. Belinelli misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by T. Frazier,,29-30,,
11:19.0,G. Henderson makes 2-pt shot from 2 ft (assist by T. Frazier),2,31-30,,
11:01.0,,,31-33,3,R. Rondo makes 3-pt shot from 25 ft (assist by M. Belinelli)
10:45.0,A. Crabbe misses 3-pt shot from 24 ft,,31-33,,
10:44.0,Offensive rebound by M. Leonard,,31-33,,
10:43.0,,,31-33,,Personal foul by R. Rondo (drawn by G. Henderson)
10:36.0,A. Crabbe makes 3-pt shot from 25 ft (assist by T. Frazier),3,34-33,,
10:23.0,,,34-33,,M. Belinelli misses 2-pt shot from 18 ft
10:22.0,Defensive rebound by M. Leonard,,34-33,,
10:11.0,Turnover by T. Frazier (lost ball),,34-33,,
9:55.0,,,34-33,,K. Koufos misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by M. Leonard,,34-33,,
9:46.0,,,34-33,,B. McLemore enters the game for R. Rondo
9:43.0,G. Henderson misses 2-pt shot from 2 ft (block by O. Casspi),,34-33,,
9:41.0,,,34-33,,Defensive rebound by B. McLemore
9:36.0,,,34-35,2,D. Collison makes 2-pt shot from 4 ft
9:10.0,M. Harkless makes 2-pt shot from 4 ft,2,36-35,,
9:10.0,Shooting foul by K. Koufos (drawn by M. Harkless),,36-35,,
9:10.0,M. Harkless makes free throw 1 of 1,1,37-35,,
9:03.0,Personal foul by A. Crabbe (drawn by B. McLemore),,37-35,,
8:53.0,,,37-35,,Turnover by D. Collison (lost ball)
8:53.0,Official timeout,,37-35,,
8:53.0,,,37-35,,R. Gay enters the game for O. Casspi
8:39.0,A. Crabbe misses 2-pt shot from 20 ft,,37-35,,
8:36.0,Offensive rebound by M. Harkless,,37-35,,
8:36.0,M. Harkless makes 2-pt shot from 1 ft,2,39-35,,
8:32.0,Personal take foul by A. Crabbe (drawn by D. Collison),,39-35,,
8:32.0,C. McCollum enters the game for A. Crabbe,,39-35,,
8:23.0,,,39-35,,R. Gay misses 2-pt shot from 18 ft
