time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,K. Durant misses 3-pt shot from 25 ft,,0-0,,
12:00.0,Jump ball: S. Adams vs. M. Gasol (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. M. Gasol (S. Ibaka gains possession)
11:44.0,Offensive rebound by S. Ibaka,,0-0,,
11:37.0,Shooting foul by M. Gasol (drawn by S. Adams),,0-0,,
11:37.0,S. Adams misses free throw 1 of 2,,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:37.0,S. Adams makes free throw 2 of 2,1,1-0,,
11:17.0,,,1-0,,T. Allen misses 2-pt shot from 2 ft
11:16.0,,,1-0,,Offensive rebound by J. Green
11:13.0,,,1-0,,J. Green misses 2-pt shot at rim (block by A. Roberson)
11:11.0,Defensive rebound by R. Westbrook,,1-0,,
10:57.0,A. Roberson misses 3-pt shot from 23 ft,,1-0,,
10:56.0,,,1-0,,Defensive rebound by Team
10:31.0,,,1-0,,J. Green misses 3-pt shot from 26 ft
10:31.0,,,1-0,,Offensive rebound by J. Green
10:27.0,Personal foul by A. Roberson (drawn by M. Conley),,1-0,,
10:12.0,,,1-0,,Z. Randolph misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by R. Westbrook,,1-0,,
10:04.0,K. Durant makes 2-pt shot from 8 ft (assist by R. Westbrook),2,3-0,,
9:48.0,,,3-0,,Turnover by T. Allen (bad pass; steal by S. Adams)
9:44.0,Turnover by K. Durant (step out of bounds),,3-0,,
9:32.0,,,3-2,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
9:19.0,,,3-2,,Personal foul by T. Allen (drawn by A. Roberson)
9:10.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,5-2,,
8:52.0,,,5-2,,M. Gasol misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by A. Roberson,,5-2,,
8:42.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,7-2,,
8:26.0,,,7-2,,M. Conley misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by A. Roberson,,7-2,,
8:06.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,9-2,,
7:45.0,,,9-4,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley)
7:19.0,K. Durant misses 2-pt shot from 13 ft,,9-4,,
7:19.0,,,9-4,,Defensive rebound by M. Gasol
7:14.0,,,9-6,2,J. Green makes 2-pt shot at rim
7:14.0,,,9-6,,Shooting foul by S. Ibaka (drawn by J. Green)
7:14.0,,,9-7,1,J. Green makes free throw 1 of 1
6:59.0,R. Westbrook misses 3-pt shot from 24 ft,,9-7,,
6:59.0,Offensive rebound by S. Adams,,9-7,,
6:43.0,S. Adams misses 2-pt shot from 1 ft (block by M. Gasol),,9-7,,
6:42.0,,,9-7,,Defensive rebound by Z. Randolph
6:36.0,,,9-7,,J. Green misses 2-pt shot at rim
6:34.0,Defensive rebound by K. Durant,,9-7,,
6:28.0,R. Westbrook makes 2-pt shot from 3 ft (assist by K. Durant),2,11-7,,
6:11.0,,,11-7,,T. Allen misses 2-pt shot from 5 ft
6:11.0,Defensive rebound by S. Ibaka,,11-7,,
