time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession)
11:41.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-0,,
11:22.0,,,2-0,,L. Aldridge misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by J. Redick,,2-0,,
11:06.0,C. Paul makes 2-pt shot from 8 ft,2,4-0,,
10:52.0,,,4-0,,L. Aldridge misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by C. Paul,,4-0,,
10:39.0,J. Redick misses 2-pt shot from 18 ft,,4-0,,
10:39.0,,,4-0,,Defensive rebound by T. Parker
10:23.0,,,4-0,,K. Leonard misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by J. Green,,4-0,,
10:08.0,J. Redick misses 3-pt shot from 26 ft,,4-0,,
10:07.0,,,4-0,,Defensive rebound by L. Aldridge
9:56.0,,,4-2,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
9:40.0,J. Redick misses 2-pt shot from 10 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by T. Duncan
9:32.0,,,4-2,,Shooting foul by D. Jordan (drawn by L. Aldridge)
9:32.0,,,4-3,1,L. Aldridge makes free throw 1 of 2
9:32.0,,,4-4,1,L. Aldridge makes free throw 2 of 2
9:13.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,6-4,,
8:56.0,,,6-6,2,K. Leonard makes 2-pt shot from 8 ft (assist by T. Parker)
8:47.0,C. Paul makes 3-pt shot from 24 ft,3,9-6,,
8:41.0,Personal foul by J. Green,,9-6,,
8:28.0,,,9-6,,L. Aldridge misses 2-pt shot from 6 ft
8:26.0,Defensive rebound by D. Jordan,,9-6,,
8:10.0,J. Green misses 3-pt shot from 25 ft,,9-6,,
8:09.0,,,9-6,,Defensive rebound by Team
7:53.0,,,9-6,,T. Duncan misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by L. Mbah a Moute,,9-6,,
7:39.0,,,9-6,,Def 3 sec tech foul by T. Duncan
7:39.0,C. Paul makes technical free throw,1,10-6,,
7:32.0,C. Paul misses 2-pt shot from 11 ft,,10-6,,
7:31.0,Offensive rebound by D. Jordan,,10-6,,
7:28.0,Turnover by D. Jordan (lost ball; steal by D. Green),,10-6,,
7:12.0,,,10-8,2,L. Aldridge makes 2-pt shot from 2 ft
7:01.0,,,10-8,,Personal foul by D. Green
6:54.0,Shooting foul by D. Green (drawn by D. Jordan),,10-8,,
6:54.0,D. Jordan makes free throw 1 of 2,1,11-8,,
6:54.0,,,11-8,,M. Ginobili enters the game for D. Green
6:54.0,D. Jordan makes free throw 2 of 2,1,12-8,,
6:31.0,,,12-10,2,K. Leonard makes 2-pt shot from 1 ft
6:23.0,L. Mbah a Moute misses 2-pt shot at rim,,12-10,,
6:21.0,,,12-10,,Defensive rebound by L. Aldridge
6:11.0,,,12-10,,L. Aldridge misses 2-pt shot from 12 ft
6:10.0,,,12-10,,Offensive rebound by T. Duncan
6:05.0,,,12-10,,K. Leonard misses 3-pt shot from 25 ft
6:04.0,,,12-10,,Offensive rebound by T. Duncan
5:59.0,,,12-10,,Turnover by T. Parker (lost ball; steal by C. Paul)
5:41.0,J. Green misses 2-pt shot from 19 ft,,12-10,,
5:40.0,,,12-10,,Defensive rebound by K. Leonard
5:33.0,,,12-10,,San Antonio full timeout
5:33.0,,,12-10,,D. West enters the game for T. Duncan
5:25.0,,,12-12,2,M. Ginobili makes 2-pt shot from 16 ft (assist by T. Parker)
4:59.0,J. Green misses 2-pt shot from 11 ft,,12-12,,
4:58.0,,,12-12,,Defensive rebound by K. Leonard
4:52.0,,,12-12,,M. Ginobili misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by C. Paul,,12-12,,
4:40.0,C. Paul misses 2-pt shot from 22 ft,,12-12,,
4:39.0,,,12-12,,Defensive rebound by D. West
4:28.0,,,12-12,,T. Parker misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by D. Jordan,,12-12,,
4:12.0,D. Jordan misses 2-pt shot from 3 ft (block by D. West),,12-12,,
4:10.0,,,12-12,,Defensive rebound by K. Leonard
3:57.0,,,12-14,2,L. Aldridge makes 2-pt shot from 6 ft
3:38.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,15-14,,
3:24.0,,,15-16,2,L. Aldridge makes 2-pt shot from 17 ft (assist by M. Ginobili)
3:03.0,J. Green misses 2-pt shot from 6 ft,,15-16,,
3:02.0,,,15-16,,Defensive rebound by L. Aldridge
2:50.0,,,15-16,,L. Aldridge misses 2-pt shot from 8 ft
2:49.0,Defensive rebound by D. Jordan,,15-16,,
2:43.0,LA Clippers full timeout,,15-16,,
2:43.0,,,15-16,,P. Mills enters the game for T. Parker
2:43.0,J. Crawford enters the game for J. Redick,,15-16,,
2:43.0,W. Johnson enters the game for L. Mbah a Moute,,15-16,,
2:43.0,,,15-16,,K. Anderson enters the game for L. Aldridge
2:38.0,,,15-16,,Personal foul by P. Mills
2:38.0,,,15-16,,K. Martin enters the game for K. Leonard
2:38.0,A. Rivers enters the game for J. Green,,15-16,,
