time,Brooklyn,pts.away,score,pts.home,Sacramento
8:43.0,,,8-3,,Shooting foul by R. Hollis-Jefferson (drawn by D. Cousins)
8:43.0,,,8-4,1,D. Cousins makes free throw 1 of 2
8:43.0,,,8-5,1,D. Cousins makes free throw 2 of 2
8:25.0,J. Johnson misses 2-pt shot from 18 ft,,8-5,,
8:25.0,,,8-5,,Defensive rebound by W. Cauley-Stein
8:17.0,,,8-5,,D. Cousins misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by R. Hollis-Jefferson,,8-5,,
8:05.0,B. Lopez makes 2-pt shot from 13 ft (assist by T. Young),2,10-5,,
7:42.0,,,10-8,3,R. Rondo makes 3-pt shot from 23 ft (assist by C. Butler)
7:27.0,J. Jack misses 2-pt shot from 6 ft (block by W. Cauley-Stein),,10-8,,
7:25.0,,,10-8,,Defensive rebound by W. Cauley-Stein
7:19.0,,,10-8,,C. Butler misses 3-pt shot from 24 ft
7:18.0,,,10-8,,Offensive rebound by C. Butler
7:15.0,,,10-8,,Turnover by C. Butler (turnover)
7:02.0,T. Young makes 2-pt shot from 6 ft (assist by J. Jack),2,12-8,,
6:39.0,,,12-8,,D. Cousins misses 2-pt shot from 17 ft
6:38.0,Defensive rebound by R. Hollis-Jefferson,,12-8,,
6:29.0,Shooting foul by D. Cousins (drawn by J. Jack),,12-8,,
6:29.0,J. Jack makes free throw 1 of 2,1,13-8,,
6:29.0,,,13-8,,M. Belinelli enters the game for W. Cauley-Stein
6:29.0,,,13-8,,K. Koufos enters the game for J. Anderson
6:29.0,J. Jack makes free throw 2 of 2,1,14-8,,
6:18.0,,,14-8,,R. Rondo misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by R. Hollis-Jefferson,,14-8,,
6:05.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Jack),2,16-8,,
5:58.0,,,16-8,,Sacramento full timeout
5:49.0,,,16-8,,M. Belinelli misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by T. Young,,16-8,,
5:40.0,Shooting foul by R. Rondo (drawn by J. Jack),,16-8,,
5:40.0,J. Jack makes free throw 1 of 2,1,17-8,,
5:40.0,T. Robinson enters the game for B. Lopez,,17-8,,
5:40.0,J. Jack makes free throw 2 of 2,1,18-8,,
5:26.0,,,18-8,,R. Rondo misses 3-pt shot from 23 ft
5:26.0,Defensive rebound by J. Jack,,18-8,,
5:22.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Johnson),2,20-8,,
5:01.0,,,20-8,,C. Butler misses 2-pt shot from 11 ft
5:01.0,,,20-8,,Offensive rebound by D. Cousins
5:00.0,,,20-8,,D. Cousins misses 2-pt shot from 4 ft
5:00.0,,,20-8,,Offensive rebound by D. Cousins
5:00.0,,,20-8,,Shooting foul by J. Johnson (drawn by D. Cousins)
5:00.0,,,20-9,1,D. Cousins makes free throw 1 of 2
5:00.0,,,20-9,,O. Casspi enters the game for C. Butler
5:00.0,,,20-10,1,D. Cousins makes free throw 2 of 2
4:42.0,J. Johnson misses 2-pt shot from 20 ft,,20-10,,
4:42.0,,,20-10,,Defensive rebound by D. Cousins
4:35.0,,,20-10,,R. Rondo misses 2-pt shot from 2 ft
4:35.0,,,20-10,,Offensive rebound by Team
4:32.0,,,20-12,2,M. Belinelli makes 2-pt shot from 12 ft (assist by R. Rondo)
4:21.0,Shooting foul by K. Koufos (drawn by J. Jack),,20-12,,
4:21.0,J. Jack misses free throw 1 of 2,,20-12,,
4:21.0,Offensive rebound by Team,,20-12,,
4:21.0,B. Bogdanovic enters the game for J. Johnson,,20-12,,
4:21.0,J. Jack makes free throw 2 of 2,1,21-12,,
4:10.0,,,21-12,,M. Belinelli misses 2-pt shot from 17 ft
4:09.0,,,21-12,,Offensive rebound by R. Rondo
3:58.0,,,21-14,2,K. Koufos makes 2-pt shot from 2 ft (assist by R. Rondo)
3:58.0,,,21-14,,Shooting foul by T. Young (drawn by K. Koufos)
3:58.0,,,21-15,1,K. Koufos makes free throw 1 of 1
3:44.0,T. Young makes 2-pt shot from 14 ft (assist by J. Jack),2,23-15,,
3:35.0,,,23-17,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
3:19.0,J. Jack misses 3-pt shot from 24 ft,,23-17,,
3:19.0,,,23-17,,Defensive rebound by D. Cousins
3:12.0,,,23-17,,K. Koufos misses 2-pt shot from 2 ft
3:11.0,Defensive rebound by T. Robinson,,23-17,,
3:00.0,Turnover by T. Robinson (lost ball; steal by R. Rondo),,23-17,,
3:00.0,,,23-17,,K. Koufos misses 2-pt shot from 1 ft
2:59.0,,,23-17,,Offensive rebound by D. Cousins
2:58.0,,,23-17,,D. Cousins misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by R. Hollis-Jefferson,,23-17,,
2:51.0,J. Jack makes 2-pt shot from 3 ft,2,25-17,,
2:41.0,Personal foul by T. Robinson (drawn by D. Cousins),,25-17,,
2:41.0,Brooklyn full timeout,,25-17,,
2:41.0,A. Bargnani enters the game for T. Young,,25-17,,
2:41.0,W. Ellington enters the game for R. Hollis-Jefferson,,25-17,,
2:33.0,Personal foul by T. Robinson (drawn by D. Cousins),,25-17,,
2:33.0,,,25-18,1,D. Cousins makes free throw 1 of 2
2:33.0,B. Lopez enters the game for T. Robinson,,25-18,,
2:33.0,S. Larkin enters the game for J. Jack,,25-18,,
2:33.0,,,25-19,1,D. Cousins makes free throw 2 of 2
2:24.0,,,25-19,,Personal foul by O. Casspi (drawn by B. Bogdanovic)
2:15.0,B. Lopez misses 2-pt shot from 14 ft,,25-19,,
2:14.0,,,25-19,,Defensive rebound by R. Rondo
2:06.0,,,25-19,,O. Casspi misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by B. Lopez,,25-19,,
1:53.0,A. Bargnani misses 2-pt shot from 13 ft,,25-19,,
1:53.0,,,25-19,,Defensive rebound by K. Koufos
1:45.0,,,25-21,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo)
1:28.0,A. Bargnani misses 2-pt shot from 16 ft,,25-21,,
1:27.0,,,25-21,,Defensive rebound by R. Rondo
1:17.0,,,25-21,,M. Belinelli misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by A. Bargnani,,25-21,,
1:07.0,B. Bogdanovic misses 2-pt shot from 4 ft,,25-21,,
1:06.0,,,25-21,,Defensive rebound by D. Cousins
0:56.0,,,25-23,2,O. Casspi makes 2-pt shot from 5 ft
0:32.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Larkin),3,28-23,,
0:11.0,,,28-23,,O. Casspi misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by S. Larkin,,28-23,,
0:05.0,B. Bogdanovic makes 2-pt shot at rim (assist by W. Ellington),2,30-23,,
0:04.0,,,30-23,,W. Cauley-Stein enters the game for D. Cousins
0:00.0,,,30-23,,M. Belinelli misses 3-pt shot from 36 ft
0:00.0,,,30-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-25,2,R. Rondo makes 2-pt shot from 2 ft
11:25.0,B. Lopez misses 2-pt shot from 11 ft,,30-25,,
11:25.0,,,30-25,,Defensive rebound by K. Koufos
11:15.0,,,30-25,,Turnover by W. Cauley-Stein (lost ball)
11:15.0,,,30-25,,S. Curry enters the game for R. Rondo
11:07.0,,,30-25,,Violation by S. Curry (kicked ball)
10:59.0,A. Bargnani misses 2-pt shot from 15 ft,,30-25,,
10:58.0,,,30-25,,Defensive rebound by K. Koufos
10:48.0,,,30-27,2,M. Belinelli makes 2-pt shot from 21 ft
10:29.0,A. Bargnani misses 2-pt shot from 6 ft,,30-27,,
10:28.0,,,30-27,,Defensive rebound by W. Cauley-Stein
10:17.0,,,30-27,,O. Casspi misses 2-pt shot from 3 ft
10:16.0,Defensive rebound by A. Bargnani,,30-27,,
10:09.0,B. Bogdanovic misses 2-pt shot from 22 ft,,30-27,,
10:08.0,,,30-27,,Defensive rebound by W. Cauley-Stein
9:58.0,Personal foul by W. Ellington (drawn by O. Casspi),,30-27,,
9:58.0,J. Johnson enters the game for A. Bargnani,,30-27,,
9:51.0,,,30-27,,Turnover by M. Belinelli (bad pass; steal by W. Ellington)
9:45.0,J. Johnson misses 2-pt shot from 14 ft,,30-27,,
9:44.0,,,30-27,,Defensive rebound by W. Cauley-Stein
9:23.0,,,30-27,,Turnover by M. Belinelli (bad pass; steal by S. Larkin)
9:22.0,,,30-27,,Personal foul by K. Koufos (drawn by S. Larkin)
9:03.0,B. Lopez misses 2-pt shot from 12 ft,,30-27,,
9:02.0,,,30-27,,Defensive rebound by M. Belinelli
8:51.0,,,30-27,,S. Curry misses 2-pt shot from 18 ft
8:51.0,,,30-27,,Offensive rebound by K. Koufos
8:42.0,,,30-27,,M. Belinelli misses 2-pt shot from 21 ft
8:42.0,Defensive rebound by W. Ellington,,30-27,,
8:38.0,Brooklyn full timeout,,30-27,,
8:24.0,Shooting foul by K. Koufos (drawn by B. Lopez),,30-27,,
8:24.0,B. Lopez makes free throw 1 of 2,1,31-27,,
8:24.0,,,31-27,,D. Cousins enters the game for K. Koufos
8:24.0,B. Lopez makes free throw 2 of 2,1,32-27,,
8:13.0,Personal block foul by S. Larkin (drawn by D. Cousins),,32-27,,
8:13.0,,,32-27,,C. Butler enters the game for W. Cauley-Stein
8:11.0,,,32-27,,Turnover by O. Casspi (bad pass; steal by S. Larkin)
8:09.0,S. Larkin makes 2-pt shot from 3 ft,2,34-27,,
7:50.0,,,34-27,,S. Curry misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by Team,,34-27,,
7:49.0,,,34-27,,B. McLemore enters the game for M. Belinelli
7:49.0,Jump ball: D. Cousins vs. B. Lopez (W. Ellington gains possession),,,,Jump ball: D. Cousins vs. B. Lopez (W. Ellington gains possession)
7:33.0,Shooting foul by D. Cousins (drawn by B. Lopez),,34-27,,
7:33.0,B. Lopez makes free throw 1 of 2,1,35-27,,
7:33.0,T. Young enters the game for W. Ellington,,35-27,,
7:33.0,B. Lopez makes free throw 2 of 2,1,36-27,,
7:10.0,,,36-27,,D. Cousins misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by B. Lopez,,36-27,,
7:05.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,38-27,,
7:04.0,,,38-27,,Sacramento full timeout
7:04.0,,,38-27,,R. Rondo enters the game for S. Curry
6:48.0,,,38-27,,C. Butler misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by T. Young,,38-27,,
6:31.0,B. Lopez misses 2-pt shot from 12 ft,,38-27,,
6:30.0,,,38-27,,Defensive rebound by R. Rondo
6:17.0,,,38-30,3,O. Casspi makes 3-pt shot from 23 ft (assist by C. Butler)
6:00.0,S. Larkin makes 3-pt shot from 24 ft (assist by B. Lopez),3,41-30,,
5:49.0,,,41-32,2,R. Rondo makes 2-pt shot from 3 ft
5:42.0,T. Young makes 2-pt shot from 5 ft (assist by S. Larkin),2,43-32,,
5:17.0,,,43-32,,D. Cousins misses 2-pt shot from 2 ft
5:15.0,,,43-32,,Offensive rebound by D. Cousins
5:15.0,Personal foul by B. Lopez (drawn by D. Cousins),,43-32,,
5:15.0,,,43-32,,M. Belinelli enters the game for O. Casspi
5:15.0,T. Robinson enters the game for B. Lopez,,43-32,,
5:06.0,,,43-34,2,B. McLemore makes 2-pt shot from 3 ft (assist by R. Rondo)
4:47.0,S. Larkin makes 3-pt shot from 25 ft,3,46-34,,
4:39.0,,,46-34,,Shooting foul by T. Robinson (drawn by D. Cousins)
4:39.0,,,46-35,1,D. Cousins makes free throw 1 of 2
4:39.0,J. Jack enters the game for S. Larkin,,46-35,,
4:39.0,,,46-36,1,D. Cousins makes free throw 2 of 2
4:28.0,T. Robinson makes 2-pt shot from 1 ft (assist by J. Jack),2,48-36,,
4:28.0,Shooting foul by D. Cousins (drawn by T. Robinson),,48-36,,
4:28.0,,,48-36,,Q. Acy enters the game for D. Cousins
4:28.0,T. Robinson misses free throw 1 of 1,,48-36,,
4:28.0,Offensive rebound by Team,,48-36,,
4:24.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by J. Johnson),2,50-36,,
4:08.0,,,50-39,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. Rondo)
3:42.0,T. Young makes 2-pt shot from 8 ft,2,52-39,,
3:30.0,,,52-39,,M. Belinelli misses 2-pt shot from 18 ft
3:25.0,,,52-39,,Offensive rebound by Team
3:25.0,,,52-39,,W. Cauley-Stein enters the game for C. Butler
3:02.0,,,52-39,,R. Rondo misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by B. Bogdanovic,,52-39,,
2:46.0,J. Johnson misses 3-pt shot from 24 ft,,52-39,,
2:46.0,Offensive rebound by T. Robinson,,52-39,,
2:38.0,,,52-39,,Violation by Q. Acy (def goaltending)
2:38.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Jack),2,54-39,,
2:28.0,,,54-41,2,R. Rondo makes 2-pt shot from 2 ft
2:16.0,T. Robinson makes 2-pt shot at rim (assist by J. Jack),2,56-41,,
2:03.0,,,56-44,3,R. Rondo makes 3-pt shot from 25 ft (assist by M. Belinelli)
1:45.0,T. Young misses 2-pt shot from 18 ft,,56-44,,
1:45.0,,,56-44,,Defensive rebound by W. Cauley-Stein
1:39.0,,,56-46,2,R. Rondo makes 2-pt shot from 2 ft
1:35.0,Brooklyn full timeout,,56-46,,
1:35.0,Official timeout,,56-46,,
1:35.0,B. Lopez enters the game for T. Robinson,,56-46,,
1:35.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,56-46,,
1:22.0,B. Lopez misses 2-pt shot from 10 ft,,56-46,,
1:19.0,Offensive rebound by T. Young,,56-46,,
1:19.0,T. Young misses 2-pt shot from 2 ft,,56-46,,
1:19.0,,,56-46,,Defensive rebound by W. Cauley-Stein
1:19.0,Personal foul by T. Young (drawn by W. Cauley-Stein),,56-46,,
1:19.0,,,56-47,1,W. Cauley-Stein makes free throw 1 of 2
1:19.0,B. Bogdanovic enters the game for T. Young,,56-47,,
1:19.0,,,56-47,,W. Cauley-Stein misses free throw 2 of 2
1:17.0,Defensive rebound by J. Johnson,,56-47,,
0:57.0,B. Bogdanovic makes 2-pt shot from 4 ft,2,58-47,,
0:47.0,,,58-50,3,B. McLemore makes 3-pt shot from 22 ft (assist by M. Belinelli)
0:36.0,B. Lopez misses 2-pt shot from 8 ft,,58-50,,
0:36.0,,,58-50,,Defensive rebound by W. Cauley-Stein
0:31.0,,,58-53,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. McLemore)
0:31.0,,,58-53,,Shooting foul by B. Lopez (drawn by M. Belinelli)
0:31.0,,,58-53,,O. Casspi enters the game for Q. Acy
0:31.0,W. Ellington enters the game for R. Hollis-Jefferson,,58-53,,
0:31.0,,,58-54,1,M. Belinelli makes free throw 1 of 1
0:08.0,J. Jack makes 2-pt shot from 8 ft,2,60-54,,
0:00.0,,,60-54,,M. Belinelli misses 3-pt shot from 27 ft
0:00.0,,,60-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,60-54,,D. Cousins misses 2-pt shot from 3 ft
11:47.0,,,60-54,,Offensive rebound by B. McLemore
11:41.0,,,60-54,,Turnover by B. McLemore (turnover)
11:20.0,T. Young makes 2-pt shot from 3 ft (assist by J. Jack),2,62-54,,
11:08.0,,,62-56,2,D. Cousins makes 2-pt shot from 2 ft
10:50.0,Turnover by J. Johnson (bad pass; steal by C. Butler),,62-56,,
10:44.0,,,62-58,2,B. McLemore makes 2-pt shot from 1 ft
10:22.0,Shooting foul by B. McLemore (drawn by J. Jack),,62-58,,
10:22.0,J. Jack makes free throw 1 of 3,1,63-58,,
10:22.0,J. Jack makes free throw 2 of 3,1,64-58,,
10:22.0,J. Jack makes free throw 3 of 3,1,65-58,,
10:11.0,,,65-58,,Turnover by R. Rondo (lost ball; steal by T. Young)
9:55.0,T. Young makes 2-pt shot at rim,2,67-58,,
9:42.0,,,67-58,,B. McLemore misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by B. Lopez,,67-58,,
9:22.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,69-58,,
9:10.0,,,69-58,,D. Cousins misses 2-pt shot from 5 ft (block by B. Lopez)
9:08.0,Defensive rebound by T. Young,,69-58,,
9:03.0,J. Johnson misses 3-pt shot from 25 ft,,69-58,,
9:03.0,,,69-58,,Defensive rebound by Team
9:03.0,Loose ball foul by R. Hollis-Jefferson (drawn by D. Cousins),,69-58,,
8:38.0,,,69-60,2,C. Butler makes 2-pt shot from 9 ft
8:21.0,Turnover by J. Jack (bad pass; steal by C. Butler),,69-60,,
8:16.0,,,69-62,2,R. Rondo makes 2-pt shot from 3 ft (assist by B. McLemore)
8:15.0,Brooklyn full timeout,,69-62,,
7:57.0,T. Young misses 2-pt shot from 20 ft,,69-62,,
7:57.0,,,69-62,,Defensive rebound by C. Butler
7:49.0,,,69-64,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
7:26.0,J. Jack makes 3-pt shot from 25 ft (assist by J. Johnson),3,72-64,,
7:15.0,,,72-64,,Turnover by R. Rondo (lost ball; steal by J. Jack)
7:10.0,J. Jack makes 2-pt shot from 1 ft,2,74-64,,
7:00.0,,,74-64,,D. Cousins misses 2-pt shot from 3 ft (block by B. Lopez)
6:59.0,Defensive rebound by T. Young,,74-64,,
6:52.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,74-64,,
6:51.0,,,74-64,,Defensive rebound by W. Cauley-Stein
6:44.0,,,74-64,,Shooting foul by B. Lopez (drawn by D. Cousins)
6:44.0,,,74-65,1,D. Cousins makes free throw 1 of 2
6:44.0,,,74-65,,K. Koufos enters the game for W. Cauley-Stein
6:44.0,,,74-66,1,D. Cousins makes free throw 2 of 2
6:21.0,T. Young misses 3-pt shot from 23 ft,,74-66,,
6:20.0,,,74-66,,Defensive rebound by C. Butler
6:11.0,,,74-69,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
5:56.0,T. Young misses 2-pt shot from 7 ft,,74-69,,
5:55.0,Offensive rebound by B. Lopez,,74-69,,
5:55.0,B. Lopez misses 2-pt shot from 1 ft,,74-69,,
5:50.0,Offensive rebound by R. Hollis-Jefferson,,74-69,,
5:48.0,Turnover by R. Hollis-Jefferson (bad pass; steal by K. Koufos),,74-69,,
5:41.0,,,74-69,,Shooting foul by R. Hollis-Jefferson (drawn by D. Cousins)
5:41.0,,,74-70,1,D. Cousins makes free throw 1 of 2
5:41.0,B. Bogdanovic enters the game for T. Young,,74-70,,
5:41.0,A. Bargnani enters the game for R. Hollis-Jefferson,,74-70,,
5:41.0,,,74-70,,D. Cousins misses free throw 2 of 2
5:40.0,Defensive rebound by B. Lopez,,74-70,,
5:21.0,B. Lopez misses 2-pt shot from 5 ft (block by K. Koufos),,74-70,,
5:20.0,,,74-70,,Defensive rebound by C. Butler
5:04.0,,,74-70,,K. Koufos misses 2-pt shot from 8 ft
5:03.0,,,74-70,,Offensive rebound by K. Koufos
5:03.0,,,74-70,,Turnover by K. Koufos (traveling)
5:03.0,,,74-70,,O. Casspi enters the game for C. Butler
5:03.0,S. Larkin enters the game for J. Jack,,74-70,,
4:47.0,J. Johnson makes 2-pt shot from 18 ft,2,76-70,,
4:29.0,,,76-70,,B. McLemore misses 2-pt shot from 6 ft
4:27.0,,,76-70,,Offensive rebound by K. Koufos
4:27.0,,,76-70,,K. Koufos misses 2-pt shot from 1 ft
4:26.0,,,76-70,,Offensive rebound by K. Koufos
4:25.0,,,76-70,,K. Koufos misses 2-pt shot from 1 ft (block by B. Lopez)
4:24.0,Defensive rebound by S. Larkin,,76-70,,
4:21.0,Offensive charge foul by S. Larkin,,76-70,,
4:21.0,Turnover by S. Larkin (offensive foul),,76-70,,
4:07.0,,,76-72,2,D. Cousins makes 2-pt shot from 21 ft
3:47.0,B. Lopez makes 2-pt shot from 9 ft,2,78-72,,
3:37.0,,,78-75,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
3:21.0,Shooting foul by K. Koufos (drawn by B. Lopez),,78-75,,
3:21.0,B. Lopez makes free throw 1 of 2,1,79-75,,
3:21.0,,,79-75,,M. Belinelli enters the game for K. Koufos
3:21.0,,,79-75,,Q. Acy enters the game for B. McLemore
3:21.0,B. Lopez makes free throw 2 of 2,1,80-75,,
3:08.0,,,80-77,2,D. Cousins makes 2-pt shot from 3 ft
2:48.0,B. Lopez misses 2-pt shot from 10 ft,,80-77,,
2:47.0,,,80-77,,Defensive rebound by D. Cousins
2:40.0,,,80-79,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
2:39.0,Brooklyn full timeout,,80-79,,
2:39.0,,,80-79,,Sacramento full timeout
2:39.0,W. Ellington enters the game for J. Johnson,,80-79,,
2:32.0,Turnover by S. Larkin (lost ball; steal by Q. Acy),,80-79,,
2:17.0,,,80-81,2,D. Cousins makes 2-pt shot from 21 ft (assist by M. Belinelli)
2:01.0,A. Bargnani misses 2-pt shot from 21 ft,,80-81,,
2:01.0,,,80-81,,Defensive rebound by M. Belinelli
1:53.0,,,80-81,,Q. Acy misses 2-pt shot from 4 ft (block by B. Lopez)
1:52.0,Defensive rebound by Team,,80-81,,
1:52.0,T. Robinson enters the game for B. Lopez,,80-81,,
1:41.0,S. Larkin misses 2-pt shot from 2 ft,,80-81,,
1:40.0,,,80-81,,Defensive rebound by R. Rondo
1:35.0,,,80-83,2,R. Rondo makes 2-pt shot from 2 ft
1:18.0,B. Bogdanovic misses 3-pt shot from 25 ft,,80-83,,
1:17.0,,,80-83,,Defensive rebound by R. Rondo
1:08.0,Personal foul by T. Robinson (drawn by D. Cousins),,80-83,,
1:08.0,,,80-83,,K. Koufos enters the game for D. Cousins
0:56.0,,,80-83,,Turnover by Q. Acy (traveling)
0:35.0,W. Ellington makes 2-pt shot from 20 ft (assist by S. Larkin),2,82-83,,
0:19.0,,,82-85,2,Q. Acy makes 2-pt shot at rim (assist by M. Belinelli)
0:06.0,,,82-85,,Personal foul by R. Rondo (drawn by S. Larkin)
0:00.0,W. Ellington misses 2-pt shot from 4 ft,,82-85,,
0:00.0,Offensive rebound by Team,,82-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,W. Ellington misses 3-pt shot from 24 ft,,82-85,,
11:45.0,,,82-85,,Defensive rebound by O. Casspi
11:36.0,,,82-85,,Turnover by M. Belinelli (lost ball; steal by W. Ellington)
11:22.0,B. Bogdanovic misses 2-pt shot from 13 ft,,82-85,,
11:21.0,Offensive rebound by T. Robinson,,82-85,,
11:04.0,A. Bargnani makes 3-pt shot from 25 ft (assist by J. Jack),3,85-85,,
10:47.0,,,85-85,,M. Belinelli misses 2-pt shot from 21 ft
10:46.0,Defensive rebound by B. Bogdanovic,,85-85,,
10:38.0,J. Jack misses 2-pt shot from 18 ft,,85-85,,
10:37.0,,,85-85,,Defensive rebound by O. Casspi
10:28.0,,,85-85,,O. Casspi misses 3-pt shot from 25 ft
10:28.0,,,85-85,,Offensive rebound by Team
10:24.0,,,85-85,,O. Casspi misses 2-pt shot from 4 ft
10:23.0,Defensive rebound by T. Robinson,,85-85,,
10:08.0,A. Bargnani misses 2-pt shot from 10 ft,,85-85,,
10:07.0,Offensive rebound by A. Bargnani,,85-85,,
10:06.0,A. Bargnani makes 2-pt shot from 5 ft,2,87-85,,
9:48.0,,,87-87,2,R. Rondo makes 2-pt shot from 20 ft (assist by O. Casspi)
9:37.0,J. Jack misses 2-pt shot from 13 ft,,87-87,,
9:36.0,,,87-87,,Defensive rebound by Q. Acy
9:26.0,,,87-89,2,R. Rondo makes 2-pt shot from 2 ft
9:04.0,Turnover by T. Robinson (lost ball; steal by Q. Acy),,87-89,,
8:41.0,,,87-89,,O. Casspi misses 2-pt shot from 1 ft
8:40.0,,,87-89,,Offensive rebound by O. Casspi
8:40.0,,,87-89,,O. Casspi misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by T. Robinson,,87-89,,
8:29.0,W. Ellington misses 2-pt shot from 19 ft,,87-89,,
8:29.0,,,87-89,,Defensive rebound by R. Rondo
8:29.0,,,87-89,,Sacramento full timeout
8:29.0,,,87-89,,D. Cousins enters the game for K. Koufos
8:29.0,,,87-89,,B. McLemore enters the game for O. Casspi
8:29.0,J. Johnson enters the game for T. Robinson,,87-89,,
8:29.0,B. Lopez enters the game for A. Bargnani,,87-89,,
8:29.0,T. Young enters the game for W. Ellington,,87-89,,
8:18.0,Violation by B. Lopez (kicked ball),,87-89,,
8:15.0,,,87-91,2,M. Belinelli makes 2-pt shot from 20 ft (assist by D. Cousins)
8:15.0,,,87-91,,Shooting foul by B. Bogdanovic (drawn by M. Belinelli)
8:15.0,,,87-92,1,M. Belinelli makes free throw 1 of 1
7:53.0,B. Bogdanovic misses 3-pt shot from 23 ft,,87-92,,
7:52.0,Offensive rebound by B. Lopez,,87-92,,
7:50.0,B. Lopez makes 2-pt shot from 2 ft,2,89-92,,
7:28.0,,,89-92,,Offensive charge foul by D. Cousins
7:28.0,,,89-92,,Turnover by D. Cousins (offensive foul)
7:14.0,Turnover by B. Lopez (lost ball; steal by B. McLemore),,89-92,,
7:07.0,,,89-95,3,M. Belinelli makes 3-pt shot from 23 ft (assist by B. McLemore)
7:07.0,Brooklyn full timeout,,89-95,,
