time,Golden State,pts.away,score,pts.home,New York
0:13.0,Defensive rebound by D. Green,,18-20,,
0:02.0,S. Curry misses 2-pt shot from 5 ft (block by R. Lopez),,18-20,,
0:00.0,Offensive rebound by Team,,18-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by M. Speights (drawn by K. O'Quinn),,18-20,,
11:39.0,,,18-20,,K. O'Quinn misses 2-pt shot from 19 ft
11:38.0,,,18-20,,Offensive rebound by Team
11:27.0,,,18-22,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
11:06.0,L. Barbosa misses 2-pt shot from 1 ft,,18-22,,
11:05.0,,,18-22,,Defensive rebound by K. O'Quinn
10:56.0,,,18-22,,A. Afflalo misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by M. Speights,,18-22,,
10:44.0,M. Speights misses 2-pt shot from 20 ft,,18-22,,
10:43.0,,,18-22,,Defensive rebound by D. Williams
10:31.0,,,18-24,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by S. Vujacic)
10:18.0,Turnover by H. Barnes (bad pass),,18-24,,
9:56.0,,,18-24,,S. Vujacic misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by M. Speights,,18-24,,
9:50.0,,,18-24,,Personal foul by S. Vujacic (drawn by L. Barbosa)
9:50.0,Golden State full timeout,,18-24,,
9:41.0,S. Livingston makes 2-pt shot at rim (assist by M. Speights),2,20-24,,
9:31.0,,,20-26,2,J. Grant makes 2-pt shot from 7 ft
9:31.0,,,20-26,,Shooting foul by S. Livingston (drawn by J. Grant)
9:31.0,K. Thompson enters the game for L. Barbosa,,20-26,,
9:31.0,D. Green enters the game for M. Speights,,20-26,,
9:31.0,,,20-27,1,J. Grant makes free throw 1 of 1
9:17.0,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green),2,22-27,,
8:54.0,,,22-27,,A. Afflalo misses 2-pt shot from 10 ft
8:53.0,Defensive rebound by A. Iguodala,,22-27,,
8:41.0,D. Green makes 3-pt shot from 24 ft (assist by S. Livingston),3,25-27,,
8:29.0,,,25-27,,Turnover by K. O'Quinn (bad pass; steal by S. Livingston)
8:27.0,,,25-27,,Personal foul by D. Williams (drawn by A. Iguodala)
8:27.0,,,25-27,,K. Porzingis enters the game for K. O'Quinn
8:27.0,,,25-27,,L. Thomas enters the game for S. Vujacic
8:16.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,27-27,,
8:01.0,,,27-27,,Shooting foul by K. Thompson (drawn by D. Williams)
8:01.0,,,27-28,1,D. Williams makes free throw 1 of 2
8:01.0,,,27-29,1,D. Williams makes free throw 2 of 2
