time,Golden State,pts.away,score,pts.home,New York
3:04.0,I. Clark makes flagrant free throw 1 of 2,1,107-87,,
3:04.0,I. Clark makes flagrant free throw 2 of 2,1,108-87,,
3:04.0,,,108-87,,J. Grant enters the game for L. Galloway
2:52.0,Shooting foul by L. Amundson (drawn by J. Thompson),,108-87,,
2:52.0,Golden State full timeout,,108-87,,
2:52.0,J. Thompson misses free throw 1 of 2,,108-87,,
2:52.0,Offensive rebound by Team,,108-87,,
2:52.0,J. Thompson makes free throw 2 of 2,1,109-87,,
2:35.0,,,109-87,,L. Amundson misses 2-pt shot from 6 ft (block by J. Thompson)
2:34.0,Defensive rebound by M. Speights,,109-87,,
2:11.0,M. Speights makes 3-pt shot from 23 ft (assist by L. Barbosa),3,112-87,,
1:53.0,,,112-87,,L. Amundson misses 2-pt shot from 1 ft
1:52.0,,,112-87,,Offensive rebound by K. O'Quinn
1:51.0,,,112-89,2,K. O'Quinn makes 2-pt shot at rim
1:50.0,,,112-89,,Personal foul by T. Antetokounmpo (drawn by I. Clark)
1:50.0,I. Clark makes free throw 1 of 2,1,113-89,,
1:50.0,I. Clark makes free throw 2 of 2,1,114-89,,
1:35.0,,,114-91,2,L. Amundson makes 2-pt shot from 1 ft
1:22.0,Shooting foul by L. Amundson (drawn by M. Speights),,114-91,,
1:22.0,M. Speights makes free throw 1 of 2,1,115-91,,
1:22.0,M. Speights makes free throw 2 of 2,1,116-91,,
1:13.0,,,116-93,2,T. Antetokounmpo makes 2-pt shot at rim
1:02.0,I. Clark misses 3-pt shot from 26 ft,,116-93,,
1:01.0,,,116-93,,Defensive rebound by S. Vujacic
0:55.0,,,116-95,2,T. Antetokounmpo makes 2-pt shot at rim (assist by L. Amundson)
0:40.0,M. Speights misses 3-pt shot from 25 ft,,116-95,,
0:39.0,,,116-95,,Defensive rebound by T. Antetokounmpo
0:30.0,,,116-95,,L. Amundson misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by B. Rush,,116-95,,
0:06.0,B. Rush misses 2-pt shot at rim,,116-95,,
0:05.0,,,116-95,,Defensive rebound by K. O'Quinn
0:00.0,,,116-95,,T. Antetokounmpo misses 3-pt shot from 27 ft
0:00.0,,,116-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
