time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (C. Frye gains possession)
11:45.0,Turnover by T. Harris (back court),,0-0,,
11:27.0,,,0-0,,M. Gortat misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by T. Harris,,0-0,,
11:15.0,E. Fournier makes 2-pt shot from 2 ft (assist by C. Frye),2,2-0,,
10:57.0,,,2-3,3,K. Humphries makes 3-pt shot from 25 ft (assist by O. Porter)
10:42.0,C. Frye makes 3-pt shot from 23 ft,3,5-3,,
10:17.0,,,5-3,,K. Humphries misses 3-pt shot from 26 ft
10:17.0,,,5-3,,Offensive rebound by M. Gortat
10:15.0,,,5-3,,M. Gortat misses 2-pt shot from 4 ft
10:14.0,Defensive rebound by N. Vucevic,,5-3,,
10:01.0,N. Vucevic makes 2-pt shot from 19 ft,2,7-3,,
9:47.0,,,7-3,,G. Temple misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by E. Fournier,,7-3,,
9:38.0,E. Fournier makes 2-pt shot at rim,2,9-3,,
9:31.0,,,9-3,,Washington full timeout
9:21.0,,,9-3,,K. Humphries misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by Team,,9-3,,
9:02.0,N. Vucevic misses 2-pt shot from 16 ft,,9-3,,
9:02.0,,,9-3,,Defensive rebound by M. Gortat
8:52.0,,,9-3,,J. Wall misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by C. Frye,,9-3,,
8:43.0,,,9-3,,Personal foul by O. Porter (drawn by T. Harris)
8:33.0,T. Harris makes 2-pt shot from 18 ft (assist by E. Payton),2,11-3,,
8:25.0,,,11-5,2,O. Porter makes 2-pt shot from 18 ft
8:19.0,C. Frye makes 2-pt shot at rim (assist by E. Payton),2,13-5,,
7:57.0,,,13-5,,M. Gortat misses 2-pt shot from 8 ft
7:56.0,Defensive rebound by C. Frye,,13-5,,
7:42.0,N. Vucevic makes 2-pt shot from 16 ft,2,15-5,,
7:23.0,,,15-5,,O. Porter misses 2-pt shot from 16 ft
7:22.0,,,15-5,,Offensive rebound by K. Humphries
7:21.0,,,15-7,2,K. Humphries makes 2-pt shot from 1 ft
7:01.0,E. Fournier misses 3-pt shot from 26 ft,,15-7,,
