time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession)
11:43.0,,,0-2,2,T. Young makes 2-pt shot from 8 ft (assist by J. Johnson)
11:20.0,K. Olynyk misses 3-pt shot from 22 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by B. Bogdanovic
11:10.0,,,0-2,,B. Bogdanovic misses 2-pt shot from 1 ft
11:09.0,,,0-2,,Offensive rebound by T. Young
11:08.0,,,0-2,,T. Young misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by E. Turner,,0-2,,
11:03.0,E. Turner makes 2-pt shot from 13 ft,2,2-2,,
10:39.0,,,2-4,2,B. Lopez makes 2-pt shot from 7 ft (assist by S. Larkin)
10:23.0,A. Johnson misses 3-pt shot from 25 ft,,2-4,,
10:22.0,,,2-4,,Defensive rebound by S. Larkin
10:13.0,,,2-7,3,J. Johnson makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
9:55.0,Shooting foul by T. Young (drawn by J. Crowder),,2-7,,
9:55.0,J. Crowder makes free throw 1 of 2,1,3-7,,
9:55.0,J. Crowder makes free throw 2 of 2,1,4-7,,
9:37.0,,,4-7,,B. Bogdanovic misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by J. Crowder,,4-7,,
9:21.0,I. Thomas misses 3-pt shot from 24 ft,,4-7,,
9:20.0,,,4-7,,Defensive rebound by T. Young
9:12.0,,,4-7,,Turnover by B. Lopez (bad pass; steal by I. Thomas)
9:08.0,I. Thomas misses 2-pt shot from 2 ft,,4-7,,
9:07.0,Offensive rebound by J. Crowder,,4-7,,
9:06.0,J. Crowder makes 2-pt shot from 1 ft,2,6-7,,
8:48.0,,,6-7,,B. Lopez misses 2-pt shot from 9 ft
8:47.0,Defensive rebound by E. Turner,,6-7,,
8:31.0,A. Johnson makes 2-pt shot from 7 ft,2,8-7,,
8:15.0,,,8-10,3,T. Young makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
8:01.0,E. Turner makes 2-pt shot from 16 ft (assist by J. Crowder),2,10-10,,
7:43.0,,,10-12,2,S. Larkin makes 2-pt shot from 3 ft (assist by J. Johnson)
7:25.0,I. Thomas makes 3-pt shot from 25 ft (assist by E. Turner),3,13-12,,
7:01.0,,,13-12,,T. Young misses 2-pt shot from 9 ft
7:00.0,Defensive rebound by A. Johnson,,13-12,,
6:56.0,I. Thomas makes 2-pt shot from 1 ft,2,15-12,,
6:56.0,Shooting foul by S. Larkin (drawn by I. Thomas),,15-12,,
6:56.0,I. Thomas makes free throw 1 of 1,1,16-12,,
6:45.0,,,16-12,,Turnover by S. Larkin (bad pass; steal by A. Johnson)
6:42.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Johnson),2,18-12,,
6:41.0,,,18-12,,Brooklyn full timeout
6:15.0,,,18-12,,S. Larkin misses 3-pt shot from 24 ft
6:13.0,,,18-12,,Offensive rebound by B. Bogdanovic
6:05.0,,,18-14,2,J. Johnson makes 2-pt shot from 20 ft
5:51.0,J. Crowder makes 2-pt shot from 3 ft (assist by A. Johnson),2,20-14,,
5:30.0,,,20-14,,Offensive foul by B. Lopez
5:30.0,,,20-14,,Turnover by B. Lopez (offensive foul)
5:22.0,Shooting foul by J. Johnson (drawn by J. Crowder),,20-14,,
5:22.0,J. Crowder makes free throw 1 of 2,1,21-14,,
5:22.0,J. Crowder makes free throw 2 of 2,1,22-14,,
5:05.0,,,22-14,,J. Johnson misses 2-pt shot from 7 ft
5:04.0,Defensive rebound by E. Turner,,22-14,,
4:55.0,E. Turner makes 2-pt shot from 1 ft (assist by I. Thomas),2,24-14,,
4:39.0,,,24-14,,Turnover by J. Johnson (bad pass; steal by J. Crowder)
4:26.0,E. Turner misses 2-pt shot from 7 ft,,24-14,,
4:25.0,,,24-14,,Defensive rebound by B. Lopez
4:20.0,Personal foul by A. Johnson (drawn by T. Young),,24-14,,
4:20.0,,,24-14,,D. Sloan enters the game for S. Larkin
4:20.0,,,24-14,,W. Ellington enters the game for B. Bogdanovic
4:20.0,M. Smart enters the game for E. Turner,,24-14,,
4:06.0,,,24-16,2,T. Young makes 2-pt shot from 2 ft
3:55.0,K. Olynyk misses 2-pt shot from 5 ft,,24-16,,
3:54.0,Offensive rebound by Team,,24-16,,
3:54.0,J. Sullinger enters the game for K. Olynyk,,24-16,,
3:49.0,I. Thomas misses 2-pt shot from 5 ft,,24-16,,
3:48.0,Offensive rebound by M. Smart,,24-16,,
3:46.0,M. Smart makes 2-pt shot from 1 ft,2,26-16,,
3:31.0,,,26-16,,Turnover by T. Young (bad pass; steal by J. Sullinger)
3:22.0,J. Crowder misses 2-pt shot from 1 ft (block by T. Young),,26-16,,
3:20.0,,,26-16,,Defensive rebound by W. Ellington
3:04.0,,,26-19,3,D. Sloan makes 3-pt shot from 25 ft (assist by J. Johnson)
3:04.0,Boston full timeout,,26-19,,
3:04.0,J. Young enters the game for I. Thomas,,26-19,,
2:48.0,J. Crowder makes 2-pt shot from 19 ft (assist by J. Sullinger),2,28-19,,
2:27.0,,,28-19,,Turnover by J. Johnson (bad pass; steal by J. Sullinger)
2:25.0,J. Crowder makes 2-pt shot from 1 ft,2,30-19,,
2:25.0,Shooting foul by J. Johnson (drawn by J. Crowder),,30-19,,
2:25.0,,,30-19,,B. Bogdanovic enters the game for J. Johnson
2:25.0,J. Crowder misses free throw 1 of 1,,30-19,,
2:24.0,,,30-19,,Defensive rebound by T. Young
2:11.0,,,30-22,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Sloan)
1:57.0,J. Sullinger misses 2-pt shot from 19 ft,,30-22,,
1:55.0,,,30-22,,Defensive rebound by B. Bogdanovic
1:49.0,,,30-22,,Turnover by D. Sloan (lost ball; steal by M. Smart)
1:45.0,J. Crowder misses 3-pt shot from 23 ft,,30-22,,
1:43.0,,,30-22,,Defensive rebound by T. Young
1:37.0,,,30-22,,W. Ellington misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by A. Johnson,,30-22,,
