time,Dallas,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. Z. Pachulia (J. Okafor gains possession),,,,Jump ball: N. Noel vs. Z. Pachulia (J. Okafor gains possession)
11:41.0,,,0-0,,N. Noel misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by D. Nowitzki,,0-0,,
11:24.0,D. Williams misses 2-pt shot from 12 ft (block by T. McConnell),,0-0,,
11:22.0,,,0-0,,Defensive rebound by T. McConnell
11:11.0,,,0-0,,Turnover by J. Okafor (traveling)
10:49.0,W. Matthews misses 3-pt shot from 25 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by N. Noel
10:40.0,,,0-0,,Turnover by N. Noel (lost ball; steal by D. Nowitzki)
10:38.0,Shooting foul by T. McConnell (drawn by C. Parsons),,0-0,,
10:38.0,C. Parsons makes 2-pt shot from 2 ft (assist by W. Matthews),2,2-0,,
10:38.0,C. Parsons makes free throw 1 of 1,1,3-0,,
10:15.0,,,3-0,,Turnover by J. Grant (bad pass; steal by W. Matthews)
10:07.0,C. Parsons misses 3-pt shot from 26 ft,,3-0,,
10:05.0,,,3-0,,Defensive rebound by N. Noel
9:46.0,,,3-0,,N. Stauskas misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by Z. Pachulia,,3-0,,
9:29.0,D. Williams makes 2-pt shot from 1 ft,2,5-0,,
9:18.0,Personal foul by D. Nowitzki (drawn by N. Noel),,5-0,,
9:09.0,,,5-0,,N. Stauskas misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by D. Nowitzki,,5-0,,
8:56.0,W. Matthews misses 2-pt shot from 7 ft,,5-0,,
8:54.0,Offensive rebound by Z. Pachulia,,5-0,,
8:52.0,D. Nowitzki misses 3-pt shot from 26 ft,,5-0,,
8:50.0,,,5-0,,Defensive rebound by T. McConnell
8:36.0,,,5-0,,J. Okafor misses 2-pt shot from 4 ft (block by D. Nowitzki)
8:34.0,,,5-0,,Offensive rebound by N. Noel
8:32.0,,,5-2,2,N. Noel makes 2-pt shot from 5 ft
8:15.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,7-2,,
7:57.0,Personal foul by W. Matthews (drawn by N. Stauskas),,7-2,,
7:48.0,,,7-2,,Turnover by T. McConnell (lost ball; steal by Z. Pachulia)
7:44.0,C. Parsons makes 2-pt shot at rim,2,9-2,,
7:27.0,,,9-2,,J. Grant misses 2-pt shot from 13 ft
7:26.0,Defensive rebound by D. Nowitzki,,9-2,,
7:18.0,C. Parsons makes 2-pt shot from 18 ft,2,11-2,,
7:17.0,,,11-2,,Philadelphia full timeout
7:17.0,D. Harris enters the game for W. Matthews,,11-2,,
7:17.0,D. Powell enters the game for D. Nowitzki,,11-2,,
6:54.0,,,11-4,2,T. McConnell makes 2-pt shot from 19 ft
6:43.0,,,11-4,,Personal foul by N. Stauskas (drawn by D. Harris)
6:43.0,,,11-4,,R. Covington enters the game for J. Okafor
6:31.0,C. Parsons makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,13-4,,
6:17.0,,,13-4,,T. McConnell misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by D. Harris,,13-4,,
6:11.0,,,13-4,,I. Canaan enters the game for T. McConnell
6:08.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Williams),2,15-4,,
6:00.0,,,15-4,,R. Covington misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by D. Harris,,15-4,,
5:48.0,Turnover by D. Harris (turnover),,15-4,,
5:39.0,,,15-4,,Turnover by N. Stauskas (turnover)
5:27.0,Z. Pachulia misses 2-pt shot from 2 ft,,15-4,,
5:25.0,,,15-4,,Defensive rebound by J. Grant
5:19.0,,,15-4,,Turnover by J. Grant (turnover)
5:06.0,Shooting foul by N. Noel (drawn by Z. Pachulia),,15-4,,
5:06.0,Z. Pachulia misses free throw 1 of 2,,15-4,,
5:06.0,Offensive rebound by Team,,15-4,,
5:06.0,,,15-4,,J. Sampson enters the game for N. Stauskas
5:06.0,Z. Pachulia makes free throw 2 of 2,1,16-4,,
4:59.0,,,16-4,,J. Grant misses 2-pt shot from 3 ft (block by C. Parsons)
4:56.0,Defensive rebound by D. Harris,,16-4,,
4:53.0,D. Williams misses 2-pt shot from 2 ft,,16-4,,
4:53.0,Offensive rebound by Team,,16-4,,
4:53.0,,,16-4,,Loose ball foul by J. Sampson (drawn by Z. Pachulia)
4:53.0,R. Felton enters the game for D. Williams,,16-4,,
4:45.0,Shooting foul by J. Grant (drawn by D. Powell),,16-4,,
4:45.0,,,16-4,,H. Thompson enters the game for J. Grant
4:45.0,D. Powell misses free throw 1 of 2,,16-4,,
4:45.0,Offensive rebound by Team,,16-4,,
4:45.0,,,16-4,,J. Okafor enters the game for N. Noel
4:45.0,D. Powell misses free throw 2 of 2,,16-4,,
4:43.0,,,16-4,,Defensive rebound by R. Covington
4:26.0,,,16-4,,I. Canaan misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by Z. Pachulia,,16-4,,
4:15.0,R. Felton misses 2-pt shot from 17 ft,,16-4,,
4:13.0,,,16-4,,Defensive rebound by J. Okafor
3:56.0,,,16-6,2,J. Sampson makes 2-pt shot from 1 ft (assist by I. Canaan)
3:40.0,D. Harris misses 2-pt shot from 18 ft,,16-6,,
3:38.0,Offensive rebound by D. Powell,,16-6,,
3:38.0,Turnover by D. Powell (lost ball; steal by H. Thompson),,16-6,,
3:30.0,,,16-8,2,H. Thompson makes 2-pt shot from 2 ft (assist by R. Covington)
3:30.0,,,16-8,,Shooting foul by D. Powell (drawn by H. Thompson)
3:30.0,Dallas full timeout,,16-8,,
3:30.0,W. Matthews enters the game for C. Parsons,,16-8,,
3:30.0,D. Nowitzki enters the game for Z. Pachulia,,16-8,,
3:30.0,,,16-9,1,H. Thompson makes free throw 1 of 1
3:06.0,D. Harris misses 2-pt shot from 3 ft,,16-9,,
3:04.0,,,16-9,,Defensive rebound by I. Canaan
3:00.0,Personal foul by D. Nowitzki (drawn by R. Covington),,16-9,,
3:00.0,,,16-10,1,R. Covington makes free throw 1 of 2
3:00.0,C. Villanueva enters the game for D. Nowitzki,,16-10,,
3:00.0,,,16-10,,R. Covington misses free throw 2 of 2
2:58.0,Defensive rebound by D. Powell,,16-10,,
2:48.0,W. Matthews misses 2-pt shot from 1 ft (block by J. Okafor),,16-10,,
2:46.0,,,16-10,,Defensive rebound by J. Okafor
2:44.0,,,16-10,,Turnover by J. Okafor (turnover)
2:24.0,C. Villanueva makes 3-pt shot from 22 ft (assist by R. Felton),3,19-10,,
2:09.0,,,19-12,2,J. Sampson makes 2-pt shot from 2 ft (assist by H. Thompson)
2:00.0,C. Villanueva misses 3-pt shot from 26 ft,,19-12,,
1:58.0,,,19-12,,Defensive rebound by R. Covington
1:57.0,,,19-12,,J. Grant enters the game for R. Covington
1:37.0,,,19-12,,J. Okafor misses 2-pt shot from 8 ft
1:35.0,,,19-12,,Offensive rebound by J. Grant
1:35.0,,,19-12,,Shooting foul by C. Villanueva (drawn by J. Grant)
1:35.0,,,19-12,,J. Grant misses free throw 1 of 2
1:35.0,,,19-12,,Offensive rebound by Team
1:35.0,,,19-13,1,J. Grant makes free throw 2 of 2
1:25.0,D. Harris makes 2-pt shot from 1 ft,2,21-13,,
1:00.0,,,21-15,2,J. Okafor makes 2-pt shot at rim (assist by J. Sampson)
0:53.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris),2,23-15,,
0:53.0,Shooting foul by J. Okafor (drawn by D. Powell),,23-15,,
0:53.0,D. Powell makes free throw 1 of 1,1,24-15,,
0:38.0,,,24-15,,Turnover by I. Canaan (bad pass; steal by D. Harris)
0:35.0,D. Harris makes 2-pt shot from 1 ft,2,26-15,,
0:21.0,,,26-15,,I. Canaan misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by D. Powell,,26-15,,
0:00.0,R. Felton makes 2-pt shot from 10 ft,2,28-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Parsons makes 2-pt shot from 3 ft (assist by R. Felton),2,30-15,,
11:26.0,,,30-15,,H. Thompson misses 2-pt shot from 13 ft
11:25.0,Defensive rebound by C. Villanueva,,30-15,,
11:13.0,C. Villanueva misses 2-pt shot from 4 ft,,30-15,,
11:12.0,Offensive rebound by C. Villanueva,,30-15,,
11:11.0,C. Villanueva misses 2-pt shot from 1 ft,,30-15,,
11:09.0,Offensive rebound by C. Villanueva,,30-15,,
11:09.0,C. Villanueva misses 2-pt shot from 2 ft,,30-15,,
11:07.0,,,30-15,,Defensive rebound by J. Okafor
10:49.0,,,30-15,,N. Stauskas misses 2-pt shot from 8 ft
10:49.0,,,30-15,,Offensive rebound by Team
10:45.0,,,30-17,2,T. McConnell makes 2-pt shot from 13 ft (assist by N. Stauskas)
10:28.0,D. Powell misses 2-pt shot at rim,,30-17,,
10:27.0,,,30-17,,Defensive rebound by N. Stauskas
10:09.0,,,30-17,,Turnover by N. Noel (lost ball; steal by D. Powell)
10:06.0,Shooting foul by H. Thompson (drawn by C. Parsons),,30-17,,
10:06.0,C. Parsons makes free throw 1 of 2,1,31-17,,
10:06.0,Z. Pachulia enters the game for C. Villanueva,,31-17,,
10:06.0,D. Nowitzki enters the game for D. Powell,,31-17,,
10:06.0,C. Parsons makes free throw 2 of 2,1,32-17,,
10:06.0,,,32-17,,Philadelphia full timeout
9:54.0,,,32-17,,N. Noel misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by C. Parsons,,32-17,,
9:41.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by J. Barea),2,34-17,,
9:26.0,Personal foul by Z. Pachulia (drawn by J. Okafor),,34-17,,
9:15.0,,,34-17,,Shooting foul by R. Felton (drawn by J. Okafor)
9:15.0,,,34-18,1,J. Okafor makes free throw 1 of 2
9:15.0,,,34-19,1,J. Okafor makes free throw 2 of 2
9:07.0,Offensive foul by J. Barea,,34-19,,
9:07.0,Turnover by J. Barea (offensive foul),,34-19,,
8:46.0,,,34-19,,Offensive foul by T. McConnell
8:46.0,,,34-19,,Turnover by T. McConnell (offensive foul)
8:35.0,D. Nowitzki misses 2-pt shot from 15 ft,,34-19,,
8:33.0,,,34-19,,Defensive rebound by N. Stauskas
8:29.0,,,34-19,,Turnover by J. Okafor (offensive foul)
8:29.0,,,34-19,,Offensive charge foul by J. Okafor
8:14.0,J. Barea makes 2-pt shot from 9 ft,2,36-19,,
8:01.0,,,36-19,,Turnover by T. McConnell (lost ball)
7:54.0,C. Parsons makes 2-pt shot from 16 ft,2,38-19,,
7:40.0,,,38-21,2,J. Okafor makes 2-pt shot from 8 ft
7:31.0,Turnover by C. Parsons (bad pass; steal by N. Noel),,38-21,,
7:27.0,,,38-23,2,N. Noel makes 2-pt shot at rim
7:14.0,Dallas full timeout,,38-23,,
7:14.0,D. Williams enters the game for R. Felton,,38-23,,
7:14.0,,,38-23,,J. Grant enters the game for J. Okafor
7:01.0,J. Barea misses 2-pt shot from 1 ft,,38-23,,
7:00.0,,,38-23,,Defensive rebound by H. Thompson
6:49.0,,,38-26,3,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell)
6:39.0,,,38-26,,J. Sampson enters the game for N. Stauskas
6:39.0,W. Matthews enters the game for C. Parsons,,38-26,,
6:24.0,D. Nowitzki misses 2-pt shot from 16 ft,,38-26,,
6:22.0,,,38-26,,Defensive rebound by H. Thompson
6:16.0,,,38-26,,Shooting foul by Z. Pachulia (drawn by J. Sampson)
6:16.0,D. Powell enters the game for Z. Pachulia,,38-26,,
6:16.0,D. Harris enters the game for J. Barea,,38-26,,
6:16.0,,,38-27,1,J. Sampson makes free throw 1 of 2
6:16.0,,,38-27,,J. Sampson misses free throw 2 of 2
5:59.0,Defensive rebound by D. Powell,,38-27,,
5:54.0,D. Williams misses 2-pt shot from 14 ft,,38-27,,
5:52.0,,,38-27,,Defensive rebound by N. Noel
5:48.0,,,38-29,2,J. Sampson makes 2-pt shot from 2 ft
5:35.0,D. Nowitzki misses 2-pt shot from 16 ft,,38-29,,
5:33.0,Offensive rebound by Team,,38-29,,
5:22.0,D. Harris makes 2-pt shot from 1 ft (assist by D. Williams),2,40-29,,
5:10.0,,,40-31,2,N. Noel makes 2-pt shot from 2 ft
4:55.0,,,40-31,,Personal foul by N. Noel (drawn by D. Harris)
4:48.0,W. Matthews misses 2-pt shot from 18 ft,,40-31,,
4:45.0,,,40-31,,Defensive rebound by J. Sampson
4:41.0,,,40-33,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
4:28.0,D. Nowitzki misses 2-pt shot from 10 ft,,40-33,,
4:27.0,,,40-33,,Defensive rebound by T. McConnell
4:09.0,,,40-33,,Turnover by J. Sampson (palming)
4:09.0,,,40-33,,I. Canaan enters the game for T. McConnell
4:09.0,,,40-33,,R. Covington enters the game for H. Thompson
4:03.0,,,40-33,,Personal foul by J. Grant (drawn by D. Nowitzki)
4:03.0,C. Villanueva enters the game for D. Nowitzki,,40-33,,
4:00.0,Technical foul by D. Nowitzki,,40-33,,
4:00.0,,,40-33,,I. Canaan misses technical free throw
4:00.0,Offensive rebound by Team,,40-33,,
4:00.0,C. Parsons enters the game for W. Matthews,,40-33,,
3:52.0,D. Williams misses 2-pt shot from 13 ft (block by N. Noel),,40-33,,
3:50.0,,,40-33,,Defensive rebound by N. Noel
3:41.0,,,40-33,,Shooting foul by C. Villanueva (drawn by J. Grant)
3:41.0,,,40-34,1,J. Grant makes free throw 1 of 2
3:41.0,,,40-35,1,J. Grant makes free throw 2 of 2
3:30.0,D. Powell makes 2-pt shot at rim (assist by C. Parsons),2,42-35,,
3:21.0,,,42-35,,Offensive charge foul by J. Sampson
3:21.0,,,42-35,,Turnover by J. Sampson (offensive foul)
3:11.0,D. Williams misses 3-pt shot from 22 ft,,42-35,,
3:09.0,,,42-35,,Defensive rebound by J. Sampson
2:59.0,,,42-35,,R. Covington misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by D. Powell,,42-35,,
2:50.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams),3,45-35,,
2:34.0,,,45-37,2,J. Grant makes 2-pt shot at rim (assist by J. Sampson)
2:17.0,D. Williams makes 2-pt shot from 14 ft,2,47-37,,
2:08.0,,,47-37,,Turnover by J. Sampson (step out of bounds)
2:08.0,Official timeout,,47-37,,
2:08.0,,,47-37,,T. McConnell enters the game for J. Sampson
2:08.0,D. Nowitzki enters the game for C. Villanueva,,47-37,,
2:00.0,Offensive foul by D. Powell,,47-37,,
2:00.0,Turnover by D. Powell (offensive foul),,47-37,,
1:48.0,,,47-37,,Turnover by R. Covington (lost ball; steal by C. Parsons)
1:40.0,C. Parsons misses 3-pt shot from 27 ft,,47-37,,
1:40.0,,,47-37,,Defensive rebound by Team
1:29.0,,,47-39,2,T. McConnell makes 2-pt shot from 9 ft
1:20.0,Offensive charge foul by D. Williams,,47-39,,
1:20.0,Turnover by D. Williams (offensive foul),,47-39,,
1:20.0,Violation by Team (delay of game),,47-39,,
1:07.0,,,47-39,,Turnover by N. Noel (turnover)
0:58.0,,,47-39,,Shooting block foul by J. Grant (drawn by D. Nowitzki)
0:58.0,D. Nowitzki makes free throw 1 of 2,1,48-39,,
0:58.0,,,48-39,,H. Thompson enters the game for J. Grant
0:58.0,D. Nowitzki makes free throw 2 of 2,1,49-39,,
0:37.0,,,49-39,,I. Canaan misses 3-pt shot from 28 ft
0:36.0,,,49-39,,Offensive rebound by T. McConnell
0:32.0,,,49-39,,R. Covington misses 3-pt shot from 29 ft
0:31.0,,,49-39,,Offensive rebound by N. Noel
0:29.0,,,49-41,2,R. Covington makes 2-pt shot at rim
0:07.0,Jump ball: D. Harris vs. T. McConnell,,,,Jump ball: D. Harris vs. T. McConnell
0:07.0,Turnover by D. Harris (lost ball; steal by T. McConnell),,49-41,,
0:01.0,,,49-44,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell)
0:01.0,,,49-44,,Violation by Team (delay of game)
0:00.0,D. Harris misses 3-pt shot from 85 ft,,49-44,,
0:00.0,Offensive rebound by Team,,49-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Nowitzki misses 2-pt shot from 2 ft,,49-44,,
11:43.0,,,49-44,,Defensive rebound by J. Okafor
11:33.0,,,49-44,,N. Noel misses 2-pt shot from 8 ft
11:30.0,Defensive rebound by Z. Pachulia,,49-44,,
11:17.0,C. Parsons misses 3-pt shot from 25 ft,,49-44,,
11:15.0,,,49-44,,Defensive rebound by J. Okafor
10:50.0,,,49-44,,J. Grant misses 2-pt shot from 15 ft
10:49.0,Defensive rebound by C. Parsons,,49-44,,
10:45.0,,,49-44,,Shooting block foul by N. Stauskas (drawn by W. Matthews)
10:45.0,W. Matthews makes free throw 1 of 2,1,50-44,,
10:45.0,W. Matthews makes free throw 2 of 2,1,51-44,,
10:25.0,,,51-44,,N. Noel misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by C. Parsons,,51-44,,
10:19.0,W. Matthews misses 3-pt shot from 26 ft,,51-44,,
10:14.0,,,51-44,,Defensive rebound by N. Noel
10:03.0,,,51-44,,N. Noel misses 2-pt shot from 15 ft
10:01.0,Defensive rebound by C. Parsons,,51-44,,
9:47.0,D. Williams misses 2-pt shot from 17 ft,,51-44,,
9:45.0,,,51-44,,Defensive rebound by J. Okafor
9:20.0,,,51-44,,J. Grant misses 3-pt shot from 25 ft
