time,Oklahoma City,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Gasol (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. P. Gasol (R. Westbrook gains possession)
11:44.0,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant),2,2-0,,
11:23.0,,,2-0,,Turnover by N. Mirotic (bad pass; steal by R. Westbrook)
11:20.0,R. Westbrook makes 2-pt shot from 1 ft,2,4-0,,
11:11.0,,,4-2,2,D. Rose makes 2-pt shot from 1 ft
10:46.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,7-2,,
10:31.0,,,7-4,2,J. Butler makes 2-pt shot from 2 ft
10:09.0,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Durant),2,9-4,,
9:56.0,Personal foul by A. Roberson (drawn by J. Butler),,9-4,,
9:45.0,,,9-6,2,P. Gasol makes 2-pt shot from 9 ft
9:30.0,A. Roberson misses 3-pt shot from 23 ft,,9-6,,
9:29.0,,,9-6,,Defensive rebound by N. Mirotic
9:14.0,,,9-6,,N. Mirotic misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by S. Ibaka,,9-6,,
9:00.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook),2,11-6,,
8:45.0,Personal foul by S. Adams (drawn by P. Gasol),,11-6,,
8:39.0,,,11-6,,D. Rose misses 2-pt shot from 16 ft
8:38.0,Defensive rebound by K. Durant,,11-6,,
8:34.0,K. Durant misses 2-pt shot from 3 ft,,11-6,,
8:33.0,,,11-6,,Defensive rebound by P. Gasol
8:24.0,,,11-6,,D. McDermott misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by S. Adams,,11-6,,
8:11.0,R. Westbrook makes 2-pt shot from 5 ft,2,13-6,,
7:57.0,,,13-6,,J. Butler misses 2-pt shot from 15 ft (block by K. Durant)
7:57.0,,,13-6,,Offensive rebound by Team
7:48.0,,,13-6,,P. Gasol misses 2-pt shot at rim
7:46.0,,,13-6,,Offensive rebound by J. Butler
7:40.0,,,13-8,2,J. Butler makes 2-pt shot from 18 ft
7:31.0,,,13-8,,Personal foul by J. Butler (drawn by K. Durant)
7:31.0,D. Waiters enters the game for A. Roberson,,13-8,,
7:18.0,S. Ibaka makes 2-pt shot from 6 ft (assist by K. Durant),2,15-8,,
7:04.0,,,15-8,,J. Butler misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by K. Durant,,15-8,,
6:57.0,Turnover by K. Durant (discontinued dribble),,15-8,,
6:32.0,,,15-8,,D. Rose misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by K. Durant,,15-8,,
6:16.0,D. Waiters makes 2-pt shot from 1 ft,2,17-8,,
6:15.0,,,17-8,,Chicago full timeout
6:15.0,,,17-8,,T. Snell enters the game for D. McDermott
6:03.0,,,17-8,,P. Gasol misses 2-pt shot from 2 ft (block by S. Adams)
6:01.0,,,17-8,,Offensive rebound by P. Gasol
6:01.0,,,17-8,,P. Gasol misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by S. Ibaka,,17-8,,
5:51.0,R. Westbrook misses 2-pt shot from 15 ft,,17-8,,
5:49.0,,,17-8,,Defensive rebound by P. Gasol
5:37.0,,,17-10,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
5:17.0,K. Durant misses 2-pt shot from 11 ft,,17-10,,
5:16.0,,,17-10,,Defensive rebound by J. Butler
4:52.0,,,17-13,3,J. Butler makes 3-pt shot from 23 ft (assist by P. Gasol)
4:38.0,,,17-13,,Personal foul by J. Butler (drawn by K. Durant)
4:38.0,,,17-13,,J. Noah enters the game for N. Mirotic
4:38.0,,,17-13,,E. Moore enters the game for J. Butler
4:38.0,,,17-13,,D. McDermott enters the game for D. Rose
4:33.0,R. Westbrook misses 2-pt shot from 1 ft,,17-13,,
4:32.0,,,17-13,,Defensive rebound by E. Moore
4:25.0,,,17-13,,Turnover by J. Noah (offensive goaltending)
4:12.0,S. Adams makes 2-pt shot from 2 ft (assist by K. Durant),2,19-13,,
4:01.0,,,19-16,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
3:50.0,Shooting foul by E. Moore (drawn by R. Westbrook),,19-16,,
3:50.0,R. Westbrook makes free throw 1 of 2,1,20-16,,
3:50.0,K. Singler enters the game for K. Durant,,20-16,,
3:50.0,E. Kanter enters the game for S. Ibaka,,20-16,,
3:50.0,R. Westbrook makes free throw 2 of 2,1,21-16,,
3:33.0,,,21-16,,P. Gasol misses 2-pt shot from 6 ft (block by S. Adams)
3:28.0,Defensive rebound by D. Waiters,,21-16,,
3:18.0,Turnover by D. Waiters (bad pass),,21-16,,
3:02.0,,,21-18,2,D. McDermott makes 2-pt shot from 20 ft (assist by J. Noah)
2:47.0,R. Westbrook misses 2-pt shot from 18 ft,,21-18,,
2:46.0,,,21-18,,Defensive rebound by D. McDermott
2:35.0,,,21-20,2,P. Gasol makes 2-pt shot from 5 ft
2:34.0,Oklahoma City full timeout,,21-20,,
2:22.0,K. Singler misses 2-pt shot from 4 ft (block by J. Noah),,21-20,,
2:20.0,,,21-20,,Defensive rebound by T. Snell
2:14.0,,,21-20,,E. Moore misses 2-pt shot from 15 ft
2:12.0,,,21-20,,Offensive rebound by J. Noah
2:12.0,,,21-22,2,J. Noah makes 2-pt shot at rim
1:50.0,S. Adams misses 2-pt shot from 6 ft,,21-22,,
1:49.0,Offensive rebound by E. Kanter,,21-22,,
1:49.0,E. Kanter makes 2-pt shot from 2 ft,2,23-22,,
1:49.0,Shooting foul by J. Noah (drawn by E. Kanter),,23-22,,
1:49.0,E. Kanter makes free throw 1 of 1,1,24-22,,
1:36.0,,,24-22,,D. Rose enters the game for D. McDermott
1:24.0,,,24-22,,P. Gasol misses 2-pt shot from 1 ft
1:23.0,,,24-22,,Offensive rebound by J. Noah
1:23.0,,,24-22,,J. Noah misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by Team,,24-22,,
1:11.0,R. Westbrook makes 2-pt shot from 20 ft,2,26-22,,
0:58.0,,,26-22,,D. Rose misses 2-pt shot from 13 ft
0:57.0,,,26-22,,Offensive rebound by J. Noah
0:55.0,,,26-22,,D. Rose misses 2-pt shot from 8 ft
0:55.0,,,26-22,,Offensive rebound by P. Gasol
0:55.0,,,26-22,,Shooting foul by E. Kanter (drawn by P. Gasol)
0:55.0,,,26-22,,P. Gasol misses free throw 1 of 2
0:55.0,,,26-22,,Offensive rebound by Team
0:55.0,N. Collison enters the game for S. Adams,,26-22,,
0:55.0,,,26-22,,P. Gasol misses free throw 2 of 2
0:54.0,Defensive rebound by E. Kanter,,26-22,,
