time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (A. Roberson gains possession),,,,Jump ball: S. Adams vs. M. Gasol (A. Roberson gains possession)
11:34.0,,,0-0,,A. Roberson misses 2-pt shot from 16 ft
11:33.0,Defensive rebound by C. Lee,,0-0,,
11:10.0,J. Green misses 2-pt shot from 20 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by R. Westbrook
11:04.0,Violation by M. Gasol (kicked ball),,0-0,,
10:57.0,,,0-0,,K. Durant misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by M. Barnes,,0-0,,
10:37.0,C. Lee misses 2-pt shot from 14 ft,,0-0,,
10:37.0,,,0-0,,Defensive rebound by R. Westbrook
10:24.0,,,0-2,2,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook)
10:03.0,Turnover by M. Barnes (bad pass; steal by R. Westbrook),,0-2,,
9:59.0,,,0-4,2,R. Westbrook makes 2-pt shot at rim
9:46.0,M. Barnes makes 2-pt shot from 7 ft (assist by M. Gasol),2,2-4,,
9:35.0,,,2-4,,Offensive foul by S. Adams
9:35.0,,,2-4,,Turnover by S. Adams (offensive foul)
9:20.0,M. Gasol makes 2-pt shot from 9 ft,2,4-4,,
9:06.0,,,4-4,,S. Adams misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by Team,,4-4,,
8:54.0,M. Gasol misses 2-pt shot from 17 ft,,4-4,,
8:54.0,,,4-4,,Defensive rebound by R. Westbrook
8:48.0,,,4-7,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:30.0,M. Gasol misses 2-pt shot from 18 ft,,4-7,,
8:29.0,,,4-7,,Defensive rebound by K. Durant
8:20.0,,,4-7,,A. Roberson misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by J. Green,,4-7,,
8:13.0,J. Green misses 2-pt shot from 4 ft,,4-7,,
8:11.0,Offensive rebound by T. Allen,,4-7,,
8:11.0,T. Allen makes 2-pt shot at rim,2,6-7,,
7:51.0,,,6-7,,K. Durant misses 2-pt shot at rim
7:51.0,Defensive rebound by M. Gasol,,6-7,,
7:42.0,M. Barnes misses 3-pt shot from 22 ft,,6-7,,
7:41.0,,,6-7,,Defensive rebound by S. Ibaka
7:29.0,,,6-7,,Shooting foul by T. Allen (drawn by K. Durant)
7:29.0,,,6-8,1,K. Durant makes free throw 1 of 2
7:29.0,,,6-9,1,K. Durant makes free throw 2 of 2
7:09.0,J. Green misses 2-pt shot from 6 ft (block by S. Adams),,6-9,,
7:09.0,Offensive rebound by Team,,6-9,,
7:06.0,C. Lee misses 2-pt shot from 16 ft (block by S. Adams),,6-9,,
7:05.0,,,6-9,,Defensive rebound by A. Roberson
6:55.0,,,6-9,,R. Westbrook misses 2-pt shot from 13 ft
6:55.0,,,6-9,,Offensive rebound by S. Adams
6:52.0,,,6-9,,S. Adams misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by T. Allen,,6-9,,
6:32.0,C. Lee misses 3-pt shot from 23 ft,,6-9,,
6:32.0,,,6-9,,Defensive rebound by K. Durant
6:23.0,,,6-9,,K. Durant misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by J. Green,,6-9,,
6:14.0,J. Green misses 2-pt shot from 13 ft,,6-9,,
6:14.0,,,6-9,,Defensive rebound by K. Durant
6:09.0,,,6-11,2,R. Westbrook makes 2-pt shot from 1 ft
5:50.0,T. Allen misses 2-pt shot from 2 ft,,6-11,,
5:50.0,Offensive rebound by Team,,6-11,,
5:50.0,,,6-11,,Oklahoma City full timeout
5:50.0,Z. Randolph enters the game for M. Barnes,,6-11,,
5:50.0,M. Chalmers enters the game for C. Lee,,6-11,,
5:37.0,J. Green misses 2-pt shot from 16 ft,,6-11,,
5:36.0,,,6-11,,Defensive rebound by A. Roberson
5:24.0,,,6-11,,Turnover by S. Ibaka (lost ball; steal by J. Green)
5:21.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,8-11,,
5:07.0,,,8-11,,Shooting foul by M. Gasol (drawn by S. Adams)
5:07.0,,,8-11,,S. Adams misses free throw 1 of 2
5:07.0,,,8-11,,Offensive rebound by Team
5:07.0,,,8-11,,N. Collison enters the game for S. Ibaka
5:07.0,,,8-12,1,S. Adams makes free throw 2 of 2
4:48.0,Z. Randolph makes 2-pt shot from 18 ft (assist by J. Green),2,10-12,,
4:30.0,,,10-12,,K. Durant misses 2-pt shot from 18 ft
4:27.0,,,10-12,,Offensive rebound by S. Adams
4:27.0,,,10-14,2,S. Adams makes 2-pt shot from 1 ft
4:18.0,,,10-14,,Violation by A. Roberson (kicked ball)
4:18.0,,,10-14,,E. Kanter enters the game for S. Adams
4:11.0,J. Green makes 3-pt shot from 24 ft (assist by M. Chalmers),3,13-14,,
3:51.0,,,13-14,,R. Westbrook misses 3-pt shot from 25 ft
3:51.0,,,13-14,,Offensive rebound by K. Durant
3:49.0,,,13-14,,K. Durant misses 2-pt shot from 2 ft
3:48.0,Defensive rebound by M. Chalmers,,13-14,,
3:45.0,,,13-14,,Personal foul by A. Roberson (drawn by M. Gasol)
3:45.0,,,13-14,,D. Waiters enters the game for A. Roberson
3:33.0,Z. Randolph makes 2-pt shot from 2 ft,2,15-14,,
3:27.0,,,15-16,2,R. Westbrook makes 2-pt shot from 1 ft
3:11.0,Turnover by T. Allen (traveling),,15-16,,
3:03.0,,,15-18,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
3:03.0,Memphis full timeout,,15-18,,
2:48.0,M. Chalmers misses 3-pt shot from 24 ft,,15-18,,
2:48.0,,,15-18,,Defensive rebound by E. Kanter
2:37.0,,,15-20,2,D. Waiters makes 2-pt shot at rim
2:28.0,Turnover by J. Green (bad pass),,15-20,,
2:11.0,,,15-20,,K. Durant misses 2-pt shot from 15 ft
2:10.0,Defensive rebound by J. Green,,15-20,,
2:04.0,,,15-20,,Personal foul by N. Collison (drawn by Z. Randolph)
2:04.0,,,15-20,,C. Payne enters the game for R. Westbrook
1:54.0,J. Green misses 2-pt shot from 9 ft (block by K. Durant),,15-20,,
1:54.0,Offensive rebound by Team,,15-20,,
1:45.0,M. Chalmers misses 2-pt shot from 13 ft,,15-20,,
1:44.0,,,15-20,,Defensive rebound by Team
1:44.0,Loose ball foul by Z. Randolph (drawn by D. Waiters),,15-20,,
1:44.0,M. Barnes enters the game for J. Green,,15-20,,
1:44.0,R. Hollins enters the game for M. Gasol,,15-20,,
1:33.0,,,15-20,,Turnover by K. Durant (lost ball; steal by T. Allen)
