time,Miami,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. A. Stoudemire (C. Bosh gains possession),,,,Jump ball: Z. Pachulia vs. A. Stoudemire (C. Bosh gains possession)
11:42.0,D. Wade misses 2-pt shot at rim,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Z. Pachulia
11:27.0,,,0-0,,D. Nowitzki misses 2-pt shot from 14 ft
11:26.0,Defensive rebound by D. Wade,,0-0,,
11:11.0,D. Wade misses 2-pt shot from 3 ft,,0-0,,
11:09.0,Offensive rebound by D. Wade,,0-0,,
11:09.0,D. Wade misses 2-pt shot at rim,,0-0,,
11:08.0,Offensive rebound by D. Wade,,0-0,,
11:08.0,D. Wade misses 2-pt shot at rim,,0-0,,
11:07.0,,,0-0,,Defensive rebound by C. Parsons
11:01.0,,,0-3,3,C. Parsons makes 3-pt shot from 24 ft
10:45.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic),2,2-3,,
10:28.0,,,2-3,,Shooting foul by A. Stoudemire (drawn by C. Parsons)
10:28.0,,,2-4,1,C. Parsons makes free throw 1 of 2
10:28.0,,,2-5,1,C. Parsons makes free throw 2 of 2
10:17.0,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic),2,4-5,,
10:05.0,,,4-5,,Z. Pachulia misses 2-pt shot from 16 ft
10:04.0,Defensive rebound by C. Bosh,,4-5,,
9:56.0,C. Bosh misses 3-pt shot from 24 ft,,4-5,,
9:55.0,,,4-5,,Defensive rebound by C. Parsons
9:41.0,,,4-7,2,Z. Pachulia makes 2-pt shot at rim (assist by C. Parsons)
9:25.0,C. Bosh makes 2-pt shot from 13 ft (assist by G. Dragic),2,6-7,,
9:16.0,,,6-9,2,C. Parsons makes 2-pt shot at rim
8:56.0,D. Wade misses 2-pt shot from 6 ft,,6-9,,
8:55.0,,,6-9,,Defensive rebound by W. Matthews
8:49.0,,,6-11,2,C. Parsons makes 2-pt shot at rim
8:27.0,,,6-11,,Personal foul by Z. Pachulia (drawn by A. Stoudemire)
8:21.0,G. Dragic misses 2-pt shot from 9 ft,,6-11,,
8:21.0,,,6-11,,Defensive rebound by D. Nowitzki
8:08.0,,,6-14,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
7:59.0,Miami full timeout,,6-14,,
7:46.0,,,6-14,,Personal foul by W. Matthews (drawn by D. Wade)
7:33.0,A. Stoudemire misses 2-pt shot from 2 ft,,6-14,,
7:32.0,Offensive rebound by L. Deng,,6-14,,
7:32.0,Shooting foul by C. Parsons (drawn by L. Deng),,6-14,,
7:32.0,L. Deng misses free throw 1 of 2,,6-14,,
7:32.0,Offensive rebound by Team,,6-14,,
7:32.0,L. Deng makes free throw 2 of 2,1,7-14,,
7:20.0,,,7-14,,D. Nowitzki misses 2-pt shot from 14 ft
7:19.0,Defensive rebound by A. Stoudemire,,7-14,,
7:02.0,D. Wade misses 2-pt shot from 2 ft,,7-14,,
7:02.0,Offensive rebound by D. Wade,,7-14,,
7:02.0,D. Wade misses 2-pt shot from 2 ft,,7-14,,
7:01.0,,,7-14,,Defensive rebound by Z. Pachulia
6:46.0,,,7-14,,Turnover by J. Barea (bad pass; steal by D. Wade)
6:41.0,G. Dragic makes 2-pt shot at rim (assist by D. Wade),2,9-14,,
6:35.0,,,9-14,,Dallas full timeout
6:35.0,,,9-14,,J. Anderson enters the game for D. Nowitzki
6:35.0,,,9-14,,R. Felton enters the game for Z. Pachulia
6:35.0,,,9-14,,J. McGee enters the game for J. Barea
6:35.0,J. Winslow enters the game for C. Bosh,,9-14,,
6:23.0,,,9-16,2,W. Matthews makes 2-pt shot from 1 ft (assist by C. Parsons)
6:04.0,A. Stoudemire misses 2-pt shot from 16 ft,,9-16,,
6:03.0,,,9-16,,Defensive rebound by C. Parsons
5:41.0,,,9-16,,J. McGee misses 2-pt shot from 12 ft
5:40.0,Defensive rebound by J. Winslow,,9-16,,
5:26.0,L. Deng misses 2-pt shot from 2 ft,,9-16,,
5:25.0,,,9-16,,Defensive rebound by J. McGee
5:08.0,,,9-16,,C. Parsons misses 2-pt shot from 8 ft
5:08.0,Defensive rebound by Team,,9-16,,
4:58.0,Turnover by D. Wade (bad pass; steal by W. Matthews),,9-16,,
4:54.0,,,9-16,,J. McGee misses 2-pt shot from 3 ft (block by A. Stoudemire)
4:54.0,,,9-16,,Offensive rebound by Team
