time,Philadelphia,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Grant (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Grant (D. Green gains possession)
11:39.0,,,0-2,2,S. Curry makes 2-pt shot from 22 ft (assist by A. Bogut)
11:25.0,C. Landry makes 2-pt shot from 20 ft (assist by J. Grant),2,2-2,,
11:15.0,,,2-5,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
11:08.0,Turnover by C. Landry (lost ball),,2-5,,
10:58.0,,,2-5,,Turnover by S. Curry (bad pass)
10:48.0,J. Grant misses 2-pt shot from 15 ft,,2-5,,
10:48.0,,,2-5,,Defensive rebound by Team
10:42.0,,,2-7,2,H. Barnes makes 2-pt shot from 18 ft (assist by S. Curry)
10:25.0,I. Smith makes 3-pt shot from 25 ft (assist by C. Landry),3,5-7,,
10:14.0,,,5-9,2,D. Green makes 2-pt shot from 2 ft
10:14.0,Philadelphia full timeout,,5-9,,
10:03.0,I. Canaan misses 3-pt shot from 25 ft,,5-9,,
10:03.0,,,5-9,,Defensive rebound by A. Bogut
9:56.0,,,5-9,,Shooting foul by J. Grant (drawn by S. Curry)
9:56.0,,,5-9,,S. Curry misses free throw 1 of 2
9:56.0,,,5-9,,Offensive rebound by Team
9:56.0,,,5-10,1,S. Curry makes free throw 2 of 2
9:43.0,J. Grant misses 3-pt shot from 24 ft,,5-10,,
9:42.0,,,5-10,,Defensive rebound by D. Green
9:34.0,,,5-12,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Green)
9:20.0,C. Landry misses 2-pt shot from 7 ft,,5-12,,
9:20.0,,,5-12,,Defensive rebound by A. Bogut
9:15.0,,,5-12,,Turnover by A. Bogut (lost ball; steal by H. Thompson)
9:07.0,I. Smith makes 2-pt shot from 1 ft,2,7-12,,
8:47.0,,,7-12,,K. Thompson misses 2-pt shot from 2 ft
8:47.0,,,7-12,,Offensive rebound by K. Thompson
8:47.0,,,7-14,2,K. Thompson makes 2-pt shot from 2 ft
8:47.0,,,7-14,,Shooting foul by I. Canaan (drawn by K. Thompson)
8:47.0,R. Covington enters the game for J. Grant,,7-14,,
8:47.0,,,7-15,1,K. Thompson makes free throw 1 of 1
8:37.0,C. Landry makes 2-pt shot from 19 ft (assist by I. Smith),2,9-15,,
8:22.0,,,9-15,,K. Thompson misses 2-pt shot from 11 ft
8:21.0,Defensive rebound by R. Covington,,9-15,,
8:03.0,Turnover by H. Thompson (traveling),,9-15,,
7:56.0,,,9-15,,K. Thompson misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by H. Thompson,,9-15,,
7:46.0,C. Landry makes 2-pt shot from 18 ft (assist by I. Smith),2,11-15,,
7:33.0,,,11-15,,Turnover by D. Green (lost ball; steal by C. Landry)
7:32.0,,,11-15,,Personal foul by A. Bogut
