time,Orlando,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. N. Vucevic (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. N. Vucevic (T. Parker gains possession)
11:42.0,,,0-3,3,K. Leonard makes 3-pt shot from 22 ft (assist by D. Green)
11:26.0,T. Harris misses 2-pt shot from 1 ft (block by K. Leonard),,0-3,,
11:24.0,,,0-3,,Defensive rebound by B. Diaw
11:17.0,,,0-5,2,L. Aldridge makes 2-pt shot from 18 ft (assist by K. Leonard)
10:58.0,V. Oladipo misses 2-pt shot from 10 ft,,0-5,,
10:56.0,Offensive rebound by N. Vucevic,,0-5,,
10:56.0,N. Vucevic misses 2-pt shot from 1 ft,,0-5,,
10:54.0,,,0-5,,Defensive rebound by K. Leonard
10:45.0,,,0-5,,Shooting foul by T. Harris (drawn by L. Aldridge)
10:45.0,,,0-6,1,L. Aldridge makes free throw 1 of 2
10:45.0,,,0-7,1,L. Aldridge makes free throw 2 of 2
10:30.0,N. Vucevic misses 2-pt shot from 8 ft,,0-7,,
10:29.0,Offensive rebound by A. Gordon,,0-7,,
10:29.0,A. Gordon misses 2-pt shot at rim,,0-7,,
10:28.0,,,0-7,,Defensive rebound by B. Diaw
10:15.0,,,0-10,3,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw)
10:07.0,Turnover by V. Oladipo (lost ball; steal by D. Green),,0-10,,
10:02.0,,,0-12,2,D. Green makes 2-pt shot at rim
9:46.0,Turnover by T. Harris (lost ball),,0-12,,
9:26.0,,,0-12,,D. Green misses 3-pt shot from 24 ft
9:26.0,,,0-12,,Offensive rebound by B. Diaw
9:14.0,,,0-12,,D. Green misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by T. Harris,,0-12,,
9:05.0,E. Payton misses 2-pt shot from 1 ft (block by L. Aldridge),,0-12,,
9:02.0,,,0-12,,Defensive rebound by D. Green
8:56.0,,,0-12,,T. Parker misses 2-pt shot at rim (block by E. Payton)
8:55.0,Defensive rebound by T. Harris,,0-12,,
8:47.0,V. Oladipo misses 3-pt shot from 24 ft,,0-12,,
8:46.0,,,0-12,,Defensive rebound by K. Leonard
8:39.0,,,0-12,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
8:39.0,,,0-13,1,L. Aldridge makes free throw 1 of 2
8:39.0,,,0-14,1,L. Aldridge makes free throw 2 of 2
8:26.0,T. Harris misses 2-pt shot from 2 ft,,0-14,,
8:25.0,Offensive rebound by N. Vucevic,,0-14,,
8:25.0,N. Vucevic makes 2-pt shot from 1 ft,2,2-14,,
8:13.0,,,2-14,,K. Leonard misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by A. Gordon,,2-14,,
8:05.0,Turnover by V. Oladipo (bad pass; steal by B. Diaw),,2-14,,
7:49.0,,,2-16,2,L. Aldridge makes 2-pt shot from 10 ft
7:31.0,A. Gordon misses 2-pt shot from 16 ft,,2-16,,
7:30.0,,,2-16,,Defensive rebound by B. Diaw
7:26.0,,,2-16,,Turnover by T. Parker (dbl dribble)
7:26.0,Orlando full timeout,,2-16,,
7:15.0,E. Payton misses 2-pt shot from 1 ft (block by L. Aldridge),,2-16,,
7:12.0,Offensive rebound by A. Gordon,,2-16,,
7:12.0,A. Gordon makes 2-pt shot at rim,2,4-16,,
6:59.0,,,4-19,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
6:44.0,T. Harris misses 3-pt shot from 25 ft,,4-19,,
6:43.0,,,4-19,,Defensive rebound by L. Aldridge
6:33.0,,,4-19,,L. Aldridge misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by N. Vucevic,,4-19,,
6:18.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,7-19,,
