time,Sacramento,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Cousins (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. D. Cousins (K. Lowry gains possession)
11:44.0,,,0-0,,Turnover by D. DeRozan (lost ball; steal by D. Cousins)
11:36.0,R. Gay makes 2-pt shot at rim (assist by O. Casspi),2,2-0,,
11:24.0,,,2-0,,Turnover by D. DeRozan (bad pass; steal by R. Gay)
11:15.0,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo),3,5-0,,
10:52.0,,,5-0,,L. Scola misses 2-pt shot from 4 ft (block by R. Gay)
10:50.0,Defensive rebound by Team,,5-0,,
10:26.0,D. Cousins misses 2-pt shot from 18 ft,,5-0,,
10:25.0,,,5-0,,Defensive rebound by L. Scola
10:15.0,,,5-0,,Turnover by K. Lowry (lost ball; steal by R. Rondo)
10:09.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,7-0,,
10:07.0,,,7-0,,Toronto full timeout
9:57.0,,,7-2,2,D. DeRozan makes 2-pt shot from 13 ft (assist by K. Lowry)
9:50.0,R. Gay misses 2-pt shot at rim,,7-2,,
9:49.0,,,7-2,,Defensive rebound by D. DeRozan
9:27.0,,,7-2,,L. Scola misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by D. Cousins,,7-2,,
9:21.0,R. Rondo makes 2-pt shot at rim,2,9-2,,
9:03.0,,,9-2,,B. Biyombo misses 2-pt shot from 8 ft (block by D. Cousins)
9:02.0,Defensive rebound by R. Gay,,9-2,,
8:58.0,R. Gay misses 2-pt shot from 1 ft,,9-2,,
8:58.0,Offensive rebound by B. McLemore,,9-2,,
8:56.0,,,9-2,,Personal foul by B. Biyombo (drawn by D. Cousins)
8:56.0,,,9-2,,T. Ross enters the game for J. Johnson
8:56.0,,,9-2,,C. Joseph enters the game for L. Scola
8:42.0,R. Rondo makes 3-pt shot from 23 ft (assist by D. Cousins),3,12-2,,
8:20.0,,,12-2,,B. Biyombo misses 2-pt shot at rim (block by D. Cousins)
8:18.0,Defensive rebound by O. Casspi,,12-2,,
8:12.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,15-2,,
7:49.0,,,15-2,,K. Lowry misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by O. Casspi,,15-2,,
7:39.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. Rondo),2,17-2,,
7:22.0,Personal foul by R. Gay (drawn by D. DeRozan),,17-2,,
7:22.0,M. Belinelli enters the game for B. McLemore,,17-2,,
7:08.0,,,17-4,2,C. Joseph makes 2-pt shot from 16 ft
6:49.0,O. Casspi misses 2-pt shot from 6 ft,,17-4,,
6:49.0,,,17-4,,Defensive rebound by B. Biyombo
6:40.0,Personal block foul by D. Cousins (drawn by D. DeRozan),,17-4,,
6:33.0,,,17-6,2,D. DeRozan makes 2-pt shot from 18 ft
6:14.0,O. Casspi makes 3-pt shot from 22 ft (assist by R. Rondo),3,20-6,,
5:56.0,,,20-6,,C. Joseph misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by D. Cousins,,20-6,,
5:44.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins),2,22-6,,
5:44.0,Shooting foul by D. DeRozan (drawn by O. Casspi),,22-6,,
5:44.0,O. Casspi misses free throw 1 of 1,,22-6,,
5:43.0,,,22-6,,Defensive rebound by D. DeRozan
5:23.0,,,22-9,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:09.0,,,22-9,,Shooting block foul by D. DeRozan (drawn by M. Belinelli)
5:09.0,M. Belinelli makes free throw 1 of 2,1,23-9,,
5:09.0,,,23-9,,P. Patterson enters the game for D. DeRozan
5:09.0,M. Belinelli makes free throw 2 of 2,1,24-9,,
4:58.0,,,24-9,,Turnover by T. Ross (bad pass)
4:58.0,K. Koufos enters the game for R. Gay,,24-9,,
4:37.0,R. Rondo misses 3-pt shot from 24 ft,,24-9,,
4:37.0,,,24-9,,Defensive rebound by B. Biyombo
4:28.0,,,24-9,,K. Lowry misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by D. Cousins,,24-9,,
4:19.0,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo),3,27-9,,
4:00.0,,,27-9,,C. Joseph misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by K. Koufos,,27-9,,
3:45.0,K. Koufos misses 2-pt shot from 1 ft,,27-9,,
3:45.0,Offensive rebound by K. Koufos,,27-9,,
3:45.0,,,27-9,,Violation by B. Biyombo (def goaltending)
3:45.0,K. Koufos makes 2-pt shot from 1 ft,2,29-9,,
3:45.0,,,29-9,,Toronto full timeout
3:35.0,,,29-9,,K. Lowry misses 3-pt shot from 26 ft (block by R. Rondo)
3:34.0,Defensive rebound by K. Koufos,,29-9,,
3:19.0,O. Casspi makes 2-pt shot from 4 ft (assist by M. Belinelli),2,31-9,,
2:58.0,Personal foul by R. Rondo (drawn by K. Lowry),,31-9,,
2:58.0,Sacramento full timeout,,31-9,,
2:58.0,,,31-9,,L. Scola enters the game for B. Biyombo
2:42.0,,,31-9,,C. Joseph misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by K. Koufos,,31-9,,
2:30.0,K. Koufos misses 2-pt shot from 4 ft,,31-9,,
2:30.0,,,31-9,,Defensive rebound by P. Patterson
2:23.0,,,31-9,,K. Lowry misses 3-pt shot from 25 ft
2:23.0,,,31-9,,Offensive rebound by Team
2:23.0,Loose ball foul by D. Cousins (drawn by L. Scola),,31-9,,
2:23.0,R. Gay enters the game for O. Casspi,,31-9,,
2:23.0,D. Collison enters the game for D. Cousins,,31-9,,
2:11.0,,,31-12,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph)
1:50.0,R. Gay makes 2-pt shot from 16 ft,2,33-12,,
1:40.0,,,33-12,,L. Scola misses 2-pt shot from 4 ft
1:40.0,,,33-12,,Offensive rebound by K. Lowry
1:35.0,,,33-12,,T. Ross misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by R. Gay,,33-12,,
1:33.0,Turnover by R. Gay (lost ball; steal by K. Lowry),,33-12,,
1:33.0,,,33-12,,Shooting foul by K. Koufos (drawn by K. Lowry)
1:33.0,,,33-12,,K. Lowry misses free throw 1 of 2
1:33.0,,,33-12,,Offensive rebound by Team
1:33.0,,,33-13,1,K. Lowry makes free throw 2 of 2
1:16.0,R. Gay makes 2-pt shot from 16 ft,2,35-13,,
1:00.0,,,35-15,2,P. Patterson makes 2-pt shot from 8 ft
0:37.0,R. Gay misses 2-pt shot from 4 ft,,35-15,,
0:37.0,,,35-15,,Defensive rebound by K. Lowry
0:31.0,,,35-18,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
0:05.0,R. Rondo makes 2-pt shot from 19 ft,2,37-18,,
0:00.0,,,37-18,,K. Lowry misses 3-pt shot from 25 ft
0:00.0,,,37-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by L. Scola (drawn by K. Koufos),,37-18,,
11:44.0,K. Koufos misses free throw 1 of 2,,37-18,,
11:44.0,Offensive rebound by Team,,37-18,,
11:44.0,B. McLemore enters the game for R. Rondo,,37-18,,
11:44.0,K. Koufos misses free throw 2 of 2,,37-18,,
11:43.0,,,37-18,,Defensive rebound by P. Patterson
11:28.0,,,37-18,,P. Patterson misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by R. Gay,,37-18,,
11:13.0,M. Belinelli misses 2-pt shot from 19 ft,,37-18,,
11:12.0,,,37-18,,Defensive rebound by D. DeRozan
11:04.0,Personal foul by K. Koufos (drawn by D. DeRozan),,37-18,,
10:55.0,,,37-20,2,D. DeRozan makes 2-pt shot from 4 ft
10:39.0,R. Gay makes 2-pt shot from 11 ft,2,39-20,,
10:23.0,,,39-20,,T. Ross misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by R. Gay,,39-20,,
10:07.0,M. Belinelli misses 3-pt shot from 25 ft,,39-20,,
10:06.0,,,39-20,,Defensive rebound by D. DeRozan
9:57.0,,,39-20,,D. DeRozan misses 2-pt shot from 4 ft (block by B. McLemore)
9:57.0,,,39-20,,Offensive rebound by Team
9:53.0,,,39-22,2,D. DeRozan makes 2-pt shot from 3 ft
9:30.0,B. McLemore makes 3-pt shot from 23 ft (assist by M. Belinelli),3,42-22,,
9:16.0,,,42-22,,L. Scola misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by Team,,42-22,,
9:15.0,,,42-22,,J. Johnson enters the game for P. Patterson
9:04.0,D. Collison makes 2-pt shot from 19 ft,2,44-22,,
8:44.0,Shooting block foul by R. Gay (drawn by D. DeRozan),,44-22,,
8:44.0,Official timeout,,44-22,,
8:44.0,,,44-23,1,D. DeRozan makes free throw 1 of 2
8:44.0,,,44-24,1,D. DeRozan makes free throw 2 of 2
8:24.0,Offensive charge foul by B. McLemore,,44-24,,
8:24.0,Turnover by B. McLemore (offensive foul),,44-24,,
8:04.0,,,44-24,,K. Lowry enters the game for C. Joseph
8:01.0,,,44-24,,Shooting foul by B. McLemore (drawn by D. DeRozan)
8:01.0,,,44-25,1,D. DeRozan makes free throw 1 of 2
8:01.0,,,44-26,1,D. DeRozan makes free throw 2 of 2
