time,Chicago,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Gasol,,,,Jump ball: S. Adams vs. P. Gasol
11:40.0,D. Rose misses 2-pt shot from 11 ft,,0-0,,
11:39.0,Offensive rebound by T. Gibson,,0-0,,
11:37.0,T. Gibson makes 2-pt shot from 3 ft,2,2-0,,
11:22.0,,,2-0,,R. Westbrook misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by Team,,2-0,,
11:22.0,,,2-0,,Loose ball foul by S. Adams (drawn by P. Gasol)
11:00.0,T. Gibson makes 2-pt shot from 6 ft,2,4-0,,
10:39.0,,,4-0,,S. Ibaka misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by N. Mirotic,,4-0,,
10:31.0,Shooting foul by S. Adams (drawn by P. Gasol),,4-0,,
10:31.0,P. Gasol makes free throw 1 of 2,1,5-0,,
10:31.0,,,5-0,,E. Kanter enters the game for S. Adams
10:31.0,P. Gasol makes free throw 2 of 2,1,6-0,,
10:08.0,,,6-0,,S. Ibaka misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by N. Mirotic,,6-0,,
9:59.0,D. Rose misses 2-pt shot from 10 ft,,6-0,,
9:58.0,,,6-0,,Defensive rebound by E. Kanter
9:43.0,,,6-0,,K. Durant misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by N. Mirotic,,6-0,,
9:34.0,Shooting foul by A. Roberson (drawn by N. Mirotic),,6-0,,
9:34.0,N. Mirotic makes free throw 1 of 3,1,7-0,,
9:34.0,N. Mirotic makes free throw 2 of 3,1,8-0,,
9:34.0,N. Mirotic makes free throw 3 of 3,1,9-0,,
9:25.0,,,9-0,,R. Westbrook misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by T. Gibson,,9-0,,
9:15.0,P. Gasol makes 2-pt shot at rim (assist by J. Butler),2,11-0,,
9:14.0,,,11-0,,Oklahoma City full timeout
9:01.0,,,11-2,2,R. Westbrook makes 2-pt shot from 2 ft
8:43.0,N. Mirotic misses 3-pt shot from 22 ft,,11-2,,
8:43.0,Offensive rebound by T. Gibson,,11-2,,
8:42.0,,,11-2,,Personal foul by R. Westbrook (drawn by T. Gibson)
8:36.0,Turnover by N. Mirotic (bad pass; steal by R. Westbrook),,11-2,,
8:35.0,Personal foul by N. Mirotic (drawn by R. Westbrook),,11-2,,
8:16.0,,,11-4,2,K. Durant makes 2-pt shot from 11 ft
8:04.0,D. Rose misses 2-pt shot from 10 ft,,11-4,,
8:00.0,Offensive rebound by D. Rose,,11-4,,
8:00.0,D. Rose makes 2-pt shot from 2 ft,2,13-4,,
7:52.0,,,13-4,,Turnover by R. Westbrook (lost ball; steal by N. Mirotic)
7:48.0,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic),2,15-4,,
7:20.0,,,15-4,,A. Roberson misses 2-pt shot from 2 ft
7:20.0,,,15-4,,Offensive rebound by S. Ibaka
7:19.0,,,15-4,,S. Ibaka misses 2-pt shot at rim
7:19.0,,,15-4,,Offensive rebound by A. Roberson
7:19.0,,,15-4,,A. Roberson misses 2-pt shot from 2 ft
7:19.0,,,15-4,,Offensive rebound by Team
7:19.0,,,15-4,,Turnover by Team (shot clock)
7:10.0,Turnover by D. Rose (bad pass; steal by R. Westbrook),,15-4,,
7:07.0,,,15-4,,Shooting foul by D. Rose (drawn by R. Westbrook)
7:07.0,,,15-5,1,R. Westbrook makes free throw 1 of 2
7:07.0,,,15-5,,R. Westbrook misses free throw 2 of 2
7:06.0,,,15-5,,Offensive rebound by E. Kanter
7:06.0,,,15-7,2,E. Kanter makes 2-pt shot from 1 ft
6:44.0,P. Gasol makes 2-pt shot from 14 ft,2,17-7,,
6:27.0,,,17-7,,S. Ibaka misses 2-pt shot from 18 ft
6:27.0,Defensive rebound by N. Mirotic,,17-7,,
6:16.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,19-7,,
5:54.0,,,19-9,2,K. Durant makes 2-pt shot from 14 ft
5:43.0,Shooting foul by A. Roberson (drawn by D. Rose),,19-9,,
5:43.0,D. Rose makes free throw 1 of 2,1,20-9,,
5:43.0,,,20-9,,D. Waiters enters the game for A. Roberson
5:43.0,T. Snell enters the game for N. Mirotic,,20-9,,
5:43.0,D. Rose makes free throw 2 of 2,1,21-9,,
5:31.0,,,21-9,,Shooting foul by T. Gibson (drawn by E. Kanter)
5:31.0,,,21-10,1,E. Kanter makes free throw 1 of 2
5:31.0,,,21-10,,N. Collison enters the game for S. Ibaka
5:31.0,,,21-11,1,E. Kanter makes free throw 2 of 2
5:15.0,Turnover by J. Butler (lost ball; steal by R. Westbrook),,21-11,,
5:09.0,,,21-13,2,K. Durant makes 2-pt shot from 1 ft
4:59.0,P. Gasol makes 2-pt shot from 16 ft (assist by T. Gibson),2,23-13,,
4:40.0,,,23-13,,E. Kanter misses 2-pt shot from 2 ft (block by P. Gasol)
4:39.0,,,23-13,,Offensive rebound by E. Kanter
4:38.0,,,23-13,,E. Kanter misses 2-pt shot from 1 ft
4:36.0,,,23-13,,Offensive rebound by N. Collison
4:36.0,,,23-13,,N. Collison misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by T. Gibson,,23-13,,
4:27.0,D. Rose misses 2-pt shot from 19 ft,,23-13,,
4:26.0,,,23-13,,Defensive rebound by E. Kanter
4:16.0,,,23-15,2,R. Westbrook makes 2-pt shot from 8 ft
4:16.0,,,23-15,,Shooting foul by D. Rose (drawn by R. Westbrook)
4:16.0,K. Hinrich enters the game for D. Rose,,23-15,,
4:16.0,,,23-16,1,R. Westbrook makes free throw 1 of 1
3:54.0,,,23-16,,Personal foul by R. Westbrook (drawn by P. Gasol)
3:54.0,P. Gasol misses free throw 1 of 2,,23-16,,
3:54.0,Offensive rebound by Team,,23-16,,
3:54.0,,,23-16,,D. Augustin enters the game for R. Westbrook
3:54.0,A. Brooks enters the game for K. Hinrich,,23-16,,
3:54.0,P. Gasol makes free throw 2 of 2,1,24-16,,
3:54.0,,,24-16,,Loose ball foul by N. Collison (drawn by T. Gibson)
3:54.0,T. Gibson makes free throw 1 of 1,1,25-16,,
3:34.0,,,25-16,,D. Augustin misses 2-pt shot from 17 ft (block by A. Brooks)
3:33.0,,,25-16,,Offensive rebound by K. Durant
3:30.0,,,25-16,,D. Augustin misses 3-pt shot from 24 ft
3:29.0,,,25-16,,Offensive rebound by E. Kanter
3:29.0,,,25-18,2,E. Kanter makes 2-pt shot from 1 ft
3:12.0,T. Gibson misses 2-pt shot from 16 ft,,25-18,,
3:12.0,,,25-18,,Defensive rebound by E. Kanter
3:06.0,Personal foul by J. Butler (drawn by K. Durant),,25-18,,
3:06.0,,,25-19,1,K. Durant makes free throw 1 of 2
3:06.0,,,25-20,1,K. Durant makes free throw 2 of 2
2:51.0,T. Snell misses 2-pt shot from 1 ft,,25-20,,
2:50.0,Offensive rebound by P. Gasol,,25-20,,
2:46.0,P. Gasol misses 2-pt shot from 13 ft,,25-20,,
2:46.0,,,25-20,,Defensive rebound by K. Durant
2:35.0,,,25-20,,E. Kanter misses 2-pt shot at rim
2:34.0,Defensive rebound by T. Snell,,25-20,,
