time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession),,,,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession)
11:42.0,J. Harden misses 2-pt shot from 2 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Bryant
11:32.0,,,0-0,,J. Clarkson misses 3-pt shot from 28 ft
11:31.0,Defensive rebound by J. Harden,,0-0,,
11:22.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,3-0,,
11:04.0,,,3-0,,R. Hibbert misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by C. Capela,,3-0,,
10:54.0,D. Howard misses 2-pt shot from 1 ft,,3-0,,
10:51.0,,,3-0,,Defensive rebound by L. Williams
10:44.0,,,3-2,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams)
10:40.0,Shooting foul by R. Hibbert (drawn by D. Howard),,3-2,,
10:40.0,D. Howard makes free throw 1 of 2,1,4-2,,
10:40.0,D. Howard makes free throw 2 of 2,1,5-2,,
10:20.0,,,5-2,,J. Clarkson misses 2-pt shot from 8 ft (block by D. Howard)
10:18.0,Defensive rebound by D. Howard,,5-2,,
10:00.0,Shooting foul by J. Clarkson (drawn by C. Capela),,5-2,,
10:00.0,C. Capela makes free throw 1 of 2,1,6-2,,
10:00.0,C. Capela misses free throw 2 of 2,,6-2,,
9:58.0,Offensive rebound by D. Howard,,6-2,,
9:53.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,9-2,,
9:31.0,,,9-2,,R. Hibbert misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by T. Ariza,,9-2,,
9:22.0,D. Howard misses 2-pt shot from 5 ft,,9-2,,
9:21.0,,,9-2,,Defensive rebound by L. Williams
9:07.0,,,9-2,,L. Williams misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by D. Howard,,9-2,,
8:54.0,J. Harden misses 3-pt shot from 27 ft,,9-2,,
8:53.0,Offensive rebound by P. Beverley,,9-2,,
8:48.0,P. Beverley misses 3-pt shot from 24 ft,,9-2,,
8:47.0,,,9-2,,Defensive rebound by R. Hibbert
8:41.0,,,9-4,2,J. Clarkson makes 2-pt shot from 1 ft
8:25.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,12-4,,
8:04.0,,,12-4,,L. Nance misses 2-pt shot from 9 ft (block by J. Harden)
8:03.0,Defensive rebound by J. Harden,,12-4,,
8:00.0,J. Harden misses 2-pt shot at rim,,12-4,,
7:58.0,Offensive rebound by T. Ariza,,12-4,,
7:57.0,T. Ariza makes 2-pt shot at rim,2,14-4,,
7:44.0,,,14-4,,L. Nance misses 2-pt shot from 20 ft
7:43.0,,,14-4,,Offensive rebound by R. Hibbert
7:39.0,,,14-6,2,R. Hibbert makes 2-pt shot at rim
7:30.0,D. Howard misses 2-pt shot from 2 ft (block by L. Nance),,14-6,,
7:28.0,Offensive rebound by C. Capela,,14-6,,
7:27.0,C. Capela makes 2-pt shot at rim,2,16-6,,
7:04.0,,,16-6,,J. Clarkson misses 2-pt shot from 2 ft (block by C. Capela)
7:02.0,Defensive rebound by D. Howard,,16-6,,
6:51.0,D. Howard misses 2-pt shot at rim,,16-6,,
6:50.0,Offensive rebound by D. Howard,,16-6,,
6:50.0,D. Howard misses 2-pt shot at rim,,16-6,,
6:50.0,Offensive rebound by D. Howard,,16-6,,
6:50.0,D. Motiejunas enters the game for C. Capela,,16-6,,
6:41.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,19-6,,
6:35.0,,,19-6,,LA Lakers full timeout
6:13.0,,,19-8,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
5:52.0,J. Harden makes 2-pt shot from 16 ft,2,21-8,,
5:30.0,,,21-10,2,R. Hibbert makes 2-pt shot from 6 ft (assist by J. Clarkson)
5:16.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,24-10,,
5:03.0,,,24-10,,R. Hibbert misses 2-pt shot from 4 ft (block by D. Howard)
5:03.0,Defensive rebound by Team,,24-10,,
5:03.0,,,24-10,,D. Russell enters the game for L. Williams
5:03.0,T. Lawson enters the game for P. Beverley,,24-10,,
5:03.0,C. Capela enters the game for D. Howard,,24-10,,
4:54.0,Shooting foul by R. Hibbert (drawn by J. Harden),,24-10,,
4:54.0,J. Harden makes free throw 1 of 2,1,25-10,,
4:54.0,,,25-10,,R. Sacre enters the game for R. Hibbert
4:54.0,J. Harden makes free throw 2 of 2,1,26-10,,
4:30.0,,,26-10,,K. Bryant misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by T. Ariza,,26-10,,
4:20.0,Turnover by J. Harden (lost ball; steal by J. Clarkson),,26-10,,
4:13.0,,,26-12,2,J. Clarkson makes 2-pt shot at rim (assist by D. Russell)
3:53.0,D. Motiejunas misses 2-pt shot from 8 ft,,26-12,,
3:50.0,,,26-12,,Defensive rebound by D. Russell
3:44.0,,,26-12,,Turnover by D. Russell (bad pass; steal by T. Lawson)
3:24.0,Turnover by J. Harden (bad pass),,26-12,,
3:24.0,C. Brewer enters the game for T. Ariza,,26-12,,
3:24.0,,,26-12,,N. Young enters the game for K. Bryant
3:24.0,,,26-12,,J. Randle enters the game for L. Nance
3:11.0,,,26-12,,N. Young misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by Team,,26-12,,
3:11.0,,,26-12,,Loose ball foul by J. Randle (drawn by D. Motiejunas)
2:58.0,J. Harden misses 3-pt shot from 25 ft,,26-12,,
2:57.0,Offensive rebound by D. Motiejunas,,26-12,,
2:56.0,D. Motiejunas makes 2-pt shot from 4 ft,2,28-12,,
2:41.0,,,28-12,,R. Sacre misses 2-pt shot from 2 ft (block by C. Capela)
2:41.0,Defensive rebound by Team,,28-12,,
2:41.0,Houston full timeout,,28-12,,
2:41.0,J. Terry enters the game for J. Harden,,28-12,,
2:25.0,D. Motiejunas misses 2-pt shot from 12 ft,,28-12,,
2:23.0,,,28-12,,Defensive rebound by D. Russell
2:03.0,,,28-14,2,J. Randle makes 2-pt shot from 1 ft
1:55.0,Turnover by C. Brewer (dbl dribble),,28-14,,
1:33.0,,,28-14,,J. Clarkson misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by C. Brewer,,28-14,,
1:23.0,Shooting foul by J. Randle (drawn by D. Motiejunas),,28-14,,
1:23.0,D. Motiejunas makes free throw 1 of 2,1,29-14,,
1:23.0,D. Motiejunas misses free throw 2 of 2,,29-14,,
1:23.0,,,29-14,,Defensive rebound by R. Sacre
1:10.0,,,29-14,,D. Russell misses 2-pt shot from 13 ft (block by C. Capela)
1:09.0,Defensive rebound by C. Capela,,29-14,,
1:01.0,Turnover by T. Lawson (discontinued dribble),,29-14,,
0:41.0,,,29-14,,D. Russell misses 2-pt shot from 18 ft
0:41.0,,,29-14,,Offensive rebound by R. Sacre
0:32.0,,,29-16,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
0:21.0,Turnover by D. Motiejunas (step out of bounds),,29-16,,
0:05.0,,,29-16,,Shooting foul by C. Capela (drawn by J. Randle)
0:05.0,,,29-17,1,J. Randle makes free throw 1 of 2
0:05.0,,,29-18,1,J. Randle makes free throw 2 of 2
0:03.0,T. Lawson misses 2-pt shot from 19 ft,,29-18,,
0:00.0,Offensive rebound by Team,,29-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,29-18,,J. Randle misses 2-pt shot from 15 ft
11:39.0,,,29-18,,Offensive rebound by R. Sacre
11:29.0,,,29-18,,Turnover by N. Young (lost ball)
11:20.0,Offensive foul by D. Howard,,29-18,,
11:20.0,Turnover by D. Howard (offensive foul),,29-18,,
11:20.0,,,29-18,,L. Williams enters the game for J. Clarkson
11:20.0,,,29-18,,K. Bryant enters the game for N. Young
11:04.0,,,29-20,2,K. Bryant makes 2-pt shot from 8 ft (assist by J. Randle)
10:53.0,J. Terry misses 2-pt shot from 8 ft (block by L. Williams),,29-20,,
10:51.0,,,29-20,,Defensive rebound by K. Bryant
10:41.0,,,29-23,3,L. Williams makes 3-pt shot from 22 ft (assist by R. Sacre)
10:26.0,D. Howard makes 2-pt shot at rim (assist by T. Lawson),2,31-23,,
10:10.0,,,31-23,,K. Bryant misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by T. Jones,,31-23,,
9:47.0,C. Brewer misses 3-pt shot from 26 ft,,31-23,,
9:46.0,,,31-23,,Defensive rebound by L. Williams
9:32.0,,,31-23,,D. Russell misses 3-pt shot from 25 ft
9:31.0,,,31-23,,Offensive rebound by R. Sacre
9:23.0,,,31-23,,Shooting foul by J. Terry (drawn by L. Williams)
9:23.0,,,31-23,,L. Williams misses free throw 1 of 3
9:23.0,,,31-23,,Offensive rebound by Team
9:23.0,,,31-24,1,L. Williams makes free throw 2 of 3
9:23.0,,,31-25,1,L. Williams makes free throw 3 of 3
9:02.0,C. Brewer misses 2-pt shot from 2 ft,,31-25,,
9:01.0,,,31-25,,Defensive rebound by J. Randle
8:55.0,,,31-25,,J. Randle misses 2-pt shot from 2 ft
8:54.0,,,31-25,,Offensive rebound by K. Bryant
8:53.0,,,31-27,2,K. Bryant makes 2-pt shot from 1 ft
8:53.0,Houston full timeout,,31-27,,
8:53.0,P. Beverley enters the game for T. Lawson,,31-27,,
8:53.0,J. Harden enters the game for C. Brewer,,31-27,,
8:53.0,T. Ariza enters the game for J. Terry,,31-27,,
8:31.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Jones),3,34-27,,
8:10.0,,,34-30,3,K. Bryant makes 3-pt shot from 26 ft (assist by D. Russell)
7:54.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,36-30,,
7:43.0,,,36-30,,Turnover by D. Russell (lost ball; steal by P. Beverley)
7:41.0,T. Jones makes 2-pt shot from 1 ft (assist by D. Howard),2,38-30,,
7:41.0,Shooting foul by L. Williams (drawn by T. Jones),,38-30,,
7:41.0,T. Jones makes free throw 1 of 1,1,39-30,,
7:15.0,,,39-33,3,J. Randle makes 3-pt shot from 28 ft (assist by K. Bryant)
6:56.0,P. Beverley makes 2-pt shot from 17 ft,2,41-33,,
6:50.0,Personal foul by T. Ariza (drawn by R. Sacre),,41-33,,
6:48.0,Personal foul by T. Ariza (drawn by K. Bryant),,41-33,,
6:41.0,,,41-33,,K. Bryant misses 3-pt shot from 27 ft
6:41.0,,,41-33,,Offensive rebound by Team
6:39.0,Violation by T. Jones (kicked ball),,41-33,,
6:25.0,,,41-33,,J. Randle misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by D. Howard,,41-33,,
6:12.0,J. Harden misses 2-pt shot from 18 ft,,41-33,,
6:12.0,,,41-33,,Defensive rebound by L. Williams
6:07.0,Violation by J. Harden (kicked ball),,41-33,,
6:07.0,,,41-33,,J. Clarkson enters the game for D. Russell
6:07.0,C. Capela enters the game for D. Howard,,41-33,,
5:53.0,,,41-33,,J. Randle misses 2-pt shot from 6 ft (block by T. Jones)
5:52.0,,,41-33,,Offensive rebound by J. Randle
5:49.0,,,41-33,,J. Randle misses 2-pt shot from 2 ft
5:47.0,,,41-33,,Offensive rebound by J. Randle
5:47.0,,,41-33,,J. Randle misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by T. Jones,,41-33,,
5:41.0,C. Capela makes 2-pt shot from 2 ft (assist by T. Jones),2,43-33,,
5:14.0,,,43-35,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
4:50.0,J. Harden misses 2-pt shot from 1 ft (block by R. Sacre),,43-35,,
4:49.0,Offensive rebound by J. Harden,,43-35,,
4:48.0,J. Harden misses 2-pt shot at rim,,43-35,,
4:46.0,,,43-35,,Defensive rebound by J. Randle
4:35.0,,,43-35,,Shooting foul by P. Beverley (drawn by K. Bryant)
4:35.0,Official timeout,,43-35,,
4:35.0,,,43-35,,R. Hibbert enters the game for J. Randle
4:35.0,,,43-35,,L. Nance enters the game for R. Sacre
4:35.0,,,43-35,,K. Bryant misses free throw 1 of 2
4:35.0,,,43-35,,Offensive rebound by Team
4:35.0,,,43-35,,K. Bryant misses free throw 2 of 2
4:34.0,,,43-35,,Offensive rebound by J. Clarkson
4:14.0,,,43-37,2,J. Clarkson makes 2-pt shot from 17 ft (assist by R. Hibbert)
3:54.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,45-37,,
3:32.0,,,45-37,,K. Bryant misses 3-pt shot from 27 ft
3:30.0,Defensive rebound by J. Harden,,45-37,,
3:23.0,J. Harden misses 2-pt shot from 21 ft,,45-37,,
3:23.0,,,45-37,,Defensive rebound by K. Bryant
3:11.0,,,45-37,,R. Hibbert misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by P. Beverley,,45-37,,
2:56.0,J. Harden makes 2-pt shot from 2 ft,2,47-37,,
2:42.0,,,47-37,,L. Nance misses 2-pt shot from 9 ft
2:40.0,Defensive rebound by C. Capela,,47-37,,
2:39.0,,,47-37,,LA Lakers full timeout
2:39.0,D. Howard enters the game for C. Capela,,47-37,,
2:39.0,D. Motiejunas enters the game for T. Jones,,47-37,,
2:30.0,P. Beverley misses 2-pt shot from 2 ft,,47-37,,
2:29.0,Offensive rebound by D. Howard,,47-37,,
2:26.0,D. Howard misses 2-pt shot at rim,,47-37,,
2:24.0,,,47-37,,Defensive rebound by K. Bryant
2:11.0,,,47-37,,K. Bryant misses 2-pt shot from 11 ft
2:09.0,Defensive rebound by D. Motiejunas,,47-37,,
2:03.0,P. Beverley misses 3-pt shot from 23 ft,,47-37,,
2:02.0,,,47-37,,Defensive rebound by K. Bryant
1:41.0,,,47-37,,L. Williams misses 3-pt shot from 27 ft
