time,Memphis,pts.away,score,pts.home,Houston
2:01.0,A. Stepheson misses 2-pt shot from 2 ft (block by C. Capela),,18-31,,
2:00.0,Offensive rebound by Team,,18-31,,
1:49.0,P. Hairston misses 3-pt shot from 25 ft,,18-31,,
1:48.0,,,18-31,,Defensive rebound by M. Beasley
1:40.0,,,18-31,,Shooting foul by A. Stepheson (drawn by J. Harden)
1:40.0,,,18-32,1,J. Harden makes free throw 1 of 2
1:40.0,,,18-32,,D. Howard enters the game for C. Capela
1:40.0,,,18-32,,J. Harden misses free throw 2 of 2
1:40.0,Defensive rebound by J. Martin,,18-32,,
1:29.0,Turnover by R. McCallum (lost ball; steal by M. Beasley),,18-32,,
1:23.0,,,18-32,,J. Harden misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Martin,,18-32,,
1:15.0,M. Barnes misses 2-pt shot from 4 ft,,18-32,,
1:12.0,Offensive rebound by M. Barnes,,18-32,,
1:12.0,M. Barnes makes 2-pt shot from 1 ft,2,20-32,,
1:03.0,,,20-32,,M. Beasley misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by R. McCallum,,20-32,,
0:57.0,,,20-32,,Flagrant foul type 1 by D. Howard
0:57.0,J. Martin makes flagrant free throw 1 of 2,1,21-32,,
0:57.0,J. Martin makes flagrant free throw 2 of 2,1,22-32,,
0:57.0,,,22-32,,P. Beverley enters the game for J. Harden
0:46.0,P. Hairston misses 3-pt shot from 25 ft,,22-32,,
0:45.0,,,22-32,,Defensive rebound by M. Beasley
0:30.0,,,22-32,,Shooting foul by J. Martin (drawn by M. Beasley)
0:30.0,,,22-33,1,M. Beasley makes free throw 1 of 2
0:30.0,,,22-34,1,M. Beasley makes free throw 2 of 2
0:09.0,Turnover by R. McCallum (lost ball; steal by M. Beasley),,22-34,,
0:03.0,,,22-34,,M. Beasley misses 2-pt shot from 4 ft
0:02.0,,,22-34,,Offensive rebound by C. Brewer
0:00.0,,,22-34,,C. Brewer misses 2-pt shot at rim
0:00.0,,,22-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-34,,Turnover by M. Beasley (bad pass)
11:26.0,R. McCallum misses 2-pt shot from 21 ft,,22-34,,
11:25.0,,,22-34,,Defensive rebound by P. Beverley
11:12.0,,,22-34,,C. Brewer misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by P. Hairston,,22-34,,
11:01.0,P. Hairston makes 2-pt shot from 2 ft,2,24-34,,
10:51.0,,,24-36,2,D. Howard makes 2-pt shot from 6 ft (assist by P. Beverley)
10:33.0,P. Hairston makes 2-pt shot from 3 ft,2,26-36,,
10:23.0,,,26-38,2,M. Beasley makes 2-pt shot from 14 ft
10:05.0,J. Martin misses 2-pt shot from 4 ft,,26-38,,
10:04.0,,,26-38,,Defensive rebound by D. Howard
9:49.0,,,26-38,,D. Howard misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by A. Stepheson,,26-38,,
9:42.0,Shooting foul by M. Beasley (drawn by A. Stepheson),,26-38,,
9:42.0,A. Stepheson makes free throw 1 of 2,1,27-38,,
9:42.0,,,27-38,,D. Motiejunas enters the game for M. Beasley
9:42.0,A. Stepheson makes free throw 2 of 2,1,28-38,,
9:28.0,,,28-40,2,P. Beverley makes 2-pt shot from 4 ft
9:05.0,A. Stepheson misses 2-pt shot from 13 ft,,28-40,,
9:04.0,,,28-40,,Defensive rebound by P. Beverley
8:59.0,,,28-43,3,J. Terry makes 3-pt shot from 25 ft (assist by P. Beverley)
8:39.0,R. McCallum misses 2-pt shot from 4 ft (block by D. Howard),,28-43,,
8:37.0,Offensive rebound by A. Stepheson,,28-43,,
8:37.0,A. Stepheson misses 2-pt shot at rim,,28-43,,
8:34.0,,,28-43,,Defensive rebound by D. Howard
8:30.0,,,28-43,,C. Brewer misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by T. Allen,,28-43,,
8:30.0,,,28-43,,Personal foul by P. Beverley
8:30.0,Memphis full timeout,,28-43,,
8:30.0,B. Weber enters the game for R. McCallum,,28-43,,
8:18.0,Shooting foul by D. Howard (drawn by A. Stepheson),,28-43,,
8:18.0,A. Stepheson misses free throw 1 of 2,,28-43,,
8:18.0,Offensive rebound by Team,,28-43,,
8:18.0,,,28-43,,C. Capela enters the game for D. Howard
