time,LA Clippers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (J. Dudley gains possession)
11:41.0,,,0-0,,G. Temple misses 3-pt shot from 26 ft
11:40.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-0,,J. Wall misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by C. Paul,,0-0,,
11:20.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by M. Gortat
11:11.0,,,0-0,,K. Oubre misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
11:10.0,Defensive rebound by J. Redick,,0-0,,
10:57.0,C. Paul makes 2-pt shot from 17 ft,2,2-0,,
10:41.0,Personal foul by L. Mbah a Moute (drawn by G. Temple),,2-0,,
10:35.0,,,2-0,,G. Temple misses 2-pt shot from 20 ft
10:34.0,Defensive rebound by D. Jordan,,2-0,,
10:14.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,4-0,,
10:09.0,,,4-0,,Turnover by J. Wall (bad pass)
9:47.0,P. Pierce makes 2-pt shot from 17 ft,2,6-0,,
9:29.0,,,6-2,2,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall)
9:19.0,,,6-2,,Personal foul by G. Temple (drawn by J. Redick)
9:13.0,C. Paul misses 2-pt shot from 18 ft,,6-2,,
9:11.0,Offensive rebound by Team,,6-2,,
8:59.0,J. Redick misses 3-pt shot from 27 ft,,6-2,,
8:58.0,,,6-2,,Defensive rebound by K. Oubre
8:49.0,,,6-2,,J. Wall misses 2-pt shot from 18 ft
8:48.0,Defensive rebound by P. Pierce,,6-2,,
8:42.0,C. Paul misses 2-pt shot from 17 ft,,6-2,,
8:40.0,Offensive rebound by C. Paul,,6-2,,
8:34.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,8-2,,
8:18.0,,,8-2,,J. Dudley misses 2-pt shot from 17 ft
8:17.0,,,8-2,,Offensive rebound by J. Wall
8:06.0,,,8-2,,J. Dudley misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by C. Paul,,8-2,,
7:49.0,,,8-2,,Def 3 sec tech foul by M. Gortat
7:49.0,C. Paul makes technical free throw,1,9-2,,
7:42.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,11-2,,
