time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Davis (J. Holiday gains possession),,,,Jump ball: D. Cousins vs. A. Davis (J. Holiday gains possession)
11:47.0,,,0-0,,Turnover by J. Holiday (bad pass; steal by B. McLemore)
11:30.0,D. Cousins misses 2-pt shot from 19 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by J. Holiday
11:15.0,,,0-2,2,N. Cole makes 2-pt shot from 21 ft
10:59.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-2,,
10:51.0,,,2-4,2,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday)
10:37.0,D. Cousins makes 2-pt shot from 10 ft,2,4-4,,
10:26.0,,,4-6,2,N. Cole makes 2-pt shot from 1 ft
10:06.0,R. Gay makes 2-pt shot from 10 ft,2,6-6,,
9:56.0,,,6-6,,N. Cole misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by R. Gay,,6-6,,
9:47.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,8-6,,
9:38.0,,,8-6,,Turnover by A. Davis (bad pass; steal by R. Rondo)
9:33.0,Q. Acy makes 2-pt shot from 1 ft (assist by R. Rondo),2,10-6,,
9:26.0,,,10-6,,N. Cole misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by D. Cousins,,10-6,,
9:15.0,R. Rondo misses 3-pt shot from 23 ft,,10-6,,
9:14.0,,,10-6,,Defensive rebound by O. Asik
9:10.0,,,10-6,,New Orleans full timeout
8:56.0,,,10-6,,Turnover by A. Davis (lost ball)
8:48.0,,,10-6,,Personal foul by O. Asik (drawn by D. Cousins)
8:46.0,,,10-6,,Personal foul by J. Holiday (drawn by R. Rondo)
8:39.0,Q. Acy misses 3-pt shot from 25 ft,,10-6,,
8:36.0,,,10-6,,Defensive rebound by D. Cunningham
8:30.0,,,10-6,,J. Holiday misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by D. Cousins,,10-6,,
8:21.0,D. Cousins misses 3-pt shot from 26 ft,,10-6,,
8:20.0,,,10-6,,Defensive rebound by D. Cunningham
8:14.0,,,10-6,,Turnover by J. Holiday (bad pass; steal by D. Cousins)
8:09.0,B. McLemore misses 2-pt shot at rim (block by D. Cunningham),,10-6,,
8:08.0,Offensive rebound by Q. Acy,,10-6,,
7:49.0,D. Cousins misses 2-pt shot from 17 ft,,10-6,,
7:48.0,Offensive rebound by Q. Acy,,10-6,,
7:41.0,R. Rondo misses 3-pt shot from 25 ft,,10-6,,
7:40.0,,,10-6,,Defensive rebound by N. Cole
7:33.0,Personal block foul by B. McLemore (drawn by J. Holiday),,10-6,,
7:29.0,,,10-8,2,J. Holiday makes 2-pt shot from 22 ft (assist by N. Cole)
7:17.0,R. Rondo makes 2-pt shot from 2 ft (assist by D. Cousins),2,12-8,,
7:14.0,,,12-8,,Turnover by O. Asik (bad pass; steal by D. Cousins)
7:14.0,D. Cousins makes 2-pt shot at rim,2,14-8,,
7:14.0,Shooting foul by O. Asik (drawn by D. Cousins),,14-8,,
7:14.0,,,14-8,,K. Perkins enters the game for O. Asik
7:14.0,,,14-8,,Violation by Team (jump ball)
7:14.0,D. Cousins makes free throw 1 of 1,1,15-8,,
7:05.0,,,15-10,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
6:52.0,D. Cousins misses 2-pt shot from 5 ft,,15-10,,
6:51.0,,,15-10,,Defensive rebound by K. Perkins
6:51.0,Loose ball foul by D. Cousins (drawn by K. Perkins),,15-10,,
6:33.0,,,15-10,,J. Holiday misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by Q. Acy,,15-10,,
6:26.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,17-10,,
6:26.0,Shooting foul by K. Perkins (drawn by R. Gay),,17-10,,
6:26.0,,,17-10,,T. Douglas enters the game for D. Cunningham
6:26.0,,,17-10,,A. Gee enters the game for J. Holiday
6:26.0,,,17-10,,R. Anderson enters the game for A. Davis
6:26.0,R. Gay makes free throw 1 of 1,1,18-10,,
6:16.0,,,18-12,2,N. Cole makes 2-pt shot from 1 ft
6:05.0,D. Cousins makes 2-pt shot at rim,2,20-12,,
5:54.0,,,20-14,2,N. Cole makes 2-pt shot from 16 ft
5:44.0,D. Cousins misses 2-pt shot from 11 ft (block by K. Perkins),,20-14,,
5:44.0,,,20-14,,Defensive rebound by Team
5:32.0,,,20-17,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
5:22.0,R. Rondo misses 2-pt shot from 2 ft,,20-17,,
5:19.0,,,20-17,,Defensive rebound by N. Cole
5:16.0,,,20-17,,T. Douglas misses 3-pt shot from 25 ft
5:15.0,,,20-17,,Offensive rebound by A. Gee
5:10.0,,,20-17,,R. Anderson misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by D. Cousins,,20-17,,
5:02.0,D. Collison enters the game for B. McLemore,,20-17,,
4:49.0,R. Rondo makes 3-pt shot from 24 ft,3,23-17,,
4:39.0,,,23-17,,N. Cole misses 2-pt shot from 8 ft
4:37.0,Defensive rebound by R. Gay,,23-17,,
4:35.0,Turnover by R. Gay (bad pass),,23-17,,
4:18.0,,,23-17,,R. Anderson misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by D. Collison,,23-17,,
4:12.0,D. Collison misses 2-pt shot from 2 ft (block by T. Douglas),,23-17,,
4:11.0,,,23-17,,Defensive rebound by R. Anderson
4:04.0,,,23-17,,R. Anderson misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by Team,,23-17,,
4:02.0,W. Cauley-Stein enters the game for Q. Acy,,23-17,,
3:53.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,25-17,,
3:46.0,,,25-17,,Shooting foul by R. Rondo (drawn by N. Cole)
3:46.0,,,25-19,2,N. Cole makes 2-pt shot from 10 ft
3:46.0,,,25-20,1,N. Cole makes free throw 1 of 1
3:35.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,27-20,,
3:20.0,,,27-23,3,T. Douglas makes 3-pt shot from 25 ft (assist by N. Cole)
2:59.0,R. Gay misses 3-pt shot from 23 ft,,27-23,,
2:58.0,,,27-23,,Defensive rebound by T. Douglas
2:53.0,,,27-25,2,R. Anderson makes 2-pt shot at rim (assist by T. Douglas)
2:48.0,Sacramento full timeout,,27-25,,
2:48.0,O. Casspi enters the game for R. Gay,,27-25,,
2:48.0,K. Koufos enters the game for D. Cousins,,27-25,,
2:38.0,R. Rondo misses 3-pt shot from 23 ft,,27-25,,
2:37.0,,,27-25,,Defensive rebound by A. Gee
2:18.0,,,27-28,3,N. Cole makes 3-pt shot from 22 ft (assist by R. Anderson)
2:09.0,Turnover by R. Rondo (traveling),,27-28,,
2:09.0,,,27-28,,A. Davis enters the game for K. Perkins
1:53.0,,,27-30,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Douglas)
1:43.0,Turnover by D. Collison (bad pass; steal by N. Cole),,27-30,,
1:31.0,Personal foul by D. Collison (drawn by A. Davis),,27-30,,
1:26.0,,,27-30,,Turnover by T. Douglas (bad pass; steal by O. Casspi)
1:20.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,27-30,,
1:19.0,Offensive rebound by O. Casspi,,27-30,,
1:17.0,O. Casspi makes 2-pt shot from 2 ft,2,29-30,,
1:05.0,,,29-30,,Turnover by R. Anderson (bad pass; steal by K. Koufos)
0:57.0,O. Casspi misses 3-pt shot from 25 ft,,29-30,,
0:56.0,,,29-30,,Defensive rebound by A. Davis
0:43.0,,,29-30,,R. Anderson misses 2-pt shot from 17 ft
0:42.0,Defensive rebound by O. Casspi,,29-30,,
0:30.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,29-30,,
0:29.0,Offensive rebound by O. Casspi,,29-30,,
0:28.0,,,29-30,,Personal foul by A. Gee (drawn by O. Casspi)
