time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Jordan (B. Griffin gains possession)
11:38.0,,,0-2,2,B. Griffin makes 2-pt shot from 7 ft
11:23.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,3-2,,
11:15.0,,,3-2,,L. Stephenson misses 2-pt shot from 18 ft
11:15.0,Defensive rebound by B. McLemore,,3-2,,
11:05.0,D. Cousins misses 3-pt shot from 25 ft,,3-2,,
11:04.0,,,3-2,,Defensive rebound by B. Griffin
11:00.0,,,3-2,,Turnover by C. Paul (lost ball; steal by R. Gay)
10:44.0,R. Rondo misses 2-pt shot from 19 ft,,3-2,,
10:44.0,,,3-2,,Defensive rebound by D. Jordan
10:34.0,,,3-4,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
10:29.0,Offensive foul by W. Cauley-Stein,,3-4,,
10:29.0,Turnover by W. Cauley-Stein (offensive foul),,3-4,,
10:12.0,,,3-7,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
10:04.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,5-7,,
10:04.0,Shooting foul by J. Redick (drawn by B. McLemore),,5-7,,
10:04.0,B. McLemore makes free throw 1 of 1,1,6-7,,
9:56.0,,,6-9,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:56.0,,,6-9,,Shooting foul by R. Gay (drawn by D. Jordan)
9:56.0,,,6-9,,D. Jordan misses free throw 1 of 1
9:55.0,Defensive rebound by Team,,6-9,,
9:37.0,B. McLemore misses 2-pt shot from 1 ft,,6-9,,
9:36.0,Offensive rebound by W. Cauley-Stein,,6-9,,
9:33.0,W. Cauley-Stein makes 2-pt shot at rim,2,8-9,,
9:33.0,,,8-9,,Turnover by C. Paul (bad pass)
9:24.0,,,8-9,,Personal foul by C. Paul (drawn by R. Rondo)
9:13.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,10-9,,
9:10.0,,,10-9,,Turnover by B. Griffin (bad pass; steal by W. Cauley-Stein)
9:06.0,Turnover by W. Cauley-Stein (bad pass; steal by C. Paul),,10-9,,
8:54.0,,,10-11,2,D. Jordan makes 2-pt shot at rim (assist by L. Stephenson)
8:41.0,Turnover by R. Gay (bad pass; steal by D. Jordan),,10-11,,
8:33.0,,,10-11,,J. Redick misses 2-pt shot from 13 ft
8:27.0,Defensive rebound by W. Cauley-Stein,,10-11,,
8:21.0,R. Rondo makes 2-pt shot from 18 ft,2,12-11,,
8:02.0,,,12-13,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
7:37.0,D. Cousins misses 2-pt shot from 21 ft,,12-13,,
7:36.0,,,12-13,,Defensive rebound by C. Paul
7:27.0,,,12-13,,B. Griffin misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by D. Cousins,,12-13,,
7:17.0,D. Cousins makes 2-pt shot from 5 ft,2,14-13,,
7:03.0,,,14-13,,Turnover by D. Jordan (bad pass; steal by D. Cousins)
6:59.0,Shooting foul by L. Stephenson (drawn by R. Rondo),,14-13,,
6:59.0,R. Rondo makes free throw 1 of 2,1,15-13,,
6:59.0,O. Casspi enters the game for W. Cauley-Stein,,15-13,,
6:59.0,R. Rondo misses free throw 2 of 2,,15-13,,
6:58.0,,,15-13,,Defensive rebound by C. Paul
6:35.0,,,15-13,,C. Paul misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by R. Gay,,15-13,,
6:27.0,R. Rondo misses 2-pt shot from 2 ft,,15-13,,
6:23.0,Offensive rebound by D. Cousins,,15-13,,
6:17.0,D. Cousins makes 2-pt shot from 1 ft,2,17-13,,
6:09.0,Shooting block foul by B. McLemore (drawn by B. Griffin),,17-13,,
6:09.0,,,17-14,1,B. Griffin makes free throw 1 of 2
6:09.0,,,17-14,,B. Griffin misses free throw 2 of 2
6:07.0,Defensive rebound by R. Gay,,17-14,,
5:53.0,D. Cousins misses 2-pt shot from 21 ft,,17-14,,
5:52.0,,,17-14,,Defensive rebound by L. Stephenson
5:41.0,,,17-14,,D. Jordan misses 2-pt shot at rim
5:39.0,Defensive rebound by D. Cousins,,17-14,,
5:33.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,19-14,,
5:31.0,,,19-14,,LA Clippers full timeout
5:21.0,,,19-16,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
5:08.0,Turnover by D. Cousins (lost ball),,19-16,,
4:57.0,,,19-16,,Shooting foul by R. Gay (drawn by D. Jordan)
4:57.0,,,19-17,1,D. Jordan makes free throw 1 of 2
4:57.0,D. Collison enters the game for B. McLemore,,19-17,,
4:57.0,K. Koufos enters the game for R. Gay,,19-17,,
4:57.0,,,19-17,,D. Jordan misses free throw 2 of 2
4:56.0,Defensive rebound by K. Koufos,,19-17,,
4:51.0,D. Collison misses 2-pt shot from 1 ft (block by J. Redick),,19-17,,
4:51.0,Offensive rebound by Team,,19-17,,
4:42.0,D. Collison misses 2-pt shot from 19 ft,,19-17,,
