time,Phoenix,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Johnson (B. Knight gains possession),,,,Jump ball: T. Chandler vs. A. Johnson (B. Knight gains possession)
11:41.0,Turnover by B. Knight (bad pass; steal by A. Bradley),,0-0,,
11:25.0,,,0-0,,A. Bradley misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by M. Morris,,0-0,,
11:12.0,T. Chandler misses 2-pt shot from 16 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by A. Bradley
10:53.0,,,0-2,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
10:42.0,D. Booker misses 3-pt shot from 25 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by A. Johnson
10:33.0,,,0-4,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
10:33.0,,,0-4,,Shooting foul by D. Booker (drawn by A. Johnson)
10:33.0,,,0-5,1,A. Johnson makes free throw 1 of 1
10:20.0,D. Booker misses 3-pt shot from 24 ft,,0-5,,
10:19.0,,,0-5,,Defensive rebound by J. Crowder
10:06.0,,,0-5,,Shooting foul by D. Booker (drawn by A. Bradley)
10:06.0,,,0-6,1,A. Bradley makes free throw 1 of 2
10:06.0,A. Goodwin enters the game for D. Booker,,0-6,,
10:06.0,,,0-6,,A. Bradley misses free throw 2 of 2
10:06.0,Defensive rebound by T. Chandler,,0-6,,
9:48.0,Shooting foul by A. Johnson (drawn by M. Morris),,0-6,,
9:48.0,M. Morris makes free throw 1 of 2,1,1-6,,
9:48.0,M. Morris makes free throw 2 of 2,1,2-6,,
9:32.0,,,2-8,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
9:19.0,M. Morris misses 2-pt shot from 2 ft,,2-8,,
9:18.0,Offensive rebound by Team,,2-8,,
9:11.0,B. Knight makes 2-pt shot from 19 ft,2,4-8,,
9:07.0,,,4-8,,Turnover by I. Thomas (bad pass)
8:58.0,Shooting foul by J. Sullinger (drawn by T. Chandler),,4-8,,
8:58.0,T. Chandler makes free throw 1 of 2,1,5-8,,
8:58.0,T. Chandler makes free throw 2 of 2,1,6-8,,
8:44.0,,,6-8,,J. Crowder misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by T. Chandler,,6-8,,
8:31.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,8-8,,
8:16.0,,,8-10,2,I. Thomas makes 2-pt shot from 15 ft (assist by J. Sullinger)
8:01.0,P. Tucker makes 2-pt shot from 16 ft (assist by M. Morris),2,10-10,,
7:51.0,,,10-12,2,J. Sullinger makes 2-pt shot from 21 ft (assist by I. Thomas)
7:37.0,T. Chandler makes 2-pt shot at rim (assist by M. Morris),2,12-12,,
7:18.0,Personal foul by B. Knight (drawn by I. Thomas),,12-12,,
7:13.0,,,12-12,,I. Thomas misses 2-pt shot from 22 ft
7:12.0,Defensive rebound by M. Morris,,12-12,,
6:48.0,P. Tucker misses 2-pt shot from 7 ft,,12-12,,
6:47.0,,,12-12,,Defensive rebound by J. Sullinger
6:41.0,Personal block foul by P. Tucker (drawn by I. Thomas),,12-12,,
6:41.0,L. Brown enters the game for B. Knight,,12-12,,
6:35.0,,,12-14,2,J. Sullinger makes 2-pt shot from 14 ft (assist by A. Bradley)
6:16.0,Turnover by T. Chandler (bad pass),,12-14,,
