time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. N. Noel (T. McConnell gains possession),,,,Jump ball: G. Monroe vs. N. Noel (T. McConnell gains possession)
11:42.0,N. Stauskas misses 3-pt shot from 27 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Parker
11:22.0,,,0-0,,J. Parker misses 2-pt shot from 16 ft
11:20.0,Defensive rebound by J. Grant,,0-0,,
11:03.0,Shooting foul by G. Antetokounmpo (drawn by N. Noel),,0-0,,
11:03.0,N. Noel makes free throw 1 of 2,1,1-0,,
11:03.0,N. Noel misses free throw 2 of 2,,1-0,,
11:02.0,,,1-0,,Defensive rebound by J. Parker
10:48.0,,,1-2,2,G. Monroe makes 2-pt shot from 4 ft
10:23.0,N. Stauskas makes 3-pt shot from 28 ft (assist by J. Grant),3,4-2,,
10:09.0,,,4-2,,G. Monroe misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by N. Noel,,4-2,,
9:54.0,J. Grant misses 3-pt shot from 27 ft,,4-2,,
9:53.0,Offensive rebound by N. Noel,,4-2,,
9:51.0,N. Noel makes 2-pt shot at rim,2,6-2,,
9:29.0,,,6-2,,J. Parker misses 2-pt shot from 14 ft
9:18.0,,,6-2,,Offensive rebound by J. Parker
9:18.0,,,6-4,2,J. Parker makes 2-pt shot from 11 ft (assist by G. Monroe)
9:11.0,N. Stauskas misses 3-pt shot from 26 ft,,6-4,,
9:10.0,,,6-4,,Defensive rebound by G. Monroe
9:10.0,,,6-4,,Turnover by G. Monroe (bad pass)
9:04.0,J. Okafor makes 2-pt shot at rim (assist by T. McConnell),2,8-4,,
8:48.0,,,8-4,,Turnover by J. Bayless (bad pass; steal by N. Noel)
8:43.0,J. Okafor makes 2-pt shot from 1 ft,2,10-4,,
8:25.0,,,10-4,,K. Middleton misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by T. McConnell,,10-4,,
8:18.0,Turnover by N. Noel (offensive foul),,10-4,,
8:18.0,Offensive foul by N. Noel,,10-4,,
8:03.0,,,10-4,,K. Middleton misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by T. McConnell,,10-4,,
7:41.0,Turnover by N. Stauskas (lost ball; steal by K. Middleton),,10-4,,
7:40.0,Personal foul by T. McConnell (drawn by K. Middleton),,10-4,,
7:40.0,H. Thompson enters the game for N. Noel,,10-4,,
7:40.0,R. Holmes enters the game for N. Stauskas,,10-4,,
7:31.0,,,10-6,2,K. Middleton makes 2-pt shot from 15 ft
7:27.0,Turnover by H. Thompson (traveling),,10-6,,
7:12.0,,,10-6,,K. Middleton misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by J. Okafor,,10-6,,
7:05.0,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell),2,12-6,,
6:55.0,Personal foul by J. Grant (drawn by G. Antetokounmpo),,12-6,,
6:55.0,J. Sampson enters the game for J. Grant,,12-6,,
6:52.0,,,12-8,2,G. Monroe makes 2-pt shot at rim (assist by J. Bayless)
6:25.0,J. Okafor misses 2-pt shot from 11 ft,,12-8,,
6:24.0,,,12-8,,Defensive rebound by J. Bayless
6:19.0,,,12-10,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Bayless)
6:19.0,Philadelphia full timeout,,12-10,,
6:19.0,,,12-10,,J. O'Bryant enters the game for J. Parker
