time,New Orleans,pts.away,score,pts.home,Indiana
7:40.0,A. Ajinca makes 2-pt shot at rim (assist by T. Douglas),2,8-11,,
7:19.0,,,8-11,,I. Mahinmi misses 2-pt shot from 4 ft
7:19.0,Defensive rebound by O. Asik,,8-11,,
7:04.0,A. Ajinca misses 2-pt shot from 5 ft,,8-11,,
7:04.0,,,8-11,,Defensive rebound by M. Turner
6:54.0,,,8-11,,Turnover by G. Hill (back court)
6:43.0,D. Cunningham makes 3-pt shot from 24 ft (assist by A. Ajinca),3,11-11,,
6:17.0,,,11-13,2,P. George makes 2-pt shot from 18 ft (assist by G. Hill)
6:17.0,,,11-13,,Shooting foul by D. Cunningham (drawn by P. George)
6:17.0,,,11-13,,P. George misses free throw 1 of 1
6:17.0,Defensive rebound by A. Ajinca,,11-13,,
6:05.0,D. Cunningham misses 2-pt shot from 22 ft,,11-13,,
6:05.0,,,11-13,,Defensive rebound by M. Turner
5:58.0,,,11-13,,Indiana full timeout
5:49.0,,,11-13,,P. George misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by T. Douglas,,11-13,,
5:36.0,A. Ajinca misses 2-pt shot from 9 ft,,11-13,,
5:34.0,,,11-13,,Defensive rebound by M. Turner
5:19.0,,,11-15,2,M. Turner makes 2-pt shot from 18 ft (assist by I. Mahinmi)
5:04.0,Turnover by A. Ajinca (lost ball; steal by M. Ellis),,11-15,,
4:54.0,,,11-15,,G. Hill misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by O. Asik,,11-15,,
4:42.0,T. Douglas misses 2-pt shot from 18 ft,,11-15,,
4:42.0,,,11-15,,Defensive rebound by G. Hill
4:38.0,,,11-15,,Turnover by G. Hill (bad pass)
4:38.0,K. Perkins enters the game for O. Asik,,11-15,,
4:23.0,Shooting foul by I. Mahinmi (drawn by K. Perkins),,11-15,,
4:23.0,K. Perkins misses free throw 1 of 2,,11-15,,
4:23.0,Offensive rebound by Team,,11-15,,
4:23.0,,,11-15,,J. Hill enters the game for I. Mahinmi
4:23.0,K. Perkins makes free throw 2 of 2,1,12-15,,
4:11.0,,,12-15,,M. Ellis misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by T. Douglas,,12-15,,
3:52.0,A. Ajinca misses 2-pt shot from 19 ft,,12-15,,
3:51.0,,,12-15,,Defensive rebound by M. Ellis
3:39.0,,,12-15,,J. Hill misses 2-pt shot from 19 ft
3:39.0,Defensive rebound by A. Ajinca,,12-15,,
3:24.0,D. Cunningham misses 2-pt shot from 11 ft,,12-15,,
3:24.0,,,12-15,,Defensive rebound by G. Hill
3:18.0,,,12-17,2,M. Turner makes 2-pt shot at rim (assist by G. Hill)
3:00.0,A. Gee makes 3-pt shot from 25 ft (assist by A. Ajinca),3,15-17,,
2:37.0,,,15-17,,Shooting foul by K. Perkins (drawn by P. George)
2:37.0,New Orleans full timeout,,15-17,,
2:37.0,L. Babbitt enters the game for A. Ajinca,,15-17,,
2:37.0,T. Frazier enters the game for T. Douglas,,15-17,,
2:37.0,,,15-17,,L. Allen enters the game for M. Turner
2:37.0,,,15-17,,R. Stuckey enters the game for M. Ellis
2:37.0,,,15-18,1,P. George makes free throw 1 of 2
2:37.0,,,15-19,1,P. George makes free throw 2 of 2
2:19.0,A. Gee misses 2-pt shot from 7 ft,,15-19,,
2:18.0,,,15-19,,Defensive rebound by P. George
1:58.0,,,15-19,,R. Stuckey misses 2-pt shot from 20 ft
1:57.0,Defensive rebound by K. Perkins,,15-19,,
1:49.0,A. Gee makes 2-pt shot at rim (assist by T. Frazier),2,17-19,,
1:27.0,,,17-19,,Turnover by P. George (lost ball; steal by L. Babbitt)
1:10.0,D. Cunningham misses 3-pt shot from 25 ft,,17-19,,
1:09.0,Offensive rebound by A. Gee,,17-19,,
1:05.0,L. Babbitt misses 3-pt shot from 26 ft,,17-19,,
1:04.0,,,17-19,,Defensive rebound by G. Hill
0:54.0,,,17-21,2,R. Stuckey makes 2-pt shot at rim (assist by L. Allen)
0:34.0,D. Cunningham makes 2-pt shot from 20 ft,2,19-21,,
0:22.0,,,19-24,3,P. George makes 3-pt shot from 28 ft (assist by L. Allen)
0:00.0,T. Frazier makes 2-pt shot from 19 ft,2,21-24,,
0:00.0,Shooting foul by G. Hill (drawn by T. Frazier),,21-24,,
0:00.0,T. Frazier makes free throw 1 of 1,1,22-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Jump ball: L. Allen vs. A. Gee (T. Lawson gains possession),,,,Jump ball: L. Allen vs. A. Gee (T. Lawson gains possession)
11:33.0,,,22-24,,T. Lawson misses 3-pt shot from 39 ft
11:33.0,,,22-24,,Offensive rebound by Team
11:33.0,,,22-24,,Turnover by Team (shot clock)
11:16.0,K. Perkins misses 2-pt shot from 6 ft,,22-24,,
11:16.0,,,22-24,,Defensive rebound by C. Miles
11:00.0,,,22-24,,R. Stuckey misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by K. Perkins,,22-24,,
10:52.0,T. Frazier misses 2-pt shot from 19 ft,,22-24,,
10:51.0,,,22-24,,Defensive rebound by J. Hill
10:43.0,,,22-26,2,J. Hill makes 2-pt shot from 17 ft (assist by T. Lawson)
10:26.0,A. Gee makes 2-pt shot from 4 ft,2,24-26,,
10:15.0,,,24-26,,C. Miles misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by Team,,24-26,,
10:01.0,A. Ajinca makes 2-pt shot from 19 ft (assist by T. Frazier),2,26-26,,
9:44.0,,,26-26,,Turnover by C. Miles (lost ball; steal by A. Ajinca)
9:36.0,Shooting foul by C. Miles (drawn by A. Gee),,26-26,,
9:36.0,A. Gee makes free throw 1 of 2,1,27-26,,
9:36.0,A. Gee misses free throw 2 of 2,,27-26,,
9:36.0,,,27-26,,Defensive rebound by L. Allen
9:23.0,,,27-26,,C. Miles misses 2-pt shot from 12 ft
9:21.0,Defensive rebound by Team,,27-26,,
9:01.0,A. Ajinca misses 2-pt shot from 11 ft,,27-26,,
9:01.0,,,27-26,,Defensive rebound by L. Allen
9:01.0,Personal foul by A. Ajinca,,27-26,,
8:43.0,,,27-26,,T. Lawson misses 2-pt shot from 20 ft
8:43.0,Defensive rebound by A. Gee,,27-26,,
8:34.0,K. Perkins misses 2-pt shot from 6 ft,,27-26,,
8:32.0,,,27-26,,Defensive rebound by L. Allen
8:16.0,,,27-28,2,C. Miles makes 2-pt shot from 18 ft (assist by J. Hill)
8:03.0,Turnover by T. Frazier (lost ball; steal by T. Lawson),,27-28,,
7:59.0,,,27-30,2,T. Lawson makes 2-pt shot at rim (assist by R. Stuckey)
7:44.0,Turnover by T. Frazier (lost ball; steal by J. Hill),,27-30,,
7:39.0,,,27-30,,T. Lawson misses 2-pt shot at rim
7:38.0,Defensive rebound by A. Ajinca,,27-30,,
7:24.0,L. Babbitt makes 2-pt shot from 7 ft (assist by K. Perkins),2,29-30,,
7:20.0,,,29-30,,Indiana full timeout
7:20.0,O. Asik enters the game for K. Perkins,,29-30,,
7:04.0,,,29-30,,J. Hill misses 2-pt shot from 1 ft
7:04.0,Defensive rebound by A. Ajinca,,29-30,,
6:49.0,A. Ajinca makes 2-pt shot from 19 ft (assist by T. Frazier),2,31-30,,
6:42.0,,,31-30,,Shooting foul by O. Asik (drawn by R. Stuckey)
6:42.0,,,31-31,1,R. Stuckey makes free throw 1 of 2
6:42.0,,,31-32,1,R. Stuckey makes free throw 2 of 2
6:24.0,O. Asik misses 2-pt shot from 1 ft,,31-32,,
6:23.0,Offensive rebound by A. Ajinca,,31-32,,
6:23.0,A. Ajinca makes 2-pt shot at rim,2,33-32,,
6:10.0,,,33-34,2,R. Stuckey makes 2-pt shot from 18 ft
6:01.0,Offensive foul by A. Ajinca,,33-34,,
6:01.0,Turnover by A. Ajinca (offensive foul),,33-34,,
6:01.0,,,33-34,,M. Ellis enters the game for R. Stuckey
6:01.0,,,33-34,,M. Turner enters the game for L. Allen
5:47.0,,,33-36,2,C. Miles makes 2-pt shot from 14 ft (assist by J. Hill)
5:36.0,T. Frazier makes 2-pt shot from 6 ft,2,35-36,,
5:25.0,,,35-36,,M. Turner misses 2-pt shot from 19 ft
5:24.0,Defensive rebound by O. Asik,,35-36,,
5:14.0,O. Asik misses 2-pt shot from 2 ft,,35-36,,
5:13.0,,,35-36,,Defensive rebound by M. Ellis
5:09.0,,,35-38,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
5:09.0,,,35-38,,Shooting foul by T. Frazier (drawn by M. Turner)
5:09.0,Official timeout,,35-38,,
5:09.0,,,35-38,,G. Hill enters the game for J. Hill
5:09.0,,,35-38,,I. Mahinmi enters the game for T. Lawson
5:09.0,T. Douglas enters the game for A. Gee,,35-38,,
5:09.0,D. Cunningham enters the game for T. Frazier,,35-38,,
5:09.0,,,35-39,1,M. Turner makes free throw 1 of 1
4:47.0,A. Ajinca misses 2-pt shot from 9 ft,,35-39,,
4:46.0,,,35-39,,Defensive rebound by I. Mahinmi
4:27.0,,,35-41,2,M. Turner makes 2-pt shot from 19 ft (assist by G. Hill)
4:17.0,T. Douglas misses 2-pt shot from 16 ft,,35-41,,
4:16.0,,,35-41,,Defensive rebound by M. Turner
4:06.0,,,35-41,,G. Hill misses 2-pt shot from 15 ft
4:06.0,Defensive rebound by O. Asik,,35-41,,
3:49.0,L. Babbitt misses 2-pt shot from 10 ft,,35-41,,
3:49.0,,,35-41,,Defensive rebound by M. Turner
3:43.0,,,35-41,,Turnover by M. Turner (lost ball; steal by T. Douglas)
3:29.0,D. Cunningham misses 2-pt shot from 16 ft,,35-41,,
3:29.0,,,35-41,,Defensive rebound by M. Turner
3:25.0,,,35-41,,Turnover by M. Ellis (bad pass)
3:25.0,,,35-41,,P. George enters the game for C. Miles
3:22.0,T. Frazier enters the game for L. Babbitt,,35-41,,
3:04.0,A. Ajinca misses 2-pt shot from 19 ft,,35-41,,
3:04.0,,,35-41,,Defensive rebound by G. Hill
2:48.0,,,35-43,2,M. Turner makes 2-pt shot from 1 ft
2:48.0,,,35-43,,Shooting foul by A. Ajinca (drawn by M. Turner)
2:48.0,New Orleans full timeout,,35-43,,
2:48.0,A. Gee enters the game for A. Ajinca,,35-43,,
2:48.0,,,35-44,1,M. Turner makes free throw 1 of 1
2:28.0,A. Gee misses 3-pt shot from 23 ft,,35-44,,
2:27.0,,,35-44,,Defensive rebound by M. Turner
2:06.0,,,35-44,,M. Ellis misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by O. Asik,,35-44,,
1:57.0,T. Frazier makes 2-pt shot at rim,2,37-44,,
1:40.0,,,37-47,3,G. Hill makes 3-pt shot from 22 ft (assist by M. Ellis)
1:37.0,Turnover by O. Asik (lost ball; steal by P. George),,37-47,,
1:34.0,,,37-49,2,P. George makes 2-pt shot at rim
1:05.0,T. Douglas misses 3-pt shot from 23 ft,,37-49,,
1:04.0,,,37-49,,Defensive rebound by P. George
0:52.0,,,37-49,,Turnover by G. Hill (lost ball; steal by T. Douglas)
0:49.0,T. Douglas makes 2-pt shot at rim,2,39-49,,
0:29.0,,,39-49,,M. Ellis misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by O. Asik,,39-49,,
0:19.0,New Orleans full timeout,,39-49,,
0:19.0,,,39-49,,R. Stuckey enters the game for I. Mahinmi
0:19.0,L. Babbitt enters the game for O. Asik,,39-49,,
0:04.0,A. Gee misses 2-pt shot from 12 ft,,39-49,,
0:03.0,Offensive rebound by Team,,39-49,,
0:02.0,,,39-49,,Personal foul by R. Stuckey
0:00.0,T. Frazier misses 2-pt shot from 17 ft (block by M. Turner),,39-49,,
0:00.0,,,39-49,,Defensive rebound by M. Turner
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-49,,M. Ellis misses 2-pt shot from 17 ft
11:40.0,Defensive rebound by O. Asik,,39-49,,
11:17.0,A. Ajinca makes 2-pt shot from 5 ft,2,41-49,,
11:05.0,,,41-52,3,G. Hill makes 3-pt shot from 26 ft (assist by P. George)
10:54.0,Turnover by A. Ajinca (bad pass),,41-52,,
10:42.0,,,41-52,,M. Turner misses 2-pt shot from 16 ft
10:41.0,Defensive rebound by O. Asik,,41-52,,
10:28.0,D. Cunningham makes 2-pt shot from 10 ft,2,43-52,,
10:14.0,,,43-52,,Turnover by G. Hill (kicked ball)
10:04.0,Turnover by T. Douglas (lost ball; steal by I. Mahinmi),,43-52,,
9:55.0,,,43-54,2,P. George makes 2-pt shot from 1 ft
9:31.0,A. Ajinca makes 2-pt shot at rim,2,45-54,,
9:13.0,,,45-54,,P. George misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by O. Asik,,45-54,,
9:00.0,T. Douglas misses 2-pt shot from 21 ft,,45-54,,
9:00.0,,,45-54,,Defensive rebound by M. Turner
8:44.0,,,45-56,2,M. Turner makes 2-pt shot from 21 ft (assist by P. George)
8:21.0,D. Cunningham misses 2-pt shot from 10 ft (block by P. George),,45-56,,
8:20.0,,,45-56,,Defensive rebound by M. Turner
8:08.0,,,45-56,,Turnover by M. Turner (bad pass)
8:08.0,,,45-56,,Loose ball foul by M. Ellis
7:52.0,A. Gee misses 3-pt shot from 23 ft,,45-56,,
7:51.0,,,45-56,,Defensive rebound by P. George
7:41.0,,,45-56,,G. Hill misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by O. Asik,,45-56,,
7:33.0,A. Gee misses 2-pt shot at rim,,45-56,,
7:32.0,,,45-56,,Defensive rebound by M. Turner
7:31.0,Personal foul by T. Douglas,,45-56,,
7:31.0,,,45-56,,C. Miles enters the game for P. George
7:14.0,,,45-56,,I. Mahinmi misses 2-pt shot from 7 ft
7:13.0,Defensive rebound by O. Asik,,45-56,,
7:05.0,Shooting foul by M. Turner (drawn by A. Ajinca),,45-56,,
7:05.0,A. Ajinca makes free throw 1 of 2,1,46-56,,
7:05.0,A. Ajinca makes free throw 2 of 2,1,47-56,,
6:53.0,,,47-58,2,M. Turner makes 2-pt shot from 20 ft (assist by M. Ellis)
6:41.0,T. Douglas misses 3-pt shot from 26 ft,,47-58,,
6:40.0,,,47-58,,Defensive rebound by M. Turner
6:31.0,,,47-58,,M. Ellis misses 2-pt shot from 16 ft
6:30.0,Defensive rebound by A. Ajinca,,47-58,,
6:21.0,,,47-58,,Personal foul by C. Miles
6:08.0,T. Douglas makes 2-pt shot from 16 ft,2,49-58,,
6:01.0,,,49-58,,Indiana full timeout
6:01.0,T. Frazier enters the game for A. Gee,,49-58,,
5:51.0,Violation by D. Cunningham (kicked ball),,49-58,,
5:39.0,,,49-58,,M. Ellis misses 3-pt shot from 27 ft
5:39.0,Defensive rebound by A. Ajinca,,49-58,,
5:29.0,Shooting foul by M. Ellis (drawn by T. Frazier),,49-58,,
5:29.0,T. Frazier makes free throw 1 of 2,1,50-58,,
5:29.0,T. Frazier makes free throw 2 of 2,1,51-58,,
5:14.0,,,51-58,,M. Turner misses 2-pt shot from 11 ft
5:14.0,Defensive rebound by O. Asik,,51-58,,
5:00.0,Turnover by A. Ajinca (lost ball; steal by M. Ellis),,51-58,,
4:50.0,,,51-61,3,C. Miles makes 3-pt shot from 27 ft (assist by G. Hill)
4:35.0,A. Ajinca misses 2-pt shot from 6 ft,,51-61,,
4:33.0,Offensive rebound by T. Douglas,,51-61,,
4:30.0,T. Douglas misses 3-pt shot from 25 ft,,51-61,,
4:27.0,Offensive rebound by A. Ajinca,,51-61,,
4:27.0,A. Ajinca makes 2-pt shot from 1 ft,2,53-61,,
4:14.0,,,53-63,2,C. Miles makes 2-pt shot from 5 ft (assist by M. Ellis)
3:51.0,O. Asik makes 2-pt shot from 2 ft,2,55-63,,
3:35.0,,,55-65,2,M. Turner makes 2-pt shot from 19 ft
3:23.0,Turnover by T. Frazier (bad pass),,55-65,,
3:23.0,,,55-65,,R. Stuckey enters the game for M. Ellis
2:59.0,,,55-65,,I. Mahinmi misses 2-pt shot from 9 ft
2:58.0,Defensive rebound by T. Frazier,,55-65,,
2:51.0,T. Frazier misses 2-pt shot from 1 ft (block by G. Hill),,55-65,,
2:50.0,Offensive rebound by T. Frazier,,55-65,,
2:47.0,A. Ajinca makes 2-pt shot from 17 ft (assist by T. Frazier),2,57-65,,
2:30.0,,,57-65,,Shooting foul by T. Douglas (drawn by R. Stuckey)
2:30.0,New Orleans full timeout,,57-65,,
2:30.0,,,57-65,,T. Lawson enters the game for I. Mahinmi
2:30.0,,,57-65,,S. Hill enters the game for G. Hill
2:30.0,K. Perkins enters the game for D. Cunningham,,57-65,,
2:30.0,A. Gee enters the game for O. Asik,,57-65,,
2:30.0,L. Babbitt enters the game for T. Douglas,,57-65,,
2:30.0,,,57-66,1,R. Stuckey makes free throw 1 of 2
2:30.0,,,57-67,1,R. Stuckey makes free throw 2 of 2
2:07.0,A. Gee makes 2-pt shot at rim,2,59-67,,
1:48.0,,,59-67,,C. Miles misses 3-pt shot from 27 ft
1:47.0,Defensive rebound by T. Frazier,,59-67,,
1:32.0,A. Ajinca misses 2-pt shot from 5 ft,,59-67,,
1:30.0,Offensive rebound by K. Perkins,,59-67,,
1:28.0,K. Perkins misses 2-pt shot from 4 ft,,59-67,,
1:27.0,,,59-67,,Defensive rebound by C. Miles
1:26.0,Personal take foul by K. Perkins,,59-67,,
1:12.0,,,59-67,,M. Turner misses 2-pt shot from 19 ft
1:11.0,Defensive rebound by A. Gee,,59-67,,
0:50.0,L. Babbitt misses 2-pt shot from 11 ft (block by M. Turner),,59-67,,
0:49.0,,,59-67,,Defensive rebound by S. Hill
0:33.0,,,59-67,,C. Miles misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by L. Babbitt,,59-67,,
0:27.0,T. Frazier makes 2-pt shot from 17 ft (assist by L. Babbitt),2,61-67,,
0:04.0,,,61-70,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
0:02.0,Turnover by A. Ajinca (lost ball; steal by T. Lawson),,61-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,T. Frazier makes 2-pt shot from 19 ft (assist by K. Perkins),2,63-70,,
11:29.0,,,63-73,3,C. Miles makes 3-pt shot from 22 ft (assist by R. Stuckey)
11:16.0,Turnover by T. Frazier (lost ball; steal by T. Lawson),,63-73,,
11:07.0,,,63-75,2,C. Miles makes 2-pt shot from 1 ft (assist by T. Lawson)
11:07.0,New Orleans full timeout,,63-75,,
11:07.0,D. Cunningham enters the game for A. Ajinca,,63-75,,
10:54.0,A. Gee makes 2-pt shot from 1 ft,2,65-75,,
10:54.0,Shooting foul by J. Hill (drawn by A. Gee),,65-75,,
10:54.0,A. Gee makes free throw 1 of 1,1,66-75,,
10:38.0,,,66-77,2,J. Hill makes 2-pt shot from 14 ft (assist by C. Miles)
10:11.0,A. Gee misses 2-pt shot from 15 ft,,66-77,,
10:10.0,,,66-77,,Defensive rebound by T. Lawson
10:03.0,,,66-77,,C. Miles misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by K. Perkins,,66-77,,
9:52.0,Offensive charge foul by L. Babbitt,,66-77,,
9:52.0,Turnover by L. Babbitt (offensive foul),,66-77,,
9:43.0,,,66-79,2,T. Lawson makes 2-pt shot at rim
9:33.0,D. Cunningham misses 3-pt shot from 25 ft,,66-79,,
9:31.0,Offensive rebound by T. Frazier,,66-79,,
9:28.0,A. Gee makes 2-pt shot at rim (assist by T. Frazier),2,68-79,,
9:00.0,,,68-79,,Turnover by J. Hill (lost ball; steal by D. Cunningham)
8:54.0,L. Babbitt misses 3-pt shot from 23 ft,,68-79,,
8:53.0,,,68-79,,Defensive rebound by J. Hill
8:40.0,,,68-79,,R. Stuckey misses 2-pt shot at rim
8:38.0,,,68-79,,Offensive rebound by J. Hill
8:38.0,,,68-79,,J. Hill misses 2-pt shot at rim
8:37.0,Defensive rebound by L. Babbitt,,68-79,,
8:36.0,,,68-79,,Personal foul by S. Hill
8:28.0,L. Babbitt misses 2-pt shot from 8 ft,,68-79,,
8:27.0,,,68-79,,Defensive rebound by J. Hill
8:06.0,,,68-79,,J. Hill misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by D. Cunningham,,68-79,,
7:52.0,T. Frazier makes 2-pt shot from 9 ft,2,70-79,,
7:52.0,,,70-79,,Indiana full timeout
7:52.0,,,70-79,,M. Ellis enters the game for J. Hill
7:52.0,,,70-79,,I. Mahinmi enters the game for C. Miles
7:45.0,,,70-79,,Turnover by T. Lawson (lost ball)
7:29.0,Turnover by T. Frazier (lost ball; steal by M. Ellis),,70-79,,
7:11.0,,,70-79,,M. Ellis misses 2-pt shot from 16 ft
7:09.0,Defensive rebound by K. Perkins,,70-79,,
6:51.0,T. Frazier makes 3-pt shot from 25 ft,3,73-79,,
6:37.0,,,73-79,,T. Lawson misses 2-pt shot from 18 ft
6:36.0,Defensive rebound by L. Babbitt,,73-79,,
6:17.0,Turnover by L. Babbitt (lost ball; steal by I. Mahinmi),,73-79,,
6:13.0,,,73-81,2,M. Ellis makes 2-pt shot at rim
5:59.0,Turnover by T. Frazier (bad pass),,73-81,,
5:59.0,,,73-81,,M. Turner enters the game for S. Hill
5:59.0,,,73-81,,G. Hill enters the game for T. Lawson
5:59.0,,,73-81,,C. Miles enters the game for R. Stuckey
5:41.0,,,73-83,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill)
5:17.0,L. Babbitt misses 2-pt shot from 1 ft,,73-83,,
5:16.0,,,73-83,,Defensive rebound by C. Miles
5:08.0,,,73-83,,C. Miles misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by T. Frazier,,73-83,,
5:00.0,T. Frazier misses 2-pt shot from 20 ft,,73-83,,
4:59.0,,,73-83,,Defensive rebound by M. Turner
4:41.0,Personal foul by L. Babbitt,,73-83,,
4:41.0,T. Douglas enters the game for T. Frazier,,73-83,,
4:41.0,A. Ajinca enters the game for K. Perkins,,73-83,,
4:30.0,,,73-83,,M. Turner misses 2-pt shot from 13 ft
4:29.0,Defensive rebound by A. Ajinca,,73-83,,
4:21.0,A. Gee makes 2-pt shot from 1 ft (assist by T. Douglas),2,75-83,,
3:57.0,,,75-85,2,M. Ellis makes 2-pt shot from 5 ft
3:40.0,D. Cunningham makes 2-pt shot from 11 ft,2,77-85,,
3:17.0,,,77-87,2,M. Turner makes 2-pt shot at rim (assist by G. Hill)
3:03.0,D. Cunningham misses 3-pt shot from 27 ft,,77-87,,
3:03.0,,,77-87,,Defensive rebound by M. Turner
2:37.0,,,77-87,,M. Ellis misses 2-pt shot from 20 ft
2:35.0,Defensive rebound by T. Douglas,,77-87,,
2:30.0,Shooting foul by G. Hill (drawn by T. Douglas),,77-87,,
2:30.0,Official timeout,,77-87,,
2:30.0,T. Frazier enters the game for L. Babbitt,,77-87,,
2:30.0,T. Douglas makes free throw 1 of 2,1,78-87,,
2:30.0,T. Douglas makes free throw 2 of 2,1,79-87,,
2:11.0,,,79-87,,Shooting foul by A. Ajinca (drawn by I. Mahinmi)
2:11.0,,,79-87,,I. Mahinmi misses free throw 1 of 2
2:11.0,,,79-87,,Offensive rebound by Team
2:11.0,,,79-88,1,I. Mahinmi makes free throw 2 of 2
1:48.0,T. Douglas misses 2-pt shot from 6 ft (block by M. Ellis),,79-88,,
1:47.0,,,79-88,,Defensive rebound by M. Turner
1:25.0,,,79-88,,Turnover by G. Hill (lost ball; steal by D. Cunningham)
1:21.0,T. Douglas makes 2-pt shot at rim (assist by D. Cunningham),2,81-88,,
1:09.0,,,81-88,,Turnover by M. Turner (lost ball; steal by T. Douglas)
1:03.0,T. Douglas makes 3-pt shot from 25 ft (assist by A. Gee),3,84-88,,
1:03.0,,,84-88,,Indiana full timeout
0:52.0,Personal take foul by T. Douglas,,84-88,,
0:47.0,Personal take foul by T. Frazier,,84-88,,
0:47.0,,,84-89,1,C. Miles makes free throw 1 of 2
0:47.0,,,84-90,1,C. Miles makes free throw 2 of 2
0:47.0,New Orleans full timeout,,84-90,,
0:47.0,L. Babbitt enters the game for A. Gee,,84-90,,
0:47.0,,,84-90,,S. Hill enters the game for M. Turner
0:44.0,L. Babbitt misses 3-pt shot from 28 ft,,84-90,,
0:42.0,,,84-90,,Defensive rebound by M. Ellis
0:40.0,Personal foul by T. Douglas,,84-90,,
0:40.0,,,84-91,1,M. Ellis makes free throw 1 of 2
0:40.0,,,84-92,1,M. Ellis makes free throw 2 of 2
0:40.0,New Orleans full timeout,,84-92,,
0:31.0,T. Douglas misses 3-pt shot from 27 ft,,84-92,,
0:31.0,,,84-92,,Defensive rebound by S. Hill
0:09.0,,,84-92,,C. Miles misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by T. Douglas,,84-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
