time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. McCollum gains possession)
11:39.0,M. Plumlee misses 2-pt shot from 2 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by D. Jordan
11:30.0,,,0-0,,J. Redick misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by M. Harkless,,0-0,,
11:17.0,Shooting foul by P. Pierce (drawn by A. Aminu),,0-0,,
11:17.0,A. Aminu makes free throw 1 of 2,1,1-0,,
11:17.0,A. Aminu makes free throw 2 of 2,1,2-0,,
11:02.0,,,2-0,,J. Redick misses 2-pt shot from 9 ft
10:59.0,Defensive rebound by M. Harkless,,2-0,,
10:46.0,C. McCollum misses 3-pt shot from 23 ft,,2-0,,
10:45.0,,,2-0,,Defensive rebound by P. Pierce
10:36.0,,,2-0,,C. Paul misses 2-pt shot from 12 ft
10:35.0,,,2-0,,Offensive rebound by C. Paul
10:32.0,,,2-0,,C. Paul misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by D. Lillard,,2-0,,
10:25.0,D. Lillard misses 2-pt shot from 8 ft,,2-0,,
10:22.0,Offensive rebound by D. Lillard,,2-0,,
10:18.0,C. McCollum misses 3-pt shot from 24 ft,,2-0,,
10:17.0,,,2-0,,Defensive rebound by C. Paul
10:00.0,,,2-0,,C. Paul misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by M. Plumlee,,2-0,,
9:51.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,4-0,,
9:51.0,,,4-0,,LA Clippers full timeout
9:40.0,,,4-0,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by M. Plumlee)
9:40.0,,,4-0,,Offensive rebound by D. Jordan
9:40.0,,,4-0,,Shooting foul by M. Harkless (drawn by D. Jordan)
9:40.0,,,4-0,,D. Jordan misses free throw 1 of 2
9:40.0,,,4-0,,Offensive rebound by Team
9:40.0,,,4-1,1,D. Jordan makes free throw 2 of 2
9:19.0,D. Lillard misses 3-pt shot from 24 ft,,4-1,,
9:18.0,,,4-1,,Defensive rebound by J. Redick
9:10.0,,,4-4,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
8:55.0,Turnover by C. McCollum (lost ball; steal by P. Pierce),,4-4,,
8:37.0,,,4-4,,P. Pierce misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by A. Aminu,,4-4,,
8:28.0,Turnover by C. McCollum (lost ball; steal by D. Jordan),,4-4,,
8:26.0,,,4-4,,Shooting foul by D. Lillard (drawn by D. Jordan)
8:26.0,,,4-4,,D. Jordan misses free throw 1 of 2
8:26.0,,,4-4,,Offensive rebound by Team
8:26.0,,,4-4,,D. Jordan misses free throw 2 of 2
8:23.0,Defensive rebound by A. Aminu,,4-4,,
8:11.0,M. Harkless misses 3-pt shot from 25 ft,,4-4,,
8:10.0,,,4-4,,Defensive rebound by C. Paul
