time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Gibson vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Gibson vs. J. Valanciunas (K. Lowry gains possession)
11:40.0,,,0-0,,L. Scola misses 2-pt shot from 2 ft (block by N. Mirotic)
11:40.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-0,,Turnover by K. Lowry (lost ball; steal by T. Gibson)
11:32.0,J. Holiday misses 3-pt shot from 26 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by J. Johnson
11:25.0,,,0-2,2,K. Lowry makes 2-pt shot from 2 ft
11:12.0,N. Mirotic makes 3-pt shot from 23 ft,3,3-2,,
10:47.0,,,3-2,,Turnover by J. Valanciunas (lost ball)
10:23.0,E. Moore makes 2-pt shot from 19 ft (assist by J. Butler),2,5-2,,
9:59.0,,,5-2,,Turnover by D. DeRozan (lost ball; steal by N. Mirotic)
9:50.0,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler),3,8-2,,
9:34.0,,,8-2,,L. Scola misses 3-pt shot from 27 ft
9:34.0,Defensive rebound by J. Holiday,,8-2,,
9:27.0,Turnover by N. Mirotic (lost ball; steal by K. Lowry),,8-2,,
9:20.0,,,8-2,,K. Lowry misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by E. Moore,,8-2,,
9:09.0,Turnover by T. Gibson (step out of bounds),,8-2,,
8:43.0,,,8-2,,K. Lowry misses 2-pt shot from 9 ft
8:42.0,,,8-2,,Offensive rebound by J. Valanciunas
8:40.0,,,8-4,2,J. Valanciunas makes 2-pt shot from 2 ft
8:26.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Holiday),2,10-4,,
8:26.0,Shooting foul by L. Scola (drawn by T. Gibson),,10-4,,
8:26.0,T. Gibson makes free throw 1 of 1,1,11-4,,
8:10.0,,,11-4,,J. Johnson misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by T. Gibson,,11-4,,
7:57.0,E. Moore makes 2-pt shot at rim (assist by J. Butler),2,13-4,,
7:50.0,,,13-4,,Toronto full timeout
7:39.0,,,13-4,,J. Johnson misses 2-pt shot from 4 ft (block by J. Holiday)
7:37.0,Defensive rebound by J. Holiday,,13-4,,
7:32.0,Turnover by J. Holiday (lost ball),,13-4,,
7:15.0,,,13-6,2,D. DeRozan makes 2-pt shot from 17 ft
6:57.0,J. Butler misses 2-pt shot from 16 ft (block by J. Johnson),,13-6,,
6:56.0,,,13-6,,Defensive rebound by L. Scola
6:36.0,,,13-8,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
6:22.0,J. Butler misses 2-pt shot from 4 ft (block by J. Valanciunas),,13-8,,
6:20.0,,,13-8,,Defensive rebound by K. Lowry
6:15.0,,,13-8,,Shooting foul by J. Holiday (drawn by K. Lowry)
6:15.0,,,13-9,1,K. Lowry makes free throw 1 of 2
6:15.0,,,13-10,1,K. Lowry makes free throw 2 of 2
6:00.0,N. Mirotic misses 3-pt shot from 24 ft,,13-10,,
6:00.0,,,13-10,,Defensive rebound by K. Lowry
5:56.0,,,13-12,2,K. Lowry makes 2-pt shot at rim
5:56.0,,,13-12,,Shooting foul by E. Moore (drawn by K. Lowry)
5:56.0,D. McDermott enters the game for J. Butler,,13-12,,
5:56.0,,,13-13,1,K. Lowry makes free throw 1 of 1
5:44.0,D. McDermott makes 2-pt shot from 1 ft (assist by T. Gibson),2,15-13,,
5:27.0,,,15-13,,Shooting foul by J. Holiday (drawn by D. DeRozan)
5:27.0,,,15-14,1,D. DeRozan makes free throw 1 of 2
5:27.0,,,15-14,,T. Ross enters the game for J. Johnson
5:27.0,T. Snell enters the game for J. Holiday,,15-14,,
5:27.0,,,15-15,1,D. DeRozan makes free throw 2 of 2
