time,New Orleans,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. A. Horford (J. Teague gains possession),,,,Jump ball: O. Asik vs. A. Horford (J. Teague gains possession)
11:47.0,,,0-0,,Turnover by A. Horford (bad pass; steal by E. Gordon)
11:27.0,L. Babbitt makes 3-pt shot from 23 ft (assist by E. Gordon),3,3-0,,
11:10.0,,,3-2,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
10:55.0,E. Gordon misses 2-pt shot from 14 ft,,3-2,,
10:54.0,,,3-2,,Defensive rebound by K. Bazemore
10:46.0,Personal foul by L. Babbitt (drawn by K. Korver),,3-2,,
10:38.0,,,3-4,2,K. Korver makes 2-pt shot from 16 ft (assist by J. Teague)
10:28.0,Shooting foul by J. Teague (drawn by O. Asik),,3-4,,
10:28.0,O. Asik makes free throw 1 of 2,1,4-4,,
10:28.0,O. Asik misses free throw 2 of 2,,4-4,,
10:27.0,,,4-4,,Defensive rebound by K. Bazemore
10:11.0,,,4-4,,J. Teague misses 2-pt shot from 20 ft
10:09.0,Defensive rebound by R. Anderson,,4-4,,
10:04.0,E. Gordon misses 2-pt shot from 3 ft (block by A. Horford),,4-4,,
10:01.0,,,4-4,,Defensive rebound by A. Horford
9:58.0,,,4-4,,Turnover by K. Bazemore (lost ball)
9:44.0,Turnover by I. Smith (step out of bounds),,4-4,,
9:34.0,,,4-4,,K. Korver misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by O. Asik,,4-4,,
9:17.0,R. Anderson misses 2-pt shot from 1 ft (block by A. Horford),,4-4,,
9:17.0,,,4-4,,Defensive rebound by P. Millsap
9:17.0,Personal foul by O. Asik (drawn by P. Millsap),,4-4,,
9:03.0,,,4-4,,A. Horford misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by R. Anderson,,4-4,,
8:54.0,R. Anderson misses 3-pt shot from 25 ft,,4-4,,
8:53.0,Offensive rebound by Team,,4-4,,
8:53.0,,,4-4,,Loose ball foul by K. Bazemore (drawn by O. Asik)
8:47.0,Turnover by I. Smith (bad pass; steal by J. Teague),,4-4,,
8:43.0,,,4-6,2,J. Teague makes 2-pt shot from 1 ft
8:27.0,R. Anderson misses 3-pt shot from 24 ft,,4-6,,
8:25.0,,,4-6,,Defensive rebound by K. Korver
8:18.0,,,4-6,,Offensive charge foul by P. Millsap
8:18.0,,,4-6,,Turnover by P. Millsap (offensive foul)
8:04.0,E. Gordon misses 3-pt shot from 24 ft,,4-6,,
8:02.0,Offensive rebound by R. Anderson,,4-6,,
8:00.0,I. Smith misses 2-pt shot from 1 ft (block by J. Teague),,4-6,,
8:00.0,Offensive rebound by Team,,4-6,,
7:56.0,E. Gordon misses 2-pt shot from 15 ft,,4-6,,
7:54.0,,,4-6,,Defensive rebound by A. Horford
7:45.0,,,4-6,,P. Millsap misses 2-pt shot from 11 ft
7:42.0,Defensive rebound by O. Asik,,4-6,,
7:31.0,R. Anderson makes 2-pt shot from 13 ft,2,6-6,,
7:22.0,,,6-8,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
7:06.0,R. Anderson makes 3-pt shot from 24 ft (assist by L. Babbitt),3,9-8,,
6:55.0,,,9-11,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
