time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Holmes (D. Rose gains possession),,,,Jump ball: P. Gasol vs. R. Holmes (D. Rose gains possession)
11:48.0,Shooting foul by J. Okafor (drawn by P. Gasol),,0-0,,
11:48.0,P. Gasol makes free throw 1 of 2,1,1-0,,
11:48.0,P. Gasol makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-0,,N. Stauskas misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by P. Gasol,,2-0,,
11:10.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,4-0,,
10:59.0,,,4-0,,Shooting foul by D. McDermott (drawn by J. Grant)
10:59.0,,,4-1,1,J. Grant makes free throw 1 of 2
10:59.0,,,4-2,1,J. Grant makes free throw 2 of 2
10:41.0,P. Gasol misses 2-pt shot from 11 ft,,4-2,,
10:39.0,,,4-2,,Defensive rebound by J. Grant
10:19.0,,,4-2,,J. Grant misses 3-pt shot from 25 ft
10:16.0,,,4-2,,Offensive rebound by J. Okafor
10:16.0,,,4-4,2,J. Okafor makes 2-pt shot at rim
10:05.0,J. Butler makes 3-pt shot from 25 ft,3,7-4,,
9:48.0,,,7-6,2,J. Grant makes 2-pt shot from 2 ft (assist by N. Stauskas)
9:36.0,N. Mirotic misses 3-pt shot from 25 ft,,7-6,,
9:34.0,,,7-6,,Defensive rebound by J. Okafor
9:23.0,,,7-6,,J. Okafor misses 2-pt shot from 7 ft
9:22.0,Defensive rebound by N. Mirotic,,7-6,,
9:12.0,P. Gasol misses 2-pt shot from 14 ft,,7-6,,
9:11.0,Offensive rebound by N. Mirotic,,7-6,,
9:07.0,D. McDermott misses 2-pt shot from 3 ft,,7-6,,
9:05.0,,,7-6,,Defensive rebound by J. Okafor
8:52.0,,,7-8,2,N. Stauskas makes 2-pt shot from 1 ft (assist by T. McConnell)
8:37.0,D. McDermott misses 2-pt shot from 4 ft,,7-8,,
8:36.0,Offensive rebound by J. Butler,,7-8,,
8:34.0,P. Gasol makes 2-pt shot from 11 ft (assist by J. Butler),2,9-8,,
8:13.0,,,9-8,,J. Okafor misses 2-pt shot from 10 ft
8:12.0,,,9-8,,Offensive rebound by Team
8:09.0,,,9-8,,J. Grant misses 2-pt shot from 10 ft
8:08.0,,,9-8,,Offensive rebound by J. Okafor
8:08.0,,,9-8,,Turnover by Team (shot clock)
7:58.0,D. Rose misses 3-pt shot from 27 ft,,9-8,,
7:56.0,,,9-8,,Defensive rebound by J. Okafor
7:41.0,,,9-8,,J. Okafor misses 2-pt shot from 5 ft (block by P. Gasol)
7:41.0,,,9-8,,Offensive rebound by Team
7:39.0,,,9-10,2,T. McConnell makes 2-pt shot from 14 ft (assist by N. Stauskas)
7:29.0,D. Rose misses 2-pt shot from 2 ft (block by T. McConnell),,9-10,,
7:28.0,,,9-10,,Defensive rebound by J. Okafor
7:25.0,,,9-12,2,J. Okafor makes 2-pt shot from 2 ft (assist by J. Grant)
7:25.0,,,9-12,,Shooting foul by N. Mirotic (drawn by J. Okafor)
7:25.0,,,9-12,,J. Okafor misses free throw 1 of 1
7:18.0,,,9-12,,Offensive rebound by R. Holmes
7:15.0,,,9-12,,J. Okafor misses 2-pt shot from 17 ft
7:13.0,Defensive rebound by J. Butler,,9-12,,
7:03.0,Turnover by N. Mirotic (bad pass; steal by N. Stauskas),,9-12,,
6:56.0,,,9-12,,J. Okafor misses 2-pt shot from 12 ft
6:54.0,Defensive rebound by D. Rose,,9-12,,
6:51.0,D. McDermott misses 3-pt shot from 25 ft,,9-12,,
6:48.0,Offensive rebound by D. McDermott,,9-12,,
6:46.0,D. McDermott makes 2-pt shot from 10 ft,2,11-12,,
6:46.0,,,11-12,,Philadelphia full timeout
6:46.0,,,11-12,,J. Sampson enters the game for R. Holmes
6:37.0,Personal foul by D. McDermott (drawn by J. Sampson),,11-12,,
6:37.0,T. Snell enters the game for D. McDermott,,11-12,,
6:22.0,,,11-12,,T. McConnell misses 2-pt shot from 7 ft
6:21.0,Defensive rebound by N. Mirotic,,11-12,,
6:15.0,T. Snell makes 3-pt shot from 25 ft (assist by D. Rose),3,14-12,,
6:08.0,,,14-12,,Turnover by J. Okafor (lost ball)
5:55.0,J. Butler makes 2-pt shot from 12 ft (assist by P. Gasol),2,16-12,,
5:50.0,,,16-12,,Turnover by N. Stauskas (lost ball)
5:34.0,Turnover by J. Butler (bad pass; steal by J. Grant),,16-12,,
5:28.0,,,16-14,2,J. Sampson makes 2-pt shot from 1 ft (assist by T. McConnell)
5:19.0,P. Gasol misses 2-pt shot from 18 ft,,16-14,,
5:17.0,Offensive rebound by D. Rose,,16-14,,
5:17.0,D. Rose makes 2-pt shot from 1 ft,2,18-14,,
4:58.0,,,18-14,,J. Sampson misses 2-pt shot from 15 ft
4:57.0,Defensive rebound by T. Snell,,18-14,,
4:51.0,D. Rose makes 2-pt shot from 18 ft,2,20-14,,
4:31.0,,,20-14,,N. Stauskas misses 2-pt shot from 16 ft
4:30.0,Defensive rebound by T. Snell,,20-14,,
4:21.0,D. Rose makes 2-pt shot from 11 ft,2,22-14,,
4:21.0,Shooting foul by J. Okafor (drawn by D. Rose),,22-14,,
4:21.0,T. Gibson enters the game for P. Gasol,,22-14,,
4:21.0,,,22-14,,C. Wood enters the game for J. Okafor
4:21.0,,,22-14,,I. Canaan enters the game for N. Stauskas
4:21.0,D. Rose misses free throw 1 of 1,,22-14,,
4:20.0,,,22-14,,Defensive rebound by Team
4:13.0,,,22-16,2,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell)
4:04.0,J. Butler misses 2-pt shot from 12 ft,,22-16,,
4:01.0,,,22-16,,Defensive rebound by C. Wood
3:50.0,,,22-16,,C. Wood misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by T. Gibson,,22-16,,
3:41.0,N. Mirotic makes 2-pt shot from 2 ft,2,24-16,,
3:41.0,,,24-16,,Violation by J. Grant (def goaltending)
3:20.0,,,24-16,,J. Grant misses 2-pt shot from 6 ft
3:18.0,,,24-16,,Offensive rebound by C. Wood
3:16.0,,,24-16,,Turnover by Team (shot clock)
3:16.0,A. Brooks enters the game for D. Rose,,24-16,,
3:16.0,,,24-16,,H. Thompson enters the game for T. McConnell
3:04.0,Shooting foul by J. Grant (drawn by J. Butler),,24-16,,
3:04.0,J. Butler makes free throw 1 of 2,1,25-16,,
3:04.0,,,25-16,,R. Holmes enters the game for J. Grant
3:04.0,B. Portis enters the game for N. Mirotic,,25-16,,
3:04.0,J. Butler makes free throw 2 of 2,1,26-16,,
2:49.0,,,26-16,,Turnover by J. Sampson (bad pass; steal by J. Butler)
2:30.0,A. Brooks makes 2-pt shot from 12 ft (assist by J. Butler),2,28-16,,
2:25.0,,,28-16,,I. Canaan misses 2-pt shot from 1 ft (block by T. Gibson)
2:22.0,Defensive rebound by A. Brooks,,28-16,,
2:16.0,J. Butler misses 3-pt shot from 23 ft,,28-16,,
2:14.0,Offensive rebound by T. Gibson,,28-16,,
2:11.0,T. Snell makes 3-pt shot from 26 ft (assist by T. Gibson),3,31-16,,
