time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. I. Mahinmi (M. Turner gains possession),,,,Jump ball: A. Horford vs. I. Mahinmi (M. Turner gains possession)
11:42.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,2-0,,
11:29.0,,,2-2,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
11:16.0,M. Ellis misses 2-pt shot from 16 ft,,2-2,,
11:14.0,,,2-2,,Defensive rebound by J. Teague
11:08.0,,,2-5,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague)
10:53.0,G. Hill misses 3-pt shot from 24 ft,,2-5,,
10:52.0,,,2-5,,Defensive rebound by K. Korver
10:31.0,,,2-5,,K. Bazemore misses 2-pt shot from 13 ft
10:30.0,Defensive rebound by P. George,,2-5,,
10:23.0,M. Turner misses 2-pt shot from 9 ft,,2-5,,
10:21.0,,,2-5,,Defensive rebound by P. Millsap
10:14.0,,,2-5,,P. Millsap misses 2-pt shot at rim (block by M. Turner)
10:12.0,Defensive rebound by I. Mahinmi,,2-5,,
10:07.0,G. Hill misses 2-pt shot from 1 ft,,2-5,,
10:07.0,Offensive rebound by Team,,2-5,,
10:03.0,,,2-5,,Personal foul by K. Bazemore
9:54.0,M. Turner misses 2-pt shot from 20 ft,,2-5,,
9:52.0,,,2-5,,Defensive rebound by K. Bazemore
9:31.0,,,2-5,,Shooting foul by M. Turner (drawn by P. Millsap)
9:31.0,,,2-6,1,P. Millsap makes free throw 1 of 2
9:31.0,,,2-7,1,P. Millsap makes free throw 2 of 2
9:18.0,Turnover by I. Mahinmi (lost ball),,2-7,,
9:04.0,,,2-9,2,K. Korver makes 2-pt shot from 20 ft (assist by A. Horford)
8:52.0,G. Hill misses 3-pt shot from 23 ft,,2-9,,
8:50.0,,,2-9,,Defensive rebound by J. Teague
8:30.0,,,2-11,2,P. Millsap makes 2-pt shot from 10 ft
8:25.0,Indiana full timeout,,2-11,,
8:15.0,G. Hill misses 3-pt shot from 22 ft,,2-11,,
8:14.0,,,2-11,,Defensive rebound by K. Korver
