time,Houston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (G. Antetokounmpo gains possession)
11:42.0,,,0-2,2,J. Parker makes 2-pt shot from 6 ft (assist by O. Mayo)
11:21.0,J. Smith misses 2-pt shot from 22 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by O. Mayo
11:13.0,,,0-2,,K. Middleton misses 2-pt shot from 17 ft
11:11.0,,,0-2,,Offensive rebound by J. Parker
11:05.0,,,0-4,2,J. Parker makes 2-pt shot at rim
11:01.0,J. Smith makes 2-pt shot from 2 ft (assist by T. Ariza),2,2-4,,
11:01.0,Shooting foul by O. Mayo (drawn by J. Smith),,2-4,,
11:01.0,J. Smith misses free throw 1 of 1,,2-4,,
10:58.0,,,2-4,,Defensive rebound by G. Antetokounmpo
10:51.0,,,2-6,2,G. Antetokounmpo makes 2-pt shot from 16 ft
10:35.0,D. Howard misses 2-pt shot from 2 ft (block by M. Plumlee),,2-6,,
10:32.0,Offensive rebound by T. Ariza,,2-6,,
10:25.0,T. Ariza misses 3-pt shot from 24 ft,,2-6,,
10:23.0,,,2-6,,Defensive rebound by G. Antetokounmpo
10:06.0,,,2-8,2,J. Parker makes 2-pt shot from 17 ft
9:49.0,P. Beverley makes 2-pt shot from 8 ft,2,4-8,,
9:32.0,Def 3 sec tech foul by D. Howard,,4-8,,
9:32.0,,,4-9,1,K. Middleton makes technical free throw
9:22.0,,,4-9,,J. Parker misses 2-pt shot at rim
9:20.0,Defensive rebound by T. Ariza,,4-9,,
9:05.0,J. Smith misses 3-pt shot from 23 ft,,4-9,,
9:03.0,,,4-9,,Defensive rebound by G. Antetokounmpo
8:58.0,,,4-9,,Shooting foul by J. Smith (drawn by G. Antetokounmpo)
8:58.0,,,4-10,1,G. Antetokounmpo makes free throw 1 of 2
8:58.0,,,4-10,,G. Antetokounmpo misses free throw 2 of 2
8:56.0,Defensive rebound by J. Harden,,4-10,,
8:46.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,6-10,,
8:33.0,,,6-12,2,M. Plumlee makes 2-pt shot from 4 ft
8:21.0,P. Beverley misses 2-pt shot from 1 ft,,6-12,,
8:21.0,Offensive rebound by D. Howard,,6-12,,
8:21.0,Shooting foul by O. Mayo (drawn by D. Howard),,6-12,,
8:21.0,D. Howard makes free throw 1 of 2,1,7-12,,
8:21.0,,,7-12,,J. Bayless enters the game for O. Mayo
8:21.0,D. Howard makes free throw 2 of 2,1,8-12,,
7:59.0,,,8-14,2,J. Parker makes 2-pt shot from 11 ft (assist by K. Middleton)
7:47.0,,,8-14,,Def 3 sec tech foul by G. Antetokounmpo
7:47.0,J. Harden makes technical free throw,1,9-14,,
7:38.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,11-14,,
7:23.0,,,11-14,,J. Parker misses 2-pt shot from 19 ft
7:21.0,Defensive rebound by J. Harden,,11-14,,
7:09.0,Turnover by J. Smith (lost ball; steal by J. Parker),,11-14,,
7:06.0,Violation by T. Ariza (kicked ball),,11-14,,
6:48.0,,,11-16,2,J. Parker makes 2-pt shot from 7 ft (assist by M. Plumlee)
6:40.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,13-16,,
6:40.0,Shooting foul by M. Plumlee (drawn by D. Howard),,13-16,,
6:40.0,D. Motiejunas enters the game for J. Smith,,13-16,,
6:40.0,,,13-16,,G. Monroe enters the game for M. Plumlee
6:40.0,D. Howard makes free throw 1 of 1,1,14-16,,
6:28.0,,,14-16,,Turnover by J. Parker (bad pass)
6:13.0,D. Motiejunas makes 3-pt shot from 23 ft (assist by T. Ariza),3,17-16,,
5:45.0,,,17-18,2,K. Middleton makes 2-pt shot from 22 ft
5:19.0,D. Howard misses 2-pt shot from 7 ft,,17-18,,
5:18.0,,,17-18,,Defensive rebound by Team
5:18.0,,,17-18,,Milwaukee full timeout
5:18.0,T. Jones enters the game for D. Howard,,17-18,,
5:02.0,,,17-20,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
4:37.0,T. Jones makes 2-pt shot from 2 ft (assist by T. Ariza),2,19-20,,
4:26.0,,,19-20,,Offensive charge foul by G. Antetokounmpo
4:26.0,,,19-20,,Turnover by G. Antetokounmpo (offensive foul)
4:10.0,T. Ariza makes 2-pt shot from 9 ft (assist by J. Harden),2,21-20,,
3:49.0,,,21-20,,K. Middleton misses 3-pt shot from 23 ft
3:48.0,,,21-20,,Offensive rebound by G. Monroe
3:45.0,,,21-22,2,G. Monroe makes 2-pt shot from 2 ft
3:25.0,P. Beverley misses 2-pt shot from 8 ft,,21-22,,
3:24.0,Offensive rebound by T. Jones,,21-22,,
3:24.0,T. Jones misses 2-pt shot from 1 ft,,21-22,,
3:23.0,,,21-22,,Defensive rebound by G. Monroe
3:17.0,,,21-22,,Shooting foul by P. Beverley (drawn by K. Middleton)
3:17.0,,,21-23,1,K. Middleton makes free throw 1 of 2
3:17.0,C. Brewer enters the game for P. Beverley,,21-23,,
3:17.0,T. Lawson enters the game for T. Ariza,,21-23,,
3:17.0,,,21-24,1,K. Middleton makes free throw 2 of 2
3:03.0,Turnover by D. Motiejunas (bad pass),,21-24,,
2:45.0,,,21-26,2,G. Antetokounmpo makes 2-pt shot from 20 ft
2:26.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Brewer),3,24-26,,
