time,Denver,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: N. Jokic vs. R. Lopez (K. Porzingis gains possession)
11:41.0,,,0-0,,C. Anthony misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by E. Mudiay,,0-0,,
11:33.0,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay),2,2-0,,
11:09.0,,,2-0,,A. Afflalo misses 2-pt shot from 10 ft
11:08.0,Defensive rebound by G. Harris,,2-0,,
11:02.0,G. Harris makes 2-pt shot from 1 ft,2,4-0,,
10:46.0,,,4-0,,K. Porzingis misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by D. Gallinari,,4-0,,
10:38.0,E. Mudiay misses 3-pt shot from 25 ft,,4-0,,
10:36.0,,,4-0,,Defensive rebound by K. Porzingis
10:21.0,,,4-3,3,J. Calderon makes 3-pt shot from 23 ft (assist by C. Anthony)
10:04.0,N. Jokic makes 2-pt shot from 3 ft (assist by D. Gallinari),2,6-3,,
9:52.0,,,6-3,,K. Porzingis misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by D. Gallinari,,6-3,,
9:42.0,K. Faried misses 2-pt shot from 20 ft,,6-3,,
9:40.0,,,6-3,,Defensive rebound by A. Afflalo
9:33.0,,,6-3,,C. Anthony misses 2-pt shot from 22 ft
9:31.0,Defensive rebound by E. Mudiay,,6-3,,
9:22.0,,,6-3,,Personal foul by R. Lopez (drawn by D. Gallinari)
9:10.0,D. Gallinari misses 3-pt shot from 24 ft,,6-3,,
9:08.0,,,6-3,,Defensive rebound by A. Afflalo
8:57.0,,,6-5,2,A. Afflalo makes 2-pt shot from 6 ft (assist by C. Anthony)
8:57.0,,,6-5,,Shooting foul by G. Harris (drawn by A. Afflalo)
8:57.0,,,6-6,1,A. Afflalo makes free throw 1 of 1
8:46.0,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris),2,8-6,,
8:30.0,,,8-6,,K. Porzingis misses 2-pt shot from 16 ft
8:29.0,,,8-6,,Offensive rebound by R. Lopez
8:29.0,,,8-6,,R. Lopez misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by G. Harris,,8-6,,
8:22.0,G. Harris misses 2-pt shot from 3 ft,,8-6,,
8:21.0,Offensive rebound by N. Jokic,,8-6,,
8:21.0,N. Jokic misses 2-pt shot from 2 ft,,8-6,,
8:21.0,Offensive rebound by Team,,8-6,,
8:19.0,,,8-6,,Personal foul by C. Anthony (drawn by D. Gallinari)
8:15.0,D. Gallinari misses 3-pt shot from 25 ft,,8-6,,
8:13.0,,,8-6,,Defensive rebound by J. Calderon
8:02.0,,,8-8,2,R. Lopez makes 2-pt shot from 2 ft (assist by J. Calderon)
7:44.0,Shooting foul by K. Porzingis (drawn by N. Jokic),,8-8,,
7:44.0,N. Jokic makes free throw 1 of 2,1,9-8,,
7:44.0,N. Jokic makes free throw 2 of 2,1,10-8,,
7:29.0,,,10-8,,K. Porzingis misses 2-pt shot from 15 ft
7:27.0,Defensive rebound by D. Gallinari,,10-8,,
7:21.0,G. Harris makes 2-pt shot from 18 ft,2,12-8,,
7:05.0,,,12-10,2,J. Calderon makes 2-pt shot from 17 ft
6:48.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,14-10,,
6:46.0,,,14-10,,New York full timeout
6:27.0,,,14-10,,C. Anthony misses 2-pt shot from 14 ft
6:26.0,Defensive rebound by G. Harris,,14-10,,
6:07.0,Shooting foul by R. Lopez (drawn by D. Gallinari),,14-10,,
6:07.0,D. Gallinari misses free throw 1 of 2,,14-10,,
6:07.0,Offensive rebound by Team,,14-10,,
6:07.0,,,14-10,,K. O'Quinn enters the game for R. Lopez
6:07.0,D. Gallinari makes free throw 2 of 2,1,15-10,,
5:49.0,,,15-10,,K. Porzingis misses 2-pt shot from 16 ft
5:47.0,,,15-10,,Offensive rebound by K. O'Quinn
5:46.0,,,15-10,,Turnover by K. O'Quinn (traveling)
5:37.0,E. Mudiay misses 2-pt shot from 19 ft,,15-10,,
5:35.0,,,15-10,,Defensive rebound by K. O'Quinn
5:24.0,,,15-10,,K. O'Quinn misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by K. Faried,,15-10,,
5:18.0,Shooting foul by J. Calderon (drawn by E. Mudiay),,15-10,,
5:18.0,E. Mudiay misses free throw 1 of 2,,15-10,,
5:18.0,Offensive rebound by Team,,15-10,,
5:18.0,,,15-10,,K. Seraphin enters the game for K. Porzingis
5:18.0,E. Mudiay misses free throw 2 of 2,,15-10,,
5:17.0,Offensive rebound by K. Faried,,15-10,,
5:09.0,N. Jokic misses 2-pt shot from 4 ft,,15-10,,
5:07.0,Offensive rebound by N. Jokic,,15-10,,
5:02.0,Shooting foul by K. Seraphin (drawn by D. Gallinari),,15-10,,
5:02.0,D. Gallinari makes free throw 1 of 2,1,16-10,,
5:02.0,D. Gallinari makes free throw 2 of 2,1,17-10,,
4:39.0,,,17-12,2,K. Seraphin makes 2-pt shot from 3 ft
4:23.0,K. Faried makes 2-pt shot from 7 ft (assist by E. Mudiay),2,19-12,,
4:06.0,,,19-12,,Shooting foul by N. Jokic (drawn by C. Anthony)
4:06.0,,,19-12,,C. Anthony misses free throw 1 of 2
4:06.0,,,19-12,,Offensive rebound by Team
4:06.0,,,19-13,1,C. Anthony makes free throw 2 of 2
3:57.0,E. Mudiay misses 2-pt shot from 4 ft (block by K. O'Quinn),,19-13,,
3:55.0,Offensive rebound by K. Faried,,19-13,,
3:45.0,E. Mudiay misses 2-pt shot from 15 ft,,19-13,,
3:43.0,Offensive rebound by N. Jokic,,19-13,,
3:42.0,N. Jokic misses 2-pt shot from 2 ft,,19-13,,
3:40.0,,,19-13,,Defensive rebound by C. Anthony
3:29.0,,,19-13,,K. O'Quinn misses 2-pt shot from 17 ft
3:27.0,Defensive rebound by N. Jokic,,19-13,,
3:21.0,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris),2,21-13,,
3:02.0,,,21-16,3,J. Calderon makes 3-pt shot from 24 ft (assist by A. Afflalo)
2:42.0,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay),3,24-16,,
2:25.0,,,24-18,2,K. O'Quinn makes 2-pt shot at rim
2:08.0,E. Mudiay misses 2-pt shot from 14 ft,,24-18,,
2:06.0,,,24-18,,Defensive rebound by Team
2:06.0,Denver full timeout,,24-18,,
2:06.0,,,24-18,,L. Amundson enters the game for J. Calderon
2:06.0,,,24-18,,L. Galloway enters the game for K. O'Quinn
2:06.0,R. Foye enters the game for N. Jokic,,24-18,,
2:06.0,J. Lauvergne enters the game for G. Harris,,24-18,,
2:06.0,W. Barton enters the game for E. Mudiay,,24-18,,
1:47.0,,,24-18,,K. Seraphin misses 2-pt shot from 5 ft
1:45.0,Defensive rebound by J. Lauvergne,,24-18,,
1:27.0,D. Gallinari misses 2-pt shot from 14 ft,,24-18,,
1:26.0,,,24-18,,Defensive rebound by A. Afflalo
1:22.0,,,24-18,,C. Anthony misses 2-pt shot at rim
1:20.0,,,24-18,,Offensive rebound by L. Amundson
1:15.0,,,24-18,,C. Anthony misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by R. Foye,,24-18,,
1:07.0,K. Faried makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,26-18,,
0:51.0,,,26-18,,Shooting foul by J. Lauvergne (drawn by L. Amundson)
0:51.0,,,26-18,,L. Amundson misses free throw 1 of 2
0:51.0,,,26-18,,Offensive rebound by Team
0:51.0,J. Nurkic enters the game for K. Faried,,26-18,,
0:51.0,,,26-18,,L. Amundson misses free throw 2 of 2
0:51.0,Defensive rebound by W. Barton,,26-18,,
0:38.0,J. Lauvergne makes 2-pt shot from 7 ft (assist by W. Barton),2,28-18,,
0:29.0,,,28-20,2,L. Amundson makes 2-pt shot at rim (assist by K. Seraphin)
0:11.0,Turnover by R. Foye (bad pass; steal by A. Afflalo),,28-20,,
0:05.0,,,28-20,,A. Afflalo misses 2-pt shot from 2 ft (block by W. Barton)
0:05.0,Defensive rebound by Team,,28-20,,
0:00.0,D. Gallinari makes 3-pt shot from 44 ft (assist by R. Foye),3,31-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,31-20,,Personal foul by J. Grant (drawn by J. Nurkic)
11:45.0,Offensive foul by J. Nurkic,,31-20,,
11:45.0,Turnover by J. Nurkic (offensive foul),,31-20,,
11:32.0,,,31-20,,K. Porzingis misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by R. Foye,,31-20,,
11:22.0,J. Lauvergne misses 3-pt shot from 25 ft,,31-20,,
11:20.0,,,31-20,,Defensive rebound by D. Williams
11:03.0,,,31-22,2,K. Porzingis makes 2-pt shot from 3 ft
10:51.0,W. Barton makes 2-pt shot from 3 ft,2,33-22,,
10:34.0,,,33-22,,Turnover by K. Porzingis (lost ball)
10:22.0,W. Barton misses 3-pt shot from 25 ft,,33-22,,
10:20.0,,,33-22,,Defensive rebound by L. Galloway
10:13.0,,,33-22,,D. Williams misses 2-pt shot from 7 ft
10:12.0,,,33-22,,Offensive rebound by K. Seraphin
9:54.0,,,33-24,2,K. Porzingis makes 2-pt shot from 12 ft
9:34.0,J. Nurkic misses 2-pt shot from 15 ft,,33-24,,
9:32.0,Offensive rebound by J. Lauvergne,,33-24,,
9:30.0,J. Lauvergne misses 2-pt shot from 5 ft,,33-24,,
