time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (T. Young gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (T. Young gains possession)
11:45.0,B. Lopez makes 2-pt shot at rim,2,2-0,,
11:26.0,,,2-0,,K. Love misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by R. Hollis-Jefferson,,2-0,,
11:08.0,T. Young misses 2-pt shot from 18 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by L. James
10:56.0,,,2-0,,L. James misses 2-pt shot from 1 ft
10:54.0,,,2-0,,Offensive rebound by L. James
10:51.0,,,2-2,2,L. James makes 2-pt shot at rim
10:25.0,J. Johnson makes 2-pt shot from 17 ft (assist by J. Jack),2,4-2,,
10:16.0,,,4-2,,L. James misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by T. Young,,4-2,,
10:08.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,7-2,,
9:50.0,,,7-2,,T. Mozgov misses 2-pt shot from 1 ft
9:48.0,,,7-2,,Offensive rebound by T. Mozgov
9:48.0,,,7-2,,T. Mozgov misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by R. Hollis-Jefferson,,7-2,,
9:37.0,J. Jack misses 3-pt shot from 25 ft,,7-2,,
9:34.0,,,7-2,,Defensive rebound by K. Love
9:24.0,,,7-2,,K. Love misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by R. Hollis-Jefferson,,7-2,,
9:11.0,T. Young misses 2-pt shot from 4 ft,,7-2,,
9:09.0,,,7-2,,Defensive rebound by T. Mozgov
8:56.0,,,7-4,2,K. Love makes 2-pt shot from 1 ft (assist by M. Williams)
8:38.0,Turnover by J. Johnson (bad pass; steal by M. Williams),,7-4,,
8:33.0,,,7-4,,Shooting foul by T. Young (drawn by K. Love)
8:33.0,,,7-5,1,K. Love makes free throw 1 of 2
8:33.0,,,7-6,1,K. Love makes free throw 2 of 2
8:16.0,B. Lopez makes 2-pt shot from 4 ft,2,9-6,,
7:59.0,,,9-6,,J. Smith misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by T. Young,,9-6,,
7:51.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,11-6,,
7:51.0,,,11-6,,Cleveland full timeout
7:30.0,,,11-6,,Turnover by L. James (bad pass; steal by R. Hollis-Jefferson)
7:26.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by J. Smith),,11-6,,
