time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson,,,,Jump ball: A. Drummond vs. T. Thompson
11:44.0,T. Thompson misses 2-pt shot from 7 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by T. Harris
11:26.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by K. Love,,0-0,,
11:16.0,K. Love misses 3-pt shot from 26 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by T. Harris
11:07.0,,,0-3,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
10:41.0,L. James makes 2-pt shot at rim,2,2-3,,
10:18.0,,,2-5,2,A. Drummond makes 2-pt shot from 6 ft
9:50.0,L. James misses 2-pt shot from 1 ft,,2-5,,
9:50.0,Offensive rebound by T. Thompson,,2-5,,
9:46.0,Turnover by T. Thompson (lost ball; steal by K. Caldwell-Pope),,2-5,,
9:37.0,,,2-8,3,M. Morris makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
9:19.0,K. Love misses 2-pt shot from 17 ft,,2-8,,
9:19.0,,,2-8,,Defensive rebound by R. Jackson
9:15.0,,,2-10,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
9:15.0,Cleveland full timeout,,2-10,,
9:00.0,J. Smith misses 3-pt shot from 24 ft,,2-10,,
8:59.0,,,2-10,,Defensive rebound by K. Caldwell-Pope
8:52.0,,,2-10,,R. Jackson misses 3-pt shot from 27 ft
8:52.0,Defensive rebound by K. Love,,2-10,,
8:45.0,Shooting foul by A. Drummond (drawn by K. Irving),,2-10,,
8:45.0,K. Irving makes free throw 1 of 2,1,3-10,,
8:45.0,K. Irving misses free throw 2 of 2,,3-10,,
8:44.0,,,3-10,,Defensive rebound by A. Drummond
8:30.0,,,3-12,2,T. Harris makes 2-pt shot from 1 ft
8:16.0,Shooting foul by A. Drummond (drawn by K. Love),,3-12,,
8:16.0,K. Love makes free throw 1 of 2,1,4-12,,
8:16.0,,,4-12,,A. Baynes enters the game for A. Drummond
8:16.0,K. Love makes free throw 2 of 2,1,5-12,,
7:57.0,,,5-12,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by K. Love,,5-12,,
7:48.0,L. James misses 2-pt shot at rim,,5-12,,
7:48.0,Offensive rebound by Team,,5-12,,
7:48.0,,,5-12,,Loose ball foul by M. Morris
7:31.0,K. Love makes 2-pt shot at rim (assist by L. James),2,7-12,,
7:18.0,,,7-12,,M. Morris misses 2-pt shot at rim
7:16.0,Defensive rebound by K. Love,,7-12,,
7:15.0,,,7-12,,Personal foul by K. Caldwell-Pope
6:57.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,10-12,,
6:41.0,,,10-12,,T. Harris misses 2-pt shot from 18 ft
6:41.0,,,10-12,,Offensive rebound by Team
6:41.0,Loose ball foul by T. Thompson,,10-12,,
6:37.0,,,10-14,2,R. Jackson makes 2-pt shot from 8 ft
6:37.0,,,10-14,,Shooting foul by K. Irving (drawn by R. Jackson)
6:37.0,,,10-15,1,R. Jackson makes free throw 1 of 1
6:17.0,K. Love misses 2-pt shot from 14 ft,,10-15,,
6:15.0,,,10-15,,Defensive rebound by T. Harris
6:08.0,,,10-17,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
5:44.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,13-17,,
5:29.0,,,13-17,,T. Harris misses 2-pt shot from 10 ft
5:27.0,Defensive rebound by T. Thompson,,13-17,,
5:21.0,Shooting foul by A. Baynes (drawn by T. Thompson),,13-17,,
5:21.0,T. Thompson makes free throw 1 of 2,1,14-17,,
5:21.0,T. Thompson misses free throw 2 of 2,,14-17,,
5:20.0,,,14-17,,Defensive rebound by T. Harris
5:01.0,,,14-17,,K. Caldwell-Pope misses 2-pt shot from 7 ft
5:01.0,,,14-17,,Offensive rebound by K. Caldwell-Pope
4:58.0,,,14-17,,K. Caldwell-Pope misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by K. Love,,14-17,,
4:58.0,L. James makes 2-pt shot from 1 ft,2,16-17,,
4:58.0,Shooting foul by M. Morris (drawn by L. James),,16-17,,
4:58.0,,,16-17,,S. Johnson enters the game for M. Morris
4:58.0,L. James makes free throw 1 of 1,1,17-17,,
4:54.0,,,17-17,,Detroit full timeout
4:43.0,,,17-17,,Turnover by R. Jackson (lost ball; steal by K. Love)
4:30.0,K. Irving misses 2-pt shot from 17 ft,,17-17,,
4:30.0,,,17-17,,Defensive rebound by A. Baynes
4:06.0,,,17-17,,R. Jackson misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by K. Love,,17-17,,
3:48.0,K. Love misses 2-pt shot from 5 ft,,17-17,,
3:47.0,,,17-17,,Defensive rebound by T. Harris
3:42.0,,,17-17,,S. Johnson misses 2-pt shot at rim
3:39.0,Defensive rebound by K. Love,,17-17,,
3:29.0,K. Love misses 2-pt shot from 2 ft,,17-17,,
3:28.0,Offensive rebound by T. Thompson,,17-17,,
3:24.0,L. James misses 3-pt shot from 24 ft,,17-17,,
3:23.0,,,17-17,,Defensive rebound by A. Baynes
3:10.0,,,17-17,,A. Baynes misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by K. Irving,,17-17,,
3:00.0,K. Love misses 3-pt shot from 27 ft,,17-17,,
3:00.0,,,17-17,,Defensive rebound by K. Caldwell-Pope
2:50.0,,,17-19,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson)
2:50.0,,,17-19,,Shooting foul by K. Love (drawn by T. Harris)
2:50.0,,,17-19,,S. Blake enters the game for R. Jackson
2:50.0,R. Jefferson enters the game for L. James,,17-19,,
2:50.0,,,17-20,1,T. Harris makes free throw 1 of 1
2:33.0,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving),2,19-20,,
2:20.0,,,19-20,,A. Baynes misses 2-pt shot at rim (block by T. Thompson)
2:19.0,Defensive rebound by T. Thompson,,19-20,,
2:09.0,K. Irving makes 2-pt shot from 16 ft,2,21-20,,
1:52.0,,,21-23,3,S. Blake makes 3-pt shot from 24 ft (assist by A. Baynes)
1:32.0,K. Irving makes 2-pt shot from 10 ft,2,23-23,,
1:12.0,,,23-26,3,T. Harris makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
0:46.0,K. Irving misses 3-pt shot from 23 ft,,23-26,,
0:46.0,Offensive rebound by Team,,23-26,,
0:46.0,Turnover by Team (shot clock),,23-26,,
0:46.0,I. Shumpert enters the game for J. Smith,,23-26,,
0:30.0,,,23-26,,T. Harris misses 2-pt shot from 8 ft
0:30.0,Defensive rebound by K. Love,,23-26,,
0:29.0,,,23-26,,Personal foul by A. Baynes
0:29.0,K. Love makes free throw 1 of 2,1,24-26,,
0:29.0,C. Frye enters the game for T. Thompson,,24-26,,
0:29.0,M. Dellavedova enters the game for K. Irving,,24-26,,
0:29.0,,,24-26,,A. Tolliver enters the game for A. Baynes
0:29.0,K. Love makes free throw 2 of 2,1,25-26,,
0:09.0,,,25-28,2,S. Johnson makes 2-pt shot from 18 ft
0:03.0,M. Dellavedova misses 2-pt shot from 7 ft,,25-28,,
0:02.0,Offensive rebound by K. Love,,25-28,,
0:02.0,K. Love misses 2-pt shot from 2 ft,,25-28,,
0:02.0,,,25-28,,Defensive rebound by T. Harris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-28,,S. Johnson misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by R. Jefferson,,25-28,,
11:34.0,C. Frye misses 2-pt shot from 5 ft,,25-28,,
11:33.0,,,25-28,,Defensive rebound by M. Morris
11:20.0,,,25-28,,Turnover by A. Drummond (lost ball; steal by C. Frye)
11:15.0,L. James makes 2-pt shot at rim (assist by I. Shumpert),2,27-28,,
10:53.0,,,27-28,,S. Johnson misses 2-pt shot from 8 ft
10:52.0,Defensive rebound by R. Jefferson,,27-28,,
10:40.0,R. Jefferson misses 3-pt shot from 25 ft,,27-28,,
10:40.0,,,27-28,,Defensive rebound by A. Drummond
10:31.0,,,27-28,,Shooting foul by R. Jefferson (drawn by M. Morris)
10:31.0,,,27-29,1,M. Morris makes free throw 1 of 2
10:31.0,,,27-29,,M. Morris misses free throw 2 of 2
10:30.0,Defensive rebound by C. Frye,,27-29,,
10:15.0,R. Jefferson makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,29-29,,
10:00.0,,,29-31,2,M. Morris makes 2-pt shot from 13 ft (assist by S. Blake)
