time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: J. Grant vs. A. Stoudemire (G. Dragic gains possession)
11:35.0,,,0-2,2,J. Johnson makes 2-pt shot from 18 ft
11:17.0,C. Landry makes 2-pt shot from 18 ft (assist by I. Smith),2,2-2,,
11:03.0,,,2-2,,A. Stoudemire misses 2-pt shot from 17 ft
11:02.0,Defensive rebound by I. Smith,,2-2,,
10:50.0,C. Landry misses 2-pt shot from 11 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by A. Stoudemire
10:33.0,,,2-5,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
10:15.0,C. Landry makes 2-pt shot from 13 ft (assist by R. Covington),2,4-5,,
9:51.0,,,4-5,,A. Stoudemire misses 2-pt shot from 2 ft (block by R. Covington)
9:50.0,Defensive rebound by I. Smith,,4-5,,
9:47.0,,,4-5,,Personal foul by G. Dragic (drawn by I. Smith)
9:37.0,R. Covington misses 3-pt shot from 24 ft,,4-5,,
9:36.0,,,4-5,,Defensive rebound by G. Dragic
9:24.0,,,4-7,2,J. Johnson makes 2-pt shot from 3 ft
9:01.0,I. Smith makes 2-pt shot from 18 ft,2,6-7,,
8:42.0,,,6-7,,Offensive charge foul by J. Johnson
8:42.0,,,6-7,,Turnover by J. Johnson (offensive foul)
8:27.0,H. Thompson misses 3-pt shot from 24 ft,,6-7,,
8:26.0,Offensive rebound by C. Landry,,6-7,,
8:22.0,C. Landry makes 2-pt shot from 1 ft,2,8-7,,
8:08.0,,,8-7,,J. Johnson misses 2-pt shot from 9 ft
8:07.0,Defensive rebound by J. Grant,,8-7,,
7:57.0,H. Thompson makes 3-pt shot from 24 ft (assist by R. Covington),3,11-7,,
7:45.0,,,11-7,,G. Dragic misses 2-pt shot from 11 ft
7:44.0,,,11-7,,Offensive rebound by G. Dragic
7:43.0,,,11-9,2,G. Dragic makes 2-pt shot from 3 ft
7:39.0,Shooting foul by A. Stoudemire (drawn by I. Smith),,11-9,,
7:39.0,I. Smith misses free throw 1 of 2,,11-9,,
7:39.0,Offensive rebound by Team,,11-9,,
7:39.0,,,11-9,,H. Whiteside enters the game for A. Stoudemire
