time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (R. Rubio gains possession),,,,Jump ball: D. Jordan vs. K. Towns (R. Rubio gains possession)
11:44.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,3-0,,
11:28.0,Personal foul by K. Towns (drawn by D. Jordan),,3-0,,
11:16.0,,,3-2,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Redick)
11:03.0,K. Towns misses 3-pt shot from 25 ft,,3-2,,
11:02.0,Offensive rebound by A. Wiggins,,3-2,,
10:53.0,G. Dieng makes 2-pt shot from 6 ft (assist by A. Wiggins),2,5-2,,
10:39.0,,,5-5,3,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul)
10:17.0,,,5-5,,Personal foul by P. Pierce (drawn by G. Dieng)
10:11.0,A. Wiggins misses 3-pt shot from 27 ft,,5-5,,
10:10.0,Offensive rebound by T. Prince,,5-5,,
10:03.0,K. Towns misses 2-pt shot from 4 ft,,5-5,,
10:01.0,,,5-5,,Defensive rebound by P. Pierce
9:57.0,,,5-5,,Shooting foul by R. Rubio (drawn by D. Jordan)
9:57.0,,,5-5,,D. Jordan misses free throw 1 of 2
9:57.0,,,5-5,,Offensive rebound by Team
9:57.0,,,5-6,1,D. Jordan makes free throw 2 of 2
9:35.0,T. Prince misses 2-pt shot from 4 ft,,5-6,,
9:32.0,Offensive rebound by T. Prince,,5-6,,
9:32.0,T. Prince makes 2-pt shot at rim,2,7-6,,
9:18.0,,,7-6,,P. Pierce misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by G. Dieng,,7-6,,
9:07.0,A. Wiggins misses 2-pt shot from 17 ft,,7-6,,
9:03.0,,,7-6,,Defensive rebound by C. Paul
8:56.0,,,7-6,,C. Paul misses 3-pt shot from 24 ft
8:55.0,,,7-6,,Offensive rebound by L. Mbah a Moute
8:47.0,,,7-6,,J. Redick misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by T. Prince,,7-6,,
8:38.0,R. Rubio misses 2-pt shot from 3 ft (block by D. Jordan),,7-6,,
8:36.0,,,7-6,,Defensive rebound by P. Pierce
