time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Len (B. Knight gains possession),,,,Jump ball: A. Davis vs. A. Len (B. Knight gains possession)
11:38.0,,,0-0,,P. Tucker misses 2-pt shot from 7 ft
11:34.0,Defensive rebound by A. Davis,,0-0,,
11:20.0,J. Holiday misses 2-pt shot from 5 ft (block by A. Len),,0-0,,
11:17.0,Offensive rebound by O. Asik,,0-0,,
11:16.0,O. Asik misses 2-pt shot at rim,,0-0,,
11:13.0,,,0-0,,Defensive rebound by M. Morris
11:13.0,Personal foul by A. Gee (drawn by B. Knight),,0-0,,
10:58.0,,,0-2,2,P. Tucker makes 2-pt shot from 1 ft
10:31.0,J. Holiday misses 3-pt shot from 24 ft,,0-2,,
10:27.0,,,0-2,,Defensive rebound by P. Tucker
10:23.0,,,0-2,,Turnover by A. Len (lost ball; steal by A. Davis)
10:16.0,Turnover by J. Holiday (lost ball; steal by B. Knight),,0-2,,
10:11.0,,,0-4,2,B. Knight makes 2-pt shot at rim
9:45.0,Offensive charge foul by A. Gee,,0-4,,
9:45.0,Turnover by A. Gee (offensive foul),,0-4,,
9:37.0,,,0-4,,B. Knight misses 2-pt shot from 15 ft
9:35.0,,,0-4,,Offensive rebound by M. Morris
9:32.0,,,0-7,3,B. Knight makes 3-pt shot from 24 ft (assist by M. Morris)
9:25.0,New Orleans full timeout,,0-7,,
9:25.0,I. Smith enters the game for A. Gee,,0-7,,
9:12.0,I. Smith misses 2-pt shot from 17 ft,,0-7,,
9:10.0,,,0-7,,Defensive rebound by A. Len
9:04.0,,,0-9,2,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe)
8:48.0,A. Davis makes 2-pt shot from 11 ft (assist by J. Holiday),2,2-9,,
8:32.0,,,2-11,2,B. Knight makes 2-pt shot from 2 ft (assist by M. Morris)
8:21.0,J. Holiday makes 2-pt shot from 7 ft,2,4-11,,
8:04.0,,,4-11,,E. Bledsoe misses 2-pt shot from 4 ft (block by O. Asik)
8:00.0,Defensive rebound by J. Holiday,,4-11,,
8:00.0,Turnover by A. Davis (lost ball; steal by B. Knight),,4-11,,
7:57.0,Personal foul by E. Gordon (drawn by B. Knight),,4-11,,
7:57.0,,,4-11,,T. Warren enters the game for P. Tucker
7:57.0,,,4-11,,E. Bledsoe misses 2-pt shot from 8 ft
7:56.0,,,4-11,,Offensive rebound by E. Bledsoe
7:53.0,,,4-13,2,E. Bledsoe makes 2-pt shot from 18 ft
7:46.0,New Orleans full timeout,,4-13,,
7:33.0,J. Holiday makes 2-pt shot from 1 ft (assist by I. Smith),2,6-13,,
7:21.0,,,6-16,3,B. Knight makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:17.0,,,6-16,,Personal block foul by E. Bledsoe (drawn by I. Smith)
7:08.0,J. Holiday makes 2-pt shot from 8 ft (assist by I. Smith),2,8-16,,
7:00.0,Personal foul by I. Smith (drawn by E. Bledsoe),,8-16,,
6:57.0,,,8-16,,E. Bledsoe misses 2-pt shot from 21 ft
6:55.0,Defensive rebound by A. Davis,,8-16,,
6:42.0,Shooting foul by A. Len (drawn by O. Asik),,8-16,,
6:42.0,O. Asik misses free throw 1 of 2,,8-16,,
6:42.0,Offensive rebound by Team,,8-16,,
6:42.0,O. Asik misses free throw 2 of 2,,8-16,,
6:41.0,,,8-16,,Defensive rebound by M. Morris
6:27.0,,,8-16,,A. Len misses 2-pt shot from 5 ft (block by A. Davis)
6:26.0,,,8-16,,Offensive rebound by T. Warren
6:26.0,,,8-16,,T. Warren misses 2-pt shot from 3 ft
6:26.0,,,8-16,,Offensive rebound by A. Len
6:25.0,,,8-18,2,A. Len makes 2-pt shot from 1 ft
6:25.0,,,8-18,,Shooting foul by O. Asik (drawn by A. Len)
6:25.0,R. Anderson enters the game for O. Asik,,8-18,,
6:25.0,,,8-18,,A. Len misses free throw 1 of 1
6:24.0,Defensive rebound by A. Davis,,8-18,,
6:05.0,A. Davis makes 2-pt shot from 17 ft,2,10-18,,
5:55.0,,,10-18,,Turnover by E. Bledsoe (bad pass; steal by I. Smith)
5:48.0,E. Gordon misses 3-pt shot from 25 ft,,10-18,,
5:45.0,,,10-18,,Defensive rebound by M. Morris
5:40.0,,,10-20,2,B. Knight makes 2-pt shot from 1 ft
5:26.0,A. Davis makes 2-pt shot from 22 ft (assist by I. Smith),2,12-20,,
5:18.0,,,12-20,,B. Knight misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by A. Davis,,12-20,,
5:07.0,J. Holiday misses 3-pt shot from 25 ft,,12-20,,
5:05.0,,,12-20,,Defensive rebound by B. Knight
4:54.0,Personal foul by J. Holiday (drawn by E. Bledsoe),,12-20,,
4:54.0,,,12-21,1,E. Bledsoe makes free throw 1 of 2
4:54.0,D. Cunningham enters the game for J. Holiday,,12-21,,
4:54.0,,,12-21,,P. Tucker enters the game for A. Len
4:54.0,,,12-22,1,E. Bledsoe makes free throw 2 of 2
4:40.0,R. Anderson makes 2-pt shot from 19 ft,2,14-22,,
4:16.0,,,14-22,,M. Morris misses 2-pt shot from 6 ft (block by A. Davis)
4:13.0,Defensive rebound by I. Smith,,14-22,,
3:57.0,Shooting foul by T. Warren (drawn by D. Cunningham),,14-22,,
3:57.0,D. Cunningham misses free throw 1 of 2,,14-22,,
3:57.0,Offensive rebound by Team,,14-22,,
3:57.0,,,14-22,,D. Booker enters the game for E. Bledsoe
