time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (J. Dudley gains possession)
11:43.0,J. Wall misses 2-pt shot from 17 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Parker
11:26.0,,,0-0,,Turnover by J. Parker (bad pass; steal by O. Porter)
11:03.0,M. Gortat misses 2-pt shot from 15 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by M. Plumlee
10:47.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 6 ft
10:46.0,,,0-0,,Offensive rebound by G. Antetokounmpo
10:37.0,,,0-2,2,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
10:32.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,2-2,,
10:20.0,,,2-2,,K. Middleton misses 2-pt shot from 19 ft (block by B. Beal)
10:20.0,,,2-2,,Offensive rebound by Team
10:11.0,,,2-2,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by J. Wall,,2-2,,
10:03.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,5-2,,
9:44.0,,,5-2,,Shooting foul by M. Gortat (drawn by J. Parker)
9:44.0,,,5-3,1,J. Parker makes free throw 1 of 2
9:44.0,,,5-3,,J. Parker misses free throw 2 of 2
9:43.0,Defensive rebound by J. Dudley,,5-3,,
9:36.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,7-3,,
9:17.0,,,7-3,,J. Parker misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by J. Dudley,,7-3,,
9:13.0,,,7-3,,Personal foul by O. Mayo (drawn by J. Wall)
9:02.0,M. Gortat misses 2-pt shot from 6 ft,,7-3,,
9:00.0,,,7-3,,Defensive rebound by M. Plumlee
8:44.0,,,7-6,3,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by K. Middleton)
8:30.0,J. Wall makes 3-pt shot from 23 ft (assist by B. Beal),3,10-6,,
8:17.0,,,10-6,,G. Antetokounmpo misses 2-pt shot from 5 ft
8:17.0,Defensive rebound by M. Gortat,,10-6,,
8:06.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,12-6,,
8:06.0,Violation by Team (jump ball),,12-6,,
7:53.0,,,12-6,,O. Mayo misses 3-pt shot from 26 ft
7:52.0,,,12-6,,Offensive rebound by M. Plumlee
7:52.0,,,12-6,,Turnover by M. Plumlee (traveling)
7:41.0,O. Porter makes 2-pt shot at rim (assist by J. Dudley),2,14-6,,
7:34.0,,,14-6,,Milwaukee full timeout
7:34.0,,,14-6,,G. Monroe enters the game for M. Plumlee
7:17.0,,,14-6,,Shooting foul by B. Beal (drawn by K. Middleton)
7:17.0,,,14-6,,K. Middleton misses free throw 1 of 2
7:17.0,,,14-6,,Offensive rebound by Team
7:17.0,,,14-7,1,K. Middleton makes free throw 2 of 2
7:04.0,Turnover by J. Wall (bad pass; steal by K. Middleton),,14-7,,
6:58.0,,,14-7,,G. Monroe misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by M. Gortat,,14-7,,
6:55.0,Turnover by M. Gortat (lost ball; steal by G. Monroe),,14-7,,
6:55.0,Jump ball: J. Dudley vs. G. Monroe (G. Antetokounmpo gains possession),,,,Jump ball: J. Dudley vs. G. Monroe (G. Antetokounmpo gains possession)
6:49.0,,,14-9,2,K. Middleton makes 2-pt shot from 17 ft
6:31.0,B. Beal misses 2-pt shot from 17 ft,,14-9,,
6:29.0,,,14-9,,Defensive rebound by G. Antetokounmpo
6:25.0,,,14-9,,G. Antetokounmpo misses 2-pt shot at rim
6:23.0,Defensive rebound by B. Beal,,14-9,,
6:15.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley),2,16-9,,
5:49.0,,,16-9,,G. Monroe misses 2-pt shot from 5 ft
5:48.0,Defensive rebound by J. Wall,,16-9,,
5:37.0,,,16-9,,Personal foul by O. Mayo (drawn by B. Beal)
5:37.0,,,16-9,,M. Carter-Williams enters the game for O. Mayo
5:28.0,Turnover by M. Gortat (offensive foul),,16-9,,
5:28.0,Offensive foul by M. Gortat,,16-9,,
