time,Golden State,pts.away,score,pts.home,Memphis
0:30.0,D. Green makes 3-pt shot from 26 ft,3,31-28,,
0:10.0,,,31-28,,X. Munford misses 2-pt shot from 13 ft
0:07.0,,,31-28,,Offensive rebound by X. Munford
0:07.0,,,31-28,,X. Munford misses 2-pt shot from 8 ft
0:05.0,Defensive rebound by A. Varejao,,31-28,,
0:00.0,L. Barbosa misses 3-pt shot from 22 ft,,31-28,,
0:00.0,Offensive rebound by Team,,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-28,,Shooting foul by H. Barnes (drawn by J. Green)
11:48.0,,,31-29,1,J. Green makes free throw 1 of 2
11:48.0,,,31-30,1,J. Green makes free throw 2 of 2
11:22.0,H. Barnes misses 3-pt shot from 27 ft,,31-30,,
11:21.0,,,31-30,,Defensive rebound by X. Munford
11:09.0,,,31-30,,M. Barnes misses 2-pt shot from 2 ft (block by B. Rush)
11:07.0,Defensive rebound by A. Varejao,,31-30,,
11:00.0,A. Varejao misses 2-pt shot from 18 ft,,31-30,,
10:59.0,,,31-30,,Defensive rebound by C. Andersen
10:41.0,,,31-30,,J. Green misses 2-pt shot from 10 ft
10:38.0,Defensive rebound by A. Varejao,,31-30,,
10:34.0,Turnover by B. Rush (lost ball; steal by J. Green),,31-30,,
10:31.0,,,31-30,,Shooting foul by B. Rush (drawn by J. Green)
10:31.0,,,31-31,1,J. Green makes free throw 1 of 2
10:31.0,,,31-31,,V. Carter enters the game for M. Barnes
10:31.0,,,31-31,,J. Green misses free throw 2 of 2
10:30.0,Defensive rebound by A. Varejao,,31-31,,
10:09.0,H. Barnes makes 2-pt shot from 4 ft,2,33-31,,
9:51.0,Personal foul by H. Barnes,,33-31,,
9:51.0,,,33-31,,J. Martin enters the game for J. Green
9:51.0,M. Speights enters the game for A. Varejao,,33-31,,
9:45.0,,,33-31,,P. Hairston misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by S. Livingston,,33-31,,
9:23.0,L. Barbosa misses 2-pt shot from 8 ft,,33-31,,
9:21.0,,,33-31,,Defensive rebound by P. Hairston
9:03.0,,,33-31,,J. Martin misses 2-pt shot from 5 ft (block by S. Livingston)
9:02.0,Defensive rebound by S. Livingston,,33-31,,
8:51.0,M. Speights misses 2-pt shot from 15 ft,,33-31,,
8:49.0,,,33-31,,Defensive rebound by P. Hairston
8:39.0,,,33-31,,Shooting foul by B. Rush (drawn by V. Carter)
8:39.0,,,33-31,,Memphis full timeout
8:39.0,,,33-31,,L. Stephenson enters the game for P. Hairston
8:39.0,I. Clark enters the game for L. Barbosa,,33-31,,
8:39.0,,,33-32,1,V. Carter makes free throw 1 of 2
8:39.0,,,33-33,1,V. Carter makes free throw 2 of 2
8:28.0,H. Barnes makes 2-pt shot from 19 ft (assist by S. Livingston),2,35-33,,
8:04.0,,,35-35,2,C. Andersen makes 2-pt shot from 2 ft (assist by V. Carter)
7:50.0,H. Barnes misses 2-pt shot from 9 ft,,35-35,,
7:48.0,,,35-35,,Defensive rebound by V. Carter
7:36.0,,,35-35,,J. Martin misses 2-pt shot from 1 ft
7:35.0,,,35-35,,Offensive rebound by C. Andersen
7:32.0,,,35-38,3,V. Carter makes 3-pt shot from 24 ft (assist by C. Andersen)
7:19.0,M. Speights makes 2-pt shot from 19 ft (assist by I. Clark),2,37-38,,
6:52.0,,,37-38,,V. Carter misses 2-pt shot from 23 ft
6:50.0,Defensive rebound by M. Speights,,37-38,,
6:42.0,Shooting foul by J. Martin (drawn by M. Speights),,37-38,,
6:42.0,M. Speights makes free throw 1 of 2,1,38-38,,
6:42.0,K. Thompson enters the game for B. Rush,,38-38,,
