time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. Z. Pachulia (Q. Acy gains possession),,,,Jump ball: D. Cousins vs. Z. Pachulia (Q. Acy gains possession)
11:45.0,R. Gay misses 2-pt shot from 14 ft,,0-0,,
11:44.0,Offensive rebound by Q. Acy,,0-0,,
11:35.0,D. Cousins misses 2-pt shot from 18 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by W. Matthews
11:19.0,,,0-0,,Z. Pachulia misses 2-pt shot from 15 ft
11:18.0,Defensive rebound by D. Cousins,,0-0,,
11:08.0,Turnover by D. Collison (bad pass; steal by W. Matthews),,0-0,,
11:03.0,,,0-0,,C. Parsons misses 2-pt shot from 15 ft
11:03.0,Defensive rebound by D. Cousins,,0-0,,
11:03.0,,,0-0,,Loose ball foul by Z. Pachulia (drawn by D. Cousins)
10:50.0,B. McLemore misses 2-pt shot from 22 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by Z. Pachulia
10:27.0,,,0-0,,Z. Pachulia misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by Q. Acy,,0-0,,
10:16.0,Turnover by D. Cousins (lost ball; steal by D. Williams),,0-0,,
10:12.0,,,0-2,2,D. Williams makes 2-pt shot from 1 ft (assist by C. Parsons)
9:53.0,D. Collison misses 2-pt shot from 16 ft,,0-2,,
9:52.0,,,0-2,,Defensive rebound by Z. Pachulia
9:50.0,,,0-2,,Turnover by D. Williams (lost ball; steal by D. Collison)
9:45.0,Turnover by D. Collison (bad pass; steal by D. Williams),,0-2,,
9:37.0,,,0-2,,D. Nowitzki misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by D. Collison,,0-2,,
9:30.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison),3,3-2,,
9:11.0,,,3-2,,Turnover by Z. Pachulia (lost ball; steal by D. Cousins)
9:08.0,Q. Acy makes 2-pt shot at rim (assist by B. McLemore),2,5-2,,
8:53.0,,,5-2,,Turnover by D. Williams (bad pass; steal by D. Cousins)
8:50.0,D. Cousins misses 2-pt shot from 1 ft,,5-2,,
8:49.0,,,5-2,,Defensive rebound by Z. Pachulia
8:36.0,,,5-2,,Turnover by D. Nowitzki (bad pass; steal by B. McLemore)
8:33.0,B. McLemore makes 2-pt shot at rim,2,7-2,,
8:31.0,,,7-2,,Dallas full timeout
8:16.0,,,7-2,,Shooting foul by Q. Acy (drawn by D. Nowitzki)
8:16.0,,,7-3,1,D. Nowitzki makes free throw 1 of 2
8:16.0,,,7-4,1,D. Nowitzki makes free throw 2 of 2
7:53.0,R. Gay makes 2-pt shot from 6 ft (assist by D. Cousins),2,9-4,,
7:41.0,,,9-4,,Z. Pachulia misses 2-pt shot from 3 ft
7:39.0,,,9-4,,Offensive rebound by Z. Pachulia
7:39.0,,,9-6,2,Z. Pachulia makes 2-pt shot at rim
7:28.0,D. Cousins makes 2-pt shot from 19 ft,2,11-6,,
7:11.0,,,11-6,,Dallas full timeout
7:02.0,,,11-8,2,D. Williams makes 2-pt shot from 3 ft
6:37.0,D. Collison misses 3-pt shot from 22 ft,,11-8,,
6:36.0,Offensive rebound by Q. Acy,,11-8,,
6:32.0,Turnover by D. Cousins (lost ball; steal by Z. Pachulia),,11-8,,
6:29.0,Violation by Q. Acy (def goaltending),,11-8,,
6:29.0,,,11-10,2,C. Parsons makes 2-pt shot from 1 ft
6:14.0,D. Cousins misses 2-pt shot at rim,,11-10,,
6:13.0,,,11-10,,Defensive rebound by D. Williams
5:58.0,,,11-12,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by W. Matthews)
5:51.0,Turnover by D. Collison (lost ball),,11-12,,
5:47.0,,,11-12,,C. Parsons misses 2-pt shot from 2 ft
5:46.0,,,11-12,,Offensive rebound by Z. Pachulia
5:46.0,,,11-12,,Z. Pachulia misses 2-pt shot from 1 ft
5:45.0,,,11-12,,Offensive rebound by Z. Pachulia
5:45.0,,,11-14,2,Z. Pachulia makes 2-pt shot from 1 ft
5:21.0,Q. Acy makes 3-pt shot from 22 ft (assist by D. Cousins),3,14-14,,
5:03.0,,,14-14,,C. Parsons misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by D. Collison,,14-14,,
5:00.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,16-14,,
4:34.0,Personal block foul by B. McLemore (drawn by W. Matthews),,16-14,,
