time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. T. Thompson (L. James gains possession),,,,Jump ball: F. Ezeli vs. T. Thompson (L. James gains possession)
11:39.0,J. Smith misses 2-pt shot from 5 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by S. Curry
11:18.0,,,0-0,,F. Ezeli misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by L. James,,0-0,,
11:05.0,T. Thompson makes 2-pt shot from 3 ft (assist by K. Irving),2,2-0,,
10:44.0,,,2-0,,F. Ezeli misses 2-pt shot at rim (block by T. Thompson)
10:43.0,Defensive rebound by L. James,,2-0,,
10:37.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,4-0,,
10:24.0,,,4-0,,S. Curry misses 3-pt shot from 25 ft
10:24.0,,,4-0,,Offensive rebound by K. Thompson
10:13.0,,,4-2,2,D. Green makes 2-pt shot at rim (assist by F. Ezeli)
9:47.0,J. Smith misses 3-pt shot from 25 ft,,4-2,,
9:47.0,,,4-2,,Defensive rebound by H. Barnes
9:42.0,Personal foul by T. Thompson,,4-2,,
9:38.0,,,4-5,3,H. Barnes makes 3-pt shot from 27 ft (assist by D. Green)
9:20.0,L. James misses 2-pt shot from 13 ft,,4-5,,
9:19.0,,,4-5,,Defensive rebound by S. Curry
9:06.0,,,4-8,3,D. Green makes 3-pt shot from 26 ft (assist by H. Barnes)
8:51.0,K. Irving misses 2-pt shot from 11 ft,,4-8,,
8:50.0,,,4-8,,Defensive rebound by F. Ezeli
8:43.0,,,4-8,,K. Thompson misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by K. Love,,4-8,,
8:32.0,K. Love misses 3-pt shot from 24 ft,,4-8,,
8:31.0,,,4-8,,Defensive rebound by Team
8:14.0,,,4-8,,F. Ezeli misses 2-pt shot from 1 ft (block by T. Thompson)
8:13.0,Defensive rebound by T. Thompson,,4-8,,
8:03.0,K. Love misses 2-pt shot from 3 ft,,4-8,,
8:03.0,Offensive rebound by K. Love,,4-8,,
8:03.0,K. Love misses 2-pt shot from 3 ft,,4-8,,
8:00.0,Offensive rebound by K. Love,,4-8,,
7:58.0,K. Love makes 2-pt shot from 1 ft,2,6-8,,
7:41.0,,,6-8,,H. Barnes misses 2-pt shot from 9 ft
7:41.0,Defensive rebound by L. James,,6-8,,
7:34.0,Turnover by L. James (bad pass),,6-8,,
7:21.0,,,6-8,,K. Thompson misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by T. Thompson,,6-8,,
7:07.0,K. Irving makes 2-pt shot from 13 ft,2,8-8,,
6:58.0,,,8-8,,Golden State full timeout
6:58.0,,,8-8,,A. Iguodala enters the game for F. Ezeli
6:42.0,,,8-11,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
6:16.0,K. Irving misses 2-pt shot from 17 ft,,8-11,,
6:14.0,Offensive rebound by Team,,8-11,,
6:04.0,J. Smith makes 2-pt shot from 2 ft,2,10-11,,
5:53.0,,,10-11,,H. Barnes misses 3-pt shot from 24 ft
