time,Philadelphia,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Noel (N. Cole gains possession),,,,Jump ball: A. Davis vs. N. Noel (N. Cole gains possession)
11:46.0,,,0-0,,Shooting foul by J. Okafor (drawn by A. Davis)
11:46.0,,,0-1,1,A. Davis makes free throw 1 of 2
11:46.0,,,0-1,,A. Davis misses free throw 2 of 2
11:45.0,Defensive rebound by J. Okafor,,0-1,,
11:36.0,R. Covington misses 3-pt shot from 26 ft,,0-1,,
11:35.0,,,0-1,,Defensive rebound by B. Dejean-Jones
11:29.0,,,0-1,,B. Dejean-Jones misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by N. Noel,,0-1,,
11:25.0,Turnover by N. Noel (bad pass),,0-1,,
11:14.0,,,0-1,,Offensive foul by O. Asik
11:14.0,,,0-1,,Turnover by O. Asik (offensive foul)
10:49.0,J. Okafor misses 2-pt shot from 7 ft,,0-1,,
10:48.0,,,0-1,,Defensive rebound by A. Davis
10:39.0,,,0-3,2,N. Cole makes 2-pt shot from 21 ft
10:23.0,R. Covington makes 2-pt shot from 2 ft (assist by N. Noel),2,2-3,,
10:23.0,Shooting foul by D. Cunningham (drawn by R. Covington),,2-3,,
10:23.0,R. Covington makes free throw 1 of 1,1,3-3,,
10:15.0,,,3-3,,A. Davis misses 2-pt shot from 9 ft
10:14.0,Defensive rebound by N. Noel,,3-3,,
10:02.0,Turnover by N. Noel (lost ball; steal by O. Asik),,3-3,,
9:57.0,,,3-5,2,O. Asik makes 2-pt shot at rim (assist by B. Dejean-Jones)
9:41.0,N. Stauskas makes 2-pt shot at rim (assist by N. Noel),2,5-5,,
9:32.0,,,5-5,,Shooting foul by J. Okafor (drawn by A. Davis)
9:32.0,,,5-6,1,A. Davis makes free throw 1 of 2
9:32.0,,,5-6,,A. Davis misses free throw 2 of 2
9:31.0,,,5-6,,Offensive rebound by O. Asik
9:31.0,,,5-8,2,O. Asik makes 2-pt shot at rim
9:20.0,J. Okafor misses 2-pt shot from 8 ft,,5-8,,
9:19.0,,,5-8,,Defensive rebound by O. Asik
9:14.0,,,5-8,,Turnover by B. Dejean-Jones (bad pass)
8:59.0,,,5-8,,Personal block foul by N. Cole
8:47.0,R. Covington misses 3-pt shot from 27 ft,,5-8,,
8:46.0,,,5-8,,Defensive rebound by O. Asik
8:35.0,,,5-8,,B. Dejean-Jones misses 2-pt shot at rim
8:34.0,,,5-8,,Offensive rebound by O. Asik
8:31.0,,,5-8,,O. Asik misses 2-pt shot at rim (block by J. Okafor)
8:29.0,Defensive rebound by N. Noel,,5-8,,
8:20.0,J. Okafor misses 2-pt shot from 10 ft (block by A. Davis),,5-8,,
8:19.0,,,5-8,,Defensive rebound by O. Asik
8:13.0,,,5-10,2,N. Cole makes 2-pt shot from 1 ft
7:58.0,N. Noel misses 2-pt shot from 7 ft,,5-10,,
7:56.0,,,5-10,,Defensive rebound by O. Asik
7:52.0,,,5-10,,N. Cole misses 2-pt shot from 13 ft
7:46.0,Defensive rebound by R. Covington,,5-10,,
7:41.0,,,5-10,,T. Douglas enters the game for N. Cole
7:29.0,I. Smith misses 2-pt shot from 6 ft,,5-10,,
7:28.0,Offensive rebound by N. Noel,,5-10,,
7:28.0,N. Noel makes 2-pt shot at rim,2,7-10,,
7:12.0,,,7-10,,Turnover by B. Dejean-Jones (lost ball; steal by N. Stauskas)
7:02.0,N. Stauskas makes 3-pt shot from 24 ft (assist by R. Covington),3,10-10,,
6:41.0,,,10-10,,A. Davis misses 2-pt shot from 8 ft
6:40.0,,,10-10,,Offensive rebound by D. Cunningham
6:36.0,,,10-10,,B. Dejean-Jones misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by J. Okafor,,10-10,,
6:25.0,Offensive charge foul by J. Okafor,,10-10,,
6:25.0,Turnover by J. Okafor (offensive foul),,10-10,,
6:25.0,J. Grant enters the game for J. Okafor,,10-10,,
6:25.0,,,10-10,,J. Holiday enters the game for B. Dejean-Jones
6:12.0,,,10-10,,Shooting foul by J. Grant (drawn by A. Davis)
6:12.0,,,10-11,1,A. Davis makes free throw 1 of 2
6:12.0,,,10-12,1,A. Davis makes free throw 2 of 2
6:12.0,Philadelphia full timeout,,10-12,,
5:58.0,Turnover by N. Stauskas (lost ball; steal by J. Holiday),,10-12,,
5:56.0,,,10-14,2,J. Holiday makes 2-pt shot at rim
5:39.0,J. Grant misses 2-pt shot from 18 ft,,10-14,,
5:37.0,,,10-14,,Defensive rebound by O. Asik
5:15.0,,,10-14,,J. Holiday misses 2-pt shot from 12 ft
5:14.0,Defensive rebound by R. Covington,,10-14,,
5:06.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,13-14,,
4:50.0,,,13-14,,Shooting foul by R. Covington (drawn by A. Davis)
4:50.0,,,13-15,1,A. Davis makes free throw 1 of 2
4:50.0,H. Thompson enters the game for N. Stauskas,,13-15,,
4:50.0,,,13-16,1,A. Davis makes free throw 2 of 2
4:40.0,R. Covington misses 3-pt shot from 25 ft,,13-16,,
4:39.0,,,13-16,,Defensive rebound by A. Davis
4:35.0,Personal foul by H. Thompson,,13-16,,
4:35.0,,,13-17,1,J. Holiday makes free throw 1 of 2
4:35.0,,,13-17,,R. Anderson enters the game for O. Asik
4:35.0,,,13-18,1,J. Holiday makes free throw 2 of 2
4:16.0,Shooting foul by R. Anderson (drawn by J. Grant),,13-18,,
4:16.0,J. Grant makes free throw 1 of 2,1,14-18,,
4:16.0,I. Canaan enters the game for R. Covington,,14-18,,
4:16.0,J. Grant makes free throw 2 of 2,1,15-18,,
4:02.0,,,15-18,,Shooting foul by J. Grant (drawn by A. Davis)
4:02.0,,,15-19,1,A. Davis makes free throw 1 of 1
4:02.0,,,15-21,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:48.0,T. McConnell enters the game for J. Grant,,15-21,,
3:45.0,N. Noel makes 2-pt shot from 5 ft,2,17-21,,
3:29.0,,,17-23,2,J. Holiday makes 2-pt shot from 2 ft
3:23.0,,,17-23,,Personal foul by T. Douglas
3:12.0,T. McConnell makes 2-pt shot from 9 ft,2,19-23,,
2:53.0,,,19-23,,R. Anderson misses 2-pt shot from 18 ft
2:52.0,Defensive rebound by T. McConnell,,19-23,,
2:42.0,N. Noel makes 2-pt shot from 11 ft,2,21-23,,
2:34.0,,,21-25,2,A. Davis makes 2-pt shot from 9 ft
2:34.0,,,21-25,,Shooting foul by H. Thompson (drawn by A. Davis)
2:34.0,,,21-25,,New Orleans full timeout
2:34.0,,,21-25,,A. Gee enters the game for D. Cunningham
2:34.0,R. Holmes enters the game for N. Noel,,21-25,,
2:34.0,J. Grant enters the game for I. Smith,,21-25,,
2:34.0,,,21-26,1,A. Davis makes free throw 1 of 1
2:17.0,T. McConnell misses 2-pt shot from 7 ft (block by T. Douglas),,21-26,,
2:16.0,,,21-26,,Defensive rebound by A. Gee
2:11.0,,,21-28,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:47.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. McConnell),3,24-28,,
1:28.0,,,24-30,2,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis)
1:09.0,I. Canaan misses 2-pt shot at rim (block by A. Davis),,24-30,,
1:08.0,,,24-30,,Defensive rebound by A. Davis
1:03.0,,,24-32,2,A. Davis makes 2-pt shot from 13 ft
0:49.0,Turnover by J. Grant (lost ball; steal by T. Douglas),,24-32,,
0:45.0,,,24-34,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Douglas)
0:27.0,J. Grant makes 2-pt shot from 4 ft,2,26-34,,
0:14.0,,,26-37,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
0:00.0,R. Holmes misses 3-pt shot from 24 ft,,26-37,,
0:00.0,Offensive rebound by Team,,26-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,H. Thompson makes 2-pt shot from 1 ft (assist by C. Landry),2,28-37,,
11:17.0,,,28-40,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Gee)
11:06.0,,,28-40,,Personal foul by N. Cole
11:06.0,N. Noel enters the game for J. Grant,,28-40,,
10:58.0,,,28-40,,Def 3 sec tech foul by A. Ajinca
10:58.0,I. Canaan makes technical free throw,1,29-40,,
10:58.0,,,29-40,,J. Holiday enters the game for T. Douglas
10:53.0,Turnover by T. McConnell (lost ball; steal by A. Gee),,29-40,,
10:45.0,,,29-40,,R. Anderson misses 2-pt shot from 21 ft
10:44.0,Defensive rebound by Team,,29-40,,
10:36.0,,,29-40,,Personal foul by A. Gee
10:26.0,C. Landry misses 2-pt shot from 17 ft,,29-40,,
10:24.0,,,29-40,,Defensive rebound by R. Anderson
10:17.0,,,29-43,3,J. Holiday makes 3-pt shot from 25 ft
10:10.0,Philadelphia full timeout,,29-43,,
9:57.0,N. Noel misses 2-pt shot from 11 ft,,29-43,,
9:56.0,Offensive rebound by C. Landry,,29-43,,
9:52.0,Turnover by C. Landry (lost ball; steal by A. Gee),,29-43,,
9:47.0,,,29-43,,A. Gee misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by I. Canaan,,29-43,,
9:27.0,Turnover by T. McConnell (lost ball; steal by J. Holiday),,29-43,,
9:23.0,,,29-45,2,A. Gee makes 2-pt shot at rim (assist by J. Holiday)
9:04.0,,,29-45,,Personal foul by A. Gee
9:04.0,I. Smith enters the game for T. McConnell,,29-45,,
9:04.0,,,29-45,,D. Cunningham enters the game for A. Gee
8:53.0,Turnover by N. Noel (bad pass),,29-45,,
8:53.0,Official timeout,,29-45,,
8:52.0,,,29-45,,Turnover by N. Cole (traveling)
8:41.0,I. Canaan makes 3-pt shot from 23 ft (assist by C. Landry),3,32-45,,
8:18.0,,,32-47,2,R. Anderson makes 2-pt shot from 8 ft (assist by J. Holiday)
8:00.0,,,32-47,,Personal foul by R. Anderson
7:50.0,Turnover by H. Thompson (lost ball; steal by R. Anderson),,32-47,,
7:41.0,,,32-47,,J. Holiday misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by H. Thompson,,32-47,,
7:25.0,Turnover by I. Canaan (traveling),,32-47,,
7:25.0,R. Covington enters the game for H. Thompson,,32-47,,
7:25.0,N. Stauskas enters the game for I. Canaan,,32-47,,
7:17.0,,,32-47,,Shooting foul by N. Stauskas (drawn by R. Anderson)
7:17.0,,,32-48,1,R. Anderson makes free throw 1 of 2
7:17.0,,,32-48,,A. Davis enters the game for A. Ajinca
7:17.0,,,32-48,,B. Dejean-Jones enters the game for J. Holiday
7:17.0,,,32-49,1,R. Anderson makes free throw 2 of 2
7:01.0,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith),3,35-49,,
6:41.0,,,35-51,2,R. Anderson makes 2-pt shot from 2 ft (assist by N. Cole)
6:32.0,I. Smith makes 2-pt shot from 4 ft,2,37-51,,
6:25.0,,,37-51,,N. Cole misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by R. Covington,,37-51,,
6:18.0,I. Smith makes 2-pt shot from 1 ft,2,39-51,,
6:09.0,,,39-51,,New Orleans full timeout
6:00.0,,,39-51,,A. Davis misses 2-pt shot from 7 ft (block by N. Noel)
6:00.0,,,39-51,,Offensive rebound by A. Davis
6:00.0,Personal foul by R. Covington,,39-51,,
6:00.0,J. Grant enters the game for C. Landry,,39-51,,
5:49.0,,,39-51,,A. Davis misses 2-pt shot from 20 ft
5:48.0,Defensive rebound by Team,,39-51,,
5:33.0,N. Stauskas misses 3-pt shot from 24 ft,,39-51,,
5:32.0,,,39-51,,Defensive rebound by N. Cole
5:25.0,,,39-51,,Turnover by B. Dejean-Jones (lost ball; steal by R. Covington)
5:21.0,Turnover by R. Covington (traveling),,39-51,,
5:12.0,,,39-51,,Turnover by N. Cole (lost ball; steal by N. Noel)
5:09.0,N. Noel makes 2-pt shot at rim,2,41-51,,
4:57.0,,,41-53,2,N. Cole makes 2-pt shot from 1 ft
4:44.0,Shooting foul by B. Dejean-Jones (drawn by J. Grant),,41-53,,
4:44.0,J. Grant makes free throw 1 of 2,1,42-53,,
4:44.0,J. Grant makes free throw 2 of 2,1,43-53,,
4:28.0,,,43-55,2,N. Cole makes 2-pt shot from 12 ft
4:17.0,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith),2,45-55,,
