time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (K. Humphries gains possession)
11:47.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,2-0,,
11:32.0,,,2-0,,J. Crowder misses 2-pt shot from 3 ft
11:31.0,,,2-0,,Offensive rebound by A. Johnson
11:31.0,,,2-2,2,A. Johnson makes 2-pt shot at rim
11:05.0,O. Porter misses 3-pt shot from 25 ft,,2-2,,
11:04.0,Offensive rebound by K. Humphries,,2-2,,
10:56.0,J. Wall makes 2-pt shot at rim,2,4-2,,
10:39.0,,,4-2,,A. Bradley misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by M. Gortat,,4-2,,
10:32.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,6-2,,
10:32.0,,,6-2,,Boston full timeout
10:19.0,,,6-2,,Shooting foul by K. Humphries (drawn by A. Johnson)
10:19.0,,,6-3,1,A. Johnson makes free throw 1 of 2
10:19.0,,,6-3,,A. Johnson misses free throw 2 of 2
10:19.0,Defensive rebound by K. Humphries,,6-3,,
10:02.0,Turnover by B. Beal (lost ball; steal by I. Thomas),,6-3,,
9:57.0,,,6-3,,I. Thomas misses 2-pt shot from 1 ft (block by J. Wall)
9:56.0,Defensive rebound by B. Beal,,6-3,,
9:49.0,O. Porter makes 2-pt shot from 17 ft (assist by B. Beal),2,8-3,,
9:37.0,,,8-5,2,J. Crowder makes 2-pt shot from 1 ft
9:29.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,10-5,,
9:21.0,Personal foul by J. Wall (drawn by I. Thomas),,10-5,,
9:15.0,,,10-7,2,J. Sullinger makes 2-pt shot from 22 ft (assist by I. Thomas)
8:56.0,,,10-7,,Personal foul by A. Johnson (drawn by K. Humphries)
8:47.0,O. Porter misses 2-pt shot from 2 ft (block by J. Crowder),,10-7,,
8:45.0,,,10-7,,Defensive rebound by A. Johnson
8:35.0,,,10-9,2,J. Sullinger makes 2-pt shot from 1 ft
8:11.0,J. Wall misses 3-pt shot from 27 ft,,10-9,,
8:11.0,,,10-9,,Defensive rebound by J. Sullinger
8:05.0,,,10-11,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
7:59.0,K. Humphries misses 3-pt shot from 23 ft,,10-11,,
7:58.0,,,10-11,,Defensive rebound by I. Thomas
7:45.0,,,10-11,,I. Thomas misses 2-pt shot from 4 ft
7:44.0,Defensive rebound by K. Humphries,,10-11,,
7:36.0,J. Wall misses 3-pt shot from 24 ft,,10-11,,
7:35.0,,,10-11,,Defensive rebound by J. Crowder
7:22.0,,,10-11,,A. Johnson misses 3-pt shot from 25 ft
7:21.0,,,10-11,,Offensive rebound by J. Sullinger
7:15.0,,,10-13,2,J. Sullinger makes 2-pt shot from 13 ft
7:06.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,12-13,,
6:46.0,,,12-13,,Turnover by J. Sullinger (lost ball)
6:37.0,B. Beal misses 2-pt shot from 18 ft,,12-13,,
6:37.0,,,12-13,,Defensive rebound by J. Crowder
6:26.0,,,12-13,,J. Crowder misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by M. Gortat,,12-13,,
6:16.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,14-13,,
6:16.0,Shooting foul by A. Johnson (drawn by M. Gortat),,14-13,,
6:16.0,M. Gortat misses free throw 1 of 1,,14-13,,
6:15.0,,,14-13,,Defensive rebound by A. Johnson
5:55.0,,,14-15,2,J. Sullinger makes 2-pt shot from 22 ft (assist by I. Thomas)
5:47.0,Turnover by J. Wall (lost ball; steal by J. Sullinger),,14-15,,
5:44.0,,,14-15,,Shooting foul by B. Beal (drawn by I. Thomas)
5:44.0,,,14-16,1,I. Thomas makes free throw 1 of 2
5:44.0,,,14-16,,K. Olynyk enters the game for A. Johnson
5:44.0,,,14-16,,I. Thomas misses free throw 2 of 2
5:43.0,Defensive rebound by M. Gortat,,14-16,,
5:33.0,Turnover by J. Wall (bad pass; steal by K. Olynyk),,14-16,,
5:27.0,,,14-16,,Turnover by I. Thomas (bad pass; steal by O. Porter)
5:24.0,Offensive charge foul by J. Wall,,14-16,,
5:24.0,Turnover by J. Wall (offensive foul),,14-16,,
5:24.0,J. Dudley enters the game for K. Humphries,,14-16,,
5:24.0,R. Sessions enters the game for J. Wall,,14-16,,
5:07.0,,,14-16,,A. Bradley misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by J. Dudley,,14-16,,
4:51.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley),2,16-16,,
4:40.0,,,16-19,3,J. Sullinger makes 3-pt shot from 26 ft (assist by I. Thomas)
4:25.0,Turnover by O. Porter (bad pass; steal by J. Crowder),,16-19,,
4:21.0,,,16-21,2,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger)
4:11.0,Washington full timeout,,16-21,,
4:11.0,,,16-21,,E. Turner enters the game for A. Bradley
4:03.0,Turnover by J. Dudley (bad pass; steal by I. Thomas),,16-21,,
3:59.0,,,16-23,2,I. Thomas makes 2-pt shot at rim
3:47.0,,,16-23,,Violation by E. Turner (kicked ball)
3:47.0,N. Hilario enters the game for M. Gortat,,16-23,,
3:32.0,R. Sessions misses 2-pt shot from 17 ft,,16-23,,
3:30.0,,,16-23,,Defensive rebound by J. Sullinger
3:12.0,,,16-25,2,E. Turner makes 2-pt shot from 9 ft
2:56.0,J. Dudley makes 2-pt shot from 19 ft (assist by O. Porter),2,18-25,,
2:39.0,,,18-25,,J. Sullinger misses 3-pt shot from 24 ft
2:38.0,,,18-25,,Offensive rebound by K. Olynyk
2:37.0,,,18-27,2,K. Olynyk makes 2-pt shot from 1 ft
2:37.0,,,18-27,,Shooting foul by O. Porter (drawn by K. Olynyk)
2:37.0,,,18-27,,J. Jerebko enters the game for J. Sullinger
2:37.0,G. Neal enters the game for O. Porter,,18-27,,
2:37.0,,,18-27,,K. Olynyk misses free throw 1 of 1
2:37.0,Defensive rebound by N. Hilario,,18-27,,
2:23.0,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions),2,20-27,,
2:13.0,,,20-29,2,I. Thomas makes 2-pt shot from 1 ft
2:05.0,R. Sessions misses 2-pt shot from 1 ft,,20-29,,
2:04.0,,,20-29,,Defensive rebound by J. Jerebko
1:55.0,,,20-31,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Olynyk)
1:48.0,G. Neal misses 3-pt shot from 23 ft,,20-31,,
1:47.0,,,20-31,,Defensive rebound by E. Turner
1:41.0,,,20-33,2,E. Turner makes 2-pt shot from 13 ft
1:23.0,Turnover by N. Hilario (bad pass; steal by E. Turner),,20-33,,
1:17.0,,,20-36,3,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:01.0,R. Sessions misses 2-pt shot from 1 ft,,20-36,,
1:00.0,,,20-36,,Defensive rebound by J. Jerebko
0:54.0,,,20-38,2,I. Thomas makes 2-pt shot from 1 ft
0:42.0,B. Beal makes 2-pt shot from 18 ft,2,22-38,,
0:36.0,,,22-38,,I. Thomas misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Dudley,,22-38,,
0:27.0,Shooting foul by J. Jerebko (drawn by N. Hilario),,22-38,,
0:27.0,N. Hilario misses free throw 1 of 2,,22-38,,
0:27.0,Offensive rebound by Team,,22-38,,
0:27.0,G. Temple enters the game for B. Beal,,22-38,,
0:27.0,,,22-38,,D. Lee enters the game for J. Crowder
0:27.0,N. Hilario makes free throw 2 of 2,1,23-38,,
0:10.0,Personal foul by R. Sessions (drawn by I. Thomas),,23-38,,
0:10.0,,,23-39,1,I. Thomas makes free throw 1 of 2
0:10.0,,,23-39,,T. Rozier enters the game for K. Olynyk
0:10.0,,,23-40,1,I. Thomas makes free throw 2 of 2
0:03.0,Shooting foul by E. Turner (drawn by N. Hilario),,23-40,,
0:03.0,N. Hilario makes free throw 1 of 2,1,24-40,,
0:03.0,,,24-40,,K. Olynyk enters the game for J. Jerebko
0:03.0,N. Hilario makes free throw 2 of 2,1,25-40,,
0:02.0,,,25-40,,Turnover by K. Olynyk (bad pass; steal by R. Sessions)
0:00.0,R. Sessions misses 2-pt shot from 16 ft,,25-40,,
0:00.0,Offensive rebound by Team,,25-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,25-40,,Offensive charge foul by D. Lee
11:39.0,,,25-40,,Turnover by D. Lee (offensive foul)
11:25.0,Turnover by N. Hilario (traveling),,25-40,,
11:08.0,,,25-42,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
10:50.0,R. Sessions misses 2-pt shot from 18 ft,,25-42,,
10:48.0,Offensive rebound by N. Hilario,,25-42,,
10:48.0,N. Hilario misses 2-pt shot at rim,,25-42,,
10:47.0,,,25-42,,Defensive rebound by J. Jerebko
10:47.0,Personal foul by N. Hilario (drawn by D. Lee),,25-42,,
10:47.0,J. Wall enters the game for R. Sessions,,25-42,,
10:26.0,,,25-42,,J. Jerebko misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by J. Wall,,25-42,,
10:15.0,Turnover by G. Temple (lost ball; steal by D. Lee),,25-42,,
10:06.0,,,25-45,3,E. Turner makes 3-pt shot from 25 ft (assist by K. Olynyk)
9:39.0,J. Wall makes 2-pt shot from 1 ft,2,27-45,,
9:20.0,,,27-47,2,D. Lee makes 2-pt shot at rim (assist by T. Rozier)
9:12.0,J. Dudley misses 3-pt shot from 24 ft,,27-47,,
9:11.0,,,27-47,,Defensive rebound by D. Lee
8:56.0,,,27-50,3,E. Turner makes 3-pt shot from 23 ft
8:55.0,Washington full timeout,,27-50,,
8:55.0,K. Oubre enters the game for G. Temple,,27-50,,
8:46.0,J. Wall misses 2-pt shot from 19 ft,,27-50,,
8:45.0,,,27-50,,Defensive rebound by E. Turner
8:34.0,,,27-52,2,E. Turner makes 2-pt shot from 14 ft
8:28.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall),2,29-52,,
8:03.0,,,29-52,,E. Turner misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by N. Hilario,,29-52,,
7:59.0,,,29-52,,Personal foul by E. Turner (drawn by G. Neal)
7:59.0,M. Gortat enters the game for N. Hilario,,29-52,,
7:44.0,J. Dudley misses 3-pt shot from 22 ft,,29-52,,
