time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession)
11:41.0,,,0-2,2,A. Drummond makes 2-pt shot from 6 ft
11:19.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,2-2,,
11:04.0,,,2-2,,K. Caldwell-Pope misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by L. James,,2-2,,
10:54.0,J. Smith misses 3-pt shot from 25 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by M. Morris
10:34.0,,,2-2,,T. Harris misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by K. Love,,2-2,,
10:23.0,Turnover by K. Love (lost ball; steal by K. Caldwell-Pope),,2-2,,
10:15.0,,,2-2,,Shooting foul by J. Smith (drawn by R. Jackson)
10:15.0,,,2-3,1,R. Jackson makes free throw 1 of 2
10:15.0,,,2-4,1,R. Jackson makes free throw 2 of 2
9:56.0,J. Smith misses 3-pt shot from 25 ft,,2-4,,
9:55.0,,,2-4,,Defensive rebound by R. Jackson
9:42.0,,,2-4,,M. Morris misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by T. Thompson,,2-4,,
9:16.0,J. Smith misses 2-pt shot from 19 ft,,2-4,,
9:16.0,,,2-4,,Defensive rebound by Team
9:00.0,,,2-4,,A. Drummond misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by K. Love,,2-4,,
8:53.0,,,2-4,,Personal foul by R. Jackson
8:37.0,K. Love makes 2-pt shot from 11 ft (assist by J. Smith),2,4-4,,
8:22.0,,,4-6,2,A. Drummond makes 2-pt shot from 1 ft (assist by T. Harris)
8:03.0,K. Irving makes 2-pt shot at rim,2,6-6,,
7:37.0,,,6-6,,K. Caldwell-Pope misses 2-pt shot from 6 ft (block by T. Thompson)
7:36.0,Defensive rebound by T. Thompson,,6-6,,
7:31.0,K. Irving makes 2-pt shot from 16 ft (assist by L. James),2,8-6,,
7:15.0,,,8-6,,Shooting foul by T. Thompson (drawn by M. Morris)
7:15.0,,,8-7,1,M. Morris makes free throw 1 of 2
7:15.0,,,8-8,1,M. Morris makes free throw 2 of 2
7:00.0,L. James misses 2-pt shot from 15 ft,,8-8,,
6:59.0,Offensive rebound by K. Love,,8-8,,
6:58.0,Shooting foul by T. Harris (drawn by K. Love),,8-8,,
6:58.0,K. Love misses free throw 1 of 2,,8-8,,
6:58.0,Offensive rebound by Team,,8-8,,
6:58.0,K. Love makes free throw 2 of 2,1,9-8,,
6:40.0,,,9-10,2,M. Morris makes 2-pt shot from 1 ft
6:19.0,K. Irving makes 2-pt shot from 14 ft,2,11-10,,
5:57.0,,,11-13,3,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:37.0,K. Irving makes 2-pt shot from 6 ft,2,13-13,,
5:26.0,,,13-15,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
5:05.0,Turnover by L. James (lost ball; steal by R. Jackson),,13-15,,
5:01.0,,,13-17,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
5:01.0,Cleveland full timeout,,13-17,,
