time,Philadelphia,pts.away,score,pts.home,Orlando
1:54.0,,,20-32,,Defensive rebound by B. Jennings
1:48.0,,,20-34,2,V. Oladipo makes 2-pt shot from 1 ft (assist by B. Jennings)
1:39.0,Shooting foul by C. Watson (drawn by R. Holmes),,20-34,,
1:39.0,R. Holmes makes free throw 1 of 2,1,21-34,,
1:39.0,,,21-34,,J. Smith enters the game for N. Vucevic
1:39.0,,,21-34,,E. Ilyasova enters the game for A. Gordon
1:39.0,R. Holmes makes free throw 2 of 2,1,22-34,,
1:22.0,,,22-34,,J. Smith misses 2-pt shot from 1 ft (block by J. Grant)
1:21.0,Defensive rebound by J. Grant,,22-34,,
1:13.0,N. Noel makes 2-pt shot from 1 ft,2,24-34,,
1:02.0,,,24-36,2,V. Oladipo makes 2-pt shot from 6 ft
0:54.0,Turnover by J. Grant (bad pass),,24-36,,
0:38.0,,,24-38,2,V. Oladipo makes 2-pt shot from 16 ft
0:18.0,R. Holmes makes 2-pt shot from 19 ft (assist by T. McConnell),2,26-38,,
0:02.0,,,26-40,2,V. Oladipo makes 2-pt shot from 18 ft
0:00.0,T. McConnell misses 3-pt shot from 59 ft (block by B. Jennings),,26-40,,
0:00.0,Offensive rebound by Team,,26-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,I. Canaan makes 2-pt shot from 20 ft (assist by J. Okafor),2,28-40,,
11:22.0,,,28-42,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Jennings)
11:03.0,R. Covington misses 3-pt shot from 26 ft,,28-42,,
11:02.0,,,28-42,,Defensive rebound by E. Ilyasova
10:52.0,,,28-45,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by B. Jennings)
10:52.0,Philadelphia full timeout,,28-45,,
10:29.0,Shooting foul by E. Ilyasova (drawn by R. Covington),,28-45,,
10:29.0,R. Covington makes free throw 1 of 2,1,29-45,,
10:29.0,R. Covington misses free throw 2 of 2,,29-45,,
10:28.0,,,29-45,,Defensive rebound by E. Ilyasova
10:16.0,,,29-45,,M. Hezonja misses 2-pt shot from 19 ft
10:15.0,Defensive rebound by J. Grant,,29-45,,
9:54.0,J. Okafor makes 2-pt shot at rim,2,31-45,,
9:38.0,,,31-45,,J. Smith misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by J. Grant,,31-45,,
9:31.0,,,31-45,,Personal block foul by E. Ilyasova (drawn by T. McConnell)
9:31.0,N. Stauskas enters the game for J. Grant,,31-45,,
9:26.0,Offensive foul by R. Covington,,31-45,,
9:26.0,Turnover by R. Covington (offensive foul),,31-45,,
9:15.0,,,31-47,2,J. Smith makes 2-pt shot from 19 ft (assist by B. Jennings)
9:00.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. McConnell),3,34-47,,
9:00.0,Shooting foul by C. Watson (drawn by I. Canaan),,34-47,,
9:00.0,R. Holmes enters the game for R. Covington,,34-47,,
9:00.0,I. Canaan makes free throw 1 of 1,1,35-47,,
8:50.0,,,35-47,,J. Smith misses 2-pt shot from 20 ft
8:49.0,Defensive rebound by R. Holmes,,35-47,,
8:37.0,N. Stauskas misses 3-pt shot from 25 ft,,35-47,,
8:36.0,,,35-47,,Defensive rebound by B. Jennings
8:27.0,,,35-47,,B. Jennings misses 2-pt shot from 18 ft
8:27.0,Defensive rebound by T. McConnell,,35-47,,
8:20.0,Offensive charge foul by J. Okafor,,35-47,,
8:20.0,Turnover by J. Okafor (offensive foul),,35-47,,
8:03.0,,,35-47,,E. Ilyasova misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by I. Canaan,,35-47,,
7:58.0,I. Canaan misses 3-pt shot from 26 ft,,35-47,,
7:57.0,,,35-47,,Defensive rebound by J. Smith
7:53.0,,,35-47,,Orlando full timeout
7:53.0,,,35-47,,V. Oladipo enters the game for C. Watson
7:53.0,,,35-47,,A. Gordon enters the game for B. Jennings
7:53.0,,,35-47,,E. Payton enters the game for E. Ilyasova
