time,Washington,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gortat (K. Thompson gains possession),,,,Jump ball: A. Bogut vs. M. Gortat (K. Thompson gains possession)
11:39.0,,,0-3,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
11:26.0,,,0-3,,Shooting block foul by K. Thompson (drawn by B. Beal)
11:26.0,B. Beal makes free throw 1 of 2,1,1-3,,
11:26.0,B. Beal makes free throw 2 of 2,1,2-3,,
11:03.0,,,2-3,,D. Green misses 3-pt shot from 27 ft
11:03.0,Defensive rebound by M. Gortat,,2-3,,
10:48.0,Turnover by M. Morris (lost ball; steal by D. Green),,2-3,,
10:37.0,,,2-5,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:28.0,B. Beal misses 2-pt shot from 7 ft (block by K. Thompson),,2-5,,
10:26.0,Offensive rebound by M. Gortat,,2-5,,
10:21.0,J. Wall makes 2-pt shot from 13 ft,2,4-5,,
10:14.0,Personal foul by M. Morris,,4-5,,
10:02.0,,,4-5,,K. Thompson misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by B. Beal,,4-5,,
9:52.0,B. Beal misses 2-pt shot from 15 ft,,4-5,,
9:51.0,,,4-5,,Defensive rebound by H. Barnes
9:41.0,,,4-5,,S. Curry misses 2-pt shot from 14 ft
9:40.0,Defensive rebound by J. Wall,,4-5,,
9:31.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,6-5,,
9:15.0,,,6-5,,Shooting foul by B. Beal (drawn by S. Curry)
9:15.0,,,6-6,1,S. Curry makes free throw 1 of 2
9:15.0,,,6-7,1,S. Curry makes free throw 2 of 2
9:00.0,M. Morris misses 2-pt shot from 18 ft,,6-7,,
8:59.0,,,6-7,,Defensive rebound by H. Barnes
8:50.0,,,6-7,,Turnover by K. Thompson (lost ball; steal by O. Porter)
8:43.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,8-7,,
8:36.0,,,8-10,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:17.0,M. Gortat misses 2-pt shot from 12 ft,,8-10,,
8:16.0,,,8-10,,Defensive rebound by D. Green
8:08.0,,,8-12,2,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green)
7:49.0,M. Morris misses 2-pt shot from 14 ft,,8-12,,
7:49.0,,,8-12,,Defensive rebound by D. Green
7:31.0,,,8-14,2,K. Thompson makes 2-pt shot from 22 ft
7:22.0,M. Morris makes 2-pt shot from 17 ft (assist by J. Wall),2,10-14,,
7:04.0,,,10-14,,D. Green misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by M. Gortat,,10-14,,
6:56.0,J. Wall misses 2-pt shot from 1 ft,,10-14,,
