time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (J. Dudley gains possession)
11:37.0,Turnover by J. Dudley (lost ball; steal by E. Moore),,0-0,,
11:26.0,,,0-2,2,T. Gibson makes 2-pt shot from 2 ft
11:13.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,3-2,,
10:50.0,,,3-4,2,T. Snell makes 2-pt shot from 21 ft
10:37.0,J. Wall makes 2-pt shot from 16 ft,2,5-4,,
10:23.0,,,5-4,,E. Moore misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by J. Wall,,5-4,,
10:18.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,7-4,,
10:02.0,,,7-6,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Snell)
10:02.0,,,7-6,,Shooting foul by J. Wall (drawn by T. Gibson)
10:02.0,,,7-6,,T. Gibson misses free throw 1 of 1
10:00.0,Defensive rebound by M. Gortat,,7-6,,
9:47.0,Turnover by G. Temple (lost ball; steal by P. Gasol),,7-6,,
9:38.0,,,7-9,3,M. Dunleavy makes 3-pt shot from 22 ft (assist by T. Snell)
9:20.0,J. Dudley makes 2-pt shot from 22 ft (assist by G. Temple),2,9-9,,
9:03.0,,,9-9,,P. Gasol misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by J. Wall,,9-9,,
8:58.0,Turnover by J. Dudley (offensive foul),,9-9,,
8:58.0,Offensive charge foul by J. Dudley,,9-9,,
8:42.0,,,9-12,3,T. Snell makes 3-pt shot from 24 ft
8:30.0,G. Temple misses 3-pt shot from 25 ft,,9-12,,
8:29.0,,,9-12,,Defensive rebound by P. Gasol
8:17.0,,,9-14,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
8:04.0,G. Temple makes 2-pt shot from 19 ft,2,11-14,,
7:57.0,Personal foul by O. Porter,,11-14,,
7:50.0,,,11-14,,Offensive charge foul by T. Snell
7:50.0,,,11-14,,Turnover by T. Snell (offensive foul)
7:35.0,J. Wall misses 3-pt shot from 24 ft,,11-14,,
7:34.0,,,11-14,,Defensive rebound by E. Moore
7:29.0,,,11-14,,M. Dunleavy misses 3-pt shot from 22 ft
7:27.0,Defensive rebound by O. Porter,,11-14,,
7:18.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Dudley),3,14-14,,
