time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (K. Humphries gains possession)
11:35.0,,,0-0,,M. Gortat misses 2-pt shot from 13 ft
11:34.0,Defensive rebound by K. Porzingis,,0-0,,
11:15.0,Turnover by J. Calderon (bad pass; steal by O. Porter),,0-0,,
11:01.0,,,0-2,2,O. Porter makes 2-pt shot from 1 ft (assist by K. Humphries)
10:50.0,J. Calderon misses 3-pt shot from 26 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by M. Gortat
10:38.0,,,0-4,2,M. Gortat makes 2-pt shot from 14 ft (assist by K. Humphries)
10:13.0,C. Anthony misses 3-pt shot from 26 ft,,0-4,,
10:12.0,,,0-4,,Defensive rebound by M. Gortat
10:06.0,,,0-6,2,O. Porter makes 2-pt shot at rim (assist by M. Gortat)
9:44.0,J. Calderon makes 3-pt shot from 26 ft (assist by C. Anthony),3,3-6,,
9:28.0,,,3-6,,M. Gortat misses 2-pt shot from 7 ft
9:28.0,,,3-6,,Offensive rebound by Team
9:28.0,Loose ball foul by J. Calderon (drawn by M. Gortat),,3-6,,
9:17.0,,,3-6,,M. Gortat misses 2-pt shot from 1 ft (block by R. Lopez)
9:15.0,Defensive rebound by C. Anthony,,3-6,,
9:10.0,S. Vujacic misses 3-pt shot from 25 ft,,3-6,,
9:08.0,Offensive rebound by R. Lopez,,3-6,,
9:04.0,S. Vujacic misses 3-pt shot from 24 ft,,3-6,,
9:03.0,,,3-6,,Defensive rebound by K. Humphries
8:58.0,,,3-8,2,J. Wall makes 2-pt shot at rim (assist by K. Humphries)
8:54.0,New York full timeout,,3-8,,
8:36.0,C. Anthony misses 2-pt shot from 18 ft,,3-8,,
8:34.0,,,3-8,,Defensive rebound by B. Beal
8:29.0,,,3-8,,M. Gortat misses 2-pt shot from 2 ft (block by R. Lopez)
8:27.0,,,3-8,,Offensive rebound by J. Wall
8:27.0,,,3-8,,Washington full timeout
8:15.0,,,3-8,,B. Beal misses 2-pt shot at rim
8:15.0,,,3-8,,Offensive rebound by Team
8:12.0,,,3-8,,O. Porter misses 3-pt shot from 27 ft
8:12.0,,,3-8,,Offensive rebound by Team
8:12.0,,,3-8,,Turnover by Team (shot clock)
8:02.0,S. Vujacic makes 2-pt shot from 19 ft (assist by R. Lopez),2,5-8,,
7:51.0,,,5-8,,J. Wall misses 2-pt shot from 18 ft
7:51.0,,,5-8,,Offensive rebound by M. Gortat
7:48.0,,,5-8,,M. Gortat misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by S. Vujacic,,5-8,,
